hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,996.0,2950.0,3411.0,2474.0,1290.0,2721.0,4095.0,-1.45,9.86,3.59,-0.19,0.11,0.01,0.0,i
4095.0,1003.0,2950.0,3425.0,2475.0,1287.0,2727.0,4095.0,-1.58,9.79,4.39,-0.25,0.0,-0.09,0.0,i
4095.0,1008.0,2948.0,3433.0,2480.0,1294.0,2729.0,4095.0,-1.61,9.73,4.88,-0.27,0.02,0.0,0.0,i
4095.0,996.0,2949.0,3431.0,2474.0,1293.0,2719.0,4095.0,-1.25,9.64,5.67,-0.18,0.02,0.04,0.0,i
4095.0,1002.0,2951.0,3437.0,2479.0,1290.0,2732.0,4095.0,-0.76,9.72,5.39,-0.04,0.09,0.04,0.0,i
4095.0,1009.0,2957.0,3447.0,2472.0,1287.0,2717.0,4095.0,-0.52,9.89,4.59,0.01,0.03,-0.05,0.0,i
4095.0,1009.0,2959.0,3455.0,2479.0,1291.0,2721.0,4095.0,-0.87,9.82,5.06,-0.2,0.01,-0.12,0.0,i
4095.0,1008.0,2956.0,3435.0,2474.0,1293.0,2725.0,4095.0,-0.87,9.7,5.85,-0.19,-0.02,-0.06,0.0,i
4095.0,1019.0,2959.0,3453.0,2482.0,1295.0,2725.0,4095.0,-0.69,9.8,5.7,-0.11,-0.03,-0.04,0.0,i
4095.0,1012.0,2950.0,3440.0,2480.0,1293.0,2716.0,4095.0,-0.48,9.81,5.47,-0.08,0.01,-0.03,0.0,i
4095.0,1008.0,2960.0,3443.0,2483.0,1296.0,2723.0,4095.0,-0.58,9.74,5.91,-0.04,-0.07,-0.05,0.0,i
4095.0,998.0,2960.0,3435.0,2475.0,1296.0,2720.0,4095.0,-0.08,9.78,5.78,0.07,-0.01,-0.04,0.0,i
4095.0,1008.0,2957.0,3442.0,2483.0,1293.0,2704.0,4095.0,0.17,9.74,6.02,0.02,-0.09,-0.16,0.0,i
4095.0,1005.0,2953.0,3441.0,2481.0,1296.0,2706.0,4095.0,-0.07,9.74,6.05,0.17,-0.09,-0.24,0.0,i
4095.0,1003.0,2960.0,3447.0,2487.0,1297.0,2721.0,4095.0,-0.4,9.82,5.21,0.27,-0.1,-0.31,0.0,i
4095.0,993.0,2960.0,3434.0,2486.0,1296.0,2726.0,4095.0,-0.49,9.77,5.44,0.19,-0.07,-0.22,0.0,i
4095.0,995.0,2951.0,3451.0,2490.0,1293.0,2719.0,4095.0,-0.43,9.82,5.15,0.25,-0.02,-0.18,0.0,i
4095.0,999.0,2960.0,3445.0,2489.0,1293.0,2721.0,4095.0,-0.51,9.62,5.64,0.46,-0.0,-0.16,0.0,i
4095.0,1008.0,2947.0,3422.0,2494.0,1296.0,2704.0,4095.0,-0.65,9.95,3.58,0.6,0.06,-0.34,0.0,i
4095.0,1009.0,2962.0,3427.0,2499.0,1296.0,2706.0,4095.0,-0.94,10.01,2.37,0.33,-0.14,-0.29,0.0,i
4095.0,1019.0,2959.0,3442.0,2499.0,1301.0,2718.0,4095.0,-0.73,9.87,4.13,0.0,-0.02,-0.15,0.0,i
4095.0,1043.0,2969.0,3457.0,2509.0,1301.0,2726.0,4095.0,-0.79,9.86,4.01,0.04,-0.08,-0.15,0.0,i
4095.0,1045.0,2959.0,3446.0,2505.0,1296.0,2715.0,4095.0,-0.76,9.83,4.27,0.02,0.05,-0.09,0.0,i
4095.0,1039.0,2962.0,3445.0,2501.0,1299.0,2721.0,4095.0,-0.41,9.87,3.99,0.01,-0.03,-0.12,0.0,i
4095.0,1041.0,2955.0,3442.0,2503.0,1296.0,2722.0,4095.0,-0.54,9.88,4.13,-0.0,-0.03,-0.17,0.0,i
4095.0,1043.0,2963.0,3453.0,2510.0,1302.0,2723.0,4095.0,-0.75,9.87,4.29,0.01,-0.05,-0.15,0.0,i
4095.0,1047.0,2957.0,3440.0,2504.0,1299.0,2718.0,4095.0,-0.38,9.89,4.01,0.03,0.03,-0.13,0.0,i
4095.0,1061.0,2967.0,3452.0,2502.0,1298.0,2720.0,4095.0,-0.56,9.86,4.17,0.0,-0.1,-0.21,0.0,i
4095.0,1072.0,2960.0,3451.0,2505.0,1297.0,2718.0,4095.0,-0.7,9.86,4.2,-0.01,-0.05,-0.2,0.0,i
4095.0,1071.0,2955.0,3442.0,2509.0,1299.0,2720.0,4095.0,-0.91,9.89,4.21,-0.0,-0.05,-0.14,0.0,i
4095.0,1059.0,2959.0,3440.0,2512.0,1308.0,2723.0,4095.0,-0.47,9.87,4.28,0.04,0.03,-0.12,0.0,i
4095.0,1065.0,2959.0,3418.0,2510.0,1303.0,2717.0,4095.0,-0.48,9.87,4.2,0.05,-0.05,-0.18,0.0,i
4095.0,1068.0,2971.0,3440.0,2514.0,1309.0,2732.0,4095.0,-0.79,9.91,3.97,0.03,-0.04,-0.18,0.0,i
4095.0,1077.0,2960.0,3442.0,2510.0,1301.0,2719.0,4095.0,-0.62,9.88,4.14,-0.02,-0.02,-0.13,0.0,i
4095.0,1081.0,2953.0,3459.0,2518.0,1309.0,2724.0,4095.0,-0.52,9.85,4.26,-0.01,-0.05,-0.16,0.0,i
4095.0,1101.0,2949.0,3447.0,2512.0,1307.0,2725.0,4095.0,-0.67,9.87,4.18,0.04,-0.06,-0.16,0.0,i
4095.0,1099.0,2960.0,3457.0,2513.0,1305.0,2722.0,4095.0,-0.68,9.85,4.25,-0.0,0.01,-0.16,0.0,i
4095.0,1099.0,2959.0,3446.0,2512.0,1297.0,2729.0,4095.0,-0.69,9.84,4.34,0.0,-0.02,-0.16,0.0,i
4095.0,1098.0,2963.0,3467.0,2517.0,1305.0,2727.0,4095.0,-0.62,9.91,4.07,0.04,0.03,-0.12,0.0,i
4095.0,1091.0,2960.0,3454.0,2522.0,1305.0,2737.0,4095.0,-0.6,9.88,4.19,0.01,-0.03,-0.14,0.0,i
4095.0,1135.0,2973.0,3473.0,2526.0,1313.0,2732.0,4095.0,-0.25,9.94,3.92,-0.04,0.01,-0.12,0.0,i
4095.0,1134.0,2960.0,3463.0,2519.0,1308.0,2730.0,4095.0,-0.49,9.9,4.26,-0.07,-0.12,-0.14,0.0,i
4095.0,1146.0,2955.0,3477.0,2529.0,1302.0,2736.0,4095.0,-0.33,9.88,4.61,-0.04,0.04,-0.12,0.0,i
4095.0,1132.0,2954.0,3459.0,2523.0,1271.0,2730.0,4095.0,-0.32,9.91,4.19,-0.01,-0.04,-0.15,0.0,i
4095.0,1140.0,2950.0,3458.0,2521.0,1302.0,2736.0,4095.0,-0.49,9.89,4.36,-0.13,-0.0,-0.1,0.0,i
4095.0,1157.0,2950.0,3473.0,2528.0,1312.0,2736.0,4095.0,-0.3,9.84,4.85,-0.15,-0.03,-0.1,0.0,i
4095.0,1162.0,2961.0,3465.0,2528.0,1308.0,2726.0,4095.0,-0.18,9.91,4.64,-0.05,0.0,-0.11,0.0,i
4095.0,1166.0,2960.0,3465.0,2526.0,1313.0,2736.0,4095.0,-0.21,9.88,4.91,-0.1,-0.01,-0.13,0.0,i
4095.0,1159.0,2945.0,3460.0,2524.0,1313.0,2736.0,4095.0,-0.27,9.93,4.78,-0.06,-0.01,-0.12,0.0,i
4095.0,1157.0,2960.0,3462.0,2530.0,1317.0,2741.0,4095.0,-0.12,9.88,4.81,-0.14,0.01,-0.1,0.0,i
4095.0,1161.0,2946.0,3450.0,2523.0,1315.0,2733.0,4095.0,-0.15,9.81,5.37,-0.24,-0.02,-0.06,0.0,i
4095.0,1173.0,2957.0,3446.0,2537.0,1317.0,2737.0,4095.0,0.05,9.76,5.69,-0.23,-0.02,-0.06,0.0,i
4095.0,1187.0,2957.0,3422.0,2535.0,1313.0,2736.0,4095.0,0.23,9.72,6.04,-0.21,-0.02,-0.09,0.0,i
4095.0,1229.0,2958.0,3442.0,2533.0,1315.0,2746.0,4095.0,0.24,9.66,6.33,-0.06,-0.04,-0.14,0.0,i
4095.0,1227.0,2959.0,3472.0,2531.0,1314.0,2739.0,4095.0,0.13,9.74,6.09,0.05,-0.04,-0.16,0.0,i
4095.0,1265.0,2960.0,3467.0,2528.0,1314.0,2731.0,4095.0,0.42,9.57,6.47,0.13,-0.03,-0.27,0.0,i
4095.0,1264.0,2966.0,3462.0,2541.0,1317.0,2744.0,4095.0,-0.41,9.85,5.47,0.22,-0.07,-0.32,0.0,i
4095.0,1268.0,2961.0,3459.0,2533.0,1315.0,2736.0,4095.0,-0.41,9.9,5.19,0.14,-0.0,-0.16,0.0,i
4095.0,1274.0,2951.0,3459.0,2535.0,1317.0,2742.0,4095.0,0.02,9.81,5.41,0.06,0.01,-0.14,0.0,i
4095.0,1270.0,2955.0,3463.0,2529.0,1317.0,2739.0,4095.0,0.13,9.76,5.49,0.18,0.04,-0.21,0.0,i
4095.0,1040.0,2956.0,3502.0,2545.0,1321.0,2769.0,4095.0,-0.34,9.79,5.55,0.05,0.0,-0.18,0.0,i
4095.0,1055.0,2959.0,3523.0,2551.0,1310.0,2768.0,4095.0,-0.51,9.87,5.27,-0.03,-0.11,-0.18,0.0,i
4095.0,1050.0,2954.0,3517.0,2547.0,1317.0,2758.0,4095.0,-0.6,9.72,5.88,-0.06,-0.06,-0.17,0.0,i
4095.0,1050.0,2957.0,3506.0,2544.0,1322.0,2768.0,4095.0,-0.44,9.79,5.62,0.04,0.04,-0.14,0.0,i
4095.0,1059.0,2960.0,3522.0,2559.0,1325.0,2771.0,4095.0,-0.58,9.79,5.63,0.01,-0.03,-0.12,0.0,i
4095.0,1057.0,2960.0,3518.0,2551.0,1319.0,2768.0,4095.0,-0.45,9.81,5.54,-0.02,0.08,0.02,0.0,i
4095.0,1069.0,2959.0,3526.0,2554.0,1321.0,2768.0,4095.0,0.11,9.77,5.77,-0.05,0.14,-0.01,0.0,i
4095.0,1079.0,2963.0,3505.0,2559.0,1315.0,2764.0,4095.0,-0.29,9.94,5.33,-0.07,-0.09,-0.09,0.0,i
4095.0,1072.0,2958.0,3525.0,2556.0,1319.0,2780.0,4095.0,0.48,9.61,6.42,-0.29,0.03,-0.09,0.0,i
4095.0,1079.0,2951.0,3519.0,2546.0,1301.0,2778.0,4095.0,0.49,9.61,6.33,0.06,-0.06,-0.17,0.0,i
4095.0,1088.0,2955.0,3530.0,2559.0,1271.0,2775.0,4095.0,-0.53,9.68,6.45,-0.11,-0.33,-0.23,0.0,i
4095.0,1095.0,2959.0,3523.0,2549.0,1315.0,2765.0,4095.0,0.13,9.69,6.25,0.14,0.3,-0.11,0.0,i
4095.0,1115.0,2969.0,3538.0,2559.0,1325.0,2770.0,4095.0,0.01,9.76,5.99,0.01,-0.03,-0.18,0.0,i
4095.0,1098.0,2950.0,3520.0,2551.0,1323.0,2768.0,4095.0,-0.18,9.77,6.11,-0.07,-0.46,-0.11,0.0,i
4095.0,1100.0,2965.0,3536.0,2559.0,1328.0,2777.0,4095.0,0.02,9.5,6.91,0.06,0.04,-0.03,0.0,i
4095.0,1123.0,2966.0,3543.0,2559.0,1315.0,2774.0,4095.0,0.0,9.77,6.22,0.1,-0.12,-0.08,0.0,i
4095.0,1143.0,2960.0,3536.0,2545.0,1293.0,2772.0,4095.0,0.57,9.79,5.7,0.11,0.0,0.02,0.0,i
4095.0,1159.0,2954.0,3521.0,2559.0,1318.0,2753.0,4095.0,0.61,9.81,5.78,-0.1,-0.05,-0.02,0.0,i
4095.0,1141.0,2960.0,3513.0,2547.0,1323.0,2751.0,4095.0,0.87,9.48,6.7,-0.05,0.15,-0.04,0.0,i
4095.0,1104.0,2951.0,3509.0,2553.0,1263.0,2751.0,4095.0,0.96,9.73,5.88,0.31,0.04,-0.31,0.0,i
4095.0,1085.0,2954.0,3530.0,2559.0,1326.0,2761.0,4095.0,-0.18,9.8,5.72,0.04,0.02,-0.11,0.0,i
4095.0,1081.0,2962.0,3529.0,2559.0,1328.0,2767.0,4095.0,0.24,9.77,5.22,0.16,0.1,-0.11,0.0,i
4095.0,1088.0,2960.0,3513.0,2559.0,1324.0,2759.0,4095.0,0.22,9.89,4.93,0.06,-0.13,-0.18,0.0,i
4095.0,1091.0,2960.0,3517.0,2559.0,1327.0,2768.0,4095.0,0.04,9.92,4.84,-0.0,-0.1,-0.19,0.0,i
4095.0,1104.0,2960.0,3519.0,2553.0,1318.0,2753.0,4095.0,-0.69,9.86,5.3,0.01,-0.34,-0.14,0.0,i
4095.0,1104.0,2962.0,3529.0,2559.0,1326.0,2759.0,4095.0,0.91,9.81,4.97,0.07,0.35,-0.06,0.0,i
4095.0,1104.0,2956.0,3517.0,2559.0,1323.0,2762.0,4095.0,0.19,9.88,4.71,0.05,-0.02,-0.32,0.0,i
4095.0,1104.0,2966.0,3515.0,2559.0,1315.0,2769.0,4095.0,-0.53,9.93,4.74,-0.05,0.03,-0.23,0.0,i
4095.0,1120.0,2961.0,3518.0,2559.0,1313.0,2763.0,4095.0,0.06,9.86,4.96,-0.1,0.03,-0.16,0.0,i
4095.0,1121.0,2967.0,3535.0,2559.0,1322.0,2767.0,4095.0,0.01,9.75,5.48,-0.05,-0.1,-0.21,0.0,i
4095.0,1131.0,2947.0,3522.0,2559.0,1327.0,2762.0,4095.0,-0.58,9.88,5.21,0.05,0.07,-0.2,0.0,i
4095.0,1131.0,2970.0,3541.0,2559.0,1328.0,2768.0,4095.0,-0.21,9.9,4.92,-0.03,-0.12,-0.17,0.0,i
4095.0,1126.0,2959.0,3539.0,2559.0,1314.0,2765.0,4095.0,-0.2,9.8,5.45,-0.03,-0.09,-0.17,0.0,i
4095.0,1121.0,2958.0,3534.0,2559.0,1303.0,2762.0,4095.0,-0.33,9.86,5.19,0.03,-0.03,-0.18,0.0,i
4095.0,1141.0,2955.0,3536.0,2559.0,1327.0,2768.0,4095.0,-0.37,9.83,5.23,-0.0,-0.02,-0.17,0.0,i
4095.0,1140.0,2959.0,3529.0,2559.0,1327.0,2759.0,4095.0,-0.33,9.84,5.31,-0.01,-0.02,-0.16,0.0,i
4095.0,1138.0,2960.0,3536.0,2559.0,1328.0,2768.0,4095.0,-0.39,9.85,5.31,-0.06,-0.02,-0.14,0.0,i
4095.0,1141.0,2957.0,3533.0,2559.0,1328.0,2766.0,4095.0,-0.32,9.8,5.41,-0.01,-0.05,-0.16,0.0,i
4095.0,1152.0,2965.0,3533.0,2559.0,1327.0,2768.0,4095.0,-0.36,9.84,5.42,0.01,-0.04,-0.18,0.0,i
4095.0,1163.0,2960.0,3538.0,2559.0,1325.0,2762.0,4095.0,-0.44,9.85,5.44,0.02,-0.06,-0.18,0.0,i
4095.0,1170.0,2960.0,3543.0,2559.0,1295.0,2775.0,4095.0,-0.37,9.8,5.5,0.02,-0.03,-0.16,0.0,i
4095.0,1159.0,2957.0,3536.0,2559.0,1326.0,2768.0,4095.0,-0.37,9.85,5.33,0.03,0.03,-0.14,0.0,i
4095.0,1170.0,2965.0,3550.0,2559.0,1328.0,2773.0,4095.0,-0.18,9.83,5.36,0.0,0.02,-0.13,0.0,i
4095.0,1165.0,2959.0,3536.0,2559.0,1328.0,2768.0,4095.0,-0.3,9.79,5.5,0.0,-0.03,-0.16,0.0,i
4095.0,1178.0,2960.0,3547.0,2559.0,1329.0,2772.0,4095.0,-0.32,9.84,5.38,0.03,-0.0,-0.15,0.0,i
4095.0,1167.0,2949.0,3538.0,2579.0,1328.0,2768.0,4095.0,-0.28,9.81,5.38,0.01,-0.0,-0.16,0.0,i
4095.0,1171.0,2965.0,3548.0,2559.0,1328.0,2779.0,4095.0,-0.27,9.8,5.45,0.01,-0.02,-0.16,0.0,i
4095.0,1171.0,2960.0,3541.0,2559.0,1325.0,2768.0,4095.0,-0.39,9.82,5.44,0.0,0.0,-0.14,0.0,i
4095.0,1183.0,2954.0,3548.0,2559.0,1327.0,2768.0,4095.0,-0.23,9.82,5.39,0.03,0.03,-0.13,0.0,i
4095.0,1177.0,2960.0,3539.0,2559.0,1331.0,2777.0,4095.0,-0.23,9.79,5.43,0.0,-0.03,-0.17,0.0,i
4095.0,1186.0,2953.0,3541.0,2559.0,1325.0,2771.0,4095.0,-0.51,9.82,5.43,0.01,-0.0,-0.16,0.0,i
