hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,2854.0,2923.0,3393.0,2879.0,2637.0,3361.0,4095.0,-1.86,9.6,4.25,0.0,-0.01,-0.16,0.0,i
4095.0,2779.0,2917.0,3392.0,2882.0,2633.0,3361.0,4095.0,-2.27,9.66,4.39,-0.01,-0.01,-0.17,0.0,i
4095.0,2746.0,2933.0,3395.0,2879.0,2643.0,3362.0,4095.0,-1.97,9.55,4.51,-0.05,-0.01,-0.12,0.0,i
4095.0,2741.0,2923.0,3389.0,2879.0,2629.0,3362.0,4095.0,-1.97,9.64,4.53,-0.0,0.01,-0.17,0.0,i
4095.0,2740.0,2931.0,3391.0,2879.0,2637.0,3359.0,4095.0,-2.03,9.66,4.49,-0.02,-0.04,-0.18,0.0,i
4095.0,2729.0,2929.0,3405.0,2894.0,2640.0,3363.0,4095.0,-2.27,9.59,4.6,-0.01,0.0,-0.16,0.0,i
4095.0,2713.0,2921.0,3388.0,2885.0,2640.0,3354.0,4095.0,-2.02,9.81,4.3,-0.01,-0.03,-0.13,0.0,i
4095.0,2707.0,2923.0,3403.0,2891.0,2647.0,3372.0,4095.0,-2.29,9.58,4.7,-0.05,-0.02,-0.13,0.0,i
4095.0,2688.0,2921.0,3387.0,2885.0,2640.0,3359.0,4095.0,-1.75,9.74,4.74,-0.06,0.07,-0.13,0.0,i
4095.0,2690.0,2927.0,3407.0,2896.0,2645.0,3369.0,4095.0,-1.95,9.53,4.94,-0.01,0.01,-0.17,0.0,i
4095.0,2688.0,2921.0,3401.0,2895.0,2640.0,3354.0,4095.0,-2.06,9.54,4.73,0.06,-0.02,-0.19,0.0,i
4095.0,2689.0,2922.0,3408.0,2899.0,2654.0,3354.0,4095.0,-2.14,9.71,4.58,0.02,-0.01,-0.2,0.0,i
4095.0,2685.0,2934.0,3400.0,2895.0,2645.0,3358.0,4095.0,-2.14,9.66,4.75,-0.06,-0.01,-0.11,0.0,i
4095.0,2690.0,2924.0,3406.0,2894.0,2646.0,3358.0,4095.0,-2.07,9.54,4.9,0.0,-0.0,-0.16,0.0,i
4095.0,2688.0,2911.0,3394.0,2886.0,2642.0,3359.0,4095.0,-2.13,9.68,4.77,0.03,0.0,-0.13,0.0,i
4095.0,2679.0,2933.0,3406.0,2897.0,2647.0,3361.0,4095.0,-1.98,9.6,4.84,0.01,0.0,-0.14,0.0,i
4095.0,2683.0,2913.0,3403.0,2897.0,2644.0,3370.0,4095.0,-1.94,9.54,4.79,0.03,-0.03,-0.16,0.0,i
4095.0,2695.0,2911.0,3403.0,2896.0,2645.0,3359.0,4095.0,-2.23,9.67,4.65,0.01,0.04,-0.17,0.0,i
4095.0,2683.0,2929.0,3409.0,2902.0,2650.0,3363.0,4095.0,-2.15,9.58,4.8,-0.0,-0.01,-0.14,0.0,i
4095.0,2682.0,2927.0,3408.0,2899.0,2649.0,3366.0,4095.0,-2.2,9.66,4.93,0.01,0.0,-0.12,0.0,i
4095.0,2673.0,2923.0,3407.0,2903.0,2646.0,3362.0,4095.0,-2.09,9.64,4.99,0.03,0.02,-0.15,0.0,i
4095.0,2675.0,2922.0,3406.0,2896.0,2645.0,3354.0,4095.0,-1.92,9.65,4.75,0.05,0.01,-0.12,0.0,i
4095.0,2687.0,2926.0,3412.0,2910.0,2655.0,3365.0,4095.0,-1.87,9.62,4.75,0.01,0.01,-0.16,0.0,i
4095.0,2676.0,2931.0,3417.0,2908.0,2651.0,3357.0,4095.0,-2.03,9.66,4.87,-0.01,0.01,-0.14,0.0,i
4095.0,2679.0,2928.0,3423.0,2910.0,2643.0,3346.0,4095.0,-1.9,9.56,5.02,0.0,-0.02,-0.19,0.0,i
4095.0,2672.0,2922.0,3418.0,2912.0,2656.0,3355.0,4095.0,-2.19,9.57,4.94,0.02,-0.04,-0.18,0.0,i
4095.0,2672.0,2922.0,3409.0,2906.0,2651.0,3348.0,4095.0,-2.05,9.72,4.98,0.01,0.03,-0.15,0.0,i
4095.0,2670.0,2927.0,3431.0,2914.0,2659.0,3345.0,4095.0,-1.93,9.64,5.07,0.01,0.03,-0.12,0.0,i
4095.0,2677.0,2921.0,3411.0,2910.0,2646.0,3349.0,4095.0,-1.95,9.66,4.88,0.01,-0.04,-0.17,0.0,i
4095.0,2672.0,2928.0,3427.0,2921.0,2651.0,3351.0,4095.0,-2.04,9.67,4.8,-0.02,0.02,-0.12,0.0,i
4095.0,2672.0,2919.0,3412.0,2912.0,2649.0,3350.0,4095.0,-2.12,9.53,5.07,-0.01,-0.06,-0.14,0.0,i
4095.0,2673.0,2934.0,3423.0,2918.0,2651.0,3347.0,4095.0,-1.92,9.56,4.92,0.02,-0.05,-0.18,0.0,i
4095.0,2666.0,2929.0,3415.0,2915.0,2653.0,3344.0,4095.0,-2.22,9.58,4.87,0.02,-0.0,-0.19,0.0,i
4095.0,2674.0,2924.0,3425.0,2916.0,2653.0,3345.0,4095.0,-2.16,9.72,4.93,-0.03,-0.04,-0.18,0.0,i
4095.0,2658.0,2923.0,3423.0,2917.0,2650.0,3344.0,4095.0,-2.24,9.52,5.21,0.0,-0.0,-0.12,0.0,i
4095.0,2666.0,2929.0,3430.0,2928.0,2652.0,3350.0,4095.0,-2.08,9.57,4.93,0.06,0.01,-0.14,0.0,i
4095.0,2663.0,2928.0,3434.0,2923.0,2653.0,3342.0,4095.0,-2.11,9.63,4.84,0.01,0.02,-0.14,0.0,i
4095.0,2651.0,2930.0,3427.0,2923.0,2651.0,3342.0,4095.0,-1.96,9.66,4.97,-0.02,-0.0,-0.11,0.0,i
4095.0,2653.0,2919.0,3435.0,2928.0,2659.0,3353.0,4095.0,-1.9,9.57,5.14,-0.01,-0.03,-0.16,0.0,i
4095.0,2645.0,2919.0,3425.0,2928.0,2657.0,3344.0,4095.0,-2.15,9.62,5.04,0.01,-0.0,-0.17,0.0,i
4095.0,2640.0,2926.0,3423.0,2933.0,2659.0,3343.0,4095.0,-1.99,9.63,5.05,0.01,0.01,-0.18,0.0,i
4095.0,2640.0,2917.0,3435.0,2942.0,2658.0,3349.0,4095.0,-2.21,9.57,5.04,0.01,-0.02,-0.15,0.0,i
4095.0,2643.0,2928.0,3436.0,2933.0,2653.0,3344.0,4095.0,-1.97,9.6,5.04,-0.0,-0.01,-0.17,0.0,i
4095.0,2640.0,2925.0,3440.0,2931.0,2657.0,3344.0,4095.0,-2.23,9.58,5.19,0.01,-0.01,-0.17,0.0,i
4095.0,2631.0,2919.0,3437.0,2932.0,2653.0,3343.0,4095.0,-2.13,9.57,5.09,0.03,0.03,-0.12,0.0,i
4095.0,2640.0,2933.0,3440.0,2935.0,2654.0,3341.0,4095.0,-1.94,9.6,5.01,0.02,-0.04,-0.16,0.0,i
4095.0,2634.0,2925.0,3442.0,2944.0,2660.0,3349.0,4095.0,-2.24,9.65,5.05,0.02,0.04,-0.15,0.0,i
4095.0,2638.0,2933.0,3427.0,2928.0,2655.0,3344.0,4095.0,-2.08,9.5,5.12,-0.05,0.08,-0.13,0.0,i
4095.0,2640.0,2933.0,3438.0,2940.0,2668.0,3355.0,4095.0,-2.07,9.39,5.11,0.03,-0.01,-0.02,0.0,i
4095.0,2647.0,2928.0,3435.0,2931.0,2659.0,3344.0,4095.0,-1.45,9.66,4.67,-0.04,0.11,-0.15,0.0,i
