hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3315.0,3462.0,3003.0,2661.0,3741.0,3131.0,3269.0,4095.0,0.76,10.01,0.77,-0.06,-0.02,-0.05,1.0,i
3319.0,3474.0,3008.0,2672.0,3734.0,3120.0,3258.0,4095.0,1.09,10.1,0.82,-0.03,-0.04,-0.06,1.0,i
3333.0,3485.0,3007.0,2677.0,3753.0,3138.0,3264.0,4095.0,1.0,10.08,0.81,-0.05,0.09,-0.09,1.0,i
3312.0,3459.0,3002.0,2672.0,3727.0,3125.0,3253.0,4095.0,0.73,9.98,0.79,-0.07,0.03,-0.05,1.0,i
3318.0,3462.0,3006.0,2676.0,3737.0,3135.0,3255.0,4095.0,0.94,10.09,0.67,-0.05,-0.03,-0.05,1.0,i
3311.0,3460.0,3008.0,2672.0,3730.0,3141.0,3265.0,4095.0,0.82,10.02,0.7,-0.06,0.01,-0.02,1.0,i
3313.0,3467.0,3005.0,2667.0,3722.0,3135.0,3261.0,4095.0,0.91,10.04,0.76,-0.1,-0.02,-0.01,1.0,i
3339.0,3470.0,3014.0,2674.0,3756.0,3146.0,3278.0,4095.0,0.98,10.05,0.93,-0.08,-0.0,-0.06,1.0,i
3319.0,3457.0,3006.0,2672.0,3729.0,3136.0,3267.0,4095.0,0.81,10.04,0.79,-0.06,0.03,-0.07,1.0,i
3325.0,3478.0,3011.0,2675.0,3728.0,3133.0,3264.0,4095.0,0.75,10.08,0.65,-0.11,0.01,-0.03,1.0,i
3315.0,3466.0,3004.0,2672.0,3728.0,3127.0,3258.0,4095.0,0.95,10.08,0.95,-0.09,-0.06,-0.07,1.0,i
3327.0,3472.0,3010.0,2687.0,3763.0,3152.0,3275.0,4095.0,0.78,10.02,0.96,-0.11,-0.03,-0.06,1.0,i
3312.0,3456.0,3007.0,2673.0,3728.0,3127.0,3250.0,4095.0,0.65,10.02,1.0,-0.06,-0.01,-0.05,1.0,i
