hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3822.0,4095.0,2929.0,3199.0,2640.0,2462.0,2639.0,4095.0,-1.37,9.84,4.42,0.01,-0.03,-0.11,0.0,i
3817.0,4095.0,2939.0,3200.0,2625.0,2461.0,2631.0,4095.0,-1.43,9.88,4.51,0.0,0.02,-0.16,0.0,i
3797.0,4095.0,2946.0,3199.0,2640.0,2464.0,2635.0,4095.0,-1.4,9.76,4.44,0.05,0.0,-0.17,0.0,i
3793.0,4095.0,2932.0,3198.0,2645.0,2469.0,2630.0,4095.0,-1.49,9.78,4.34,0.02,0.01,-0.18,0.0,i
3823.0,4095.0,2941.0,3200.0,2640.0,2463.0,2640.0,4095.0,-1.5,9.73,4.33,0.02,0.0,-0.15,0.0,i
3792.0,4095.0,2939.0,3205.0,2644.0,2467.0,2638.0,4095.0,-1.47,9.66,4.34,-0.01,-0.0,-0.14,0.0,i
3792.0,4095.0,2931.0,3204.0,2640.0,2467.0,2641.0,4095.0,-1.39,9.71,4.58,-0.03,0.01,-0.14,0.0,i
3819.0,4095.0,2930.0,3212.0,2640.0,2463.0,2643.0,4095.0,-1.4,9.78,4.43,0.02,-0.03,-0.13,0.0,i
3824.0,4095.0,2939.0,3199.0,2647.0,2453.0,2639.0,4095.0,-1.33,9.78,4.49,0.01,0.0,-0.12,0.0,i
3813.0,4095.0,2947.0,3203.0,2647.0,2467.0,2640.0,4095.0,-1.27,9.75,4.47,-0.01,-0.02,-0.14,0.0,i
3812.0,4095.0,2928.0,3236.0,2640.0,2466.0,2641.0,4095.0,-1.36,9.82,4.56,0.01,-0.02,-0.13,0.0,i
3802.0,4095.0,2937.0,3209.0,2641.0,2477.0,2640.0,4095.0,-1.29,9.81,4.49,0.03,-0.01,-0.15,0.0,i
3820.0,4095.0,2947.0,3212.0,2657.0,2475.0,2646.0,4095.0,-1.43,9.75,4.56,0.02,0.01,-0.16,0.0,i
3803.0,4095.0,2947.0,3207.0,2649.0,2475.0,2651.0,4095.0,-1.3,9.7,4.43,0.01,0.0,-0.14,0.0,i
3792.0,4095.0,2935.0,3212.0,2657.0,2473.0,2645.0,4095.0,-1.31,9.79,4.53,0.02,0.02,-0.14,0.0,i
3797.0,4095.0,2933.0,3185.0,2657.0,2470.0,2650.0,4095.0,-1.16,9.76,4.4,0.02,0.0,-0.15,0.0,i
3814.0,4095.0,2928.0,3216.0,2663.0,2474.0,2639.0,4095.0,-1.33,9.82,4.43,0.01,-0.01,-0.16,0.0,i
3779.0,4095.0,2935.0,3217.0,2669.0,2476.0,2647.0,4095.0,-1.34,9.75,4.4,0.03,-0.01,-0.15,0.0,i
3804.0,4095.0,2935.0,3215.0,2667.0,2474.0,2646.0,4095.0,-1.33,9.79,4.43,0.0,-0.01,-0.14,0.0,i
3794.0,4095.0,2929.0,3216.0,2658.0,2475.0,2655.0,4095.0,-1.34,9.82,4.48,0.02,0.01,-0.16,0.0,i
3807.0,4095.0,2933.0,3202.0,2663.0,2478.0,2657.0,4095.0,-1.26,9.72,4.43,0.01,0.0,-0.16,0.0,i
3792.0,4095.0,2934.0,3214.0,2666.0,2474.0,2656.0,4095.0,-1.25,9.74,4.48,-0.01,-0.01,-0.14,0.0,i
3808.0,4095.0,2943.0,3227.0,2663.0,2478.0,2653.0,4095.0,-1.25,9.8,4.4,0.03,-0.01,-0.15,0.0,i
3824.0,4095.0,2929.0,3223.0,2669.0,2479.0,2655.0,4095.0,-1.32,9.82,4.37,0.04,-0.02,-0.16,0.0,i
3805.0,4095.0,2934.0,3219.0,2677.0,2478.0,2655.0,4095.0,-1.34,9.77,4.37,-0.0,-0.02,-0.16,0.0,i
3809.0,4095.0,2931.0,3223.0,2669.0,2486.0,2659.0,4095.0,-1.36,9.77,4.39,0.02,0.0,-0.16,0.0,i
3797.0,4095.0,2934.0,3215.0,2669.0,2479.0,2651.0,4095.0,-1.29,9.77,4.4,0.03,0.0,-0.15,0.0,i
3802.0,4095.0,2943.0,3216.0,2672.0,2480.0,2650.0,4095.0,-1.27,9.77,4.32,0.01,-0.01,-0.15,0.0,i
3798.0,4095.0,2939.0,3218.0,2675.0,2480.0,2658.0,4095.0,-1.25,9.78,4.36,0.01,-0.02,-0.14,0.0,i
3813.0,4095.0,2935.0,3217.0,2675.0,2490.0,2659.0,4095.0,-1.22,9.81,4.36,-0.01,0.04,-0.16,0.0,i
3817.0,4095.0,2929.0,3227.0,2641.0,2484.0,2655.0,4095.0,-1.3,9.82,4.43,0.04,0.0,-0.16,0.0,i
3807.0,4095.0,2921.0,3229.0,2675.0,2480.0,2637.0,4095.0,-1.21,9.78,4.32,0.02,-0.01,-0.16,0.0,i
3792.0,4095.0,2928.0,3221.0,2675.0,2478.0,2638.0,4095.0,-1.38,9.75,4.47,0.02,-0.01,-0.16,0.0,i
3785.0,4095.0,2928.0,3231.0,2689.0,2485.0,2662.0,4095.0,-1.24,9.74,4.42,0.02,0.01,-0.15,0.0,i
3819.0,4095.0,2940.0,3226.0,2681.0,2487.0,2672.0,4095.0,-1.34,9.8,4.27,0.02,0.0,-0.16,0.0,i
3792.0,4095.0,2938.0,3187.0,2676.0,2489.0,2667.0,4095.0,-1.33,9.73,4.57,-0.02,0.02,-0.14,0.0,i
3794.0,4095.0,2928.0,3238.0,2676.0,2496.0,2667.0,4095.0,-1.25,9.84,4.36,0.04,-0.0,-0.15,0.0,i
3799.0,4095.0,2933.0,3228.0,2687.0,2493.0,2661.0,4095.0,-1.37,9.77,4.38,-0.01,-0.0,-0.15,0.0,i
3799.0,4095.0,2935.0,3227.0,2678.0,2483.0,2657.0,4095.0,-1.31,9.8,4.49,0.03,0.0,-0.15,0.0,i
3808.0,4095.0,2938.0,3222.0,2641.0,2482.0,2662.0,4095.0,-1.28,9.78,4.38,0.04,0.01,-0.14,0.0,i
3813.0,4095.0,2927.0,3235.0,2685.0,2492.0,2669.0,4095.0,-1.3,9.75,4.46,0.01,0.02,-0.14,0.0,i
4095.0,3794.0,2938.0,2907.0,2320.0,2367.0,2559.0,4095.0,-1.4,9.85,4.46,0.02,0.01,-0.16,0.0,i
4095.0,3769.0,2925.0,2904.0,2320.0,2363.0,2589.0,4095.0,-1.3,9.81,4.46,0.01,0.0,-0.17,0.0,i
4095.0,3790.0,2941.0,2922.0,2322.0,2357.0,2586.0,4095.0,-1.46,9.72,4.47,-0.0,-0.01,-0.17,0.0,i
4095.0,3773.0,2941.0,2929.0,2326.0,2365.0,2587.0,4095.0,-1.36,9.77,4.45,0.03,-0.0,-0.16,0.0,i
4095.0,3758.0,2937.0,2931.0,2325.0,2370.0,2597.0,4095.0,-1.44,9.75,4.48,0.03,-0.02,-0.16,0.0,i
4095.0,3782.0,2944.0,2928.0,2339.0,2370.0,2602.0,4095.0,-1.36,9.79,4.41,0.03,-0.01,-0.16,0.0,i
