hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,906.0,2867.0,3359.0,2944.0,2617.0,2864.0,4095.0,-2.25,9.56,4.9,0.03,0.02,-0.16,0.0,i
4095.0,905.0,2855.0,3354.0,2919.0,2614.0,2860.0,4095.0,-2.11,9.52,4.86,0.01,-0.01,-0.17,0.0,i
4095.0,912.0,2859.0,3344.0,2922.0,2611.0,2854.0,4095.0,-2.35,9.58,4.92,0.03,0.01,-0.14,0.0,i
4095.0,912.0,2864.0,3354.0,2913.0,2614.0,2857.0,4095.0,-2.12,9.54,4.87,0.01,-0.04,-0.15,0.0,i
4095.0,913.0,2864.0,3361.0,2921.0,2614.0,2862.0,4095.0,-2.31,9.67,4.86,0.01,-0.01,-0.14,0.0,i
4095.0,910.0,2864.0,3362.0,2926.0,2617.0,2864.0,4095.0,-2.06,9.52,4.89,-0.0,-0.07,-0.14,0.0,i
4095.0,912.0,2859.0,3367.0,2928.0,2619.0,2864.0,4095.0,-2.25,9.53,5.03,0.01,-0.01,-0.17,0.0,i
4095.0,911.0,2864.0,3367.0,2927.0,2620.0,2863.0,4095.0,-2.1,9.56,4.93,-0.02,0.01,-0.15,0.0,i
4095.0,910.0,2864.0,3360.0,2922.0,2620.0,2863.0,4095.0,-2.25,9.54,5.0,0.0,-0.01,-0.15,0.0,i
4095.0,909.0,2861.0,3360.0,2918.0,2619.0,2864.0,4095.0,-2.13,9.51,5.04,0.01,0.02,-0.17,0.0,i
4095.0,910.0,2866.0,3364.0,2930.0,2620.0,2866.0,4095.0,-2.24,9.58,5.02,0.01,-0.02,-0.16,0.0,i
4095.0,912.0,2864.0,3369.0,2927.0,2622.0,2864.0,4095.0,-2.24,9.5,5.1,0.04,0.03,-0.15,0.0,i
4095.0,907.0,2859.0,3357.0,2919.0,2610.0,2855.0,4095.0,-2.14,9.58,4.96,0.02,-0.02,-0.16,0.0,i
4095.0,899.0,2867.0,3362.0,2923.0,2624.0,2863.0,4095.0,-2.05,9.54,4.98,0.05,0.01,-0.15,0.0,i
4095.0,911.0,2863.0,3366.0,2923.0,2624.0,2864.0,4095.0,-2.24,9.58,4.91,0.04,0.01,-0.14,0.0,i
