hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3275.0,3209.0,2997.0,3162.0,3492.0,2743.0,3183.0,4095.0,2.49,9.44,2.81,-0.02,-0.01,-0.08,1.0,i
3263.0,3184.0,2994.0,3170.0,3488.0,2733.0,3184.0,4095.0,2.4,9.46,2.58,-0.11,-0.05,-0.05,1.0,i
3268.0,3190.0,2992.0,3168.0,3480.0,2711.0,3184.0,4095.0,2.51,9.43,2.83,-0.08,-0.02,-0.03,1.0,i
3267.0,3190.0,2991.0,3152.0,3493.0,2739.0,3187.0,4095.0,2.52,9.46,2.8,-0.08,-0.02,-0.04,1.0,i
3258.0,3200.0,2997.0,3158.0,3502.0,2739.0,3188.0,4095.0,2.53,9.41,2.84,-0.09,0.02,0.01,1.0,i
3262.0,3214.0,3009.0,3155.0,3493.0,2736.0,3201.0,4095.0,2.65,9.49,2.74,-0.05,-0.02,-0.04,1.0,i
3267.0,3123.0,2998.0,3154.0,3495.0,2752.0,3195.0,4095.0,2.68,9.47,2.69,-0.07,0.0,-0.03,1.0,i
3265.0,3202.0,3008.0,3152.0,3481.0,2750.0,3198.0,4095.0,2.6,9.4,2.75,-0.09,-0.04,-0.07,1.0,i
3267.0,3202.0,3001.0,3136.0,3491.0,2753.0,3193.0,4095.0,2.66,9.42,2.75,-0.08,0.06,-0.06,1.0,i
3259.0,3184.0,2998.0,3117.0,3503.0,2751.0,3187.0,4095.0,2.58,9.43,2.61,-0.09,0.06,-0.02,1.0,i
3262.0,3210.0,2992.0,3117.0,3504.0,2754.0,3199.0,4095.0,2.65,9.54,2.64,-0.15,-0.01,-0.05,1.0,i
3266.0,3167.0,2999.0,3113.0,3507.0,2753.0,3200.0,4095.0,2.65,9.26,2.98,-0.17,-0.08,-0.1,1.0,i
3269.0,3205.0,2995.0,3117.0,3507.0,2759.0,3209.0,4095.0,2.39,9.41,2.84,-0.19,0.02,0.02,1.0,i
3259.0,3205.0,2990.0,3120.0,3517.0,2758.0,3209.0,4095.0,2.55,9.31,2.99,-0.15,-0.07,-0.02,1.0,i
3259.0,3201.0,2983.0,3130.0,3489.0,2750.0,3205.0,4095.0,2.75,9.35,3.22,-0.16,-0.03,-0.06,1.0,i
3249.0,3197.0,2991.0,3135.0,3487.0,2762.0,3203.0,4095.0,2.6,9.27,3.37,-0.15,-0.07,-0.09,1.0,i
3269.0,3250.0,2998.0,3137.0,3493.0,2762.0,3217.0,4095.0,2.46,9.28,3.39,-0.1,-0.01,-0.11,1.0,i
3270.0,3117.0,3007.0,3138.0,3499.0,2768.0,3223.0,4095.0,2.47,9.24,3.41,-0.1,-0.04,-0.06,1.0,i
3279.0,3216.0,2997.0,3133.0,3490.0,2767.0,3217.0,4095.0,2.58,9.31,3.35,-0.06,0.02,-0.03,1.0,i
3268.0,3219.0,2995.0,3138.0,3492.0,2766.0,3211.0,4095.0,2.55,9.29,3.13,-0.04,-0.02,-0.04,1.0,i
3270.0,3184.0,2994.0,3119.0,3501.0,2777.0,3204.0,4095.0,2.75,9.29,3.36,0.03,0.13,0.05,1.0,i
3269.0,3211.0,2991.0,3095.0,3498.0,2784.0,3205.0,4095.0,2.55,9.41,3.23,-0.04,-0.1,-0.1,1.0,i
3258.0,3190.0,2995.0,3094.0,3502.0,2774.0,3216.0,4095.0,2.53,9.26,3.3,-0.05,0.03,-0.02,1.0,i
3280.0,3315.0,2991.0,3087.0,3498.0,2781.0,3216.0,4095.0,2.54,9.25,3.11,-0.04,-0.01,-0.01,1.0,i
3264.0,3202.0,2993.0,3089.0,3504.0,2783.0,3216.0,4095.0,2.66,9.42,2.99,0.01,-0.06,0.01,1.0,i
3280.0,3200.0,2985.0,3071.0,3504.0,2792.0,3215.0,4095.0,2.67,9.32,3.05,-0.07,-0.09,0.05,1.0,i
3253.0,3193.0,2997.0,3085.0,3501.0,2795.0,3218.0,4095.0,2.71,9.45,3.33,-0.13,-0.09,0.02,1.0,i
3264.0,3251.0,2997.0,3088.0,3509.0,2789.0,3204.0,4095.0,2.51,9.34,3.13,-0.15,-0.01,-0.02,1.0,i
3263.0,3199.0,2991.0,3088.0,3510.0,2793.0,3210.0,4095.0,2.7,9.37,3.17,-0.1,-0.08,-0.11,1.0,i
3280.0,3190.0,2992.0,3091.0,3499.0,2791.0,3218.0,4095.0,2.89,9.34,3.1,-0.11,-0.05,-0.12,1.0,i
3266.0,3201.0,3000.0,3102.0,3499.0,2795.0,3218.0,4095.0,2.71,9.33,3.24,-0.0,-0.07,-0.18,1.0,i
3268.0,3203.0,2997.0,3101.0,3519.0,2798.0,3216.0,4095.0,2.63,9.27,3.15,-0.05,-0.04,-0.09,1.0,i
3267.0,3197.0,2987.0,3098.0,3504.0,2797.0,3221.0,4095.0,2.72,9.36,3.05,-0.03,-0.02,-0.11,1.0,i
3269.0,3187.0,2991.0,3099.0,3518.0,2800.0,3217.0,4095.0,2.91,9.4,3.06,-0.05,0.0,-0.13,1.0,i
3269.0,3186.0,2998.0,3102.0,3511.0,2799.0,3226.0,4095.0,2.66,9.36,3.0,-0.09,0.0,-0.12,1.0,i
3270.0,3190.0,2985.0,3099.0,3525.0,2797.0,3214.0,4095.0,2.92,9.46,3.08,-0.09,-0.0,-0.19,1.0,i
3269.0,3213.0,2998.0,3108.0,3514.0,2801.0,3213.0,4095.0,2.42,9.32,3.15,-0.11,0.02,-0.16,1.0,i
