hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3249.0,3520.0,2981.0,2868.0,3308.0,2538.0,3191.0,3813.0,0.63,9.8,2.47,-0.03,0.13,-0.01,1.0,i
3267.0,3522.0,2988.0,2862.0,3317.0,2546.0,3196.0,3897.0,0.75,9.72,2.83,0.03,0.09,-0.05,1.0,i
3254.0,3542.0,2992.0,2866.0,3329.0,2540.0,3205.0,3840.0,0.74,9.73,2.63,0.02,0.0,-0.03,1.0,i
3247.0,3515.0,2998.0,2864.0,3338.0,2557.0,3195.0,3871.0,0.4,9.78,2.38,-0.04,-0.01,-0.03,1.0,i
3248.0,3519.0,2987.0,2865.0,3331.0,2549.0,3197.0,3840.0,0.8,9.81,2.62,0.01,0.0,-0.02,1.0,i
3253.0,3519.0,2989.0,2866.0,3341.0,2554.0,3201.0,3943.0,0.72,9.79,2.52,-0.03,-0.02,-0.02,1.0,i
3248.0,3504.0,2992.0,2864.0,3325.0,2558.0,3200.0,3728.0,0.72,9.8,2.53,-0.05,0.05,-0.0,1.0,i
3249.0,3510.0,2992.0,2867.0,3329.0,2543.0,3200.0,3786.0,0.8,9.86,2.43,-0.09,0.02,-0.01,1.0,i
3255.0,3524.0,2991.0,2877.0,3327.0,2559.0,3200.0,3541.0,0.64,9.76,2.52,-0.09,-0.01,-0.04,1.0,i
3253.0,3514.0,2991.0,2879.0,3335.0,2555.0,3193.0,3719.0,0.56,9.77,2.69,-0.01,0.01,-0.01,1.0,i
3247.0,3488.0,2992.0,2880.0,3343.0,2558.0,3203.0,3697.0,0.89,9.82,2.48,-0.05,0.03,-0.01,1.0,i
3247.0,3523.0,2993.0,2875.0,3333.0,2559.0,3200.0,3742.0,0.67,9.81,2.38,-0.04,0.05,-0.01,1.0,i
3253.0,3520.0,2991.0,2885.0,3329.0,2559.0,3210.0,3810.0,0.85,9.75,2.68,-0.08,-0.03,-0.03,1.0,i
3253.0,3549.0,3000.0,2880.0,3334.0,2559.0,3206.0,3808.0,0.75,9.82,2.47,-0.05,-0.01,-0.04,1.0,i
3249.0,3525.0,2991.0,2879.0,3325.0,2559.0,3195.0,3856.0,0.81,9.79,2.57,-0.03,-0.01,-0.05,1.0,i
3263.0,3505.0,2991.0,2875.0,3342.0,2559.0,3200.0,2950.0,0.76,9.77,2.51,-0.05,0.04,-0.03,1.0,i
3260.0,3514.0,2992.0,2883.0,3353.0,2559.0,3202.0,2963.0,0.76,9.77,2.59,-0.07,0.02,-0.02,1.0,i
3247.0,3533.0,2989.0,2881.0,3344.0,2559.0,3206.0,3038.0,0.78,9.87,2.45,-0.03,0.01,-0.04,1.0,i
3248.0,3515.0,2990.0,2886.0,3353.0,2559.0,3206.0,3024.0,0.76,9.79,2.7,-0.09,-0.02,-0.03,1.0,i
3253.0,3567.0,2997.0,2889.0,3358.0,2559.0,3211.0,3029.0,0.73,9.76,2.49,-0.06,0.02,-0.02,1.0,i
