hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1650.0,3833.0,2945.0,3568.0,2838.0,2523.0,2741.0,4095.0,-3.57,8.92,6.63,-0.18,0.23,-0.13,0.0,i
1665.0,3847.0,2946.0,3568.0,2837.0,2523.0,2739.0,4095.0,-2.18,9.26,6.79,-0.01,0.04,-0.23,0.0,i
1649.0,3834.0,2949.0,3567.0,2839.0,2526.0,2741.0,4095.0,-3.8,8.6,6.79,0.01,-0.1,-0.42,0.0,i
1649.0,3843.0,2949.0,3570.0,2836.0,2523.0,2743.0,4095.0,-4.19,8.48,7.16,0.02,-0.07,-0.36,0.0,i
1653.0,3825.0,2945.0,3575.0,2838.0,2527.0,2748.0,4095.0,-4.0,8.46,7.03,-0.17,0.11,-0.39,0.0,i
1653.0,3846.0,2955.0,3578.0,2837.0,2532.0,2746.0,4095.0,-4.09,8.34,7.11,-0.07,-0.1,-0.45,0.0,i
1657.0,3831.0,2944.0,3583.0,2841.0,2528.0,2748.0,4095.0,-5.03,7.99,7.45,0.01,-0.18,-0.33,0.0,i
1669.0,3837.0,2944.0,3582.0,2842.0,2531.0,2748.0,4095.0,-4.69,8.01,7.42,0.1,-0.13,0.02,0.0,i
1653.0,3860.0,2939.0,3583.0,2843.0,2528.0,2738.0,4095.0,-4.26,8.34,7.48,0.08,0.04,-0.02,0.0,i
1664.0,3827.0,2948.0,3568.0,2835.0,2524.0,2741.0,4095.0,-4.07,8.5,7.2,0.03,0.15,0.08,0.0,i
1664.0,3841.0,2944.0,3568.0,2838.0,2525.0,2743.0,4095.0,-3.94,8.62,7.05,-0.01,0.22,-0.09,0.0,i
1652.0,3853.0,2947.0,3556.0,2839.0,2529.0,2746.0,4095.0,-3.92,8.52,6.97,0.02,-0.05,-0.15,0.0,i
1648.0,3843.0,2949.0,3569.0,2843.0,2531.0,2747.0,4095.0,-4.35,8.26,7.58,0.01,0.01,-0.14,0.0,i
1657.0,3850.0,2947.0,3565.0,2834.0,2527.0,2741.0,4095.0,-4.06,8.53,7.22,0.02,0.14,-0.03,0.0,i
1647.0,3853.0,2938.0,3569.0,2839.0,2528.0,2745.0,4095.0,-3.71,8.76,6.94,0.07,0.15,-0.06,0.0,i
1650.0,3846.0,2943.0,3556.0,2842.0,2531.0,2742.0,4095.0,-3.54,8.71,6.69,-0.03,-0.01,-0.2,0.0,i
1649.0,3842.0,2937.0,3568.0,2847.0,2530.0,2741.0,4095.0,-4.13,8.51,7.2,-0.11,-0.12,-0.27,0.0,i
1665.0,3851.0,2947.0,3562.0,2843.0,2527.0,2738.0,4095.0,-3.88,8.18,7.67,-0.2,-0.13,-0.25,0.0,i
1652.0,3845.0,2929.0,3561.0,2842.0,2522.0,2735.0,4095.0,-3.82,8.27,7.65,-0.11,-0.04,-0.18,0.0,i
1673.0,3850.0,2951.0,3571.0,2845.0,2528.0,2736.0,4095.0,-3.68,8.33,7.72,-0.13,-0.16,-0.25,0.0,i
1659.0,3831.0,2942.0,3568.0,2843.0,2527.0,2727.0,4095.0,-4.62,7.56,8.07,-0.23,-0.01,-0.02,0.0,i
1670.0,3850.0,2944.0,3562.0,2834.0,2523.0,2720.0,4095.0,-3.85,8.0,8.26,0.11,-0.07,-0.01,0.0,i
1676.0,3852.0,2939.0,3567.0,2838.0,2530.0,2731.0,4095.0,-4.11,8.1,8.18,0.12,0.04,-0.05,0.0,i
1664.0,3858.0,2941.0,3573.0,2841.0,2530.0,2734.0,4095.0,-4.13,8.36,7.49,0.2,0.35,0.09,0.0,i
1675.0,3839.0,2946.0,3571.0,2837.0,2528.0,2736.0,4095.0,-3.34,8.49,7.76,0.29,0.23,0.03,0.0,i
1674.0,3851.0,2934.0,3568.0,2838.0,2533.0,2737.0,4095.0,-3.37,8.66,6.92,0.38,0.1,0.09,0.0,i
1666.0,3856.0,2946.0,3582.0,2841.0,2534.0,2741.0,4095.0,-3.26,8.89,6.61,0.26,0.07,-0.05,0.0,i
1659.0,3824.0,2943.0,3570.0,2838.0,2533.0,2738.0,4095.0,-3.34,8.95,6.44,0.1,0.0,-0.13,0.0,i
1673.0,3857.0,2943.0,3579.0,2839.0,2528.0,2748.0,4095.0,-2.82,9.16,6.19,0.0,-0.13,-0.21,0.0,i
1665.0,3827.0,2944.0,3571.0,2838.0,2531.0,2743.0,4095.0,-3.0,9.01,6.48,0.06,-0.16,-0.44,0.0,i
1669.0,3830.0,2950.0,3571.0,2838.0,2531.0,2743.0,4095.0,-3.83,8.74,6.4,-0.03,-0.18,-0.34,0.0,i
1679.0,3857.0,2946.0,3579.0,2841.0,2531.0,2751.0,4095.0,-3.51,8.77,6.33,-0.07,-0.18,-0.24,0.0,i
1677.0,3843.0,2947.0,3575.0,2843.0,2534.0,2754.0,4095.0,-4.13,8.36,7.86,-0.1,-0.09,-0.31,0.0,i
1680.0,3846.0,2943.0,3583.0,2845.0,2532.0,2757.0,4095.0,-3.7,8.81,6.12,-0.02,-0.15,-0.25,0.0,i
1678.0,3837.0,2950.0,3583.0,2848.0,2532.0,2755.0,4095.0,-4.08,8.39,7.19,-0.19,-0.17,-0.14,0.0,i
1670.0,3831.0,2935.0,3581.0,2845.0,2541.0,2755.0,4095.0,-4.14,8.56,7.44,-0.09,-0.12,-0.09,0.0,i
1665.0,3840.0,2940.0,3568.0,2845.0,2538.0,2755.0,4095.0,-3.89,8.35,7.49,-0.12,-0.12,-0.09,0.0,i
1670.0,3841.0,2940.0,3574.0,2845.0,2537.0,2750.0,4095.0,-3.72,8.14,8.09,-0.13,-0.06,-0.08,0.0,i
1680.0,3844.0,2941.0,3583.0,2845.0,2534.0,2753.0,4095.0,-3.62,8.25,8.01,-0.14,-0.09,-0.09,0.0,i
1678.0,3839.0,2948.0,3582.0,2850.0,2534.0,2747.0,4095.0,-3.23,8.65,8.14,0.01,-0.14,-0.06,0.0,i
1677.0,3855.0,2942.0,3582.0,2849.0,2537.0,2743.0,4095.0,-3.41,8.35,8.55,0.03,-0.02,-0.19,0.0,i
