hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,3643.0,2928.0,3330.0,3071.0,2791.0,2995.0,4095.0,-2.6,8.89,1.76,-0.11,0.03,-0.07,0.0,j
4095.0,3632.0,2917.0,3270.0,3071.0,2773.0,2989.0,4095.0,-1.86,7.59,0.81,-0.42,0.1,0.1,0.0,j
4095.0,3644.0,2934.0,3243.0,3090.0,2783.0,2985.0,4095.0,-0.51,8.18,2.58,-1.84,-3.17,-0.8,0.0,j
4095.0,3630.0,2928.0,3223.0,3071.0,2767.0,2954.0,4095.0,-2.37,7.69,6.08,-2.69,-2.18,-1.01,0.0,j
4095.0,3650.0,2930.0,3238.0,3085.0,2785.0,2970.0,4095.0,-3.19,6.73,10.39,-2.54,-2.03,-1.01,0.0,j
4095.0,3658.0,2930.0,3232.0,3095.0,2791.0,2973.0,4095.0,-1.9,5.4,13.68,-2.05,-2.32,-0.7,0.0,j
4095.0,3680.0,2928.0,3223.0,3093.0,2778.0,2956.0,4095.0,1.76,4.18,13.98,-1.69,-3.37,-1.06,0.0,j
4095.0,3676.0,2941.0,3201.0,3107.0,2783.0,2961.0,4095.0,4.45,3.0,14.67,-1.32,-3.95,-1.8,0.0,j
4095.0,3664.0,2932.0,3152.0,3105.0,2800.0,2975.0,4095.0,9.19,3.25,12.3,-0.92,-4.88,-2.45,0.0,j
4095.0,3684.0,2933.0,3249.0,3108.0,2818.0,2995.0,4095.0,8.86,4.36,10.71,-0.35,-4.67,-2.42,0.0,j
4095.0,3684.0,2927.0,3220.0,3119.0,2815.0,2994.0,4095.0,9.85,6.09,6.66,0.18,-1.77,-1.95,0.0,j
4095.0,3703.0,2937.0,3250.0,3142.0,2834.0,3023.0,4095.0,8.24,6.54,4.81,0.11,-0.52,-2.17,0.0,j
4095.0,3705.0,2922.0,3216.0,3135.0,2832.0,3022.0,4095.0,5.62,7.5,4.56,0.09,-0.68,-2.22,0.0,j
4095.0,3713.0,2926.0,3243.0,3141.0,2849.0,3046.0,4095.0,3.84,8.12,4.67,-0.19,-0.57,-1.97,0.0,j
4095.0,3693.0,2921.0,3243.0,3142.0,2855.0,3051.0,4095.0,2.15,8.18,4.86,-0.28,-0.2,-1.07,0.0,j
4095.0,3703.0,2943.0,3255.0,3152.0,2850.0,3053.0,4095.0,1.6,9.01,4.89,-0.01,-0.07,-0.55,0.0,j
4095.0,3716.0,2915.0,3258.0,3150.0,2850.0,3049.0,4095.0,1.71,9.18,4.91,0.02,0.16,-0.19,0.0,j
4095.0,3702.0,2928.0,3264.0,3146.0,2856.0,3056.0,4095.0,1.92,9.57,4.74,0.04,0.1,0.01,0.0,j
4095.0,3728.0,2928.0,3273.0,3153.0,2862.0,3062.0,4095.0,2.01,10.04,4.45,0.07,0.02,-0.08,0.0,j
4095.0,3685.0,2924.0,3274.0,3149.0,2858.0,3059.0,4095.0,1.91,9.82,4.46,0.03,-0.02,-0.15,0.0,j
4095.0,3664.0,2926.0,3433.0,3170.0,2856.0,3099.0,4095.0,-4.25,7.93,4.4,-0.96,-0.47,0.06,0.0,j
4095.0,3661.0,2924.0,3262.0,3149.0,2822.0,3068.0,4095.0,-3.1,7.27,5.25,-2.3,-0.31,0.15,0.0,j
4095.0,3664.0,2928.0,3325.0,3158.0,2825.0,3065.0,4095.0,-3.57,5.75,8.78,-2.1,-0.64,-0.95,0.0,j
4095.0,3659.0,2922.0,3286.0,3145.0,2819.0,3063.0,4095.0,-4.4,4.17,12.84,-1.88,-2.05,-1.7,0.0,j
4095.0,3663.0,2929.0,3234.0,3153.0,2816.0,3063.0,4095.0,-2.73,2.0,15.87,-1.28,-2.58,-1.66,0.0,j
4095.0,3654.0,2923.0,3216.0,3148.0,2807.0,3055.0,4095.0,-0.92,1.72,15.22,-0.78,-2.69,-1.47,0.0,j
4095.0,3664.0,2932.0,3157.0,3126.0,2801.0,3051.0,4095.0,2.19,1.64,14.11,-0.14,-1.96,-1.39,0.0,j
4095.0,3647.0,2930.0,3090.0,3133.0,2805.0,3053.0,4095.0,4.05,1.21,13.63,-0.17,-1.51,-2.22,0.0,j
