hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1946.0,2932.0,2789.0,2726.0,2984.0,3174.0,2783.0,4095.0,4.63,8.89,-1.47,-0.12,-0.03,0.11,j
1941.0,2932.0,2797.0,2730.0,2983.0,3175.0,2781.0,4095.0,4.62,8.63,-1.78,-0.02,0.07,-0.01,j
1949.0,2928.0,2799.0,2727.0,2981.0,3172.0,2779.0,4095.0,4.92,8.37,-2.21,-0.02,-0.07,0.07,j
1937.0,2928.0,2799.0,2731.0,2980.0,3174.0,2777.0,4095.0,5.08,8.54,-2.1,-0.04,0.01,-0.09,j
1939.0,2937.0,2799.0,2719.0,2978.0,3182.0,2789.0,4095.0,5.41,8.39,-2.25,-0.03,-0.27,-0.27,j
1949.0,2954.0,2800.0,2667.0,2970.0,3187.0,2805.0,4095.0,7.26,8.41,-3.63,0.42,-0.18,-3.1,j
1946.0,2934.0,1834.0,2559.0,2864.0,2622.0,2797.0,4095.0,7.25,7.37,-6.82,-0.51,3.44,-8.73,j
2018.0,2985.0,1809.0,2559.0,2832.0,1719.0,2811.0,4095.0,-3.94,0.13,-3.15,-1.64,4.93,-6.5,j
1927.0,2916.0,4095.0,2510.0,2747.0,3095.0,2688.0,4032.0,-6.39,5.7,-9.79,-1.34,5.63,-6.06,j
2342.0,3147.0,4095.0,2753.0,2959.0,3343.0,2960.0,4095.0,-3.41,0.22,-6.28,-2.74,5.8,-7.2,j
2306.0,2995.0,4095.0,2678.0,2931.0,3065.0,2672.0,4095.0,-11.28,-1.17,-13.09,-3.45,8.73,-6.67,j
2272.0,2838.0,2459.0,2646.0,2955.0,3053.0,2624.0,4061.0,-16.95,0.62,-12.84,-3.58,6.23,0.53,j
2241.0,2718.0,1921.0,2703.0,2999.0,2943.0,2449.0,3979.0,-7.47,5.29,-10.23,-4.15,3.26,3.69,j
2037.0,2989.0,2225.0,2629.0,2895.0,3178.0,2712.0,4095.0,-0.72,4.27,-5.77,-2.43,0.28,2.06,j
2013.0,2775.0,1958.0,2607.0,2868.0,3007.0,2559.0,3985.0,0.65,5.21,-5.52,-1.47,-2.3,1.18,j
1997.0,2816.0,2037.0,2636.0,2881.0,3141.0,2700.0,4095.0,4.56,8.53,-4.57,-0.75,-2.66,0.54,j
1978.0,2787.0,1995.0,2636.0,2911.0,3024.0,2605.0,4066.0,-1.76,7.47,-5.8,-0.74,-1.5,0.53,j
1962.0,2633.0,1789.0,2657.0,2903.0,2878.0,2438.0,3818.0,2.91,8.3,-4.88,0.09,-2.92,1.76,j
1995.0,2738.0,1901.0,2799.0,2959.0,2990.0,2544.0,3853.0,-3.09,6.81,-5.69,1.31,-2.66,1.64,j
1931.0,2993.0,2167.0,2635.0,2925.0,3200.0,2763.0,3899.0,2.66,8.01,-6.09,-0.06,-4.28,3.04,j
1914.0,2838.0,2027.0,2627.0,2879.0,3067.0,2673.0,3695.0,-0.41,7.44,-5.68,-0.21,-5.42,3.19,j
1878.0,2748.0,1909.0,2606.0,2834.0,2981.0,2559.0,3664.0,-0.48,10.18,-6.92,-0.65,-3.99,3.37,j
1887.0,2738.0,1886.0,2625.0,2833.0,2970.0,3008.0,3739.0,-0.62,7.1,-5.78,-2.28,-4.93,6.31,j
1917.0,2759.0,1881.0,2672.0,2858.0,2987.0,3056.0,3815.0,5.08,8.35,-5.31,-2.08,-4.28,5.06,j
1914.0,2667.0,1837.0,2638.0,2793.0,2931.0,3210.0,3680.0,6.49,8.75,-3.9,-0.95,-2.19,3.29,j
1895.0,2717.0,1808.0,2685.0,2825.0,2897.0,2490.0,3607.0,6.54,8.29,-3.83,-0.61,-1.42,1.65,j
1924.0,2742.0,1882.0,2609.0,2754.0,2938.0,2538.0,3636.0,5.53,7.65,-2.92,-0.1,-1.43,1.18,j
1943.0,2772.0,1905.0,2634.0,2796.0,2999.0,2605.0,3739.0,5.44,7.65,-4.7,-0.84,0.72,0.2,j
1986.0,2832.0,1943.0,2638.0,2817.0,3047.0,2646.0,3856.0,5.22,5.07,-2.0,-0.51,-0.04,0.65,j
2025.0,2818.0,1919.0,2630.0,2819.0,3039.0,2640.0,3890.0,5.56,7.34,-2.84,-0.66,0.43,-0.25,j
2117.0,2884.0,1855.0,2704.0,2896.0,3117.0,2702.0,4081.0,5.98,7.41,-2.18,0.09,-0.66,0.16,j
2032.0,2754.0,1598.0,2595.0,2771.0,2947.0,2559.0,3783.0,5.34,7.74,-3.05,-0.39,0.17,-0.27,j
2031.0,2751.0,1603.0,2587.0,2769.0,2955.0,2581.0,3805.0,6.37,7.46,-2.84,-0.2,-0.31,-0.22,j
2061.0,2773.0,1591.0,2583.0,2796.0,2989.0,2607.0,3862.0,6.26,7.09,-3.41,-0.36,-0.06,-1.05,j
2062.0,2799.0,1616.0,2559.0,2822.0,3011.0,2624.0,3838.0,9.18,6.03,-3.37,0.11,0.01,-3.41,j
2081.0,2815.0,1747.0,2559.0,2837.0,3029.0,2627.0,3718.0,3.19,5.46,-3.16,-0.22,2.09,-8.1,j
2100.0,2809.0,2006.0,2496.0,2762.0,3009.0,2979.0,3617.0,-1.76,3.45,-5.99,-1.27,5.79,-8.73,j
2188.0,2861.0,2559.0,2559.0,2737.0,3056.0,2759.0,3793.0,-6.44,2.7,-3.47,-0.96,5.93,-8.73,j
2249.0,3033.0,2855.0,2667.0,2761.0,3249.0,2960.0,4011.0,-11.5,1.61,-13.07,-0.3,5.71,-8.73,j
2256.0,2978.0,2654.0,2753.0,2811.0,3239.0,2845.0,4095.0,-16.23,0.78,-9.51,0.04,2.14,-1.33,j
2190.0,2722.0,1877.0,2677.0,2751.0,2935.0,2591.0,3711.0,-4.28,5.82,-9.01,-1.03,1.76,0.23,j
2182.0,2813.0,2514.0,2556.0,2821.0,3104.0,2769.0,3791.0,-9.17,0.79,-9.24,-1.09,4.05,-0.14,j
2318.0,2714.0,2384.0,2546.0,2978.0,2966.0,2527.0,3846.0,-2.28,4.26,-10.95,-1.74,2.8,0.43,j
2154.0,2651.0,2335.0,2458.0,2832.0,2910.0,2610.0,3869.0,-5.19,-2.22,-9.25,-1.76,3.84,0.04,j
2161.0,2935.0,2613.0,2503.0,2877.0,3164.0,2780.0,4032.0,1.15,4.94,-9.04,-1.27,2.19,0.02,j
2169.0,2953.0,2601.0,2544.0,2914.0,3205.0,2811.0,4077.0,-3.56,0.98,-6.77,-1.67,1.47,0.31,j
2128.0,2883.0,2504.0,2496.0,2852.0,3119.0,2721.0,3920.0,2.83,4.37,-5.89,-0.82,0.34,0.35,j
2129.0,3020.0,2621.0,2529.0,2865.0,3248.0,2864.0,4095.0,-1.76,4.9,-7.34,0.05,-1.03,1.11,j
2133.0,2759.0,2252.0,2517.0,2829.0,2970.0,2581.0,3729.0,-4.72,3.92,-10.17,-0.66,-3.98,4.09,j
2182.0,2863.0,2279.0,2599.0,2845.0,3056.0,2675.0,3825.0,2.2,5.02,-9.53,-2.09,-5.13,6.12,j
2224.0,2938.0,2394.0,2675.0,2881.0,3125.0,2739.0,3855.0,1.67,5.19,-7.75,-1.37,-4.66,4.54,j
2160.0,2923.0,2301.0,2735.0,2877.0,3167.0,3065.0,4040.0,5.36,5.51,-9.98,-1.43,-5.68,7.61,j
2039.0,2896.0,2247.0,2598.0,2778.0,3094.0,2705.0,3866.0,5.49,4.7,-9.42,-2.45,-3.44,4.95,j
2097.0,2650.0,1914.0,2631.0,2820.0,2890.0,2480.0,3645.0,4.96,5.84,-8.25,-2.0,-2.52,3.96,j
2097.0,2666.0,1901.0,2617.0,2810.0,2909.0,2477.0,3630.0,4.34,5.06,-7.54,-3.18,-1.26,3.26,j
2075.0,2885.0,2206.0,2559.0,2778.0,3104.0,2714.0,3854.0,4.98,4.08,-2.29,-1.99,-1.16,3.4,j
2069.0,2917.0,2239.0,2587.0,2803.0,3143.0,2752.0,3911.0,7.44,8.85,-2.21,-1.67,0.16,0.41,j
2087.0,2816.0,2097.0,2601.0,2818.0,3039.0,2654.0,3869.0,3.7,9.21,-2.98,-0.34,0.69,-0.12,j
2085.0,2797.0,2063.0,2559.0,2832.0,3024.0,2624.0,3856.0,5.29,8.85,-3.75,-0.02,0.74,-0.64,j
2064.0,2832.0,2128.0,2559.0,2806.0,3060.0,2672.0,3897.0,2.71,9.58,-3.83,0.63,0.88,-0.9,j
2096.0,2835.0,2111.0,2587.0,2828.0,3067.0,2674.0,3952.0,4.36,6.81,-3.27,0.67,0.43,-0.51,j
2071.0,2807.0,2094.0,2528.0,2800.0,3037.0,2654.0,3857.0,4.2,4.58,-4.62,0.78,0.6,-1.32,j
2159.0,2896.0,2127.0,2608.0,2915.0,3135.0,2733.0,4021.0,3.81,5.84,-4.7,0.17,1.08,-1.64,j
2071.0,2955.0,2256.0,2507.0,2822.0,3303.0,2874.0,3920.0,7.96,5.48,0.69,1.49,2.08,-5.5,j
