hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3614.0,921.0,2914.0,3063.0,2351.0,2288.0,2541.0,4095.0,-2.36,9.46,5.3,0.03,0.05,-0.22,0.0,j
3607.0,923.0,2909.0,3071.0,2352.0,2295.0,2541.0,4095.0,-2.21,9.23,4.66,-0.21,0.59,-0.21,0.0,j
3632.0,933.0,2911.0,3085.0,2355.0,2269.0,2512.0,4095.0,-4.51,7.62,2.15,-1.22,0.56,0.45,0.0,j
3650.0,944.0,2925.0,3069.0,2303.0,2239.0,2481.0,4095.0,-4.1,0.74,1.33,-6.38,0.16,4.09,0.0,j
3641.0,941.0,2922.0,2974.0,2287.0,2235.0,2448.0,3983.0,23.31,-9.15,5.6,-8.73,-8.73,-1.24,0.0,j
3665.0,930.0,2940.0,2961.0,2320.0,2246.0,2433.0,4095.0,20.26,5.03,-1.09,-1.64,-2.49,-4.28,0.0,j
3661.0,942.0,2921.0,3027.0,2379.0,2291.0,2445.0,3877.0,3.21,6.16,1.8,-1.47,-0.01,-2.78,0.0,j
3674.0,944.0,2927.0,3086.0,2278.0,2307.0,2451.0,4095.0,2.12,6.66,3.46,-0.49,0.05,-0.81,0.0,j
3674.0,943.0,2924.0,3099.0,2309.0,2315.0,2483.0,4095.0,4.38,7.82,2.04,0.3,-0.21,0.02,0.0,j
3647.0,954.0,2930.0,3111.0,2320.0,2311.0,2496.0,4095.0,5.1,8.48,0.37,0.33,-0.08,-0.12,0.0,j
3661.0,955.0,2912.0,3127.0,2336.0,2299.0,2497.0,4095.0,4.77,8.37,0.27,-0.02,0.03,-0.17,0.0,j
3665.0,944.0,2918.0,3133.0,2341.0,2313.0,2501.0,4095.0,4.45,8.2,0.9,-0.02,0.05,-0.19,0.0,j
3648.0,944.0,2923.0,3141.0,2351.0,2305.0,2505.0,4095.0,4.55,8.26,0.75,0.03,0.03,-0.16,0.0,j
3666.0,945.0,2914.0,3141.0,2358.0,2312.0,2512.0,4095.0,4.48,8.19,0.87,0.03,0.03,-0.13,0.0,j
3664.0,951.0,2928.0,3139.0,2362.0,2311.0,2514.0,4095.0,4.69,8.23,0.69,0.04,0.01,-0.15,0.0,j
3665.0,944.0,2924.0,3133.0,2357.0,2338.0,2521.0,4095.0,4.63,8.24,0.84,-0.08,0.02,-0.14,0.0,j
3664.0,943.0,2919.0,3153.0,2339.0,2305.0,2514.0,4095.0,4.52,8.29,0.9,0.05,-0.0,-0.15,0.0,j
3669.0,954.0,2928.0,3147.0,2352.0,2304.0,2519.0,4095.0,4.68,8.27,0.77,0.03,-0.06,-0.16,0.0,j
3666.0,957.0,2918.0,3155.0,2354.0,2291.0,2521.0,4095.0,4.63,8.39,0.77,-0.05,-0.03,-0.16,0.0,j
3665.0,950.0,2927.0,3157.0,2359.0,2288.0,2527.0,4095.0,5.4,8.78,0.78,-0.05,0.25,-0.24,0.0,j
3664.0,942.0,2910.0,3248.0,2441.0,2301.0,2588.0,4095.0,-3.61,9.1,5.81,0.03,-0.02,-0.2,0.0,j
3688.0,941.0,2923.0,3259.0,2446.0,2298.0,2587.0,4095.0,-4.07,8.81,5.23,-0.02,0.04,-0.18,0.0,j
3664.0,952.0,2930.0,3258.0,2435.0,2299.0,2587.0,4095.0,-5.03,7.4,1.29,-0.9,-0.54,0.49,0.0,j
