hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3851.0,1755.0,2937.0,3711.0,3088.0,2602.0,2929.0,4095.0,-4.52,8.71,5.91,0.12,0.13,-0.36,0.0,j
3839.0,1763.0,2931.0,3711.0,3091.0,2597.0,2930.0,4095.0,-5.7,6.86,5.79,-0.14,-0.2,-0.21,0.0,j
3856.0,1739.0,2929.0,3668.0,3057.0,2593.0,2930.0,4095.0,-5.84,7.07,3.5,-1.32,-0.65,1.31,0.0,j
3842.0,1776.0,2928.0,3618.0,2993.0,2587.0,2926.0,4095.0,-2.35,6.51,7.12,-2.77,-3.16,0.45,0.0,j
3797.0,1742.0,2926.0,3600.0,2941.0,2559.0,2901.0,4095.0,-2.73,6.04,8.03,-2.89,-3.31,1.03,0.0,j
3795.0,1721.0,2930.0,3579.0,2935.0,2591.0,2901.0,4095.0,4.84,-1.57,11.16,-3.47,-4.69,-0.33,0.0,j
3791.0,1773.0,2950.0,3484.0,2909.0,2596.0,2928.0,4089.0,5.88,0.53,11.45,-0.9,-4.86,0.05,0.0,j
3776.0,1759.0,2941.0,3535.0,2963.0,2620.0,2935.0,4066.0,12.54,-0.4,6.7,-1.02,-3.66,-0.19,0.0,j
3755.0,1727.0,2934.0,3543.0,2945.0,2622.0,2928.0,3962.0,15.67,2.41,1.65,-1.06,-3.05,-1.46,0.0,j
3771.0,1671.0,2945.0,3599.0,2985.0,2640.0,2931.0,4095.0,9.93,3.19,2.88,-0.79,-1.24,-2.7,0.0,j
3755.0,1634.0,2938.0,3596.0,2997.0,2653.0,2928.0,4095.0,9.39,4.62,2.27,-0.68,-0.53,-3.52,0.0,j
3760.0,1523.0,2935.0,3625.0,3006.0,2657.0,2919.0,4095.0,6.07,6.68,1.59,-1.0,-1.17,-3.23,0.0,j
3755.0,1521.0,2955.0,3680.0,2978.0,2656.0,2901.0,4095.0,2.15,7.41,3.94,-0.78,-0.21,-1.66,0.0,j
3751.0,1502.0,2945.0,3696.0,2922.0,2651.0,2922.0,4095.0,2.2,7.35,3.43,0.0,-0.01,-0.36,0.0,j
3760.0,1481.0,2947.0,3702.0,2946.0,2647.0,2932.0,4095.0,3.05,8.74,2.46,0.51,0.37,0.08,0.0,j
3734.0,1474.0,2939.0,3684.0,2946.0,2637.0,2910.0,4095.0,2.32,9.97,0.73,0.34,0.34,0.13,0.0,j
3760.0,1478.0,2943.0,3677.0,2960.0,2642.0,2910.0,4095.0,2.94,10.25,0.97,-0.03,0.36,-0.29,0.0,j
3757.0,1471.0,2946.0,3674.0,2945.0,2619.0,2892.0,4095.0,2.09,9.12,1.39,-0.43,0.31,-0.29,0.0,j
3741.0,1462.0,2939.0,3704.0,2942.0,2614.0,2869.0,4095.0,1.25,8.01,3.28,0.02,-0.01,0.35,0.0,j
3745.0,1458.0,2935.0,3667.0,2957.0,2614.0,2891.0,4095.0,3.0,8.43,2.38,0.48,0.25,0.69,0.0,j
1873.0,1583.0,2927.0,3248.0,2735.0,2540.0,2865.0,4095.0,-3.26,9.01,5.92,0.05,0.02,-0.12,0.0,j
1873.0,1575.0,2928.0,3248.0,2736.0,2541.0,2870.0,4095.0,-4.87,9.2,7.21,-0.04,0.6,-0.09,0.0,j
1869.0,1562.0,2929.0,3269.0,2736.0,2525.0,2864.0,4095.0,-4.14,7.15,4.41,-0.47,-0.26,0.32,0.0,j
1889.0,1584.0,2939.0,3284.0,2743.0,2537.0,2866.0,4095.0,-3.52,6.41,4.61,-2.16,-0.65,2.45,0.0,j
1907.0,1552.0,2930.0,3262.0,2677.0,2556.0,2871.0,4095.0,-0.56,7.43,8.25,-2.5,-0.67,2.3,0.0,j
1936.0,1554.0,2945.0,3207.0,2628.0,2559.0,2867.0,4095.0,3.62,6.41,11.12,-2.9,-3.06,1.78,0.0,j
1951.0,1576.0,2941.0,3210.0,2678.0,2605.0,2885.0,4095.0,7.35,4.94,9.91,-2.84,-4.06,0.71,0.0,j
1949.0,1632.0,2944.0,3221.0,2707.0,2629.0,2928.0,4095.0,11.71,2.09,8.25,-2.48,-2.58,0.48,0.0,j
1961.0,1666.0,2942.0,3263.0,2709.0,2638.0,2946.0,4095.0,12.92,2.11,5.68,-2.65,-3.97,-0.67,0.0,j
1954.0,1687.0,2938.0,3311.0,2695.0,2626.0,2959.0,4095.0,16.22,2.81,2.55,-2.1,-4.34,-1.87,0.0,j
1974.0,1706.0,2957.0,3361.0,2725.0,2665.0,2959.0,4095.0,8.96,3.58,1.9,-1.39,-1.09,-2.87,0.0,j
1947.0,1707.0,2954.0,3334.0,2729.0,2654.0,2949.0,4095.0,8.02,4.85,2.95,-0.73,0.33,-2.98,0.0,j
