hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3798.0,4095.0,2931.0,3902.0,3219.0,2610.0,3034.0,4095.0,-5.48,6.67,4.71,0.02,-0.06,0.42,0.0,j
3790.0,4095.0,2938.0,3752.0,3217.0,2609.0,3034.0,4095.0,-2.93,5.4,3.66,-1.17,-0.62,0.7,0.0,j
3763.0,4095.0,2923.0,3341.0,3162.0,2597.0,3001.0,4095.0,-2.19,4.32,7.51,-3.12,-2.54,1.85,0.0,j
3776.0,4095.0,2928.0,3194.0,3140.0,2608.0,2970.0,4095.0,7.59,4.95,10.8,-3.11,-4.16,1.22,0.0,j
3758.0,4095.0,2934.0,3363.0,3140.0,2625.0,2981.0,4095.0,8.46,4.98,12.27,-2.4,-5.38,-0.23,0.0,j
3783.0,4095.0,2928.0,3583.0,3134.0,2635.0,2979.0,4095.0,10.83,6.31,9.35,-2.45,-5.45,-3.43,0.0,j
3791.0,4095.0,2933.0,3616.0,3161.0,2643.0,2931.0,4095.0,14.99,9.45,1.3,-1.2,-5.14,-1.82,0.0,j
3785.0,4095.0,2928.0,3568.0,3216.0,2609.0,2942.0,4095.0,8.78,7.74,2.34,-1.33,-2.55,-2.05,0.0,j
3803.0,4095.0,2926.0,3445.0,3265.0,2594.0,2939.0,4095.0,3.41,6.35,2.58,-1.37,-2.32,-1.48,0.0,j
3794.0,4095.0,2932.0,3537.0,3280.0,2605.0,2939.0,4095.0,2.17,6.81,4.82,-0.92,-0.02,-0.43,0.0,j
3809.0,4095.0,2928.0,3583.0,3293.0,2608.0,2944.0,4095.0,2.32,8.46,4.02,0.12,0.18,-0.34,0.0,j
3782.0,4095.0,2918.0,3574.0,3286.0,2607.0,2937.0,4095.0,2.28,9.49,2.91,0.28,0.28,0.01,0.0,j
3813.0,4095.0,2931.0,3614.0,3300.0,2608.0,2944.0,4095.0,2.43,9.79,2.37,0.22,0.17,-0.08,0.0,j
3796.0,4095.0,2933.0,3627.0,3295.0,2593.0,2943.0,4095.0,3.88,9.72,2.38,-0.05,1.01,-0.07,0.0,j
3796.0,4095.0,2933.0,3673.0,3301.0,2559.0,2929.0,4095.0,2.92,9.44,3.8,-0.07,0.28,-0.09,0.0,j
3799.0,4095.0,2928.0,3693.0,3303.0,2559.0,2932.0,4095.0,2.74,9.5,3.49,-0.04,0.01,-0.15,0.0,j
3807.0,4095.0,2937.0,3687.0,3298.0,2559.0,2943.0,4095.0,2.66,9.45,3.45,0.05,-0.06,-0.11,0.0,j
3787.0,4095.0,2928.0,3707.0,3301.0,2581.0,2945.0,4095.0,2.87,9.54,3.18,0.07,0.0,-0.15,0.0,j
3801.0,4095.0,2928.0,3701.0,3296.0,2559.0,2943.0,4095.0,2.82,9.38,3.56,0.04,0.02,-0.1,0.0,j
3802.0,4095.0,2932.0,3712.0,3306.0,2559.0,2943.0,4095.0,2.88,9.59,3.3,0.1,0.04,-0.1,0.0,j
