hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2961.0,2276.0,2999.0,4095.0,4095.0,4095.0,3983.0,4095.0,5.77,7.96,2.88,0.08,-0.67,-0.12,1.0,j
2961.0,2276.0,2999.0,4095.0,4095.0,4095.0,3983.0,4095.0,5.77,7.96,2.88,0.08,-0.67,-0.12,1.0,j
2961.0,1698.0,2993.0,4095.0,4095.0,4095.0,4080.0,4095.0,4.32,6.58,-0.12,-1.0,0.16,-0.71,1.0,j
2949.0,1431.0,2983.0,4095.0,4095.0,4095.0,4080.0,4095.0,1.34,5.92,0.81,-3.63,2.98,-0.09,1.0,j
2950.0,1040.0,2973.0,4095.0,4095.0,4095.0,4018.0,4095.0,-5.4,0.72,4.71,-4.05,7.4,-0.09,1.0,j
2957.0,912.0,2976.0,4095.0,4095.0,4095.0,4050.0,4095.0,-11.72,1.77,8.15,-2.51,7.15,-0.18,1.0,j
2951.0,907.0,2971.0,4095.0,4095.0,4095.0,4080.0,4095.0,-18.41,2.24,-1.7,-2.81,8.73,0.38,1.0,j
2960.0,924.0,2979.0,4095.0,4095.0,4095.0,4079.0,4095.0,-11.16,1.54,-4.17,-2.07,3.6,0.64,1.0,j
2951.0,935.0,2973.0,4095.0,4095.0,4095.0,4095.0,4095.0,-7.5,2.47,-5.66,-1.68,1.0,0.6,1.0,j
2956.0,929.0,2979.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.68,3.81,-2.98,-1.15,0.1,0.18,1.0,j
2943.0,938.0,2973.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.54,5.36,-3.56,-0.23,-0.31,-0.14,1.0,j
2953.0,931.0,2986.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.68,5.6,-4.85,0.26,-0.13,-0.11,1.0,j
2947.0,931.0,2967.0,4095.0,4095.0,4095.0,4095.0,4095.0,-6.64,5.44,-4.77,0.27,-1.77,-0.22,1.0,j
