hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2967.0,2977.0,3024.0,4095.0,4095.0,4095.0,2901.0,2368.0,-2.3,9.88,5.9,0.09,-0.17,-0.25,k
2975.0,2985.0,3013.0,4095.0,4095.0,4095.0,2908.0,2373.0,-2.3,9.53,5.76,0.07,-0.14,-0.2,k
2971.0,2991.0,3009.0,4095.0,4095.0,4095.0,2903.0,2373.0,-2.17,9.55,5.58,0.02,-0.03,-0.12,k
2969.0,2994.0,3019.0,4095.0,4095.0,4095.0,2902.0,2370.0,-2.13,9.34,5.82,-0.02,0.18,-0.12,k
2967.0,2982.0,3019.0,4095.0,4095.0,4095.0,2905.0,2375.0,-2.1,9.39,5.46,0.05,-0.01,-0.22,k
2970.0,2981.0,3013.0,4095.0,4095.0,4095.0,2903.0,2377.0,-2.22,9.43,5.19,0.06,0.09,-0.27,k
2967.0,2981.0,3009.0,4095.0,4095.0,4095.0,2903.0,2377.0,-2.2,9.44,5.09,-0.01,0.05,-0.17,k
2963.0,2992.0,3023.0,4095.0,4095.0,4095.0,2909.0,2374.0,-2.08,9.57,5.08,-0.03,0.05,-0.12,k
2979.0,2985.0,3024.0,4095.0,4095.0,4095.0,2906.0,2384.0,-2.11,9.62,4.71,-0.17,0.03,-0.1,k
2960.0,2971.0,3019.0,4095.0,4095.0,4095.0,2897.0,2375.0,-2.09,9.85,5.04,-0.35,0.1,-0.02,k
2962.0,2991.0,3024.0,4080.0,4095.0,4095.0,2903.0,2384.0,-2.09,9.12,5.99,-0.29,0.2,0.01,k
2969.0,2992.0,3015.0,4087.0,4095.0,4095.0,2905.0,2387.0,-2.06,9.46,6.22,-0.13,-0.17,-0.15,k
2971.0,2986.0,3018.0,4039.0,4095.0,4095.0,2911.0,2389.0,-1.83,9.42,5.94,-0.09,-0.03,-0.11,k
2959.0,2984.0,3019.0,4036.0,4095.0,4095.0,2909.0,2378.0,-1.96,9.55,5.82,-0.12,0.0,-0.08,k
2961.0,2975.0,3011.0,3997.0,4095.0,4095.0,2915.0,2384.0,-1.88,9.35,6.12,-0.13,-0.15,-0.13,k
2958.0,2985.0,3024.0,4057.0,4095.0,4095.0,2915.0,2391.0,-1.94,9.39,6.33,-0.16,-0.04,-0.08,k
2965.0,2969.0,3024.0,4067.0,4095.0,4095.0,2914.0,2395.0,-1.72,9.43,6.36,-0.13,-0.11,-0.12,k
2947.0,2976.0,3015.0,4079.0,4095.0,4095.0,2916.0,2397.0,-1.82,9.9,6.51,-0.09,-0.0,-0.09,k
2957.0,2979.0,3024.0,4093.0,4095.0,4095.0,2917.0,2397.0,-1.8,9.91,6.48,0.02,-0.0,-0.13,k
2961.0,2982.0,3034.0,4095.0,4095.0,4095.0,2918.0,2394.0,-1.67,9.97,6.33,0.07,0.09,-0.1,k
2957.0,2985.0,3025.0,4095.0,4095.0,4095.0,2919.0,2403.0,-1.81,9.93,6.49,0.14,0.23,-0.05,k
2963.0,2981.0,3025.0,4095.0,4095.0,4095.0,2921.0,2405.0,-1.65,9.78,6.26,0.22,0.13,-0.06,k
2960.0,2978.0,3026.0,4095.0,4095.0,4095.0,2924.0,2407.0,-1.69,9.57,6.2,0.29,0.03,-0.18,k
2958.0,2982.0,3015.0,4095.0,4095.0,4095.0,2924.0,2410.0,-1.44,9.39,6.29,0.3,0.12,-0.24,k
2948.0,2979.0,3029.0,4095.0,4095.0,4095.0,2927.0,2411.0,-1.88,9.35,6.05,0.39,0.05,-0.31,k
