hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3031.0,3056.0,3152.0,3678.0,4095.0,4095.0,2706.0,2999.0,-1.12,8.75,-1.16,-0.13,-0.15,-0.06,k
3027.0,3037.0,3134.0,3571.0,4095.0,4095.0,2683.0,2975.0,-0.52,9.41,-1.35,-0.04,-0.13,0.0,k
3022.0,3083.0,3169.0,3370.0,4095.0,4095.0,2724.0,3007.0,0.84,10.02,-1.03,0.15,-0.42,-0.05,k
3021.0,3046.0,3136.0,3445.0,4095.0,4095.0,2697.0,2989.0,-0.09,9.85,-0.59,0.27,-0.29,-0.16,k
3031.0,3057.0,3143.0,3482.0,4095.0,4095.0,2694.0,2984.0,-0.64,10.12,-2.18,0.38,-0.23,-0.19,k
3021.0,3053.0,3142.0,3472.0,4095.0,4095.0,2700.0,2986.0,-1.21,8.83,-3.76,0.15,-0.05,-0.51,k
3032.0,3056.0,3152.0,3477.0,4095.0,4095.0,2704.0,2987.0,-2.55,7.42,-3.94,-0.43,0.29,-0.44,k
3071.0,2999.0,3093.0,3467.0,4095.0,4095.0,2649.0,2929.0,-2.14,8.9,-3.61,-0.46,0.57,0.01,k
3043.0,2992.0,3088.0,3451.0,4095.0,4095.0,2642.0,2919.0,-2.94,8.38,-3.29,-0.92,0.67,-0.38,k
3027.0,3002.0,3093.0,3484.0,4095.0,4095.0,2665.0,2937.0,-1.53,8.29,-1.73,-1.17,0.38,-0.13,k
3037.0,2975.0,3071.0,3521.0,4095.0,4095.0,2646.0,2927.0,-2.1,9.32,-0.32,-1.49,0.69,-0.16,k
3034.0,2995.0,3088.0,3531.0,4095.0,4095.0,2661.0,2944.0,0.28,10.48,2.16,-1.18,0.51,0.57,k
3034.0,2992.0,3088.0,3530.0,4095.0,4095.0,2661.0,2944.0,-1.8,10.81,1.77,-0.95,0.85,0.1,k
3041.0,3040.0,3133.0,3549.0,4095.0,4095.0,2710.0,2997.0,0.46,10.68,2.61,-0.66,0.64,0.07,k
3024.0,3093.0,3175.0,3565.0,4095.0,4095.0,2742.0,3034.0,-2.42,8.53,1.42,-0.78,0.83,0.2,k
3026.0,3059.0,3154.0,3583.0,4095.0,4095.0,2729.0,3024.0,0.05,9.87,1.74,-0.35,0.6,0.2,k
3025.0,3029.0,3127.0,3634.0,4095.0,4095.0,2695.0,2992.0,0.09,8.32,2.81,-0.42,0.3,0.24,k
3030.0,3029.0,3121.0,3673.0,4095.0,4095.0,2697.0,2996.0,0.81,9.52,1.77,-0.34,0.11,0.11,k
3025.0,3034.0,3129.0,3681.0,4095.0,4095.0,2699.0,2999.0,-0.78,7.97,1.24,-0.29,0.05,-0.11,k
3042.0,2966.0,3055.0,3686.0,4095.0,4095.0,2620.0,2923.0,-1.3,8.46,2.15,-0.83,-0.02,0.19,k
3056.0,2960.0,3051.0,3703.0,4095.0,4095.0,2621.0,2928.0,0.83,12.83,4.6,-0.11,-0.03,0.06,k
3045.0,3008.0,3103.0,3700.0,4095.0,4095.0,2672.0,2975.0,-0.9,10.05,4.79,0.37,0.2,-0.37,k
3039.0,3047.0,3150.0,3699.0,4095.0,4095.0,2709.0,3014.0,-1.0,9.36,3.13,0.67,-0.11,0.03,k
3038.0,2990.0,3086.0,3727.0,4095.0,4095.0,2649.0,2960.0,0.26,9.92,2.67,0.76,-0.33,0.02,k
3055.0,3003.0,3093.0,3766.0,4095.0,4095.0,2666.0,2967.0,0.84,9.51,2.17,1.07,-0.31,-0.07,k
3045.0,3041.0,3138.0,3771.0,4095.0,4095.0,2709.0,3001.0,0.48,9.52,1.41,1.2,-0.58,-0.07,k
3056.0,3056.0,3143.0,3777.0,4095.0,4095.0,2725.0,3001.0,-0.95,9.1,0.37,1.23,-0.56,-0.47,k
3056.0,3088.0,3175.0,3744.0,4095.0,4095.0,2768.0,3043.0,-2.13,8.79,-1.11,1.17,-0.91,0.08,k
3058.0,3043.0,3148.0,3673.0,4095.0,4095.0,2729.0,3009.0,-2.08,9.01,-3.51,1.07,-0.56,-0.34,k
3061.0,2986.0,3071.0,3624.0,4095.0,4095.0,2668.0,2944.0,-4.32,8.28,-3.07,0.42,-0.22,-0.1,k
3067.0,2970.0,3055.0,3519.0,4095.0,4095.0,2654.0,2942.0,-0.42,8.33,-1.65,0.15,-0.41,-0.13,k
3067.0,2960.0,3048.0,3498.0,4095.0,4095.0,2640.0,2931.0,-1.14,8.95,-1.88,0.15,-0.16,0.03,k
3081.0,2985.0,3071.0,3549.0,4095.0,4095.0,2653.0,2946.0,1.78,10.13,-0.44,0.12,-1.13,0.72,k
3102.0,2965.0,3071.0,3583.0,4095.0,4095.0,2638.0,2928.0,0.09,10.1,-0.94,0.47,-1.03,0.27,k
3110.0,2987.0,3071.0,3601.0,4095.0,4095.0,2639.0,2915.0,-1.86,10.0,-1.44,0.64,-1.04,1.03,k
3108.0,2973.0,3061.0,3605.0,4095.0,4095.0,2635.0,2898.0,-0.81,9.79,-1.95,0.74,-0.77,0.94,k
3104.0,2968.0,3061.0,3646.0,4095.0,4095.0,2631.0,2898.0,0.61,9.17,-1.97,1.26,-1.31,1.82,k
3093.0,2971.0,3061.0,3728.0,4095.0,4095.0,2636.0,2917.0,1.46,9.37,-4.09,1.58,-0.63,1.5,k
3085.0,2950.0,3041.0,3798.0,4095.0,4095.0,2617.0,2907.0,0.44,7.23,-5.36,0.68,-0.39,0.85,k
3085.0,2960.0,3056.0,3876.0,4095.0,4095.0,2637.0,2929.0,1.98,9.56,-5.82,0.55,-0.84,0.24,k
3082.0,2896.0,2982.0,3856.0,4095.0,4095.0,2768.0,2851.0,0.47,7.87,-5.48,-0.1,-0.61,-0.24,k
3071.0,2947.0,3039.0,3827.0,4095.0,4095.0,2822.0,2875.0,2.97,7.81,-5.15,-0.69,-1.08,-0.02,k
3090.0,2931.0,3024.0,3755.0,4095.0,4095.0,2790.0,2845.0,1.56,9.67,-5.32,-0.68,-0.53,-1.12,k
3091.0,2934.0,3024.0,3694.0,4095.0,4095.0,2594.0,2842.0,-1.66,8.22,-2.84,-0.69,-0.23,-1.36,k
3091.0,2939.0,3027.0,3671.0,4095.0,4095.0,2613.0,2857.0,-0.61,7.9,-3.06,0.04,-0.6,-0.99,k
3085.0,2928.0,3019.0,3583.0,4095.0,4095.0,2599.0,2853.0,2.74,8.47,-4.61,0.2,1.36,-3.28,k
3047.0,2911.0,3002.0,3467.0,4095.0,4095.0,2559.0,2835.0,-5.58,5.54,-6.04,-0.32,4.38,-4.64,k
3037.0,2995.0,3091.0,3447.0,4095.0,4095.0,2675.0,2944.0,-5.24,7.4,-6.18,-0.45,2.25,-2.36,k
3029.0,2949.0,3039.0,3479.0,4095.0,4095.0,2642.0,2917.0,-5.84,7.27,-6.72,-0.45,2.12,-1.08,k
3033.0,2864.0,2974.0,3471.0,4095.0,4095.0,2527.0,2841.0,-3.34,7.89,-6.66,-1.52,2.4,-0.15,k
3025.0,2865.0,2951.0,3502.0,4095.0,4095.0,2549.0,2831.0,-5.81,7.62,-5.43,-0.44,1.54,0.68,k
3042.0,3027.0,3143.0,3552.0,4095.0,4095.0,2702.0,2977.0,-1.01,7.56,-6.8,-1.48,-3.4,4.18,k
3071.0,3169.0,3255.0,3683.0,4095.0,4095.0,2807.0,3099.0,3.59,8.44,-4.0,-1.44,-3.26,2.69,k
