hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2898.0,2910.0,3110.0,4095.0,4095.0,4095.0,3216.0,2487.0,-0.05,9.84,2.49,0.01,0.01,-0.17,0.0,k
2901.0,2902.0,3111.0,4095.0,4095.0,4095.0,3218.0,2493.0,-0.17,9.76,2.53,0.02,-0.02,-0.16,0.0,k
2906.0,2913.0,3106.0,4095.0,4095.0,4095.0,3216.0,2491.0,0.05,9.8,2.43,0.01,0.01,-0.15,0.0,k
2898.0,2907.0,3119.0,4095.0,4095.0,4095.0,3218.0,2495.0,0.02,9.76,2.53,0.03,-0.01,-0.15,0.0,k
2905.0,2905.0,3104.0,4095.0,4095.0,4095.0,3212.0,2487.0,-0.06,9.8,2.48,0.03,-0.0,-0.16,0.0,k
2898.0,2906.0,3101.0,4095.0,4095.0,4095.0,3214.0,2496.0,-0.05,9.74,2.43,0.05,-0.03,-0.17,0.0,k
2906.0,2909.0,3093.0,4095.0,4095.0,4095.0,3210.0,2497.0,-0.15,9.78,2.37,0.09,-0.08,-0.12,0.0,k
2889.0,2914.0,3089.0,4095.0,4095.0,4095.0,3203.0,2500.0,0.0,9.8,2.38,0.08,-0.03,-0.18,0.0,k
2908.0,2906.0,3109.0,4095.0,4095.0,4095.0,3214.0,2502.0,0.1,9.78,2.28,0.0,0.06,-0.17,0.0,k
2889.0,2907.0,3102.0,4095.0,4095.0,4095.0,3213.0,2507.0,0.02,9.79,2.31,0.03,0.01,-0.18,0.0,k
2891.0,2906.0,3098.0,4095.0,4095.0,4095.0,3220.0,2503.0,0.0,9.69,2.34,-0.01,0.03,-0.17,0.0,k
2896.0,2909.0,3092.0,4095.0,4095.0,4095.0,3211.0,2512.0,-0.06,9.82,2.46,0.02,-0.02,-0.17,0.0,k
2894.0,2908.0,3106.0,4095.0,4095.0,4095.0,3219.0,2510.0,-0.09,9.65,2.43,-0.04,0.0,-0.16,0.0,k
2895.0,2911.0,3107.0,4095.0,4095.0,4095.0,3218.0,2512.0,-0.13,9.89,2.41,0.03,-0.01,-0.17,0.0,k
2894.0,2896.0,3104.0,4095.0,4095.0,4095.0,3225.0,2510.0,0.0,9.78,2.32,-0.06,-0.01,-0.13,0.0,k
2880.0,2908.0,3104.0,4095.0,4095.0,4095.0,3223.0,2507.0,-0.07,9.7,2.48,-0.07,0.03,-0.13,0.0,k
2883.0,2909.0,3105.0,4095.0,4095.0,4095.0,3229.0,2511.0,-0.17,9.82,2.62,0.02,-0.02,-0.16,0.0,k
2886.0,2900.0,3107.0,4095.0,4095.0,4095.0,3234.0,2507.0,0.08,9.71,2.48,-0.0,-0.01,-0.15,0.0,k
2893.0,2906.0,3106.0,4095.0,4095.0,4095.0,3238.0,2514.0,-0.05,9.83,2.51,0.06,-0.03,-0.19,0.0,k
2881.0,2899.0,3115.0,4095.0,4095.0,4095.0,3236.0,2509.0,-0.09,9.69,2.49,-0.02,0.02,-0.14,0.0,k
2845.0,2911.0,3008.0,4095.0,4095.0,4095.0,3184.0,2807.0,-0.19,9.63,1.59,0.02,-0.02,-0.14,0.0,k
2847.0,2903.0,3007.0,4095.0,4095.0,4095.0,3184.0,2806.0,-0.16,9.67,1.56,0.0,-0.03,-0.14,0.0,k
2851.0,2903.0,3004.0,4095.0,4095.0,4095.0,3184.0,2817.0,0.04,9.6,1.77,0.04,-0.04,-0.16,0.0,k
