hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2913.0,2960.0,3030.0,4095.0,4095.0,4095.0,3831.0,3504.0,-1.78,9.78,1.95,-0.11,0.13,-0.02,1.0,k
2912.0,2960.0,3036.0,4095.0,4095.0,4095.0,3803.0,3520.0,-1.66,9.78,2.0,-0.01,0.11,-0.11,1.0,k
2909.0,2970.0,3034.0,4095.0,4095.0,4095.0,3765.0,3533.0,-1.9,9.3,2.06,-0.05,0.07,-0.03,1.0,k
2913.0,2950.0,3029.0,4095.0,4095.0,4095.0,3741.0,3553.0,-1.79,10.29,1.76,0.09,-0.04,-0.1,1.0,k
2891.0,2969.0,3037.0,4095.0,4095.0,4095.0,3726.0,3533.0,-1.63,9.7,1.75,-0.01,0.1,-0.07,1.0,k
2896.0,2947.0,3035.0,4095.0,4095.0,4095.0,3677.0,3514.0,-1.69,9.96,1.76,-0.02,0.02,-0.08,1.0,k
2896.0,2966.0,3029.0,4095.0,4095.0,4095.0,3617.0,3490.0,-1.75,9.83,1.88,0.13,0.13,-0.08,1.0,k
2898.0,2970.0,3021.0,4095.0,4095.0,4095.0,3583.0,3467.0,-1.93,9.62,1.7,-0.0,0.06,-0.15,1.0,k
2897.0,2962.0,3027.0,4095.0,4095.0,4095.0,3565.0,3442.0,-2.07,9.63,1.65,0.04,0.09,-0.12,1.0,k
2898.0,2959.0,3023.0,4095.0,4095.0,4095.0,3551.0,3449.0,-2.2,9.6,1.57,0.03,0.03,-0.1,1.0,k
2901.0,2960.0,3028.0,4095.0,4095.0,4095.0,3539.0,3423.0,-2.04,9.74,1.58,0.07,0.05,-0.08,1.0,k
2901.0,2967.0,3034.0,4095.0,4095.0,4095.0,3519.0,3417.0,-2.16,9.58,1.43,0.04,0.16,-0.05,1.0,k
2887.0,2958.0,3031.0,4095.0,4095.0,4095.0,3536.0,3398.0,-2.19,9.67,1.07,-0.02,0.22,-0.05,1.0,k
2917.0,2967.0,3034.0,4095.0,4095.0,4095.0,3517.0,3439.0,-2.07,9.53,1.02,-0.02,0.05,-0.02,1.0,k
2901.0,2954.0,3034.0,4095.0,4095.0,4095.0,3515.0,3420.0,-1.86,9.66,1.17,-0.01,0.03,-0.01,1.0,k
2909.0,2960.0,3031.0,4095.0,4095.0,4095.0,3519.0,3415.0,-1.92,9.39,1.41,-0.01,0.02,-0.04,1.0,k
2901.0,2959.0,3029.0,4095.0,4095.0,4095.0,3504.0,3387.0,-2.01,9.72,1.23,0.01,0.08,-0.03,1.0,k
2896.0,2953.0,3039.0,4095.0,4095.0,4095.0,3507.0,3401.0,-1.64,9.57,1.26,-0.03,0.03,-0.05,1.0,k
2906.0,2960.0,3039.0,4095.0,4095.0,4095.0,3509.0,3401.0,-1.76,9.95,0.93,-0.01,0.12,-0.03,1.0,k
2886.0,2954.0,3031.0,4095.0,4095.0,4095.0,3529.0,3424.0,-1.7,9.96,1.06,-0.01,0.13,-0.1,1.0,k
2896.0,2959.0,3043.0,4095.0,4095.0,4095.0,3531.0,3441.0,-1.88,9.58,1.17,-0.25,0.2,-0.1,1.0,k
2898.0,2950.0,3026.0,4095.0,4095.0,4095.0,3549.0,3469.0,-2.16,9.92,1.31,-0.24,0.56,-0.11,1.0,k
2902.0,2972.0,3026.0,4095.0,4095.0,4095.0,3602.0,3500.0,-2.43,9.05,0.9,-0.34,0.3,-0.01,1.0,k
2895.0,2957.0,3031.0,4095.0,4095.0,4095.0,3583.0,3525.0,-2.16,9.88,1.2,-0.07,0.44,0.03,1.0,k
2895.0,2958.0,3040.0,4095.0,4095.0,4095.0,3493.0,3470.0,-2.34,9.68,1.09,0.15,-0.29,-0.11,1.0,k
2896.0,2945.0,3029.0,4095.0,4095.0,4095.0,3365.0,3388.0,-2.02,9.56,1.32,0.17,-0.03,-0.12,1.0,k
2899.0,2957.0,3041.0,4095.0,4095.0,4095.0,3344.0,3376.0,-2.57,9.49,0.98,0.01,-0.01,-0.03,1.0,k
2908.0,2958.0,3029.0,4095.0,4095.0,4095.0,3280.0,3425.0,-1.95,9.94,0.64,-0.06,-0.08,-0.0,1.0,k
2910.0,2960.0,3034.0,4095.0,4095.0,4095.0,3283.0,3348.0,-1.88,9.59,1.02,0.1,-0.02,-0.1,1.0,k
2922.0,2959.0,3039.0,4095.0,4095.0,4095.0,3257.0,3356.0,-2.22,9.62,1.05,-0.15,-0.07,-0.06,1.0,k
2925.0,2965.0,3037.0,4095.0,4095.0,4095.0,3202.0,3318.0,-2.57,9.77,1.07,-0.15,0.16,-0.03,1.0,k
2939.0,2958.0,3043.0,4095.0,4095.0,4095.0,3189.0,3365.0,-2.24,9.49,1.05,-0.13,0.05,-0.03,1.0,k
2927.0,2959.0,3060.0,4095.0,4095.0,4095.0,3188.0,3365.0,-2.12,9.65,1.0,-0.13,0.02,-0.06,1.0,k
2934.0,2969.0,3071.0,4095.0,4095.0,4095.0,3184.0,3367.0,-2.16,9.56,1.19,-0.05,-0.06,-0.11,1.0,k
2950.0,2949.0,3071.0,4095.0,4095.0,4095.0,3183.0,3370.0,-2.21,9.09,0.98,-0.18,-0.0,-0.04,1.0,k
2943.0,2958.0,3099.0,4095.0,4095.0,4095.0,3211.0,3386.0,-2.36,9.69,1.14,-0.08,0.0,-0.09,1.0,k
2935.0,2961.0,3108.0,4095.0,4095.0,4095.0,3221.0,3405.0,-2.23,9.6,1.29,-0.08,0.04,-0.11,1.0,k
2928.0,2960.0,3083.0,4095.0,4095.0,4095.0,3242.0,3413.0,-2.49,9.63,1.0,-0.06,-0.04,-0.05,1.0,k
2901.0,2965.0,3071.0,4095.0,4095.0,4095.0,3289.0,3438.0,-2.03,9.63,1.18,-0.11,-0.02,-0.09,1.0,k
2883.0,2958.0,3061.0,4095.0,4095.0,4095.0,3326.0,3455.0,-2.35,9.62,1.25,-0.04,0.09,-0.1,1.0,k
2881.0,2947.0,3067.0,4095.0,4095.0,4095.0,3358.0,3455.0,-2.64,9.61,1.19,-0.22,0.06,-0.08,1.0,k
2877.0,2954.0,3071.0,4095.0,4095.0,4095.0,3409.0,3478.0,-2.32,9.31,1.58,-0.17,0.13,-0.08,1.0,k
2863.0,2961.0,3063.0,4095.0,4095.0,4095.0,3440.0,3502.0,-2.66,9.42,1.08,-0.04,-0.08,-0.08,1.0,k
2896.0,2959.0,3055.0,4095.0,4095.0,4095.0,3454.0,3497.0,-2.55,9.52,1.27,-0.0,0.06,-0.08,1.0,k
2877.0,2956.0,3057.0,4095.0,4095.0,4095.0,3475.0,3499.0,-2.68,9.56,1.12,-0.02,-0.0,-0.08,1.0,k
2887.0,2949.0,3053.0,4095.0,4095.0,4095.0,3515.0,3511.0,-2.72,9.66,1.0,0.0,0.01,-0.08,1.0,k
2891.0,2880.0,3056.0,4095.0,4095.0,4095.0,3531.0,3519.0,-2.83,9.61,1.03,0.01,0.08,0.01,1.0,k
2891.0,2955.0,3060.0,4095.0,4095.0,4095.0,3527.0,3527.0,-2.47,9.8,0.93,0.22,0.15,-0.06,1.0,k
2910.0,2960.0,3060.0,4095.0,4095.0,4095.0,3571.0,3531.0,-2.52,9.61,0.81,0.04,-0.06,-0.09,1.0,k
2899.0,2958.0,3056.0,4095.0,4095.0,4095.0,3632.0,3562.0,-2.76,9.33,0.85,0.05,-0.06,-0.03,1.0,k
2894.0,2957.0,3061.0,4095.0,4095.0,4095.0,3685.0,3568.0,-2.42,9.64,0.6,0.08,-0.09,0.01,1.0,k
2911.0,2952.0,3041.0,4095.0,4095.0,4095.0,3719.0,3578.0,-2.38,9.8,0.52,0.02,-0.16,-0.07,1.0,k
2909.0,2951.0,3057.0,4095.0,4095.0,4095.0,3729.0,3613.0,-2.72,9.91,0.61,-0.1,-0.07,-0.07,1.0,k
2902.0,2960.0,3055.0,4095.0,4095.0,4095.0,3739.0,3615.0,-2.76,9.75,0.61,-0.21,-0.25,-0.06,1.0,k
2900.0,2949.0,3051.0,4095.0,4095.0,4095.0,3746.0,3619.0,-2.64,9.67,0.79,-0.1,-0.33,0.03,1.0,k
2904.0,2953.0,3055.0,4095.0,4095.0,4095.0,3729.0,3626.0,-2.54,9.7,0.89,-0.12,-0.39,-0.04,1.0,k
2880.0,2960.0,3058.0,4095.0,4095.0,4095.0,3760.0,3627.0,-2.35,9.38,1.31,-0.08,-0.21,-0.04,1.0,k
2879.0,2954.0,3056.0,4095.0,4095.0,4095.0,3751.0,3655.0,-2.68,9.59,1.12,-0.03,-0.49,-0.03,1.0,k
2884.0,2971.0,3055.0,4095.0,4095.0,4095.0,3753.0,3631.0,-2.06,9.72,1.17,-0.08,-0.23,-0.01,1.0,k
2882.0,2949.0,3055.0,4095.0,4095.0,4095.0,3758.0,3663.0,-2.4,9.56,1.41,-0.06,-0.21,-0.07,1.0,k
2882.0,2960.0,3048.0,4095.0,4095.0,4095.0,3779.0,3651.0,-1.96,9.89,1.09,-0.05,-0.19,-0.01,1.0,k
2875.0,2945.0,3053.0,4095.0,4095.0,4095.0,3786.0,3664.0,-2.49,9.52,1.13,-0.28,0.04,-0.08,1.0,k
2865.0,2961.0,3055.0,4095.0,4095.0,4095.0,3773.0,3663.0,-2.01,9.65,1.32,-0.18,0.09,-0.1,1.0,k
2864.0,2950.0,3050.0,4095.0,4095.0,4095.0,3759.0,3655.0,-2.42,9.41,1.5,0.0,-0.05,-0.11,1.0,k
2875.0,2967.0,3058.0,4095.0,4095.0,4095.0,3771.0,3663.0,-2.38,9.85,1.14,-0.14,-0.0,-0.1,1.0,k
2869.0,2961.0,3057.0,4095.0,4095.0,4095.0,3776.0,3661.0,-2.61,9.61,1.22,-0.01,-0.25,-0.09,1.0,k
2864.0,2955.0,3051.0,4095.0,4095.0,4095.0,3775.0,3651.0,-2.69,9.64,1.15,-0.05,-0.13,-0.08,1.0,k
2864.0,2957.0,3062.0,4095.0,4095.0,4095.0,3767.0,3671.0,-2.1,9.6,1.25,-0.01,-0.36,-0.04,1.0,k
2864.0,2956.0,3051.0,4095.0,4095.0,4095.0,3775.0,3664.0,-2.96,9.19,1.43,-0.14,-0.22,-0.02,1.0,k
2866.0,2948.0,3045.0,4095.0,4095.0,4095.0,3782.0,3697.0,-2.25,9.66,1.59,-0.01,-0.22,-0.03,1.0,k
2862.0,2947.0,3060.0,4095.0,4095.0,4095.0,3792.0,3673.0,-2.6,9.43,1.51,-0.06,-0.13,-0.08,1.0,k
2863.0,2949.0,3054.0,4095.0,4095.0,4095.0,3771.0,3691.0,-2.58,9.65,1.51,-0.11,0.11,-0.07,1.0,k
2838.0,2951.0,3049.0,4095.0,4095.0,4095.0,3785.0,3695.0,-2.27,9.5,1.45,-0.04,-0.0,-0.05,1.0,k
2849.0,2955.0,3059.0,4095.0,4095.0,4095.0,3779.0,3684.0,-2.78,9.52,1.48,-0.11,-0.05,-0.09,1.0,k
2860.0,2960.0,3052.0,4095.0,4095.0,4095.0,3783.0,3677.0,-2.43,9.55,1.6,-0.09,-0.02,-0.05,1.0,k
2847.0,2960.0,3067.0,4095.0,4095.0,4095.0,3759.0,3682.0,-2.82,9.34,1.54,-0.1,0.01,-0.02,1.0,k
2849.0,2959.0,3056.0,4095.0,4095.0,4095.0,3735.0,3682.0,-2.7,9.5,1.83,0.04,-0.03,-0.05,1.0,k
2857.0,2969.0,3056.0,4095.0,4095.0,4095.0,3733.0,3666.0,-2.45,9.51,1.49,-0.07,0.12,-0.01,1.0,k
2843.0,2951.0,3068.0,4095.0,4095.0,4095.0,3711.0,3669.0,-2.6,9.57,1.19,0.02,0.04,-0.03,1.0,k
2853.0,2961.0,3056.0,4095.0,4095.0,4095.0,3707.0,3670.0,-2.28,9.6,1.41,-0.04,0.21,-0.02,1.0,k
2861.0,2962.0,3046.0,4095.0,4095.0,4095.0,3709.0,3679.0,-2.43,9.61,1.43,-0.11,0.19,0.02,1.0,k
2849.0,2957.0,3070.0,4095.0,4095.0,4095.0,3703.0,3679.0,-2.38,9.62,1.47,-0.07,0.23,-0.01,1.0,k
2864.0,2955.0,3071.0,4095.0,4095.0,4095.0,3696.0,3675.0,-2.31,9.67,1.51,-0.12,0.23,-0.04,1.0,k
2861.0,2951.0,3063.0,4095.0,4095.0,4095.0,3696.0,3676.0,-2.45,9.54,1.43,-0.07,0.28,0.04,1.0,k
2861.0,2960.0,3057.0,4095.0,4095.0,4095.0,3705.0,3662.0,-2.54,9.44,1.55,-0.14,0.31,-0.01,1.0,k
2878.0,2961.0,3055.0,4095.0,4095.0,4095.0,3691.0,3668.0,-2.15,9.58,1.47,0.06,0.26,-0.02,1.0,k
2850.0,2944.0,3046.0,4095.0,4095.0,4095.0,3606.0,3638.0,-2.47,9.77,1.15,0.18,-0.06,-0.05,1.0,k
2870.0,2960.0,3055.0,4095.0,4095.0,4095.0,3609.0,3621.0,-2.33,9.53,1.33,0.04,0.01,-0.05,1.0,k
2880.0,2962.0,3058.0,4095.0,4095.0,4095.0,3603.0,3629.0,-2.49,9.47,0.96,0.04,-0.04,-0.05,1.0,k
2868.0,2947.0,3057.0,4095.0,4095.0,4095.0,3600.0,3639.0,-2.43,9.75,0.68,-0.05,-0.02,-0.07,1.0,k
2864.0,2969.0,3056.0,4095.0,4095.0,4095.0,3619.0,3641.0,-2.65,9.47,0.99,-0.2,0.13,-0.01,1.0,k
2879.0,2955.0,3056.0,4095.0,4095.0,4095.0,3631.0,3638.0,-2.61,9.8,1.02,-0.07,0.18,-0.01,1.0,k
2879.0,2947.0,3061.0,4095.0,4095.0,4095.0,3626.0,3649.0,-2.72,9.4,1.03,-0.11,0.17,-0.03,1.0,k
2873.0,2960.0,3059.0,4095.0,4095.0,4095.0,3644.0,3663.0,-2.61,9.63,1.13,-0.22,0.24,0.03,1.0,k
2878.0,2963.0,3055.0,4095.0,4095.0,4095.0,3650.0,3679.0,-2.37,9.72,1.07,-0.19,0.07,-0.03,1.0,k
2881.0,2951.0,3055.0,4095.0,4095.0,4095.0,3647.0,3677.0,-2.47,9.8,1.06,-0.14,0.13,0.06,1.0,k
2884.0,2960.0,3065.0,4095.0,4095.0,4095.0,3648.0,3696.0,-2.22,9.76,1.15,-0.08,0.0,-0.03,1.0,k
2883.0,2965.0,3070.0,4095.0,4095.0,4095.0,3648.0,3693.0,-2.33,9.63,0.99,-0.02,-0.07,-0.03,1.0,k
2871.0,2959.0,3056.0,4095.0,4095.0,4095.0,3648.0,3696.0,-2.28,9.53,1.31,-0.03,-0.1,-0.07,1.0,k
2881.0,2965.0,3065.0,4095.0,4095.0,4095.0,3653.0,3693.0,-2.36,9.7,0.95,-0.07,-0.04,-0.05,1.0,k
2874.0,2955.0,3056.0,4095.0,4095.0,4095.0,3658.0,3687.0,-2.61,9.69,0.95,-0.1,-0.09,-0.03,1.0,k
2883.0,2961.0,3071.0,4095.0,4095.0,4095.0,3664.0,3703.0,-2.12,9.52,1.0,-0.08,0.02,-0.03,1.0,k
2878.0,2960.0,3066.0,4095.0,4095.0,4095.0,3658.0,3701.0,-2.53,9.72,1.28,-0.11,-0.0,-0.14,1.0,k
2889.0,2957.0,3047.0,4095.0,4095.0,4095.0,3634.0,3726.0,-2.31,9.59,1.45,-0.12,0.12,-0.12,1.0,k
2891.0,2960.0,3054.0,4095.0,4095.0,4095.0,3662.0,3723.0,-2.38,9.79,1.06,-0.04,0.13,-0.22,1.0,k
2895.0,2963.0,3068.0,4095.0,4095.0,4095.0,3671.0,3722.0,-3.18,9.23,1.41,-0.11,-0.07,-0.25,1.0,k
2881.0,2961.0,3051.0,4095.0,4095.0,4095.0,3664.0,3734.0,-2.46,9.58,1.07,-0.1,0.04,0.0,1.0,k
