hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2928.0,2991.0,893.0,4095.0,4095.0,4095.0,3443.0,3583.0,-0.29,9.55,3.43,0.07,-0.32,-0.21,1.0,k
2931.0,2987.0,894.0,4095.0,4095.0,4095.0,3443.0,3578.0,-0.82,9.68,2.81,0.05,-0.11,-0.26,1.0,k
2928.0,2987.0,889.0,4095.0,4095.0,4095.0,3453.0,3600.0,-1.51,9.5,2.83,0.05,-0.05,-0.31,1.0,k
2917.0,2975.0,891.0,4095.0,4095.0,4095.0,3446.0,3583.0,-1.94,9.52,2.99,-0.02,-0.26,-0.21,1.0,k
2919.0,2983.0,889.0,4095.0,4095.0,4095.0,3447.0,3583.0,-1.12,9.45,3.04,0.06,-0.27,-0.2,1.0,k
2927.0,2980.0,895.0,4095.0,4095.0,4095.0,3447.0,3583.0,-1.4,9.6,2.6,0.0,-0.13,-0.25,1.0,k
2928.0,2986.0,887.0,4095.0,4095.0,4095.0,3443.0,3583.0,-1.45,9.46,2.57,-0.02,-0.15,-0.23,1.0,k
2918.0,2982.0,891.0,4095.0,4095.0,4095.0,3440.0,3583.0,-1.59,9.48,2.62,-0.07,-0.1,-0.24,1.0,k
2922.0,2982.0,883.0,4095.0,4095.0,4095.0,3446.0,3583.0,-1.87,9.46,2.73,-0.1,-0.12,-0.25,1.0,k
2923.0,2983.0,893.0,4095.0,4095.0,4095.0,3440.0,3581.0,-1.55,9.28,2.84,-0.07,-0.05,-0.25,1.0,k
2919.0,2983.0,897.0,4095.0,4095.0,4095.0,3442.0,3583.0,-2.39,9.57,2.79,-0.16,0.11,-0.2,1.0,k
2919.0,2992.0,887.0,4095.0,4095.0,4095.0,3440.0,3580.0,-1.71,9.1,3.11,0.06,0.14,-0.18,1.0,k
2919.0,2987.0,896.0,4095.0,4095.0,4095.0,3440.0,3575.0,-2.34,9.72,2.53,-0.23,0.04,-0.2,1.0,k
2919.0,2986.0,887.0,4095.0,4095.0,4095.0,3434.0,3572.0,-1.93,8.98,3.26,-0.0,-0.1,-0.3,1.0,k
2907.0,2977.0,891.0,4095.0,4095.0,4095.0,3435.0,3563.0,-2.63,9.55,3.09,-0.16,0.05,-0.21,1.0,k
2914.0,2981.0,894.0,4095.0,4095.0,4095.0,3440.0,3568.0,-2.4,9.02,2.98,-0.08,-0.13,-0.26,1.0,k
2913.0,2987.0,882.0,4095.0,4095.0,4095.0,3454.0,3568.0,-4.41,9.24,2.72,-0.25,0.15,-0.16,1.0,k
2915.0,2979.0,887.0,4095.0,4095.0,4095.0,3453.0,3574.0,-2.47,9.02,4.31,-0.2,-0.17,-0.03,1.0,k
2914.0,2990.0,883.0,4095.0,4095.0,4095.0,3455.0,3568.0,-1.69,9.71,4.94,0.08,0.01,-0.01,1.0,k
2915.0,2989.0,890.0,4095.0,4095.0,4095.0,3458.0,3559.0,-2.07,9.56,4.72,0.76,-0.5,-0.19,1.0,k
2906.0,2978.0,883.0,4095.0,4095.0,4095.0,3494.0,3568.0,-2.35,10.0,3.08,0.97,-0.27,-0.38,1.0,k
2905.0,2989.0,879.0,4095.0,4095.0,4095.0,3509.0,3583.0,-3.19,8.66,1.76,0.44,-0.25,-0.08,1.0,k
2905.0,2992.0,871.0,4095.0,4095.0,4095.0,3520.0,3583.0,-2.6,8.56,1.94,0.58,-0.42,-0.17,1.0,k
2895.0,2971.0,872.0,4095.0,4095.0,4095.0,3536.0,3600.0,-2.46,8.88,1.37,0.19,-0.49,-0.07,1.0,k
2906.0,2978.0,875.0,4095.0,4095.0,4095.0,3535.0,3583.0,-2.1,9.03,1.34,0.17,-0.41,-0.13,1.0,k
2901.0,2989.0,880.0,4095.0,4095.0,4095.0,3542.0,3605.0,-2.77,9.38,1.17,-0.07,-0.38,-0.17,1.0,k
2901.0,2983.0,875.0,4095.0,4095.0,4095.0,3546.0,3613.0,-3.12,9.16,1.74,-0.14,-0.13,-0.07,1.0,k
2894.0,2992.0,882.0,4095.0,4095.0,4095.0,3559.0,3633.0,-2.71,9.49,1.69,-0.55,-0.41,-0.22,1.0,k
2896.0,2979.0,873.0,4095.0,4095.0,4095.0,3552.0,3621.0,-2.35,8.77,2.93,0.11,0.04,-0.2,1.0,k
2893.0,2978.0,875.0,4095.0,4095.0,4095.0,3559.0,3623.0,-2.81,9.62,1.99,-0.01,-0.23,-0.24,1.0,k
2903.0,2992.0,880.0,4095.0,4095.0,4095.0,3563.0,3613.0,-2.65,9.58,1.86,-0.17,-0.23,-0.22,1.0,k
2896.0,2986.0,880.0,4095.0,4095.0,4095.0,3557.0,3625.0,-3.21,9.29,2.3,-0.24,-0.32,-0.15,1.0,k
2896.0,2983.0,875.0,4095.0,4095.0,4095.0,3542.0,3642.0,-2.7,10.27,2.55,-0.26,0.12,-0.15,1.0,k
2921.0,2982.0,867.0,4095.0,4095.0,4095.0,3546.0,3616.0,-3.42,9.26,3.13,-0.06,0.1,-0.25,1.0,k
2899.0,2966.0,882.0,4095.0,4095.0,4095.0,3537.0,3617.0,-3.47,9.67,2.51,0.35,-0.07,-0.15,1.0,k
2901.0,2975.0,871.0,4095.0,4095.0,4095.0,3537.0,3607.0,-3.63,9.64,1.53,0.22,-0.11,0.03,1.0,k
2919.0,2994.0,879.0,4095.0,4095.0,4095.0,3550.0,3602.0,-2.98,9.36,1.32,0.09,-0.19,0.19,1.0,k
2907.0,2981.0,877.0,4095.0,4095.0,4095.0,3536.0,3607.0,-2.67,9.02,1.51,-0.12,-0.08,0.09,1.0,k
2899.0,2981.0,879.0,4095.0,4095.0,4095.0,3542.0,3618.0,-3.22,8.77,1.63,-0.15,0.03,0.01,1.0,k
2906.0,2976.0,880.0,4095.0,4095.0,4095.0,3535.0,3610.0,-3.89,8.83,1.6,-0.23,0.23,-0.0,1.0,k
2915.0,2982.0,871.0,4095.0,4095.0,4095.0,3536.0,3624.0,-3.36,9.02,1.99,-0.13,0.38,-0.02,1.0,k
2899.0,2987.0,883.0,4095.0,4095.0,4095.0,3536.0,3625.0,-2.52,9.27,2.49,-0.19,0.43,-0.05,1.0,k
2919.0,2973.0,879.0,4095.0,4095.0,4095.0,3524.0,3613.0,-2.43,9.56,2.64,-0.11,0.61,-0.13,1.0,k
2912.0,2983.0,885.0,4095.0,4095.0,4095.0,3536.0,3616.0,-3.01,9.56,2.39,-0.07,0.46,-0.15,1.0,k
2919.0,2986.0,880.0,4095.0,4095.0,4095.0,3533.0,3622.0,-3.39,9.52,1.7,-0.09,0.63,0.04,1.0,k
2913.0,2978.0,879.0,4095.0,4095.0,4095.0,3517.0,3617.0,-2.5,8.27,2.75,-0.05,-0.27,-0.05,1.0,k
2913.0,2987.0,878.0,4095.0,4095.0,4095.0,3519.0,3615.0,-4.64,9.04,1.15,-0.24,0.99,0.35,1.0,k
2909.0,2982.0,870.0,4095.0,4095.0,4095.0,3523.0,3618.0,-3.63,9.08,1.27,-0.28,-0.07,0.35,1.0,k
2911.0,2986.0,876.0,4095.0,4095.0,4095.0,3523.0,3620.0,-1.49,8.91,1.33,-0.32,0.17,0.3,1.0,k
2915.0,2983.0,880.0,4095.0,4095.0,4095.0,3508.0,3610.0,-1.88,9.36,2.74,-0.47,-0.4,0.15,1.0,k
2913.0,2981.0,875.0,4095.0,4095.0,4095.0,3506.0,3619.0,-1.06,9.56,3.43,-0.09,0.26,0.73,1.0,k
2913.0,2986.0,875.0,4095.0,4095.0,4095.0,3472.0,3619.0,-0.7,9.16,3.21,0.25,-0.8,-0.3,1.0,k
2925.0,2981.0,876.0,4095.0,4095.0,4095.0,3472.0,3601.0,-2.23,9.47,1.97,0.07,-0.32,-0.1,1.0,k
2924.0,2977.0,878.0,4095.0,4095.0,4095.0,3470.0,3611.0,-2.83,9.22,1.71,-0.15,-0.29,-0.12,1.0,k
2923.0,2988.0,874.0,4095.0,4095.0,4095.0,3465.0,3608.0,-2.9,9.42,2.16,-0.2,-0.22,-0.05,1.0,k
2921.0,2981.0,880.0,4095.0,4095.0,4095.0,3458.0,3605.0,-2.8,9.24,2.76,-0.17,-0.55,0.05,1.0,k
2912.0,2961.0,882.0,4095.0,4095.0,4095.0,3454.0,3582.0,-1.04,9.67,2.73,-0.14,-0.26,0.31,1.0,k
2923.0,2975.0,874.0,4095.0,4095.0,4095.0,3450.0,3598.0,-1.0,9.46,3.01,-0.3,-0.03,0.38,1.0,k
2918.0,2981.0,877.0,4095.0,4095.0,4095.0,3463.0,3599.0,0.1,9.47,3.23,-0.13,0.08,0.3,1.0,k
2910.0,2977.0,880.0,4095.0,4095.0,4095.0,3475.0,3583.0,-0.57,9.91,3.17,0.11,-0.37,0.19,1.0,k
2911.0,2987.0,880.0,4095.0,4095.0,4095.0,3485.0,3581.0,-0.07,9.8,3.76,0.14,-1.23,-0.29,1.0,k
2917.0,2979.0,876.0,4095.0,4095.0,4095.0,3475.0,3583.0,-0.93,9.3,3.86,-0.0,-0.52,-0.1,1.0,k
2909.0,2976.0,880.0,4095.0,4095.0,4095.0,3489.0,3583.0,-1.58,9.17,3.08,0.25,-0.91,-0.3,1.0,k
2917.0,2979.0,877.0,4095.0,4095.0,4095.0,3495.0,3611.0,-2.1,9.24,2.31,0.05,-0.65,-0.1,1.0,k
2915.0,2983.0,869.0,4095.0,4095.0,4095.0,3495.0,3600.0,-0.58,9.53,2.68,-0.11,-0.96,-0.25,1.0,k
2923.0,2983.0,879.0,4095.0,4095.0,4095.0,3501.0,3607.0,-1.73,8.94,3.19,-0.01,-0.45,-0.37,1.0,k
2914.0,2982.0,880.0,4095.0,4095.0,4095.0,3494.0,3603.0,-2.64,9.13,2.86,0.01,-0.44,-0.42,1.0,k
2912.0,2987.0,874.0,4095.0,4095.0,4095.0,3490.0,3583.0,-2.79,9.02,2.48,-0.16,0.09,-0.38,1.0,k
2927.0,2976.0,866.0,4095.0,4095.0,4095.0,3499.0,3597.0,-3.7,9.12,2.36,-0.62,1.05,0.01,1.0,k
2915.0,2975.0,867.0,4095.0,4095.0,4095.0,3495.0,3615.0,-2.52,9.24,3.35,-0.97,2.1,0.55,1.0,k
2928.0,2973.0,881.0,4095.0,4095.0,4095.0,3499.0,3612.0,-2.52,9.63,3.88,-0.7,2.17,0.77,1.0,k
2916.0,2992.0,882.0,4095.0,4095.0,4095.0,3492.0,3617.0,-1.49,9.73,3.68,-0.3,1.58,0.46,1.0,k
2914.0,2976.0,873.0,4095.0,4095.0,4095.0,3482.0,3611.0,-2.05,9.62,2.82,-0.31,1.63,0.31,1.0,k
2915.0,2992.0,880.0,4095.0,4095.0,4095.0,3491.0,3615.0,-2.17,9.33,2.74,-0.37,1.16,0.38,1.0,k
2923.0,2982.0,879.0,4095.0,4095.0,4095.0,3475.0,3609.0,-2.14,9.01,3.33,-0.27,0.48,0.29,1.0,k
2925.0,2979.0,875.0,4095.0,4095.0,4095.0,3487.0,3623.0,-1.3,9.34,3.56,-0.25,0.35,0.24,1.0,k
