hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3027.0,3110.0,2862.0,4095.0,4095.0,2438.0,3045.0,2750.0,-1.04,9.74,5.19,-0.01,0.04,-0.11,0.0,l
3043.0,3125.0,2864.0,4095.0,4095.0,2441.0,3041.0,2748.0,-1.07,9.61,5.53,-0.2,0.04,0.08,0.0,l
3047.0,3118.0,2867.0,4095.0,4095.0,2448.0,3053.0,2761.0,-0.63,9.78,6.21,-0.18,-0.0,0.13,0.0,l
3030.0,3119.0,2870.0,4095.0,4095.0,2443.0,3043.0,2745.0,-0.32,9.69,6.21,-0.2,0.01,-0.0,0.0,l
3031.0,3120.0,2875.0,4095.0,4095.0,2444.0,3051.0,2754.0,-0.31,9.36,6.39,-0.28,0.05,-0.07,0.0,l
3033.0,3121.0,2880.0,4095.0,4095.0,2446.0,3035.0,2751.0,-0.25,9.6,6.86,-0.28,0.05,-0.03,0.0,l
3047.0,3122.0,2881.0,4095.0,4095.0,2448.0,3056.0,2761.0,-0.06,9.7,6.94,-0.08,-0.06,-0.02,0.0,l
3024.0,3104.0,2879.0,4095.0,4095.0,2446.0,3039.0,2747.0,0.07,9.55,6.87,-0.11,0.04,-0.06,0.0,l
3043.0,3108.0,2865.0,4095.0,4095.0,2453.0,3051.0,2756.0,0.07,9.48,7.05,-0.17,0.04,-0.06,0.0,l
3040.0,3117.0,2864.0,4095.0,4095.0,2446.0,3046.0,2752.0,0.32,9.42,7.32,-0.15,-0.05,-0.08,0.0,l
3034.0,3127.0,2874.0,4095.0,4095.0,2455.0,3051.0,2754.0,0.1,9.44,7.51,-0.11,-0.01,-0.14,0.0,l
3041.0,3120.0,2873.0,4095.0,4095.0,2451.0,3047.0,2756.0,0.13,9.3,7.56,-0.12,0.04,-0.13,0.0,l
3030.0,3121.0,2880.0,4095.0,4095.0,2455.0,3053.0,2755.0,0.31,9.33,7.58,-0.14,0.05,-0.15,0.0,l
3040.0,3121.0,2877.0,4095.0,4095.0,2450.0,3052.0,2757.0,0.32,9.14,8.04,-0.19,-0.05,-0.18,0.0,l
3035.0,3109.0,2878.0,4095.0,4095.0,2454.0,3047.0,2756.0,0.11,9.13,8.16,-0.13,-0.05,-0.2,0.0,l
3046.0,3126.0,2880.0,4095.0,4095.0,2453.0,3047.0,2753.0,0.26,9.07,8.22,-0.14,0.03,-0.2,0.0,l
3030.0,3120.0,2869.0,4095.0,4095.0,2450.0,3041.0,2751.0,0.14,8.96,8.51,-0.15,-0.03,-0.31,0.0,l
3038.0,3117.0,2875.0,4095.0,4095.0,2455.0,3047.0,2751.0,-0.23,8.96,8.7,-0.01,0.04,-0.35,0.0,l
3029.0,3116.0,2885.0,4095.0,4095.0,2448.0,3039.0,2729.0,-0.46,8.94,8.55,0.03,-0.01,-0.33,0.0,l
3050.0,3120.0,2869.0,4095.0,4095.0,2454.0,3042.0,2736.0,-0.61,9.05,8.12,0.04,0.11,-0.3,0.0,l
