hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2930.0,3130.0,4091.0,4095.0,4095.0,2915.0,3243.0,2623.0,-1.84,9.67,2.23,0.05,0.11,-0.01,1.0,l
2927.0,3139.0,4095.0,4095.0,4095.0,2917.0,3248.0,2614.0,-1.31,9.7,2.08,0.06,-0.04,0.05,1.0,l
2930.0,3137.0,4095.0,4095.0,4095.0,2923.0,3247.0,2624.0,-1.41,9.84,1.88,-0.12,0.01,0.01,1.0,l
2941.0,3147.0,4095.0,4095.0,4095.0,2905.0,3239.0,2624.0,-0.82,9.77,2.02,-0.23,-0.04,-0.02,1.0,l
2928.0,3152.0,4094.0,4095.0,4095.0,2917.0,3243.0,2635.0,-1.82,9.45,2.65,-0.33,-0.05,0.06,1.0,l
2928.0,3134.0,4091.0,4095.0,4095.0,2918.0,3247.0,2611.0,-1.01,9.61,3.4,-0.19,-0.01,0.03,1.0,l
2945.0,3145.0,4095.0,4095.0,4095.0,2919.0,3248.0,2627.0,-1.2,9.55,3.32,-0.02,0.04,0.01,1.0,l
2929.0,3127.0,4071.0,4095.0,4095.0,2919.0,3248.0,2613.0,-1.0,9.48,3.21,-0.03,0.05,0.03,1.0,l
2928.0,3154.0,4080.0,4095.0,4095.0,2924.0,3248.0,2620.0,-0.95,9.52,2.91,0.04,0.03,-0.01,1.0,l
2938.0,3145.0,4089.0,4095.0,4095.0,2914.0,3246.0,2625.0,-1.18,9.62,2.67,0.04,0.05,0.03,1.0,l
2931.0,3145.0,4079.0,4095.0,4095.0,2927.0,3253.0,3087.0,-1.09,9.88,2.53,0.02,0.11,0.07,1.0,l
2927.0,3135.0,4079.0,4095.0,4095.0,2923.0,3248.0,3127.0,-0.85,9.97,2.49,0.08,0.03,0.02,1.0,l
2941.0,3163.0,4095.0,4095.0,4095.0,2928.0,3250.0,3136.0,-0.84,9.7,2.12,0.02,0.07,0.11,1.0,l
2939.0,3159.0,4095.0,4095.0,4095.0,2926.0,3252.0,3135.0,-0.66,9.69,2.29,-0.05,0.11,0.05,1.0,l
2933.0,3138.0,4080.0,4095.0,4095.0,2918.0,3243.0,3142.0,-2.11,8.96,2.91,-0.32,0.74,-0.05,1.0,l
2928.0,3145.0,4092.0,4095.0,4095.0,2923.0,3248.0,3172.0,-0.5,9.94,2.56,0.06,0.47,0.03,1.0,l
2935.0,3146.0,4087.0,4095.0,4095.0,2918.0,3246.0,3173.0,-1.03,9.53,1.88,0.08,0.34,0.36,1.0,l
2932.0,3155.0,4095.0,4095.0,4095.0,2923.0,3251.0,3179.0,1.35,10.35,1.92,-0.16,-0.44,0.61,1.0,l
2929.0,3136.0,4087.0,4095.0,4095.0,2926.0,3251.0,3175.0,0.69,9.76,2.3,-0.11,-0.18,-0.05,1.0,l
2942.0,3156.0,4095.0,4095.0,4095.0,2928.0,3251.0,3179.0,-0.15,9.71,1.98,-0.06,-0.09,-0.15,1.0,l
2938.0,3141.0,4085.0,4095.0,4095.0,2931.0,3263.0,3187.0,-0.54,9.9,1.6,-0.1,0.06,-0.09,1.0,l
2928.0,3147.0,4094.0,4095.0,4095.0,2914.0,3248.0,3184.0,-0.54,9.9,1.97,-0.16,0.12,-0.1,1.0,l
2934.0,3159.0,4095.0,4095.0,4095.0,2930.0,3261.0,3188.0,-0.7,9.87,2.0,-0.13,-0.01,-0.08,1.0,l
2939.0,3152.0,4085.0,4095.0,4095.0,2925.0,3247.0,3184.0,-0.81,9.78,2.19,-0.22,0.01,-0.11,1.0,l
2928.0,3153.0,4095.0,4095.0,4095.0,2933.0,3259.0,3186.0,-0.76,9.79,2.32,-0.16,-0.03,-0.09,1.0,l
2930.0,3147.0,4080.0,4095.0,4095.0,2928.0,3253.0,3181.0,-1.08,9.69,2.18,-0.19,0.0,-0.07,1.0,l
2939.0,3164.0,4095.0,4095.0,4095.0,2928.0,3258.0,3193.0,-0.98,9.55,2.65,-0.23,-0.13,-0.1,1.0,l
2933.0,3148.0,4080.0,4095.0,4095.0,2923.0,3254.0,3184.0,-1.24,9.67,2.93,-0.15,0.0,-0.1,1.0,l
2938.0,3157.0,4095.0,4095.0,4095.0,2931.0,3258.0,3191.0,-1.02,9.71,2.85,-0.16,0.0,-0.04,1.0,l
2929.0,3152.0,4087.0,4095.0,4095.0,2930.0,3258.0,3188.0,-1.05,9.62,2.86,-0.14,0.05,-0.05,1.0,l
2931.0,3159.0,4095.0,4095.0,4095.0,2927.0,3259.0,3194.0,-0.98,9.59,3.0,-0.13,-0.06,-0.08,1.0,l
2928.0,3152.0,4095.0,4095.0,4095.0,2929.0,3262.0,3181.0,-1.13,9.56,3.0,-0.13,-0.04,-0.1,1.0,l
2943.0,3164.0,4095.0,4095.0,4095.0,2930.0,3249.0,3183.0,-1.17,9.48,3.3,-0.14,0.0,-0.06,1.0,l
2949.0,3157.0,4095.0,4095.0,4095.0,2941.0,3269.0,3205.0,-1.12,9.48,3.3,-0.11,-0.01,-0.11,1.0,l
2928.0,3152.0,4082.0,4095.0,4095.0,2931.0,3262.0,3193.0,-1.07,9.56,3.0,-0.11,-0.12,-0.11,1.0,l
2932.0,3165.0,4095.0,4095.0,4095.0,2943.0,3278.0,3201.0,-1.49,9.46,3.3,-0.19,-0.11,-0.11,1.0,l
2934.0,3153.0,4071.0,4095.0,4095.0,2935.0,3263.0,3197.0,-1.43,9.33,3.52,-0.19,-0.01,-0.08,1.0,l
