hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2943.0,2687.0,2685.0,4095.0,4095.0,3246.0,2494.0,3146.0,-1.85,9.34,0.04,0.03,-0.24,0.17,l
2943.0,2681.0,2679.0,4095.0,4095.0,3238.0,2493.0,3141.0,-1.81,8.35,-0.84,0.1,-0.38,0.1,l
2935.0,2661.0,2663.0,4095.0,4095.0,3221.0,2480.0,3121.0,-2.09,8.32,-0.56,-0.09,-0.41,0.02,l
2919.0,2676.0,2669.0,4095.0,4095.0,3220.0,2476.0,3122.0,-2.45,8.88,-0.87,-0.12,-0.25,-0.22,l
2927.0,2670.0,2658.0,4095.0,4095.0,3221.0,2479.0,3120.0,-3.24,9.21,-1.08,-0.17,0.13,-0.25,l
2928.0,2661.0,2666.0,4095.0,4095.0,3226.0,2479.0,3128.0,-3.46,9.71,-0.65,-0.11,0.29,-0.19,l
2923.0,2663.0,2659.0,4095.0,4095.0,3216.0,2475.0,3111.0,-3.05,10.01,0.16,-0.08,0.5,-0.08,l
2915.0,2659.0,2647.0,4095.0,4095.0,3211.0,2465.0,3116.0,-2.59,10.25,0.35,-0.03,0.25,0.08,l
2904.0,2652.0,2650.0,4095.0,4095.0,3201.0,2468.0,3105.0,-1.69,9.31,-0.18,0.06,-0.19,0.01,l
2911.0,2655.0,2656.0,4095.0,4095.0,3209.0,2471.0,3120.0,-2.51,8.45,-0.34,0.01,-0.33,0.12,l
2896.0,2640.0,2643.0,4095.0,4095.0,3199.0,2461.0,3092.0,-2.26,8.47,-0.63,0.03,-0.13,-0.12,l
2895.0,2640.0,2635.0,4095.0,4095.0,3199.0,2451.0,3095.0,-3.68,8.53,-1.74,-0.18,1.11,-0.53,l
2912.0,2651.0,2647.0,4095.0,4095.0,3204.0,2471.0,3106.0,-3.7,9.59,-1.19,-0.27,0.85,-0.18,l
2924.0,2663.0,2657.0,4095.0,4095.0,3221.0,2479.0,3119.0,-3.58,9.09,-1.44,-0.01,0.74,-0.03,l
2913.0,2660.0,2658.0,4095.0,4095.0,3222.0,2478.0,3114.0,-2.35,9.19,-1.71,-0.13,0.87,0.03,l
2919.0,2660.0,2661.0,4095.0,4095.0,3231.0,2483.0,3126.0,-1.33,9.7,-1.56,-0.61,1.91,-0.35,l
2921.0,2664.0,2661.0,4095.0,4095.0,3227.0,2485.0,3120.0,-3.01,9.66,-1.21,-0.71,2.1,-0.29,l
2928.0,2665.0,2653.0,4095.0,4095.0,3232.0,2483.0,3123.0,-3.04,9.51,-1.21,-0.54,1.17,-0.2,l
2926.0,2659.0,2654.0,4095.0,4095.0,3227.0,2480.0,3127.0,-2.19,8.74,-1.5,-0.38,1.01,-0.29,l
2928.0,2663.0,2672.0,4095.0,4095.0,3220.0,2480.0,3135.0,-3.94,7.68,-1.56,0.07,0.02,-0.11,l
2931.0,2667.0,2661.0,4095.0,4095.0,3233.0,2491.0,3137.0,-4.49,8.67,-2.32,0.16,-1.32,0.36,l
2931.0,2672.0,2670.0,4095.0,4095.0,3238.0,2492.0,3136.0,-3.82,9.19,-1.07,0.03,-1.32,0.41,l
2928.0,2667.0,2668.0,4095.0,4095.0,3225.0,2484.0,3136.0,-1.7,9.49,-0.51,-0.07,-1.55,0.44,l
2928.0,2676.0,2666.0,4095.0,4095.0,3216.0,2476.0,3137.0,-1.23,9.79,-0.31,0.06,-0.92,0.23,l
2928.0,2657.0,2663.0,4095.0,4095.0,3213.0,2454.0,3131.0,-2.27,9.29,0.62,0.27,-0.45,-0.03,l
2931.0,2678.0,2615.0,4095.0,4095.0,3349.0,2628.0,3176.0,-3.2,9.51,-0.89,0.07,-0.3,-0.03,l
