hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3022.0,997.0,3598.0,4095.0,4095.0,2274.0,2511.0,2064.0,-1.1,9.55,6.67,-0.06,-0.06,-0.09,0.0,l
3011.0,1003.0,3664.0,4095.0,4095.0,2253.0,2496.0,2037.0,-1.12,9.61,6.64,-0.01,-0.01,-0.1,0.0,l
3017.0,1040.0,3691.0,4095.0,4095.0,2254.0,2493.0,2034.0,-1.13,9.48,6.65,0.06,0.03,-0.15,0.0,l
3021.0,1033.0,3682.0,4095.0,4095.0,2260.0,2502.0,2044.0,-1.28,9.54,6.31,0.07,0.04,-0.13,0.0,l
3034.0,1044.0,3678.0,4095.0,4095.0,2259.0,2503.0,2061.0,-1.13,9.45,6.5,-0.01,-0.01,-0.1,0.0,l
3007.0,1040.0,3727.0,4095.0,4095.0,2253.0,2493.0,2039.0,-0.89,9.54,6.7,-0.04,-0.02,-0.13,0.0,l
3023.0,1023.0,3709.0,4095.0,4095.0,2256.0,2498.0,2054.0,-1.07,9.65,6.39,0.01,-0.01,-0.12,0.0,l
3020.0,1037.0,3685.0,4095.0,4095.0,2267.0,2512.0,2062.0,-1.12,9.68,6.69,0.05,0.02,-0.15,0.0,l
3021.0,1050.0,3675.0,4095.0,4095.0,2281.0,2515.0,2065.0,-1.06,9.57,6.57,0.07,0.01,-0.16,0.0,l
3024.0,1042.0,3663.0,4095.0,4095.0,2279.0,2516.0,2067.0,-1.08,9.54,6.43,0.06,0.02,-0.16,0.0,l
3016.0,1046.0,3680.0,4095.0,4095.0,2286.0,2528.0,2075.0,-1.24,9.52,6.17,0.05,0.06,-0.18,0.0,l
3008.0,1045.0,3662.0,4095.0,4095.0,2289.0,2526.0,2076.0,-1.13,9.57,6.16,0.07,-0.01,-0.18,0.0,l
3015.0,1042.0,3662.0,4095.0,4095.0,2289.0,2532.0,2079.0,-1.13,9.73,6.11,0.04,-0.03,-0.16,0.0,l
3014.0,1047.0,3671.0,4095.0,4095.0,2288.0,2525.0,2087.0,-1.04,9.84,6.06,-0.04,-0.03,-0.12,0.0,l
3019.0,1040.0,3664.0,4095.0,4095.0,2288.0,2534.0,2093.0,-1.05,9.68,6.22,-0.0,-0.04,-0.14,0.0,l
3018.0,1038.0,3664.0,4095.0,4095.0,2289.0,2542.0,2094.0,-1.01,9.58,6.2,0.01,0.02,-0.15,0.0,l
3025.0,1040.0,3661.0,4095.0,4095.0,2289.0,2531.0,2091.0,-1.01,9.68,5.71,-0.05,-0.02,-0.13,0.0,l
3034.0,1050.0,3666.0,4095.0,4095.0,2298.0,2542.0,2096.0,-1.1,9.51,6.81,-0.04,-0.03,-0.14,0.0,l
3016.0,1050.0,3661.0,4095.0,4095.0,2293.0,2537.0,2093.0,-1.13,9.46,6.25,-0.03,0.01,-0.1,0.0,l
3009.0,1040.0,3659.0,4095.0,4095.0,2303.0,2542.0,2099.0,-0.79,9.76,6.99,0.01,0.05,-0.11,0.0,l
3011.0,1045.0,3657.0,4095.0,4095.0,2290.0,2535.0,2110.0,-0.84,9.62,6.32,0.05,0.01,-0.17,0.0,l
3009.0,1051.0,3657.0,4095.0,4095.0,2303.0,2545.0,2097.0,-0.83,9.56,6.37,0.02,0.03,-0.13,0.0,l
3024.0,1044.0,3653.0,4095.0,4095.0,2288.0,2543.0,2096.0,-0.95,9.67,6.13,0.01,-0.01,-0.14,0.0,l
3023.0,1058.0,3663.0,4095.0,4095.0,2293.0,2547.0,2109.0,-0.87,9.7,6.32,-0.02,-0.05,-0.15,0.0,l
3020.0,1067.0,3645.0,4095.0,4095.0,2304.0,2553.0,2112.0,-0.9,9.62,6.27,0.04,-0.07,-0.2,0.0,l
3012.0,1077.0,3670.0,4095.0,4095.0,2295.0,2557.0,2103.0,-1.13,9.45,6.47,0.05,-0.07,-0.18,0.0,l
3015.0,1103.0,3673.0,4095.0,4095.0,2295.0,2555.0,2101.0,-0.96,9.56,6.17,0.05,-0.02,-0.16,0.0,l
3024.0,1093.0,3663.0,4095.0,4095.0,2291.0,2544.0,2110.0,-0.62,9.9,6.71,0.1,-0.03,-0.04,0.0,l
3015.0,1127.0,3658.0,4095.0,4095.0,2295.0,2543.0,2119.0,-1.33,9.67,5.8,0.08,-0.06,-0.28,0.0,l
3014.0,1120.0,3666.0,4095.0,4095.0,2302.0,2546.0,2116.0,-0.93,9.55,6.2,-0.01,-0.04,-0.12,0.0,l
3021.0,1122.0,3673.0,4095.0,4095.0,2293.0,2550.0,2110.0,-0.96,9.57,6.22,0.04,-0.02,-0.17,0.0,l
3014.0,1134.0,3667.0,4095.0,4095.0,2291.0,2547.0,2115.0,-0.85,9.72,5.92,0.0,-0.03,-0.16,0.0,l
3013.0,1132.0,3664.0,4095.0,4095.0,2295.0,2556.0,2109.0,-0.84,9.7,6.23,0.02,-0.02,-0.12,0.0,l
3020.0,1134.0,3678.0,4095.0,4095.0,2297.0,2559.0,2118.0,-0.91,9.66,6.04,0.06,-0.04,-0.13,0.0,l
3015.0,1126.0,3674.0,4095.0,4095.0,2293.0,2558.0,2110.0,-0.91,9.74,6.01,-0.02,0.02,-0.12,0.0,l
3024.0,1134.0,3660.0,4095.0,4095.0,2303.0,2558.0,2112.0,-0.87,9.73,5.96,0.03,0.01,-0.14,0.0,l
3025.0,1136.0,3665.0,4095.0,4095.0,2302.0,2556.0,2113.0,-0.91,9.69,5.95,-0.0,-0.04,-0.13,0.0,l
3024.0,1138.0,3647.0,4095.0,4095.0,2291.0,2559.0,2121.0,-0.55,9.78,6.17,0.01,-0.04,-0.17,0.0,l
3011.0,1131.0,3655.0,4095.0,4095.0,2299.0,2543.0,2114.0,-0.98,9.75,6.15,0.01,-0.02,-0.19,0.0,l
3014.0,1142.0,3651.0,4095.0,4095.0,2304.0,2559.0,2128.0,-0.87,9.64,6.01,0.02,-0.03,-0.16,0.0,l
3024.0,1135.0,3649.0,4095.0,4095.0,2304.0,2555.0,2112.0,-0.87,9.63,6.18,0.03,-0.02,-0.16,0.0,l
3029.0,1151.0,3647.0,4095.0,4095.0,2311.0,2559.0,2121.0,-0.98,9.71,6.24,0.0,0.02,-0.19,0.0,l
3017.0,1177.0,3651.0,4095.0,4095.0,2307.0,2559.0,2122.0,-0.91,9.62,6.03,0.04,0.02,-0.19,0.0,l
3025.0,1193.0,3652.0,4095.0,4095.0,2307.0,2559.0,2121.0,-0.99,9.6,6.23,-0.01,0.01,-0.18,0.0,l
