hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3037.0,4095.0,3293.0,4095.0,4095.0,2559.0,2991.0,2970.0,-4.4,9.39,3.89,-0.1,-0.09,-0.25,0.0,l
3026.0,4095.0,3293.0,4095.0,4095.0,2559.0,2994.0,2968.0,-4.22,8.24,4.66,-0.31,0.26,-0.19,0.0,l
3040.0,4095.0,3291.0,4095.0,4095.0,2559.0,2989.0,2967.0,-4.64,8.64,4.98,-0.21,-0.03,-0.21,0.0,l
3033.0,4095.0,3291.0,4095.0,4095.0,2559.0,2990.0,2972.0,-4.49,8.83,5.33,-0.22,0.0,0.1,0.0,l
3038.0,4095.0,3290.0,4095.0,4095.0,2559.0,2991.0,2974.0,-3.94,8.92,5.82,-0.45,0.07,0.36,0.0,l
3035.0,4095.0,3285.0,4095.0,4095.0,2582.0,2993.0,2982.0,-3.19,8.86,5.84,-0.17,0.12,0.07,0.0,l
3034.0,4095.0,3279.0,4095.0,4095.0,2581.0,2992.0,2986.0,-3.35,8.52,6.09,-0.32,0.31,0.31,0.0,l
3024.0,4095.0,3276.0,4095.0,4095.0,2581.0,2989.0,2989.0,-2.9,8.68,5.46,-0.24,0.14,0.15,0.0,l
3039.0,4095.0,3287.0,4095.0,4095.0,2583.0,2992.0,2986.0,-2.05,8.52,5.75,-0.18,-0.12,0.29,0.0,l
3042.0,4095.0,3286.0,4095.0,4095.0,2587.0,2992.0,2991.0,-0.92,9.49,5.4,-0.32,-0.12,0.34,0.0,l
3039.0,4095.0,3280.0,4095.0,4095.0,2591.0,2995.0,2992.0,-0.71,10.66,6.2,-0.2,-0.11,0.04,0.0,l
3025.0,4095.0,3275.0,4095.0,4095.0,2587.0,2997.0,2992.0,-1.46,11.22,6.74,0.09,-0.37,-0.18,0.0,l
3034.0,4095.0,3281.0,4095.0,4095.0,2593.0,2996.0,2992.0,-1.85,11.18,6.34,0.25,-0.31,-0.34,0.0,l
3031.0,4095.0,3277.0,4095.0,4095.0,2595.0,2997.0,2992.0,-1.65,10.53,6.28,0.47,-0.49,-0.51,0.0,l
3027.0,4095.0,3279.0,4095.0,4095.0,2591.0,2994.0,2992.0,-1.98,9.83,5.85,0.52,-0.48,-0.66,0.0,l
3026.0,4095.0,3276.0,4095.0,4095.0,2590.0,2999.0,2993.0,-2.44,9.45,5.72,0.54,-0.57,-0.62,0.0,l
3039.0,4095.0,3290.0,4095.0,4095.0,2589.0,2995.0,2997.0,-2.94,9.07,5.55,0.68,-0.67,-0.57,0.0,l
3030.0,4095.0,3275.0,4095.0,4095.0,2589.0,2996.0,2999.0,-2.98,8.63,5.31,0.65,-0.76,-0.53,0.0,l
3041.0,4095.0,3275.0,4095.0,4095.0,2591.0,2999.0,2995.0,-2.71,8.83,4.72,0.59,-0.9,-0.59,0.0,l
3042.0,4095.0,3279.0,4095.0,4095.0,2583.0,2994.0,2999.0,-3.61,8.43,5.17,0.33,-0.69,-0.51,0.0,l
3027.0,4095.0,3280.0,4095.0,4095.0,2586.0,2998.0,3003.0,-3.77,8.36,5.52,0.33,-0.91,-0.46,0.0,l
3041.0,4095.0,3277.0,4095.0,4095.0,2586.0,2997.0,2998.0,-3.42,8.2,5.48,0.15,-0.83,-0.5,0.0,l
3026.0,4095.0,3281.0,4095.0,4095.0,2585.0,3001.0,3005.0,-4.05,8.12,5.8,0.06,-0.7,-0.57,0.0,l
3047.0,4095.0,3271.0,4095.0,4095.0,2559.0,2992.0,2997.0,-4.64,7.92,6.32,-0.03,-0.77,-0.72,0.0,l
3037.0,4095.0,3281.0,4095.0,4095.0,2581.0,3001.0,3008.0,-4.99,7.86,6.37,-0.13,-0.58,-0.57,0.0,l
3025.0,4095.0,3270.0,4095.0,4095.0,2579.0,2997.0,3008.0,-5.4,7.7,6.77,-0.23,-0.49,-0.47,0.0,l
3040.0,4095.0,3280.0,4095.0,4095.0,2559.0,2999.0,3009.0,-5.96,7.57,7.28,-0.24,-0.24,-0.2,0.0,l
3035.0,4095.0,3274.0,4095.0,4095.0,2559.0,3001.0,3010.0,-5.16,8.01,7.07,-0.2,-0.2,-0.18,0.0,l
3024.0,4095.0,3275.0,4095.0,4095.0,2559.0,2997.0,3007.0,-5.09,8.24,6.93,-0.27,-0.01,-0.1,0.0,l
3040.0,4095.0,3267.0,4095.0,4095.0,2559.0,2998.0,3006.0,-5.15,7.96,7.32,-0.23,0.05,-0.09,0.0,l
3036.0,4095.0,3279.0,4095.0,4095.0,2559.0,3007.0,3010.0,-4.55,8.48,7.04,-0.18,0.04,-0.02,0.0,l
3039.0,4095.0,3274.0,4095.0,4095.0,2559.0,3005.0,3012.0,-4.69,8.39,7.23,-0.14,0.04,0.02,0.0,l
3039.0,4095.0,3280.0,4095.0,4095.0,2559.0,3002.0,3011.0,-4.13,8.25,7.25,-0.19,0.15,0.07,0.0,l
3037.0,4095.0,3280.0,4095.0,4095.0,2559.0,3003.0,3010.0,-4.24,8.27,7.02,-0.09,0.14,0.08,0.0,l
3029.0,4095.0,3270.0,4095.0,4095.0,2559.0,2999.0,3010.0,-4.2,8.11,7.18,-0.14,0.34,0.05,0.0,l
3031.0,4095.0,3281.0,4095.0,4095.0,2559.0,2995.0,3011.0,-4.32,8.0,7.33,-0.21,0.42,0.19,0.0,l
3031.0,4095.0,3275.0,4095.0,4095.0,2559.0,2999.0,3012.0,-4.25,8.39,7.39,0.08,0.28,0.07,0.0,l
3029.0,4095.0,3268.0,4095.0,4095.0,2559.0,2999.0,3013.0,-4.5,8.1,7.06,0.19,0.27,0.03,0.0,l
3041.0,4095.0,3276.0,4095.0,4095.0,2559.0,3007.0,3018.0,-3.62,9.11,6.36,-0.11,0.34,0.27,0.0,l
3029.0,4095.0,3270.0,4095.0,4095.0,2559.0,3003.0,3017.0,-3.94,8.88,6.68,-0.15,0.46,0.16,0.0,l
3041.0,4095.0,3273.0,4095.0,4095.0,2559.0,3008.0,3015.0,-3.61,8.55,6.81,-0.23,0.43,0.25,0.0,l
3029.0,4095.0,3264.0,4095.0,4095.0,2583.0,3007.0,3013.0,-3.25,8.8,6.8,-0.07,0.44,0.1,0.0,l
3046.0,4095.0,3274.0,4095.0,4095.0,2583.0,3006.0,3007.0,-3.5,8.69,6.45,-0.07,0.47,0.04,0.0,l
3036.0,4095.0,3265.0,4095.0,4095.0,2583.0,3008.0,3003.0,-3.68,8.42,6.58,0.12,0.33,-0.29,0.0,l
3045.0,4095.0,3282.0,4095.0,4095.0,2582.0,3009.0,3003.0,-3.84,8.77,5.94,-0.5,0.55,0.24,0.0,l
3044.0,4095.0,3267.0,4095.0,4095.0,2582.0,3007.0,3003.0,-3.98,8.93,6.31,-0.42,0.46,0.2,0.0,l
3034.0,4095.0,3280.0,4095.0,4095.0,2581.0,3005.0,3005.0,-3.31,8.53,7.19,-0.49,0.58,0.36,0.0,l
3027.0,4095.0,3280.0,4095.0,4095.0,2583.0,3007.0,3005.0,-3.02,9.13,7.17,-0.23,0.32,0.18,0.0,l
3024.0,4095.0,3261.0,4095.0,4095.0,2559.0,3004.0,2996.0,-1.3,9.38,8.88,-0.47,0.61,0.38,0.0,l
3025.0,4095.0,3267.0,4095.0,4095.0,2584.0,3006.0,2996.0,-2.21,9.65,8.43,0.31,0.44,-0.13,0.0,l
3039.0,4095.0,3271.0,4095.0,4095.0,2589.0,3010.0,3002.0,-3.11,9.14,6.51,0.48,0.6,-0.23,0.0,l
3041.0,4095.0,3270.0,4095.0,4095.0,2590.0,3003.0,2998.0,-4.34,8.7,5.07,0.51,0.57,-0.19,0.0,l
3029.0,4095.0,3262.0,4095.0,4095.0,2583.0,3006.0,3002.0,-3.85,8.06,4.39,0.11,0.56,0.15,0.0,l
3025.0,4095.0,3266.0,4095.0,4095.0,2589.0,3007.0,2996.0,-3.26,8.69,4.13,-0.01,0.19,0.27,0.0,l
3034.0,4095.0,3269.0,4095.0,4095.0,2587.0,3006.0,2994.0,-1.96,8.89,4.58,-0.45,0.17,0.32,0.0,l
3026.0,4095.0,3266.0,4095.0,4095.0,2588.0,3008.0,3003.0,-1.64,8.74,6.15,-0.56,-0.02,0.26,0.0,l
