hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2905.0,2983.0,3001.0,4095.0,4095.0,2993.0,3184.0,3499.0,-1.11,9.65,2.82,-0.03,0.08,-0.0,1.0,l
2910.0,2975.0,3003.0,4095.0,4095.0,3003.0,3185.0,3499.0,-0.94,9.61,2.92,-0.05,-0.05,-0.05,1.0,l
2907.0,2974.0,2996.0,4095.0,4095.0,2994.0,3182.0,3504.0,-0.97,9.6,2.88,-0.07,0.03,-0.02,1.0,l
2911.0,2974.0,3002.0,4095.0,4095.0,3001.0,3197.0,3504.0,-1.17,9.47,2.94,-0.06,-0.06,-0.07,1.0,l
2921.0,2975.0,3002.0,4095.0,4095.0,2999.0,3189.0,3499.0,-1.24,9.55,3.09,-0.05,0.03,-0.04,1.0,l
2909.0,2970.0,3002.0,4095.0,4095.0,2998.0,3184.0,3503.0,-1.07,9.58,2.95,-0.03,-0.03,-0.05,1.0,l
2917.0,2971.0,2997.0,4095.0,4095.0,2992.0,3184.0,3498.0,-0.9,9.54,2.94,-0.01,0.01,-0.02,1.0,l
2921.0,2971.0,3006.0,4095.0,4095.0,3001.0,3187.0,3502.0,-1.02,9.63,2.85,-0.01,-0.03,-0.07,1.0,l
2921.0,2978.0,2997.0,4095.0,4095.0,3005.0,3193.0,3506.0,-1.12,9.6,3.01,0.02,-0.01,-0.04,1.0,l
2903.0,2981.0,3002.0,4095.0,4095.0,2995.0,3184.0,3508.0,-1.28,9.32,2.92,0.14,0.06,-0.04,1.0,l
2907.0,2963.0,2999.0,4095.0,4095.0,2994.0,3175.0,3504.0,-1.21,10.01,2.41,0.0,-0.01,0.0,1.0,l
2915.0,2981.0,3007.0,4095.0,4095.0,2996.0,3182.0,3507.0,-1.09,9.63,2.64,0.07,0.05,0.04,1.0,l
2914.0,2978.0,3010.0,4095.0,4095.0,3003.0,3180.0,3499.0,-1.39,9.63,2.69,-0.13,0.04,0.04,1.0,l
2916.0,2970.0,3001.0,4095.0,4095.0,2999.0,3181.0,3503.0,-0.96,9.73,2.67,-0.08,-0.02,0.0,1.0,l
2911.0,2977.0,2999.0,4095.0,4095.0,3001.0,3183.0,3509.0,-0.75,9.62,2.75,-0.09,-0.04,0.02,1.0,l
2919.0,2970.0,3002.0,4095.0,4095.0,3005.0,3184.0,3501.0,-0.41,9.85,2.57,-0.06,0.02,-0.03,1.0,l
2918.0,2982.0,3007.0,4095.0,4095.0,3005.0,3184.0,3505.0,-0.9,9.59,2.64,-0.11,-0.05,-0.12,1.0,l
2911.0,2972.0,3011.0,4095.0,4095.0,3005.0,3185.0,3506.0,-1.05,9.6,2.76,-0.07,-0.01,-0.12,1.0,l
2910.0,2971.0,3001.0,4095.0,4095.0,3007.0,3186.0,3503.0,-1.35,9.58,2.7,-0.08,-0.03,-0.07,1.0,l
2906.0,2971.0,3004.0,4095.0,4095.0,3005.0,3185.0,3510.0,-1.13,9.6,2.66,-0.09,-0.05,-0.02,1.0,l
2923.0,2964.0,2997.0,4095.0,4095.0,3041.0,3197.0,3519.0,-3.63,9.3,0.64,-0.07,0.01,-0.15,1.0,l
2913.0,2979.0,2994.0,4095.0,4095.0,3047.0,3194.0,3516.0,-3.59,9.35,0.46,0.02,-0.01,-0.09,1.0,l
2901.0,2959.0,2993.0,4095.0,4095.0,3050.0,3197.0,3518.0,-3.35,9.35,0.2,-0.01,0.02,-0.06,1.0,l
2909.0,2975.0,2998.0,4095.0,4095.0,3053.0,3200.0,3531.0,-3.31,9.4,0.01,-0.05,0.1,-0.03,1.0,l
2907.0,2967.0,2990.0,4095.0,4095.0,3043.0,3191.0,3518.0,-3.21,9.39,0.04,-0.05,-0.01,-0.05,1.0,l
2906.0,2986.0,2999.0,4095.0,4095.0,3047.0,3198.0,3519.0,-3.23,9.42,0.1,-0.09,-0.04,-0.04,1.0,l
2910.0,2966.0,2987.0,4095.0,4095.0,3047.0,3198.0,3520.0,-3.28,9.33,0.29,-0.07,0.02,-0.03,1.0,l
2926.0,2971.0,3001.0,4095.0,4095.0,3055.0,3198.0,3517.0,-3.4,9.36,0.27,-0.08,0.02,0.01,1.0,l
2915.0,2973.0,2999.0,4095.0,4095.0,3055.0,3201.0,3517.0,-3.18,9.43,0.27,-0.07,0.02,-0.06,1.0,l
2915.0,2970.0,3003.0,4095.0,4095.0,3046.0,3198.0,3522.0,-3.19,9.33,0.31,-0.06,-0.05,-0.05,1.0,l
2914.0,2975.0,2994.0,4095.0,4095.0,3054.0,3198.0,3523.0,-3.27,9.37,0.28,-0.07,-0.02,-0.06,1.0,l
2923.0,2987.0,3006.0,4095.0,4095.0,3056.0,3200.0,3521.0,-3.39,9.32,0.3,-0.06,0.01,-0.06,1.0,l
2912.0,2975.0,3006.0,4095.0,4095.0,3056.0,3200.0,3522.0,-3.37,9.35,0.26,-0.05,-0.03,-0.05,1.0,l
2919.0,2961.0,2999.0,4095.0,4095.0,3055.0,3204.0,3519.0,-3.35,9.4,0.28,-0.08,0.01,-0.03,1.0,l
2919.0,2973.0,2998.0,4095.0,4095.0,3056.0,3200.0,3523.0,-3.4,9.3,0.32,-0.06,-0.04,-0.04,1.0,l
2918.0,2975.0,2994.0,4095.0,4095.0,3053.0,3200.0,3523.0,-3.41,9.29,0.43,-0.04,-0.02,-0.04,1.0,l
2918.0,2974.0,2994.0,4095.0,4095.0,3050.0,3195.0,3517.0,-3.35,9.41,0.35,-0.06,0.05,-0.04,1.0,l
2909.0,2978.0,2994.0,4095.0,4095.0,3051.0,3191.0,3515.0,-3.35,9.22,0.4,-0.07,0.08,-0.04,1.0,l
2915.0,2977.0,3003.0,4095.0,4095.0,3056.0,3201.0,3512.0,-3.33,9.4,0.25,-0.04,-0.03,-0.05,1.0,l
2911.0,2971.0,3007.0,4095.0,4095.0,3056.0,3202.0,3525.0,-3.25,9.3,0.17,-0.02,-0.01,-0.08,1.0,l
2912.0,2979.0,3007.0,4095.0,4095.0,3010.0,3206.0,3525.0,1.06,9.13,4.36,-0.06,0.1,-0.01,1.0,l
2915.0,2975.0,2995.0,4095.0,4095.0,3011.0,3212.0,3523.0,1.26,9.22,4.35,-0.02,-0.01,-0.01,1.0,l
2905.0,2977.0,3008.0,4095.0,4095.0,3013.0,3203.0,3511.0,1.12,9.17,4.24,-0.06,-0.02,-0.05,1.0,l
2903.0,2970.0,2992.0,4095.0,4095.0,3015.0,3207.0,3527.0,1.07,9.19,4.25,-0.08,0.02,-0.07,1.0,l
2907.0,2972.0,3007.0,4095.0,4095.0,3018.0,3207.0,3526.0,0.84,9.08,4.38,-0.09,-0.05,-0.07,1.0,l
2899.0,2974.0,2999.0,4095.0,4095.0,3019.0,3211.0,3522.0,1.05,9.16,4.44,-0.1,0.04,-0.02,1.0,l
2910.0,2980.0,2997.0,4095.0,4095.0,3021.0,3204.0,3520.0,1.17,9.19,4.39,-0.02,0.03,-0.02,1.0,l
2913.0,2979.0,2996.0,4095.0,4095.0,3023.0,3208.0,3521.0,1.22,9.41,4.1,-0.12,-0.06,-0.03,1.0,l
2901.0,2967.0,2999.0,4095.0,4095.0,3017.0,3201.0,3513.0,0.84,9.0,4.38,-0.16,-0.1,-0.1,1.0,l
2901.0,2974.0,2999.0,4095.0,4095.0,3024.0,3209.0,3521.0,1.01,9.17,4.76,-0.02,-0.16,-0.15,1.0,l
2915.0,2962.0,3003.0,4095.0,4095.0,3006.0,3203.0,3514.0,0.76,9.14,4.35,-0.06,0.09,-0.04,1.0,l
