hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3220.0,955.0,2928.0,3309.0,2958.0,2627.0,2839.0,2320.0,-1.95,9.64,5.8,0.07,-0.01,-0.15,m
3219.0,949.0,2929.0,3314.0,2957.0,2627.0,2836.0,2320.0,-2.01,10.1,5.22,-0.04,-0.03,-0.11,m
3221.0,948.0,2945.0,3314.0,2958.0,2629.0,2843.0,2320.0,-1.8,9.97,5.3,-0.13,0.01,-0.17,m
3216.0,958.0,2928.0,3318.0,2960.0,2636.0,2841.0,2320.0,-1.74,9.2,5.97,-0.04,-0.09,-0.2,m
3216.0,962.0,2928.0,3311.0,2957.0,2629.0,2845.0,2325.0,-1.42,9.04,5.97,-0.02,-0.08,-0.25,m
3221.0,957.0,2935.0,3315.0,2965.0,2631.0,2851.0,2327.0,-1.95,9.39,5.83,-0.03,-0.11,-0.21,m
3216.0,960.0,2928.0,3312.0,2960.0,2627.0,2845.0,2336.0,-2.15,9.68,5.8,-0.14,-0.16,-0.16,m
3229.0,950.0,2931.0,3314.0,2961.0,2634.0,2851.0,2341.0,-1.66,9.82,5.75,-0.28,-0.12,-0.1,m
3216.0,944.0,2927.0,3312.0,2958.0,2634.0,2850.0,2339.0,-1.95,9.41,6.41,-0.21,-0.05,-0.14,m
3216.0,953.0,2930.0,3312.0,2960.0,2634.0,2852.0,2346.0,-1.68,9.32,6.13,-0.17,0.02,-0.09,m
3216.0,962.0,2921.0,3315.0,2958.0,2638.0,2851.0,2350.0,-1.55,9.1,5.33,-0.38,0.45,-0.13,m
3218.0,948.0,2938.0,3315.0,2959.0,2629.0,2849.0,2350.0,-2.09,9.07,6.27,-0.7,0.39,-0.03,m
3226.0,951.0,2928.0,3313.0,2956.0,2629.0,2848.0,2351.0,-1.79,9.34,6.45,-0.52,-0.09,-0.16,m
3216.0,959.0,2929.0,3312.0,2950.0,2627.0,2851.0,2350.0,-1.19,9.38,7.68,-0.58,-0.47,-0.27,m
3235.0,967.0,2932.0,3315.0,2956.0,2629.0,2850.0,2352.0,-1.45,9.33,8.78,-0.37,-0.75,-0.32,m
3223.0,953.0,2935.0,3323.0,2961.0,2631.0,2859.0,2354.0,-0.68,8.93,9.21,-0.04,-0.89,-0.58,m
3217.0,957.0,2926.0,3311.0,2963.0,2635.0,2865.0,2353.0,-1.41,9.05,9.28,0.24,-0.58,-0.62,m
3226.0,957.0,2928.0,3310.0,2962.0,2630.0,2864.0,2357.0,-3.29,9.04,9.7,0.58,-0.15,-0.65,m
3222.0,960.0,2948.0,3314.0,2964.0,2635.0,2864.0,2356.0,-2.98,9.12,8.69,0.92,-0.18,-0.5,m
3223.0,949.0,2933.0,3313.0,2969.0,2638.0,2869.0,2355.0,-2.59,9.13,6.52,0.96,0.05,-0.48,m
3233.0,954.0,2929.0,3317.0,2969.0,2639.0,2878.0,2355.0,-2.66,9.28,5.4,0.74,0.14,-0.44,m
3219.0,947.0,2927.0,3312.0,2965.0,2638.0,2880.0,2361.0,-3.39,8.84,5.19,0.56,0.21,-0.43,m
3217.0,955.0,2940.0,3319.0,2966.0,2640.0,2878.0,2357.0,-3.42,8.73,4.6,0.23,0.2,-0.29,m
3227.0,950.0,2939.0,3313.0,2970.0,2639.0,2882.0,2365.0,-4.0,8.76,4.68,-0.09,-0.05,-0.06,m
3216.0,944.0,2933.0,3314.0,2963.0,2640.0,2880.0,2345.0,-3.62,9.01,5.94,-0.17,-1.23,0.26,m
3216.0,951.0,2928.0,3312.0,2967.0,2646.0,2882.0,2357.0,-2.39,9.19,6.22,0.13,-2.77,0.59,m
