hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1142.0,2080.0,2937.0,3111.0,2771.0,2490.0,2727.0,2629.0,-0.4,9.89,4.82,-0.04,0.01,-0.13,0.0,m
1148.0,2079.0,2930.0,3120.0,2775.0,2496.0,2732.0,2636.0,-0.4,9.85,5.03,0.01,-0.03,-0.15,0.0,m
1141.0,2087.0,2942.0,3120.0,2771.0,2495.0,2725.0,2629.0,-0.52,9.87,4.93,0.03,-0.06,-0.18,0.0,m
1136.0,2075.0,2941.0,3121.0,2787.0,2503.0,2736.0,2634.0,-0.7,9.86,4.86,0.02,-0.01,-0.16,0.0,m
1134.0,2077.0,2941.0,3122.0,2779.0,2493.0,2727.0,2633.0,-0.55,9.91,4.84,0.01,-0.08,-0.14,0.0,m
1136.0,2079.0,2938.0,3123.0,2785.0,2498.0,2734.0,2639.0,-0.5,9.87,4.76,0.03,0.01,-0.16,0.0,m
1150.0,2069.0,2928.0,3121.0,2774.0,2496.0,2734.0,2639.0,-0.61,9.87,4.94,0.01,-0.02,-0.16,0.0,m
1137.0,2069.0,2937.0,3121.0,2779.0,2496.0,2736.0,2637.0,-0.52,9.86,4.91,0.01,-0.06,-0.13,0.0,m
1142.0,2068.0,2937.0,3127.0,2783.0,2501.0,2739.0,2644.0,-0.28,9.79,4.92,0.04,-0.06,-0.13,0.0,m
1141.0,2064.0,2945.0,3126.0,2783.0,2498.0,2733.0,2634.0,-0.54,9.89,4.79,0.01,-0.03,-0.18,0.0,m
1152.0,2070.0,2935.0,3133.0,2783.0,2502.0,2743.0,2644.0,-0.67,9.84,4.97,0.01,-0.01,-0.14,0.0,m
1152.0,2061.0,2927.0,3125.0,2785.0,2501.0,2736.0,2639.0,-0.52,9.85,4.98,0.03,0.05,-0.15,0.0,m
1147.0,2038.0,2929.0,3130.0,2794.0,2511.0,2738.0,2639.0,-0.6,9.87,4.79,0.03,-0.03,-0.16,0.0,m
1147.0,2038.0,2941.0,3127.0,2790.0,2501.0,2736.0,2640.0,-0.6,9.88,4.9,-0.02,0.01,-0.15,0.0,m
1146.0,2059.0,2943.0,3136.0,2791.0,2502.0,2741.0,2647.0,-0.55,9.87,4.92,0.01,0.02,-0.15,0.0,m
1141.0,2056.0,2929.0,3127.0,2786.0,2502.0,2741.0,2641.0,-0.57,9.86,4.83,0.01,0.0,-0.15,0.0,m
1152.0,2039.0,2937.0,3149.0,2800.0,2510.0,2747.0,2643.0,-0.58,9.85,4.96,-0.02,0.02,-0.17,0.0,m
1138.0,2032.0,2929.0,3129.0,2788.0,2512.0,2739.0,2641.0,-0.5,9.81,5.06,-0.01,-0.04,-0.18,0.0,m
1152.0,2053.0,2946.0,3144.0,2797.0,2509.0,2749.0,2641.0,-0.59,9.79,5.08,0.03,-0.01,-0.16,0.0,m
1138.0,2039.0,2938.0,3142.0,2798.0,2511.0,2743.0,2643.0,-0.65,9.83,4.96,0.03,0.0,-0.13,0.0,m
1151.0,2030.0,2923.0,3139.0,2799.0,2511.0,2742.0,2646.0,-0.52,9.86,4.93,-0.01,-0.01,-0.14,0.0,m
1152.0,2033.0,2930.0,3138.0,2800.0,2512.0,2753.0,2655.0,-0.66,9.85,5.14,0.01,0.0,-0.13,0.0,m
1136.0,2032.0,2935.0,3139.0,2800.0,2515.0,2748.0,2655.0,-0.32,9.9,4.77,0.06,-0.07,-0.12,0.0,m
1135.0,2041.0,2933.0,3147.0,2803.0,2513.0,2751.0,2651.0,-0.41,9.84,4.98,-0.01,-0.02,-0.15,0.0,m
1138.0,2031.0,2922.0,3142.0,2800.0,2512.0,2746.0,2647.0,-0.47,9.85,4.96,-0.02,-0.05,-0.15,0.0,m
1143.0,2038.0,2943.0,3143.0,2800.0,2512.0,2759.0,2659.0,-0.55,9.88,5.02,-0.03,0.01,-0.13,0.0,m
1136.0,2034.0,2931.0,3142.0,2800.0,2512.0,2752.0,2651.0,-0.22,9.81,4.98,-0.0,0.03,-0.14,0.0,m
1136.0,2032.0,2947.0,3151.0,2801.0,2512.0,2746.0,2647.0,-0.41,9.85,4.85,0.0,-0.01,-0.16,0.0,m
1143.0,2029.0,2941.0,3154.0,2811.0,2516.0,2754.0,2662.0,-0.44,9.81,5.17,-0.04,-0.0,-0.17,0.0,m
1134.0,2027.0,2937.0,3148.0,2807.0,2519.0,2749.0,2659.0,-0.62,9.8,5.24,0.01,-0.0,-0.16,0.0,m
1143.0,2036.0,2942.0,3151.0,2802.0,2513.0,2753.0,2667.0,-0.35,9.84,4.99,0.04,-0.03,-0.13,0.0,m
1136.0,2023.0,2931.0,3150.0,2801.0,2513.0,2749.0,2656.0,-0.47,9.86,4.98,0.02,0.0,-0.13,0.0,m
1145.0,2030.0,2935.0,3152.0,2811.0,2522.0,2759.0,2660.0,-0.57,9.87,5.02,0.0,0.01,-0.1,0.0,m
1131.0,2032.0,2935.0,3153.0,2811.0,2519.0,2752.0,2653.0,-0.11,9.88,4.86,-0.02,0.01,-0.09,0.0,m
1149.0,2028.0,2932.0,3152.0,2806.0,2521.0,2757.0,2665.0,-0.29,9.85,5.04,-0.05,0.0,-0.14,0.0,m
1147.0,2023.0,2929.0,3152.0,2807.0,2512.0,2755.0,2660.0,-0.3,9.84,5.11,-0.08,0.0,-0.13,0.0,m
1134.0,2031.0,2939.0,3167.0,2817.0,2518.0,2752.0,2655.0,-0.39,9.84,5.4,-0.07,0.01,-0.09,0.0,m
1131.0,2017.0,2942.0,3164.0,2817.0,2515.0,2753.0,2653.0,-0.22,9.87,5.21,-0.01,0.02,-0.09,0.0,m
1134.0,2017.0,2930.0,3152.0,2818.0,2527.0,2765.0,2658.0,-0.23,9.88,5.11,-0.08,0.03,-0.09,0.0,m
1122.0,2013.0,2942.0,3157.0,2815.0,2514.0,2756.0,2651.0,-0.22,9.83,5.6,-0.12,-0.0,-0.08,0.0,m
1079.0,2175.0,2940.0,3182.0,2827.0,2512.0,2751.0,2639.0,0.09,9.73,5.97,-0.05,-0.02,-0.17,0.0,m
1078.0,2176.0,2931.0,3175.0,2820.0,2512.0,2750.0,2640.0,0.05,9.8,5.98,-0.11,-0.02,-0.16,0.0,m
1082.0,2183.0,2930.0,3181.0,2826.0,2521.0,2759.0,2644.0,0.1,9.66,6.35,-0.08,-0.02,-0.15,0.0,m
1082.0,2188.0,2929.0,3178.0,2816.0,2511.0,2754.0,2640.0,0.14,9.63,6.44,-0.08,-0.08,-0.19,0.0,m
1102.0,2188.0,2933.0,3179.0,2822.0,2534.0,2768.0,2661.0,0.03,9.66,6.56,-0.05,-0.05,-0.18,0.0,m
1088.0,2169.0,2929.0,3175.0,2821.0,2516.0,2755.0,2651.0,0.11,9.65,6.39,-0.04,-0.03,-0.19,0.0,m
1087.0,2186.0,2939.0,3173.0,2819.0,2512.0,2757.0,2657.0,0.05,9.63,6.53,-0.09,-0.07,-0.23,0.0,m
1083.0,2186.0,2928.0,3186.0,2832.0,2526.0,2762.0,2661.0,-0.13,9.54,6.83,-0.07,-0.08,-0.25,0.0,m
1086.0,2176.0,2930.0,3184.0,2823.0,2518.0,2756.0,2662.0,-0.18,9.56,6.8,-0.06,-0.08,-0.22,0.0,m
1077.0,2177.0,2944.0,3190.0,2832.0,2529.0,2766.0,2661.0,-0.13,9.53,6.92,-0.05,-0.04,-0.24,0.0,m
1082.0,2175.0,2937.0,3183.0,2826.0,2518.0,2760.0,2657.0,-0.27,9.53,6.95,-0.05,-0.05,-0.24,0.0,m
1091.0,2188.0,2933.0,3184.0,2833.0,2529.0,2765.0,2663.0,-0.32,9.52,6.95,-0.04,-0.08,-0.24,0.0,m
1086.0,2188.0,2936.0,3185.0,2835.0,2523.0,2758.0,2658.0,-0.38,9.5,6.93,-0.05,-0.07,-0.26,0.0,m
