hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3440.0,902.0,2862.0,3435.0,3553.0,3038.0,2950.0,3023.0,0.17,9.68,6.08,0.03,-0.0,-0.2,m
3447.0,903.0,2857.0,3428.0,3543.0,3035.0,2949.0,3023.0,-0.21,9.79,6.12,-0.02,-0.16,-0.15,m
3449.0,899.0,2859.0,3433.0,3539.0,3037.0,2957.0,3024.0,0.23,9.63,5.98,0.1,-0.07,-0.18,m
3455.0,898.0,2864.0,3440.0,3546.0,3039.0,2955.0,3022.0,-0.26,9.76,5.92,0.05,-0.09,-0.15,m
3455.0,909.0,2864.0,3427.0,3537.0,3039.0,2954.0,3024.0,0.08,9.67,5.8,0.08,-0.02,-0.18,m
3453.0,901.0,2863.0,3435.0,3548.0,3038.0,2950.0,3020.0,-0.15,9.78,5.83,0.01,-0.12,-0.14,m
3450.0,906.0,2863.0,3425.0,3545.0,3045.0,2955.0,3024.0,0.13,9.71,5.73,-0.01,-0.1,-0.14,m
3449.0,900.0,2853.0,3430.0,3545.0,3041.0,2951.0,3018.0,-0.08,9.72,5.97,-0.03,-0.04,-0.15,m
3440.0,909.0,2858.0,3429.0,3550.0,3041.0,2955.0,3017.0,0.05,9.75,5.99,-0.0,-0.14,-0.14,m
3463.0,903.0,2859.0,3438.0,3549.0,3042.0,2947.0,3004.0,0.05,9.73,5.98,0.02,-0.01,-0.17,m
3446.0,909.0,2864.0,3443.0,3547.0,3036.0,2949.0,3007.0,0.05,9.72,6.07,0.05,-0.13,-0.17,m
3446.0,905.0,2859.0,3447.0,3551.0,3041.0,2950.0,3003.0,0.04,9.68,6.11,0.08,-0.05,-0.17,m
3443.0,912.0,2861.0,3429.0,3547.0,3038.0,2949.0,3006.0,0.06,9.73,5.96,0.04,-0.25,-0.13,m
3454.0,909.0,2859.0,3429.0,3536.0,3035.0,2944.0,2998.0,0.19,9.63,5.88,0.06,-0.1,-0.16,m
3451.0,899.0,2851.0,3429.0,3546.0,3042.0,2947.0,3004.0,0.12,9.77,5.72,0.04,-0.23,-0.13,m
3442.0,906.0,2862.0,3424.0,3537.0,3043.0,2946.0,2995.0,0.09,9.75,5.71,0.12,-0.02,-0.23,m
3431.0,914.0,2869.0,3440.0,3536.0,3033.0,2939.0,2975.0,0.02,9.7,5.67,0.02,-0.16,-0.13,m
3440.0,903.0,2864.0,3435.0,3540.0,3038.0,2942.0,2972.0,0.27,9.71,5.96,0.1,-0.16,-0.15,m
3440.0,902.0,2866.0,3442.0,3543.0,3046.0,2947.0,2981.0,0.28,9.93,6.11,0.15,-0.57,-0.14,m
3434.0,904.0,2857.0,3437.0,3536.0,3034.0,2941.0,2979.0,0.76,9.87,5.57,0.21,-0.33,-0.24,m
3441.0,903.0,2861.0,3436.0,3536.0,3041.0,2941.0,2978.0,0.07,9.68,5.36,0.11,-0.23,-0.21,m
3443.0,908.0,2865.0,3453.0,3546.0,3035.0,2945.0,2981.0,0.41,9.88,5.06,0.1,-0.11,-0.27,m
3440.0,905.0,2867.0,3456.0,3547.0,3035.0,2939.0,2979.0,-0.3,9.77,5.31,0.05,-0.06,-0.25,m
3440.0,912.0,2864.0,3455.0,3547.0,3042.0,2937.0,2973.0,-0.25,9.88,5.38,0.06,-0.03,-0.25,m
3438.0,905.0,2864.0,3447.0,3546.0,3042.0,2943.0,2974.0,-0.19,9.83,5.24,-0.01,-0.12,-0.22,m
3430.0,901.0,2858.0,3441.0,3539.0,3034.0,2942.0,2978.0,-0.19,9.76,5.45,0.07,-0.07,-0.23,m
3415.0,903.0,2858.0,3451.0,3536.0,3036.0,2943.0,2982.0,-0.25,9.82,5.52,0.05,-0.05,-0.21,m
3446.0,894.0,2865.0,3447.0,3547.0,3042.0,2951.0,2991.0,-0.18,9.76,5.4,0.07,-0.03,-0.23,m
3431.0,897.0,2863.0,3451.0,3555.0,3043.0,2946.0,2987.0,-0.43,9.86,5.37,0.07,-0.06,-0.2,m
3415.0,905.0,2864.0,3445.0,3545.0,3039.0,2944.0,2993.0,-0.18,9.66,5.27,0.06,-0.11,-0.19,m
3414.0,898.0,2858.0,3454.0,3555.0,3045.0,2949.0,2994.0,-0.49,9.91,5.19,0.09,-0.01,-0.17,m
3429.0,910.0,2858.0,3457.0,3550.0,3039.0,2946.0,2993.0,-0.22,9.63,5.13,0.04,-0.01,-0.15,m
3426.0,912.0,2859.0,3450.0,3550.0,3040.0,2945.0,2992.0,-0.48,9.94,5.13,0.07,0.01,-0.16,m
3429.0,895.0,2864.0,3457.0,3563.0,3049.0,2949.0,2992.0,-0.23,9.72,5.02,0.0,-0.01,-0.13,m
3433.0,903.0,2855.0,3462.0,3545.0,3041.0,2944.0,2992.0,-0.24,9.93,5.15,0.03,-0.01,-0.13,m
3422.0,912.0,2864.0,3454.0,3553.0,3043.0,2951.0,2994.0,-0.11,9.75,5.26,-0.02,0.02,-0.13,m
3434.0,903.0,2864.0,3468.0,3559.0,3042.0,2944.0,2992.0,-0.1,9.93,5.15,0.02,-0.02,-0.14,m
3423.0,909.0,2863.0,3463.0,3557.0,3051.0,2948.0,2992.0,-0.07,9.75,5.29,-0.01,-0.02,-0.16,m
3425.0,910.0,2865.0,3456.0,3553.0,3046.0,2950.0,2995.0,-0.19,9.98,5.15,0.03,-0.03,-0.16,m
3423.0,909.0,2865.0,3456.0,3565.0,3050.0,2957.0,2996.0,-0.14,9.72,5.11,-0.02,-0.02,-0.17,m
3426.0,908.0,2861.0,3446.0,3547.0,3045.0,2948.0,2994.0,-0.27,9.86,5.2,0.03,-0.01,-0.16,m
3415.0,908.0,2858.0,3468.0,3551.0,3050.0,2947.0,2989.0,-0.38,9.82,5.01,-0.01,-0.03,-0.17,m
3410.0,899.0,2863.0,3454.0,3557.0,3043.0,2953.0,2994.0,-0.34,9.98,4.93,-0.04,-0.04,-0.17,m
3421.0,901.0,2860.0,3454.0,3553.0,3045.0,2951.0,2993.0,-0.35,9.93,4.92,-0.04,-0.07,-0.17,m
3430.0,909.0,2864.0,3469.0,3566.0,3043.0,2948.0,2991.0,-0.45,10.14,4.73,-0.15,0.01,-0.2,m
3426.0,912.0,2854.0,3455.0,3552.0,3046.0,2951.0,2992.0,-1.44,9.66,5.2,-0.15,0.02,-0.11,m
3419.0,899.0,2858.0,3454.0,3557.0,3043.0,2951.0,2987.0,-1.22,9.69,4.34,-0.25,-0.08,0.08,m
3413.0,912.0,2857.0,3455.0,3555.0,3049.0,2953.0,2992.0,-1.15,9.57,5.66,-0.29,0.14,0.12,m
3421.0,909.0,2865.0,3460.0,3561.0,3054.0,2955.0,2990.0,-0.53,9.99,5.57,-0.15,-0.03,0.2,m
3412.0,906.0,2861.0,3457.0,3553.0,3047.0,2949.0,2992.0,0.43,9.68,6.08,-0.2,0.2,0.1,m
3422.0,911.0,2864.0,3467.0,3568.0,3047.0,2947.0,2990.0,0.41,9.89,5.99,-0.06,-0.05,0.08,m
3425.0,903.0,2863.0,3467.0,3565.0,3050.0,2949.0,2989.0,1.17,9.68,5.84,-0.21,-0.02,-0.07,m
3423.0,906.0,2868.0,3461.0,3568.0,3055.0,2958.0,2992.0,0.52,9.62,6.64,-0.19,-0.01,-0.12,m
3413.0,910.0,2864.0,3467.0,3560.0,3053.0,2954.0,2993.0,0.73,9.5,6.9,-0.11,0.07,-0.13,m
3426.0,912.0,2869.0,3467.0,3571.0,3055.0,2951.0,2986.0,0.2,9.51,6.53,-0.04,-0.22,-0.05,m
3422.0,909.0,2862.0,3459.0,3568.0,3053.0,2957.0,2986.0,0.72,9.33,6.44,-0.06,-0.06,-0.04,m
3405.0,912.0,2861.0,3463.0,3563.0,3049.0,2955.0,2990.0,0.04,9.76,6.53,0.01,-0.07,0.01,m
3429.0,910.0,2864.0,3472.0,3568.0,3054.0,2958.0,2989.0,1.2,9.76,6.34,-0.0,-0.01,0.04,m
3408.0,906.0,2855.0,3466.0,3559.0,3045.0,2950.0,2986.0,1.29,9.84,6.89,0.01,0.17,-0.08,m
3414.0,902.0,2862.0,3466.0,3557.0,3051.0,2954.0,2986.0,1.59,9.84,6.33,0.01,0.0,-0.12,m
3401.0,906.0,2863.0,3463.0,3562.0,3051.0,2957.0,2988.0,1.04,9.57,6.46,-0.01,0.3,-0.26,m
3414.0,914.0,2871.0,3474.0,3565.0,3053.0,2958.0,2992.0,0.92,9.31,6.63,0.04,0.12,-0.23,m
3415.0,903.0,2859.0,3475.0,3563.0,3051.0,2954.0,2990.0,0.92,9.36,6.71,0.12,0.13,-0.32,m
3413.0,898.0,2859.0,3463.0,3558.0,3047.0,2954.0,2987.0,0.85,9.53,6.35,0.11,-0.06,-0.27,m
3412.0,909.0,2848.0,3472.0,3559.0,3050.0,2959.0,2990.0,0.98,9.62,6.29,0.1,-0.03,-0.25,m
3412.0,905.0,2864.0,3472.0,3558.0,3051.0,2958.0,2989.0,0.95,9.5,6.22,0.05,-0.07,-0.2,m
3424.0,894.0,2850.0,3478.0,3562.0,3055.0,2956.0,2982.0,0.96,9.54,6.32,0.0,-0.07,-0.18,m
3415.0,901.0,2859.0,3470.0,3558.0,3053.0,2954.0,2986.0,1.04,9.36,6.56,0.02,-0.12,-0.14,m
3405.0,912.0,2861.0,3470.0,3559.0,3047.0,2956.0,2992.0,1.07,9.76,6.6,0.01,-0.28,-0.16,m
3425.0,895.0,2863.0,3483.0,3568.0,3050.0,2955.0,2992.0,1.33,10.2,6.36,0.1,-0.29,-0.29,m
3402.0,906.0,2857.0,3469.0,3558.0,3052.0,2955.0,2992.0,0.7,9.66,6.42,0.03,-0.35,-0.33,m
3414.0,907.0,2866.0,3467.0,3561.0,3056.0,2960.0,2990.0,0.51,9.32,6.24,0.12,-0.42,-0.29,m
3414.0,906.0,2865.0,3469.0,3567.0,3054.0,2955.0,2993.0,0.29,9.11,6.21,0.03,-0.24,-0.19,m
3409.0,900.0,2859.0,3466.0,3561.0,3056.0,2956.0,2991.0,0.45,9.53,6.03,0.04,-0.35,-0.12,m
3395.0,895.0,2861.0,3469.0,3564.0,3053.0,2960.0,2993.0,0.85,9.48,6.54,-0.01,-0.01,-0.15,m
3408.0,908.0,2861.0,3471.0,3569.0,3058.0,2960.0,2990.0,1.15,9.71,5.66,0.11,-0.14,-0.19,m
3406.0,897.0,2864.0,3475.0,3574.0,3057.0,2957.0,2985.0,0.26,9.33,5.91,0.12,-0.07,-0.22,m
3400.0,913.0,2861.0,3468.0,3579.0,3057.0,2959.0,2990.0,0.49,9.7,5.95,0.23,-0.1,-0.22,m
3406.0,903.0,2866.0,3468.0,3574.0,3058.0,2957.0,2987.0,0.96,9.66,5.95,0.3,-0.19,-0.32,m
3403.0,896.0,2860.0,3475.0,3577.0,3059.0,2954.0,2986.0,-0.11,9.77,5.62,0.35,-0.25,-0.36,m
3406.0,903.0,2864.0,3478.0,3578.0,3056.0,2955.0,2984.0,0.04,9.82,5.01,0.25,-0.23,-0.37,m
3394.0,900.0,2859.0,3466.0,3571.0,3056.0,2955.0,2974.0,-0.78,9.77,4.9,0.2,-0.33,-0.2,m
3385.0,899.0,2863.0,3471.0,3568.0,3055.0,2950.0,2979.0,0.3,10.39,5.17,0.03,-0.26,-0.21,m
3392.0,903.0,2858.0,3475.0,3568.0,3053.0,2959.0,2986.0,-0.28,11.01,5.37,0.26,-0.54,-0.33,m
3389.0,911.0,2863.0,3471.0,3559.0,3043.0,2948.0,2977.0,1.37,9.7,5.0,-0.15,-0.11,-0.48,m
3399.0,906.0,2858.0,3472.0,3559.0,3041.0,2954.0,2976.0,-0.48,9.38,6.04,-0.06,-0.46,-0.48,m
3394.0,903.0,2861.0,3477.0,3563.0,3038.0,2951.0,2981.0,0.05,10.01,5.7,-0.02,-0.14,-0.49,m
3362.0,909.0,2862.0,3450.0,3530.0,3026.0,2947.0,2965.0,-1.09,9.78,4.81,0.07,-0.56,-0.41,m
3361.0,903.0,2859.0,3408.0,3483.0,2992.0,2932.0,2951.0,-0.92,9.69,5.39,-0.04,-0.05,-0.54,m
3376.0,896.0,2858.0,3419.0,3467.0,2986.0,2927.0,2940.0,-1.53,9.98,5.29,0.19,-0.15,-0.46,m
3377.0,895.0,2864.0,3408.0,3424.0,2960.0,2910.0,2906.0,-1.34,9.81,4.65,-0.05,-0.2,-0.34,m
3373.0,898.0,2871.0,3419.0,3406.0,2946.0,2901.0,2893.0,-1.38,9.7,5.49,-0.13,-0.2,-0.25,m
3365.0,896.0,2862.0,3418.0,3402.0,2946.0,2896.0,2891.0,-1.31,9.97,5.31,0.02,-0.05,-0.1,m
3375.0,901.0,2861.0,3410.0,3408.0,2967.0,2908.0,2902.0,-1.37,9.46,5.78,-0.03,-0.11,0.07,m
3390.0,905.0,2858.0,3410.0,3398.0,2973.0,2901.0,2909.0,-1.39,9.62,5.48,0.32,-0.37,0.17,m
3377.0,900.0,2859.0,3409.0,3371.0,2956.0,2896.0,2905.0,-0.44,9.97,4.24,-0.07,-0.3,0.3,m
3366.0,902.0,2855.0,3409.0,3317.0,2928.0,2896.0,2895.0,-0.81,9.65,5.08,-0.2,0.1,0.17,m
3379.0,898.0,2863.0,3413.0,3322.0,2928.0,2896.0,2890.0,0.14,9.57,5.39,-0.29,0.07,0.2,m
3381.0,897.0,2864.0,3413.0,3327.0,2934.0,2898.0,2886.0,0.19,9.7,6.22,-0.04,-0.49,0.04,m
3382.0,906.0,2859.0,3399.0,3328.0,2943.0,2901.0,2894.0,0.58,9.39,6.05,0.06,-1.9,0.12,m
3361.0,902.0,2866.0,3408.0,3334.0,2943.0,2906.0,2887.0,0.85,9.76,5.38,0.21,-1.16,-0.02,m
3366.0,908.0,2862.0,3405.0,3319.0,2934.0,2893.0,2864.0,1.33,9.8,5.13,0.23,-1.11,-0.03,m
3371.0,897.0,2857.0,3395.0,3292.0,2918.0,2887.0,2859.0,0.33,9.76,5.72,0.24,-0.39,0.05,m
3371.0,901.0,2853.0,3391.0,3298.0,2922.0,2889.0,2859.0,1.78,9.99,4.67,0.33,-0.39,0.1,m
3401.0,903.0,2861.0,3406.0,3291.0,2911.0,2896.0,2846.0,-0.06,10.05,5.77,0.11,-1.05,0.25,m
3395.0,896.0,2855.0,3401.0,3323.0,2928.0,2906.0,2842.0,3.15,9.74,4.18,-0.01,-1.21,0.23,m
3374.0,891.0,2861.0,3389.0,3333.0,2943.0,2917.0,2854.0,1.62,9.58,4.6,0.1,-0.49,-0.16,m
3375.0,891.0,2868.0,3407.0,3344.0,2951.0,2921.0,2859.0,1.62,9.92,4.1,0.11,0.1,-0.23,m
3382.0,883.0,2864.0,3415.0,3345.0,2958.0,2922.0,2846.0,1.21,9.68,4.37,0.11,0.04,-0.16,m
3376.0,887.0,2862.0,3417.0,3342.0,2946.0,2916.0,2845.0,1.16,10.02,4.46,-0.07,0.58,-0.22,m
3365.0,895.0,2864.0,3437.0,3327.0,2946.0,2924.0,2847.0,2.09,9.65,4.57,0.08,0.19,-0.3,m
3365.0,905.0,2860.0,3455.0,3344.0,2959.0,2909.0,2855.0,0.53,10.1,4.88,0.19,0.4,-0.34,m
3378.0,895.0,2862.0,3463.0,3398.0,2991.0,2918.0,2911.0,2.16,9.77,4.15,0.26,-0.02,-0.26,m
3503.0,901.0,2864.0,3477.0,3488.0,3045.0,2959.0,2974.0,0.48,10.01,4.69,-0.02,0.11,-0.19,m
3644.0,911.0,2854.0,3466.0,3527.0,3090.0,2990.0,3037.0,2.21,9.87,3.71,-0.07,0.21,-0.34,m
3671.0,912.0,2866.0,3472.0,3553.0,3101.0,2991.0,3056.0,1.25,9.87,4.34,-0.66,-0.43,-0.59,m
3667.0,911.0,2867.0,3482.0,3541.0,3088.0,2992.0,3057.0,0.41,9.7,5.51,-0.3,0.08,-0.42,m
3681.0,912.0,2864.0,3479.0,3544.0,3107.0,3009.0,3111.0,0.72,9.72,5.21,0.17,-0.04,-0.28,m
3664.0,912.0,2863.0,3447.0,3539.0,3119.0,3027.0,3147.0,0.91,9.79,4.86,0.23,0.28,-0.35,m
3695.0,927.0,2865.0,3440.0,3554.0,3120.0,3042.0,3147.0,0.7,9.93,4.48,0.21,0.4,-0.26,m
3783.0,955.0,2864.0,3426.0,3573.0,3131.0,3046.0,3152.0,1.54,9.39,4.49,0.26,1.27,-0.59,m
3922.0,975.0,2862.0,3414.0,3609.0,3182.0,3071.0,3184.0,-0.24,10.1,4.48,0.4,1.59,-0.63,m
4078.0,1140.0,2855.0,3419.0,3712.0,3229.0,3093.0,3218.0,-0.69,9.96,4.27,0.35,1.44,-0.31,m
4095.0,1411.0,2863.0,3438.0,3777.0,3270.0,3116.0,3249.0,-0.25,9.78,4.13,-0.05,0.75,-0.17,m
4095.0,1637.0,2870.0,3436.0,3822.0,3282.0,3119.0,3271.0,-0.23,9.99,4.23,-0.17,0.31,-0.16,m
4095.0,1906.0,2865.0,3425.0,3904.0,3309.0,3126.0,3299.0,-0.81,9.76,4.94,-0.08,-0.05,-0.2,m
4095.0,2063.0,2863.0,3447.0,3932.0,3327.0,3130.0,3303.0,-0.21,9.81,4.63,0.06,-0.08,-0.16,m
4095.0,2138.0,2864.0,3449.0,3911.0,3311.0,3113.0,3279.0,0.13,10.12,3.89,0.08,-0.04,-0.13,m
4095.0,2176.0,2864.0,3459.0,3840.0,3255.0,3090.0,3217.0,0.14,9.61,4.33,-0.43,0.21,-0.16,m
4095.0,1802.0,2862.0,3458.0,3781.0,3189.0,3066.0,3168.0,-0.22,10.06,4.96,-0.19,0.01,-0.15,m
4095.0,1169.0,2864.0,3424.0,3710.0,3147.0,3035.0,3087.0,-0.61,9.84,5.19,-0.28,-0.19,0.0,m
4095.0,991.0,2866.0,3422.0,3692.0,3134.0,3035.0,3062.0,-0.1,9.99,4.65,-0.01,0.17,-0.15,m
4095.0,947.0,2867.0,3403.0,3662.0,3104.0,3027.0,3070.0,0.25,9.57,4.75,-0.28,-0.21,-0.04,m
4095.0,915.0,2864.0,3387.0,3600.0,3059.0,2997.0,3043.0,-0.76,10.56,4.79,-0.07,0.32,-0.08,m
4095.0,908.0,2861.0,3378.0,3574.0,3029.0,3004.0,3043.0,0.61,8.88,5.64,-0.3,-0.09,-0.09,m
4095.0,909.0,2855.0,3371.0,3503.0,2969.0,2978.0,3030.0,-0.77,10.19,5.81,0.08,0.21,-0.05,m
4095.0,913.0,2864.0,3343.0,3469.0,2891.0,2960.0,2997.0,1.62,9.72,4.5,0.06,-0.15,-0.06,m
4095.0,912.0,2864.0,3328.0,3451.0,2832.0,2954.0,2981.0,-0.74,9.89,5.79,-0.06,-0.07,-0.18,m
4095.0,912.0,2859.0,3329.0,3386.0,2801.0,2935.0,2958.0,0.69,9.9,5.04,0.02,0.08,-0.14,m
4095.0,913.0,2859.0,3339.0,3376.0,2809.0,2928.0,2958.0,-0.08,9.91,5.33,0.02,-0.18,-0.12,m
4095.0,912.0,2862.0,3347.0,3376.0,2823.0,2923.0,2958.0,-0.26,9.98,5.15,-0.05,0.01,-0.07,m
4095.0,910.0,2857.0,3356.0,3340.0,2840.0,2926.0,2966.0,0.34,9.83,5.05,-0.06,-0.09,-0.12,m
4095.0,912.0,2863.0,3359.0,3338.0,2855.0,2919.0,2965.0,0.33,9.57,5.52,0.03,-0.16,-0.22,m
4095.0,912.0,2858.0,3349.0,3341.0,2867.0,2922.0,2966.0,-0.05,10.03,4.99,0.16,0.11,-0.14,m
4095.0,901.0,2861.0,3355.0,3345.0,2865.0,2912.0,2962.0,0.64,9.62,5.01,0.14,0.08,-0.16,m
4095.0,901.0,2864.0,3351.0,3357.0,2877.0,2906.0,2958.0,-0.62,10.44,5.17,-0.04,-0.15,0.0,m
4095.0,908.0,2854.0,3359.0,3357.0,2896.0,2899.0,2941.0,1.09,9.54,4.93,0.05,-0.12,-0.09,m
4095.0,907.0,2863.0,3360.0,3344.0,2921.0,2902.0,2931.0,0.21,9.8,5.26,0.01,-0.03,-0.14,m
4095.0,906.0,2854.0,3346.0,3344.0,2927.0,2905.0,2921.0,0.39,9.84,4.97,0.1,0.12,-0.17,m
4095.0,906.0,2852.0,3335.0,3349.0,2934.0,2916.0,2911.0,0.06,9.99,5.02,0.07,0.22,-0.13,m
4095.0,894.0,2864.0,3344.0,3351.0,2937.0,2909.0,2857.0,0.49,9.87,5.2,0.15,0.02,-0.18,m
4095.0,896.0,2865.0,3354.0,3336.0,2932.0,2896.0,2806.0,0.17,9.69,5.48,0.33,0.07,-0.28,m
4095.0,899.0,2866.0,3375.0,3342.0,2943.0,2912.0,2815.0,0.29,10.55,4.32,0.23,-0.21,-0.15,m
4095.0,892.0,2872.0,3391.0,3355.0,2959.0,2928.0,2865.0,0.73,9.41,4.66,0.13,-0.27,-0.36,m
4095.0,908.0,2864.0,3427.0,3367.0,2975.0,2945.0,2931.0,0.12,10.47,4.04,-0.02,-0.33,-0.27,m
4095.0,903.0,2876.0,3443.0,3382.0,2977.0,2975.0,2976.0,0.25,9.61,4.47,-0.22,-0.23,-0.4,m
4095.0,903.0,2876.0,3470.0,3414.0,3008.0,3008.0,3031.0,-0.17,9.94,4.71,-0.03,-0.04,-0.2,m
4095.0,907.0,2867.0,3487.0,3428.0,3021.0,3024.0,3071.0,0.34,9.75,4.78,0.06,-0.04,-0.3,m
4095.0,906.0,2874.0,3511.0,3430.0,3041.0,3030.0,3101.0,-0.38,9.98,4.67,0.01,0.17,-0.21,m
4095.0,903.0,2865.0,3504.0,3437.0,3040.0,3035.0,3103.0,-0.12,9.75,4.62,-0.09,0.02,-0.19,m
4095.0,919.0,2874.0,3504.0,3441.0,3041.0,3038.0,3102.0,-0.57,9.96,4.94,-0.05,0.18,-0.17,m
4095.0,912.0,2863.0,3509.0,3446.0,3040.0,3041.0,3120.0,0.31,9.63,4.98,-0.0,-0.08,-0.1,m
4095.0,917.0,2865.0,3520.0,3475.0,3063.0,3059.0,3143.0,-0.01,10.01,4.91,0.08,0.28,-0.19,m
4095.0,928.0,2864.0,3503.0,3555.0,3115.0,3090.0,3173.0,-0.29,9.64,5.16,0.11,-0.03,-0.1,m
4095.0,988.0,2866.0,3479.0,3691.0,3181.0,3121.0,3221.0,0.05,9.94,4.53,0.17,0.02,-0.17,m
4095.0,1168.0,2864.0,3469.0,3796.0,3223.0,3139.0,3249.0,-0.51,9.82,4.95,0.03,0.09,-0.2,m
4095.0,1298.0,2865.0,3478.0,3824.0,3243.0,3141.0,3254.0,-0.48,10.05,4.48,0.15,0.08,-0.22,m
4095.0,1286.0,2867.0,3490.0,3820.0,3227.0,3137.0,3257.0,-0.79,9.99,4.28,-0.0,0.06,-0.17,m
4095.0,1070.0,2862.0,3472.0,3732.0,3153.0,3101.0,3205.0,-0.21,9.96,3.92,-0.18,0.03,-0.1,m
4095.0,933.0,2859.0,3465.0,3636.0,3088.0,3042.0,3093.0,-0.36,9.62,4.74,-0.31,-0.08,-0.16,m
4095.0,902.0,2868.0,3466.0,3555.0,3045.0,2992.0,3007.0,-0.42,9.94,4.82,-0.13,-0.09,-0.07,m
4095.0,893.0,2863.0,3473.0,3496.0,2980.0,2934.0,2897.0,-0.3,9.79,5.11,-0.07,-0.15,-0.1,m
4095.0,898.0,2862.0,3465.0,3423.0,2911.0,2907.0,2870.0,-0.03,9.82,5.2,0.02,-0.05,-0.02,m
4095.0,899.0,2875.0,3472.0,3415.0,2895.0,2901.0,2869.0,0.42,9.98,4.87,-0.05,-0.02,-0.12,m
4095.0,898.0,2869.0,3461.0,3402.0,2901.0,2913.0,2879.0,0.4,9.88,4.9,-0.15,-0.08,-0.17,m
4095.0,896.0,2864.0,3453.0,3385.0,2907.0,2914.0,2886.0,0.28,9.89,5.22,-0.08,-0.04,-0.17,m
4095.0,907.0,2865.0,3467.0,3395.0,2896.0,2903.0,2871.0,0.25,9.96,5.02,-0.05,0.05,-0.12,m
4095.0,899.0,2869.0,3472.0,3324.0,2814.0,2868.0,2801.0,0.28,9.86,5.11,-0.28,0.01,0.01,m
4095.0,899.0,2869.0,3489.0,3299.0,2803.0,2849.0,2795.0,0.27,9.7,5.42,-0.34,-0.1,-0.08,m
4095.0,899.0,2870.0,3492.0,3297.0,2802.0,2849.0,2801.0,0.06,9.42,6.08,-0.12,-0.02,-0.21,m
4095.0,896.0,2869.0,3502.0,3306.0,2822.0,2863.0,2816.0,-0.04,9.79,5.6,-0.01,-0.07,-0.22,m
4095.0,896.0,2865.0,3490.0,3312.0,2848.0,2877.0,2837.0,-0.11,9.77,5.43,0.06,0.03,-0.19,m
4095.0,896.0,2866.0,3494.0,3310.0,2851.0,2874.0,2830.0,-0.12,9.72,5.62,0.03,0.04,-0.13,m
4095.0,909.0,2867.0,3504.0,3300.0,2836.0,2869.0,2817.0,-0.45,10.2,5.48,-0.13,-0.01,-0.0,m
4095.0,896.0,2859.0,3527.0,3270.0,2819.0,2859.0,2829.0,0.02,9.27,5.94,-0.44,-0.14,0.31,m
4095.0,892.0,2877.0,3524.0,3265.0,2823.0,2847.0,2832.0,0.74,9.57,6.28,-0.18,-0.01,0.07,m
4095.0,910.0,2853.0,3512.0,3275.0,2819.0,2845.0,2833.0,0.7,9.49,6.59,-0.01,-0.18,0.04,m
4095.0,895.0,2871.0,3504.0,3243.0,2799.0,2847.0,2834.0,0.75,9.79,5.91,0.29,0.12,-0.13,m
4095.0,911.0,2863.0,3475.0,3229.0,2789.0,2852.0,2833.0,0.37,9.73,5.64,0.3,0.19,-0.01,m
4095.0,907.0,2863.0,3464.0,3258.0,2813.0,2876.0,2864.0,0.45,9.96,5.54,0.23,0.16,-0.12,m
4095.0,909.0,2864.0,3484.0,3310.0,2864.0,2907.0,2944.0,0.05,9.87,5.75,-0.04,-0.37,-0.09,m
4095.0,905.0,2864.0,3495.0,3318.0,2895.0,2927.0,2991.0,1.16,9.37,5.48,0.17,-0.35,-0.19,m
4095.0,901.0,2861.0,3481.0,3310.0,2882.0,2912.0,2935.0,0.58,10.28,5.02,0.04,0.33,0.02,m
