hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3619.0,4095.0,2938.0,3477.0,2880.0,2519.0,2675.0,2126.0,-1.11,9.74,2.99,-0.02,-0.02,-0.19,0.0,m
3614.0,4095.0,2950.0,3465.0,2874.0,2521.0,2672.0,2128.0,-1.2,9.68,2.92,0.03,-0.03,-0.18,0.0,m
3600.0,4095.0,2950.0,3457.0,2881.0,2518.0,2672.0,2128.0,-1.36,9.66,2.93,-0.0,0.01,-0.19,0.0,m
3599.0,4095.0,2948.0,3472.0,2879.0,2521.0,2678.0,2128.0,-1.32,9.75,2.94,-0.01,-0.0,-0.16,0.0,m
3603.0,4095.0,2959.0,3472.0,2875.0,2523.0,2674.0,2125.0,-1.4,9.76,3.14,0.01,-0.0,-0.18,0.0,m
3610.0,4095.0,2935.0,3468.0,2892.0,2530.0,2674.0,2121.0,-1.42,9.64,3.02,0.01,0.02,-0.17,0.0,m
3616.0,4095.0,2955.0,3469.0,2864.0,2531.0,2682.0,2122.0,-1.38,9.7,3.04,0.03,-0.06,-0.16,0.0,m
3609.0,4095.0,2949.0,3473.0,2886.0,2527.0,2679.0,2119.0,-1.39,9.7,3.09,0.02,-0.01,-0.13,0.0,m
3583.0,4095.0,2944.0,3471.0,2880.0,2521.0,2685.0,2117.0,-1.38,9.77,2.99,0.01,-0.02,-0.15,0.0,m
3619.0,4095.0,2957.0,3471.0,2896.0,2525.0,2677.0,2117.0,-1.36,9.72,3.02,-0.01,-0.01,-0.15,0.0,m
3613.0,4095.0,2955.0,3487.0,2892.0,2531.0,2686.0,2115.0,-1.4,9.68,2.9,0.02,-0.02,-0.15,0.0,m
3631.0,4095.0,2934.0,3479.0,2894.0,2523.0,2683.0,2128.0,-1.51,9.74,3.03,0.01,-0.0,-0.17,0.0,m
3616.0,4095.0,2951.0,3479.0,2887.0,2518.0,2682.0,2119.0,-1.43,9.67,3.04,0.01,-0.01,-0.17,0.0,m
3611.0,4095.0,2955.0,3477.0,2884.0,2526.0,2685.0,2118.0,-1.43,9.69,2.95,-0.0,-0.01,-0.15,0.0,m
3618.0,4095.0,2946.0,3487.0,2896.0,2533.0,2646.0,2119.0,-1.55,9.68,3.06,0.02,-0.02,-0.15,0.0,m
3616.0,4095.0,2945.0,3431.0,2891.0,2542.0,2679.0,2122.0,-1.41,9.75,3.08,-0.01,-0.04,-0.16,0.0,m
3606.0,4095.0,2955.0,3472.0,2890.0,2535.0,2679.0,2126.0,-1.39,9.7,3.11,0.02,-0.02,-0.16,0.0,m
3607.0,4095.0,2960.0,3473.0,2890.0,2538.0,2679.0,2123.0,-1.39,9.71,3.02,0.01,-0.03,-0.14,0.0,m
3609.0,4095.0,2960.0,3491.0,2889.0,2537.0,2684.0,2126.0,-1.43,9.72,3.05,0.0,-0.02,-0.15,0.0,m
3601.0,4095.0,2944.0,3486.0,2890.0,2538.0,2693.0,2127.0,-1.44,9.78,2.97,0.0,-0.02,-0.15,0.0,m
3600.0,4095.0,2943.0,3493.0,2893.0,2528.0,2682.0,2132.0,-1.48,9.76,3.08,0.01,0.0,-0.14,0.0,m
3606.0,4095.0,2945.0,3481.0,2897.0,2537.0,2683.0,2118.0,-1.53,9.56,3.12,-0.05,0.01,-0.13,0.0,m
3609.0,4095.0,2955.0,3486.0,2903.0,2542.0,2683.0,2128.0,-1.2,9.79,3.13,0.03,0.01,-0.13,0.0,m
3600.0,4095.0,2945.0,3499.0,2894.0,2524.0,2683.0,2128.0,-1.36,9.7,3.11,0.02,-0.01,-0.15,0.0,m
3615.0,4095.0,2945.0,3506.0,2896.0,2535.0,2685.0,2128.0,-1.29,9.75,3.14,0.02,-0.02,-0.15,0.0,m
3600.0,4095.0,2943.0,3496.0,2894.0,2533.0,2703.0,2128.0,-1.41,9.69,3.12,0.02,-0.0,-0.16,0.0,m
3625.0,4095.0,2941.0,3496.0,2901.0,2543.0,2694.0,2138.0,-1.33,9.71,3.15,0.03,-0.05,-0.14,0.0,m
3613.0,4095.0,2955.0,3495.0,2895.0,2534.0,2682.0,2137.0,-1.33,9.77,2.99,0.03,0.0,-0.16,0.0,m
3623.0,4095.0,2957.0,3499.0,2882.0,2537.0,2687.0,2129.0,-1.47,9.68,3.08,0.01,-0.01,-0.17,0.0,m
3611.0,4095.0,2949.0,3501.0,2897.0,2537.0,2691.0,2135.0,-1.42,9.69,3.02,0.03,0.02,-0.15,0.0,m
3605.0,4095.0,2946.0,3494.0,2909.0,2533.0,2694.0,2128.0,-1.43,9.69,3.08,0.02,0.02,-0.16,0.0,m
3606.0,4095.0,2957.0,3499.0,2911.0,2534.0,2690.0,2134.0,-1.45,9.71,3.13,0.02,0.01,-0.15,0.0,m
3608.0,4095.0,2953.0,3498.0,2897.0,2538.0,2702.0,2135.0,-1.41,9.76,3.0,0.01,0.01,-0.16,0.0,m
3626.0,4095.0,2955.0,3507.0,2898.0,2534.0,2694.0,2128.0,-1.3,9.74,3.07,0.04,0.0,-0.16,0.0,m
3622.0,4095.0,2945.0,3502.0,2909.0,2537.0,2705.0,2139.0,-1.41,9.71,3.05,0.03,0.02,-0.16,0.0,m
3600.0,4095.0,2938.0,3503.0,2898.0,2544.0,2706.0,2138.0,-1.48,9.64,3.15,0.01,0.02,-0.16,0.0,m
3605.0,4095.0,2951.0,3504.0,2903.0,2533.0,2701.0,2141.0,-1.26,9.69,3.0,0.03,0.01,-0.14,0.0,m
3602.0,4095.0,2933.0,3509.0,2911.0,2544.0,2703.0,2138.0,-1.38,9.72,2.99,0.02,0.02,-0.14,0.0,m
3614.0,4095.0,2944.0,3500.0,2907.0,2541.0,2693.0,2139.0,-1.43,9.69,3.09,0.01,0.02,-0.15,0.0,m
3612.0,4095.0,2947.0,3504.0,2906.0,2522.0,2701.0,2147.0,-1.4,9.67,3.11,0.01,-0.01,-0.15,0.0,m
3615.0,4095.0,2946.0,3522.0,2901.0,2534.0,2704.0,2139.0,-1.39,9.73,3.01,0.02,0.01,-0.16,0.0,m
3994.0,4095.0,2944.0,3360.0,2948.0,2630.0,2687.0,2234.0,-1.44,9.82,3.21,-0.02,-0.07,-0.12,0.0,m
3981.0,4095.0,2959.0,3364.0,2951.0,2630.0,2670.0,2227.0,-1.33,9.75,3.47,0.03,-0.06,-0.18,0.0,m
3984.0,4095.0,2951.0,3360.0,2959.0,2631.0,2679.0,2230.0,-1.74,9.75,3.11,0.0,-0.03,-0.16,0.0,m
3999.0,4095.0,2947.0,3372.0,2950.0,2634.0,2699.0,2231.0,-1.64,9.85,3.48,-0.05,0.01,-0.17,0.0,m
3983.0,4095.0,2946.0,3362.0,2954.0,2631.0,2702.0,2238.0,-1.58,9.81,3.11,0.05,0.0,-0.17,0.0,m
3997.0,4095.0,2959.0,3373.0,2966.0,2634.0,2693.0,2237.0,-1.53,9.75,3.46,-0.01,-0.01,-0.2,0.0,m
4005.0,4095.0,2951.0,3373.0,2962.0,2636.0,2702.0,2235.0,-1.52,9.63,3.35,0.05,-0.03,-0.22,0.0,m
3988.0,4095.0,2951.0,3361.0,2962.0,2631.0,2697.0,2239.0,-1.68,9.76,3.32,0.01,-0.03,-0.17,0.0,m
3987.0,4095.0,2960.0,3363.0,2967.0,2640.0,2703.0,2233.0,-1.62,9.62,3.29,-0.01,-0.08,-0.18,0.0,m
3986.0,4095.0,2947.0,3379.0,2969.0,2635.0,2698.0,2227.0,-1.82,9.67,3.43,0.02,-0.07,-0.15,0.0,m
