hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3434.0,888.0,3014.0,3315.0,3755.0,2992.0,3205.0,3319.0,0.6,9.83,2.65,0.11,-0.03,-0.01,1.0,m
3435.0,880.0,3002.0,3298.0,3788.0,2995.0,3221.0,3332.0,0.79,9.73,2.58,0.12,-0.05,-0.04,1.0,m
3429.0,867.0,3005.0,3310.0,3798.0,3010.0,3216.0,3349.0,0.8,9.79,2.55,0.06,-0.0,-0.04,1.0,m
3408.0,880.0,3008.0,3317.0,3799.0,3023.0,3228.0,3353.0,0.75,9.85,2.4,-0.0,0.01,-0.03,1.0,m
3415.0,880.0,3006.0,3326.0,3792.0,3024.0,3223.0,3373.0,0.8,9.84,2.44,-0.02,0.13,-0.05,1.0,m
3417.0,882.0,3005.0,3317.0,3791.0,3029.0,3225.0,3375.0,0.68,9.81,2.45,-0.1,-0.09,-0.05,1.0,m
3418.0,867.0,3005.0,3327.0,3790.0,3024.0,3226.0,3362.0,0.78,9.73,2.66,-0.04,0.06,-0.05,1.0,m
3431.0,879.0,3001.0,3323.0,3798.0,3025.0,3223.0,3360.0,0.49,9.81,2.46,-0.06,0.14,-0.04,1.0,m
3437.0,877.0,3003.0,3338.0,3792.0,3034.0,3233.0,3355.0,0.71,9.83,2.37,-0.01,0.02,-0.05,1.0,m
3443.0,878.0,3003.0,3323.0,3792.0,3024.0,3218.0,3372.0,0.68,9.78,2.43,-0.01,0.05,-0.01,1.0,m
3421.0,875.0,2995.0,3318.0,3806.0,3040.0,3227.0,3380.0,0.61,9.81,2.32,-0.01,-0.02,0.01,1.0,m
3433.0,879.0,3002.0,3312.0,3820.0,3043.0,3236.0,3393.0,0.71,9.79,2.37,-0.09,-0.01,0.04,1.0,m
3428.0,875.0,3002.0,3227.0,3813.0,3091.0,3245.0,3429.0,0.66,9.6,2.59,0.09,0.11,0.14,1.0,m
3442.0,873.0,3011.0,3248.0,3812.0,3110.0,3247.0,3430.0,1.04,9.86,2.24,0.05,-0.07,-0.03,1.0,m
3434.0,884.0,2993.0,3235.0,3845.0,3135.0,3242.0,3441.0,1.03,9.95,2.22,-0.02,0.03,-0.04,1.0,m
3440.0,878.0,2999.0,3227.0,3831.0,3140.0,3254.0,3438.0,0.76,9.86,2.35,-0.04,0.15,-0.0,1.0,m
3425.0,869.0,2996.0,3225.0,3862.0,3141.0,3252.0,3451.0,0.92,9.84,2.25,-0.01,0.08,0.0,1.0,m
3437.0,848.0,2993.0,3246.0,3847.0,3158.0,3265.0,3403.0,0.96,9.81,2.31,-0.09,0.14,-0.02,1.0,m
3421.0,871.0,2999.0,3243.0,3839.0,3158.0,3252.0,3371.0,0.9,9.79,2.27,-0.16,0.21,-0.02,1.0,m
3419.0,880.0,2997.0,3278.0,3839.0,3157.0,3254.0,3389.0,0.74,9.69,2.44,-0.0,0.06,-0.07,1.0,m
3435.0,883.0,3003.0,3270.0,3856.0,3152.0,3259.0,3387.0,0.67,9.9,2.24,0.06,0.08,-0.15,1.0,m
3438.0,891.0,3004.0,3295.0,3827.0,3170.0,3254.0,3381.0,0.77,9.86,2.11,0.01,0.0,-0.07,1.0,m
3437.0,838.0,3012.0,3303.0,3856.0,3165.0,3248.0,3390.0,0.65,9.84,2.2,-0.09,0.02,-0.01,1.0,m
3413.0,880.0,3008.0,3287.0,3853.0,3157.0,3255.0,3406.0,0.72,9.85,2.24,-0.02,-0.01,-0.02,1.0,m
3454.0,879.0,2995.0,3280.0,3851.0,3157.0,3253.0,3421.0,0.74,9.88,2.1,-0.06,0.06,0.01,1.0,m
3437.0,889.0,3007.0,3281.0,3852.0,3152.0,3249.0,3417.0,0.95,9.93,2.02,-0.12,0.09,-0.02,1.0,m
3442.0,878.0,2997.0,3280.0,3845.0,3136.0,3259.0,3387.0,0.87,9.84,2.2,-0.14,0.04,-0.06,1.0,m
3429.0,801.0,2997.0,3257.0,3826.0,3135.0,3248.0,3395.0,0.74,9.8,2.28,-0.16,0.12,-0.05,1.0,m
3443.0,868.0,3007.0,3226.0,3846.0,3120.0,3239.0,3374.0,0.37,9.55,2.56,0.01,-0.01,-0.02,1.0,m
3429.0,925.0,3007.0,3229.0,3823.0,3120.0,3251.0,3408.0,0.92,9.85,2.17,-0.01,-0.18,-0.1,1.0,m
3421.0,875.0,3004.0,3251.0,3841.0,3154.0,3258.0,3440.0,0.96,9.96,2.15,-0.02,-0.13,-0.08,1.0,m
3437.0,790.0,2999.0,3271.0,3824.0,3197.0,3280.0,3505.0,0.66,9.73,2.36,-0.2,-0.09,-0.07,1.0,m
3427.0,880.0,3001.0,3271.0,3842.0,3211.0,3311.0,3558.0,0.63,9.75,2.41,-0.13,0.04,-0.06,1.0,m
3429.0,879.0,3003.0,3265.0,3835.0,3210.0,3318.0,3696.0,0.59,9.66,2.52,-0.15,0.28,-0.01,1.0,m
3432.0,879.0,2999.0,3245.0,3827.0,3184.0,3296.0,3749.0,0.57,9.66,2.66,-0.07,0.28,0.07,1.0,m
3419.0,865.0,3018.0,3248.0,3810.0,3145.0,3291.0,3783.0,0.58,9.87,2.3,-0.06,0.16,-0.01,1.0,m
3418.0,881.0,3014.0,3220.0,3764.0,3121.0,3280.0,3792.0,0.88,9.8,2.48,0.02,0.47,0.02,1.0,m
3411.0,886.0,2999.0,3191.0,3743.0,3102.0,3254.0,3736.0,0.36,9.89,2.2,0.04,0.35,-0.05,1.0,m
3408.0,876.0,3008.0,3200.0,3735.0,3101.0,3261.0,3690.0,0.8,9.84,2.11,0.02,-0.1,-0.2,1.0,m
3392.0,923.0,3014.0,3215.0,3719.0,3102.0,3251.0,3651.0,0.69,9.77,2.35,0.02,0.04,-0.18,1.0,m
3398.0,880.0,3008.0,3211.0,3729.0,3098.0,3268.0,3645.0,0.28,9.85,2.15,0.11,-0.02,-0.2,1.0,m
3383.0,880.0,2999.0,3205.0,3759.0,3120.0,3255.0,3661.0,0.26,9.85,2.04,-0.05,0.01,-0.07,1.0,m
3376.0,864.0,3007.0,3202.0,3760.0,3117.0,3269.0,3664.0,0.36,9.95,2.15,-0.03,-0.09,-0.19,1.0,m
3378.0,876.0,3003.0,3205.0,3779.0,3115.0,3255.0,3675.0,0.2,9.88,1.94,-0.32,-0.2,-0.18,1.0,m
3381.0,886.0,3008.0,3216.0,3760.0,3110.0,3257.0,3669.0,0.24,9.9,2.14,-0.34,-0.09,-0.21,1.0,m
3373.0,887.0,2998.0,3215.0,3772.0,3101.0,3261.0,3693.0,0.1,9.64,2.42,-0.45,-0.12,-0.16,1.0,m
3369.0,871.0,3008.0,3193.0,3758.0,3088.0,3249.0,3664.0,0.06,9.85,2.54,-0.34,0.02,-0.2,1.0,m
3351.0,873.0,3008.0,3198.0,3751.0,3071.0,3247.0,3651.0,-0.16,9.47,2.87,-0.27,-0.06,-0.18,1.0,m
3327.0,873.0,2999.0,3185.0,3718.0,3056.0,3237.0,3633.0,0.0,9.84,3.24,0.13,0.16,-0.12,1.0,m
3318.0,879.0,3007.0,3172.0,3705.0,3025.0,3225.0,3600.0,-0.17,9.7,2.81,-0.09,0.01,-0.03,1.0,m
3323.0,880.0,3007.0,3169.0,3691.0,3025.0,3209.0,3554.0,-0.03,9.71,2.75,-0.07,0.11,0.01,1.0,m
3303.0,900.0,3005.0,3186.0,3690.0,3024.0,3219.0,3523.0,0.13,9.46,3.25,-0.0,0.18,-0.02,1.0,m
3301.0,874.0,3008.0,3181.0,3685.0,3027.0,3211.0,3472.0,-0.09,9.62,2.91,0.32,0.15,-0.12,1.0,m
3290.0,867.0,2992.0,3184.0,3694.0,3047.0,3223.0,3467.0,0.0,9.78,2.38,0.5,0.3,-0.06,1.0,m
3312.0,882.0,2999.0,3140.0,3666.0,3054.0,3223.0,3477.0,-0.68,10.35,1.44,0.09,0.25,-0.04,1.0,m
3301.0,891.0,3010.0,3141.0,3654.0,3024.0,3216.0,3497.0,-0.29,10.05,1.63,-0.07,-0.14,-0.07,1.0,m
3305.0,889.0,3000.0,3150.0,3634.0,3017.0,3202.0,3504.0,-0.19,9.9,2.05,-0.29,-0.07,0.03,1.0,m
3296.0,882.0,3002.0,3139.0,3631.0,3018.0,3214.0,3486.0,-0.01,9.65,2.71,-0.08,0.14,-0.05,1.0,m
3305.0,851.0,3002.0,3149.0,3627.0,3013.0,3216.0,3495.0,-0.38,9.84,2.23,0.22,0.08,-0.09,1.0,m
3303.0,884.0,3008.0,3142.0,3603.0,3017.0,3215.0,3459.0,-0.55,9.86,1.88,0.34,0.03,-0.26,1.0,m
3295.0,892.0,3011.0,3137.0,3583.0,3002.0,3199.0,3440.0,-0.76,9.88,1.56,0.13,0.07,-0.17,1.0,m
3311.0,889.0,3013.0,3146.0,3583.0,3006.0,3203.0,3421.0,-0.19,10.04,1.75,-0.27,0.28,0.05,1.0,m
3303.0,880.0,3007.0,3136.0,3604.0,3005.0,3206.0,3438.0,-0.38,9.59,2.43,0.1,0.42,0.01,1.0,m
3311.0,896.0,3002.0,3133.0,3600.0,3022.0,3214.0,3414.0,-0.36,9.8,2.3,0.39,0.05,-0.22,1.0,m
3312.0,927.0,3002.0,3113.0,3583.0,3015.0,3217.0,3379.0,-0.2,9.83,1.54,0.53,0.28,-0.28,1.0,m
3317.0,889.0,3008.0,3099.0,3568.0,3038.0,3216.0,3362.0,-0.43,10.65,0.38,0.4,0.59,-0.29,1.0,m
3339.0,884.0,3024.0,3095.0,3568.0,3056.0,3213.0,3364.0,-1.14,10.2,0.43,-0.1,0.54,-0.15,1.0,m
3311.0,895.0,2994.0,3107.0,3606.0,3088.0,3243.0,3393.0,-1.45,9.7,0.8,-0.34,0.05,-0.09,1.0,m
3312.0,817.0,3007.0,3133.0,3615.0,3120.0,3235.0,3424.0,-1.11,9.77,1.36,-0.14,-0.03,-0.02,1.0,m
3323.0,890.0,3010.0,3141.0,3641.0,3148.0,3263.0,3434.0,-1.09,9.77,1.47,0.01,-0.02,0.0,1.0,m
3309.0,819.0,2996.0,3142.0,3664.0,3182.0,3276.0,3470.0,-0.92,10.05,1.07,-0.02,-0.16,0.03,1.0,m
3309.0,877.0,3003.0,3153.0,3693.0,3243.0,3309.0,3531.0,-0.84,9.79,1.18,0.05,-0.04,-0.01,1.0,m
3296.0,877.0,3007.0,3175.0,3719.0,3302.0,3337.0,3583.0,-0.88,10.03,1.13,0.03,-0.16,0.01,1.0,m
3309.0,880.0,3018.0,3189.0,3731.0,3346.0,3382.0,3645.0,-0.77,10.02,0.74,-0.08,-0.16,-0.0,1.0,m
3301.0,880.0,2998.0,3174.0,3770.0,3397.0,3419.0,3649.0,-0.9,9.98,0.98,-0.11,-0.01,0.0,1.0,m
3296.0,875.0,3001.0,3195.0,3781.0,3401.0,3426.0,3699.0,-0.81,9.94,1.04,-0.08,-0.05,-0.02,1.0,m
3280.0,880.0,3008.0,3203.0,3792.0,3417.0,3431.0,3786.0,-0.8,9.85,1.1,-0.1,-0.0,-0.02,1.0,m
3302.0,891.0,3007.0,3191.0,3780.0,3413.0,3437.0,3782.0,-0.73,9.96,1.13,-0.08,-0.05,-0.02,1.0,m
3282.0,878.0,2992.0,3221.0,3789.0,3407.0,3398.0,3604.0,-0.61,9.92,1.14,-0.06,0.04,-0.05,1.0,m
3280.0,877.0,3008.0,3223.0,3755.0,3383.0,3389.0,3559.0,-0.75,9.99,1.13,-0.08,0.01,-0.06,1.0,m
3302.0,879.0,3006.0,3238.0,3782.0,3363.0,3355.0,3498.0,-0.85,9.93,1.05,-0.13,-0.08,-0.07,1.0,m
3286.0,879.0,3002.0,3233.0,3787.0,3342.0,3358.0,3472.0,-0.69,10.01,1.1,-0.09,-0.08,-0.02,1.0,m
3294.0,878.0,2994.0,3226.0,3739.0,3331.0,3333.0,3422.0,-0.74,9.93,1.01,-0.15,-0.11,-0.03,1.0,m
3295.0,870.0,3003.0,3235.0,3746.0,3310.0,3328.0,3370.0,-0.57,10.03,1.08,-0.13,-0.13,-0.04,1.0,m
3289.0,873.0,3013.0,3238.0,3743.0,3300.0,3332.0,3371.0,-0.74,9.91,1.39,-0.16,-0.2,-0.0,1.0,m
3293.0,883.0,3007.0,3247.0,3755.0,3312.0,3323.0,3377.0,-0.95,10.06,1.23,-0.14,-0.22,0.12,1.0,m
3292.0,880.0,3002.0,3248.0,3766.0,3331.0,3344.0,3484.0,-0.76,9.6,1.58,-0.17,-0.54,0.37,1.0,m
3292.0,878.0,3008.0,3264.0,3762.0,3347.0,3366.0,3617.0,-0.21,10.25,1.41,-0.17,-0.4,0.14,1.0,m
3305.0,879.0,3002.0,3253.0,3799.0,3388.0,3402.0,3745.0,-0.37,9.79,1.47,-0.31,-0.11,0.23,1.0,m
3286.0,875.0,2992.0,3258.0,3805.0,3397.0,3425.0,3877.0,-0.44,9.88,1.68,-0.22,-0.2,0.19,1.0,m
3290.0,890.0,3011.0,3266.0,3821.0,3431.0,3423.0,3952.0,0.08,9.79,2.2,-0.25,-0.03,0.23,1.0,m
3283.0,934.0,3003.0,3279.0,3875.0,3441.0,3438.0,4050.0,-0.74,9.85,2.28,-0.42,0.31,0.27,1.0,m
3282.0,879.0,2999.0,3264.0,3849.0,3457.0,3472.0,4065.0,0.24,9.43,2.66,-0.06,-0.18,0.24,1.0,m
3307.0,952.0,2997.0,3275.0,3858.0,3489.0,3451.0,4037.0,0.66,10.08,1.99,-0.04,0.16,0.27,1.0,m
3290.0,896.0,3004.0,3280.0,3878.0,3503.0,3455.0,3950.0,0.97,9.79,1.92,0.17,0.13,0.13,1.0,m
3279.0,918.0,2995.0,3263.0,3856.0,3377.0,3395.0,3825.0,1.61,10.1,1.68,0.09,0.21,0.04,1.0,m
3280.0,895.0,3003.0,3222.0,3853.0,3275.0,3334.0,3621.0,1.14,9.85,1.81,0.03,0.06,-0.06,1.0,m
3285.0,897.0,2998.0,3234.0,3824.0,3251.0,3291.0,3483.0,1.18,10.17,1.6,0.1,0.05,-0.22,1.0,m
3293.0,875.0,2999.0,3246.0,3802.0,3237.0,3283.0,3420.0,0.49,9.67,1.7,0.16,-0.06,-0.23,1.0,m
3298.0,899.0,3007.0,3241.0,3796.0,3250.0,3289.0,3376.0,0.48,9.99,1.47,0.25,0.04,-0.22,1.0,m
3287.0,900.0,3013.0,3242.0,3793.0,3248.0,3274.0,3369.0,0.24,9.93,1.38,0.2,0.12,-0.27,1.0,m
3285.0,898.0,3009.0,3246.0,3801.0,3222.0,3257.0,3343.0,0.22,10.05,1.07,0.16,-0.0,-0.28,1.0,m
3291.0,904.0,2994.0,3241.0,3779.0,3217.0,3264.0,3335.0,0.23,10.18,0.96,0.16,0.04,-0.38,1.0,m
3280.0,899.0,3009.0,3220.0,3791.0,3207.0,3250.0,3322.0,0.07,10.21,0.8,-0.06,-0.05,-0.3,1.0,m
3277.0,894.0,2999.0,3238.0,3780.0,3200.0,3253.0,3315.0,0.11,10.11,0.95,-0.14,0.01,-0.24,1.0,m
3277.0,898.0,3004.0,3221.0,3791.0,3189.0,3249.0,3311.0,-0.02,10.17,1.17,-0.32,0.14,-0.29,1.0,m
3286.0,891.0,3011.0,3230.0,3782.0,3183.0,3249.0,3316.0,-0.61,9.89,1.57,-0.33,0.78,-0.09,1.0,m
3299.0,883.0,3013.0,3228.0,3783.0,3184.0,3251.0,3343.0,-1.64,9.65,1.38,-0.37,0.62,0.09,1.0,m
3293.0,882.0,3004.0,3232.0,3795.0,3182.0,3253.0,3369.0,-0.85,9.88,1.33,-0.05,-0.14,0.15,1.0,m
3278.0,894.0,3002.0,3228.0,3798.0,3174.0,3248.0,3370.0,-0.3,9.91,1.59,-0.15,0.11,0.01,1.0,m
3280.0,916.0,2995.0,3227.0,3779.0,3191.0,3267.0,3375.0,-0.32,9.86,1.86,-0.13,0.22,0.03,1.0,m
3279.0,862.0,3001.0,3199.0,3777.0,3207.0,3284.0,3408.0,-0.45,9.66,1.95,-0.06,0.68,0.22,1.0,m
3312.0,895.0,3008.0,3215.0,3829.0,3243.0,3301.0,3487.0,-0.91,9.95,1.4,-0.25,0.71,0.44,1.0,m
3294.0,890.0,3007.0,3178.0,3789.0,3232.0,3302.0,3456.0,-0.2,9.38,2.02,0.4,0.26,0.12,1.0,m
3287.0,867.0,2999.0,3104.0,3741.0,3205.0,3282.0,3470.0,0.31,10.58,1.05,0.33,0.12,0.01,1.0,m
3286.0,880.0,3009.0,3088.0,3719.0,3197.0,3277.0,3458.0,0.15,10.01,0.95,-0.14,0.07,-0.11,1.0,m
3297.0,871.0,3007.0,3071.0,3696.0,3185.0,3253.0,3446.0,0.44,10.2,1.1,-0.13,0.09,-0.01,1.0,m
3289.0,880.0,3008.0,3053.0,3701.0,3195.0,3253.0,3428.0,0.07,9.82,1.41,-0.09,0.33,0.01,1.0,m
3287.0,883.0,3005.0,3015.0,3706.0,3231.0,3271.0,3440.0,-0.19,9.93,1.38,0.11,0.15,0.05,1.0,m
3280.0,877.0,3011.0,3057.0,3751.0,3312.0,3329.0,3553.0,0.17,10.09,1.18,0.07,-0.07,0.1,1.0,m
3281.0,876.0,2992.0,3138.0,3802.0,3418.0,3392.0,3743.0,0.07,9.89,1.19,0.06,-0.09,-0.07,1.0,m
3274.0,907.0,2995.0,3165.0,3840.0,3509.0,3530.0,3841.0,0.19,10.04,0.9,-0.05,-0.12,-0.32,1.0,m
3269.0,880.0,3009.0,3186.0,3888.0,3569.0,3635.0,3853.0,-0.18,10.17,0.78,0.03,-0.06,-0.18,1.0,m
3278.0,890.0,3006.0,3195.0,3890.0,3571.0,3642.0,3863.0,-0.07,9.92,1.02,0.08,-0.3,-0.21,1.0,m
3262.0,873.0,2999.0,3155.0,3888.0,3568.0,3648.0,3805.0,-0.13,10.09,0.85,0.12,-0.12,-0.07,1.0,m
3280.0,870.0,2996.0,3134.0,3867.0,3583.0,3648.0,3792.0,-0.32,10.0,0.7,0.06,-0.06,-0.04,1.0,m
3269.0,894.0,3009.0,3098.0,3867.0,3567.0,3641.0,3813.0,-0.21,10.0,0.61,-0.02,0.0,-0.05,1.0,m
3281.0,891.0,2995.0,3003.0,3862.0,3558.0,3622.0,3799.0,-0.27,9.89,0.61,-0.14,0.1,-0.09,1.0,m
3279.0,879.0,3000.0,2914.0,3899.0,3455.0,3486.0,3748.0,-0.24,10.09,0.6,-0.01,0.05,-0.12,1.0,m
3261.0,875.0,2998.0,2842.0,3857.0,3397.0,3431.0,3648.0,-0.19,10.0,0.49,-0.04,-0.15,-0.21,1.0,m
3275.0,880.0,2995.0,2827.0,3854.0,3376.0,3403.0,3622.0,-0.39,10.12,0.54,-0.19,-0.04,-0.08,1.0,m
3275.0,883.0,3008.0,2860.0,3858.0,3344.0,3375.0,3598.0,-0.12,10.12,0.92,-0.06,0.01,-0.03,1.0,m
3277.0,886.0,3007.0,2817.0,3847.0,3337.0,3367.0,3583.0,-0.18,10.01,0.91,-0.17,0.03,0.0,1.0,m
