hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2530.0,4095.0,2978.0,3106.0,4036.0,3315.0,3341.0,3443.0,0.7,9.62,3.09,-0.08,-0.04,-0.05,1.0,m
2542.0,4095.0,2969.0,3117.0,4063.0,3333.0,3349.0,3450.0,0.64,9.58,3.07,-0.12,-0.01,0.01,1.0,m
2535.0,4095.0,2978.0,3114.0,4061.0,3335.0,3325.0,3453.0,0.91,9.66,3.07,-0.04,0.0,-0.02,1.0,m
2525.0,4095.0,2974.0,3120.0,4048.0,3335.0,3350.0,3457.0,0.83,9.63,3.04,-0.09,-0.03,-0.04,1.0,m
2526.0,4095.0,2973.0,3109.0,4034.0,3335.0,3345.0,3453.0,0.78,9.62,3.15,-0.07,-0.08,-0.05,1.0,m
2528.0,4095.0,2971.0,3119.0,4043.0,3342.0,3346.0,3458.0,0.91,9.63,3.12,-0.06,-0.01,-0.03,1.0,m
2521.0,4095.0,2965.0,3120.0,4066.0,3337.0,3343.0,3456.0,0.82,9.62,3.09,-0.04,0.01,-0.04,1.0,m
2506.0,4095.0,2987.0,3127.0,4054.0,3344.0,3347.0,3452.0,0.75,9.63,3.07,-0.07,-0.03,-0.04,1.0,m
2507.0,4095.0,2987.0,3131.0,4051.0,3344.0,3349.0,3459.0,0.91,9.68,2.97,-0.08,-0.05,-0.03,1.0,m
2509.0,4095.0,2982.0,3135.0,4057.0,3338.0,3360.0,3452.0,0.95,9.62,3.06,-0.06,-0.03,-0.04,1.0,m
2525.0,4095.0,2963.0,3147.0,4063.0,3353.0,3365.0,3463.0,0.84,9.62,3.11,-0.09,0.01,-0.04,1.0,m
2519.0,4095.0,2963.0,3147.0,4062.0,3343.0,3360.0,3467.0,0.75,9.62,3.09,-0.06,-0.02,-0.03,1.0,m
2527.0,4095.0,2965.0,3146.0,4075.0,3349.0,3358.0,3465.0,0.93,9.67,3.02,-0.08,-0.01,-0.03,1.0,m
2537.0,4095.0,2977.0,3149.0,4048.0,3350.0,3359.0,3473.0,0.88,9.6,3.19,-0.04,-0.0,-0.04,1.0,m
2538.0,4095.0,2976.0,3152.0,4048.0,3343.0,3366.0,3474.0,0.86,9.64,3.02,-0.06,0.01,-0.03,1.0,m
2540.0,4095.0,2979.0,3153.0,4073.0,3345.0,3369.0,3478.0,0.87,9.61,3.17,-0.07,-0.01,-0.04,1.0,m
2541.0,4095.0,2976.0,3154.0,4091.0,3345.0,3363.0,3469.0,0.89,9.66,3.02,-0.04,-0.02,-0.05,1.0,m
2544.0,4095.0,2977.0,3154.0,4058.0,3342.0,3369.0,3470.0,0.9,9.62,3.15,-0.07,0.0,-0.04,1.0,m
2544.0,4095.0,2969.0,3156.0,4066.0,3338.0,3357.0,3470.0,0.87,9.62,3.1,-0.05,-0.02,-0.02,1.0,m
2538.0,4095.0,2975.0,3152.0,4065.0,3355.0,3369.0,3470.0,0.77,9.64,3.03,-0.09,0.02,-0.03,1.0,m
4095.0,4095.0,2982.0,3247.0,3912.0,3106.0,3311.0,3232.0,0.24,9.78,2.56,-0.15,-0.01,0.13,1.0,m
4095.0,1977.0,2991.0,3252.0,3919.0,3110.0,3293.0,3271.0,0.53,9.79,2.77,0.04,0.07,-0.07,1.0,m
4095.0,1315.0,2978.0,3249.0,3922.0,3117.0,3301.0,3264.0,0.65,9.79,2.68,-0.08,-0.04,0.04,1.0,m
4095.0,989.0,2986.0,3249.0,3919.0,3130.0,3291.0,3263.0,0.63,9.75,2.72,-0.04,0.01,-0.05,1.0,m
4095.0,938.0,2971.0,3242.0,3933.0,3121.0,3291.0,3271.0,0.62,9.71,2.85,-0.06,-0.01,-0.03,1.0,m
4095.0,908.0,2991.0,3247.0,3931.0,3135.0,3290.0,3270.0,0.53,9.73,2.71,-0.11,-0.03,-0.05,1.0,m
4095.0,915.0,2992.0,3246.0,3917.0,3134.0,3295.0,3280.0,0.67,9.73,2.75,-0.06,-0.02,-0.05,1.0,m
4095.0,909.0,2991.0,3247.0,3922.0,3133.0,3295.0,3285.0,0.53,9.74,2.72,-0.07,-0.01,-0.05,1.0,m
4095.0,911.0,2978.0,3250.0,3941.0,3132.0,3286.0,3286.0,0.55,9.71,2.78,-0.08,-0.02,-0.04,1.0,m
4095.0,908.0,2982.0,3239.0,3941.0,3122.0,3293.0,3291.0,0.61,9.69,2.86,-0.08,-0.03,-0.04,1.0,m
4095.0,906.0,2992.0,3247.0,3946.0,3130.0,3287.0,3302.0,0.62,9.7,2.83,-0.07,-0.0,-0.04,1.0,m
4095.0,912.0,2979.0,3239.0,3939.0,3136.0,3300.0,3293.0,0.59,9.67,2.9,-0.05,0.0,-0.04,1.0,m
4095.0,901.0,2978.0,3253.0,3959.0,3150.0,3303.0,3311.0,0.52,9.82,2.64,-0.08,-0.01,-0.03,1.0,m
4095.0,906.0,2983.0,3258.0,3967.0,3152.0,3305.0,3318.0,0.55,9.77,2.77,-0.06,-0.0,-0.03,1.0,m
4095.0,899.0,2977.0,3263.0,3963.0,3153.0,3314.0,3333.0,0.59,9.73,2.8,-0.05,0.01,-0.03,1.0,m
4095.0,901.0,2981.0,3254.0,3958.0,3158.0,3326.0,3326.0,0.6,9.77,2.77,-0.06,0.01,-0.04,1.0,m
4095.0,905.0,2982.0,3258.0,3958.0,3184.0,3325.0,3317.0,0.66,9.78,2.73,-0.06,-0.0,-0.04,1.0,m
4095.0,899.0,2991.0,3263.0,3978.0,3163.0,3315.0,3328.0,0.58,9.71,2.81,-0.05,0.0,-0.05,1.0,m
4095.0,901.0,2975.0,3266.0,3967.0,3161.0,3317.0,3328.0,0.66,9.73,2.77,-0.05,-0.04,-0.05,1.0,m
4095.0,902.0,2970.0,3266.0,3973.0,3163.0,3321.0,3322.0,0.57,9.71,2.84,-0.07,-0.03,-0.05,1.0,m
4051.0,3413.0,2990.0,3233.0,3810.0,3137.0,3220.0,3302.0,0.47,9.61,3.21,-0.05,0.01,-0.02,1.0,m
4063.0,3423.0,2991.0,3247.0,3807.0,3139.0,3228.0,3329.0,0.57,9.55,3.32,-0.07,0.0,-0.01,1.0,m
4043.0,3444.0,2992.0,3242.0,3796.0,3143.0,3225.0,3312.0,0.5,9.8,2.87,-0.09,0.01,-0.05,1.0,m
4048.0,3435.0,2997.0,3233.0,3795.0,3151.0,3225.0,3335.0,0.52,9.64,3.27,-0.06,-0.0,-0.03,1.0,m
4049.0,3459.0,2992.0,3234.0,3822.0,3148.0,3227.0,3339.0,0.57,9.66,3.09,-0.05,-0.01,-0.01,1.0,m
4042.0,3446.0,2994.0,3229.0,3817.0,3147.0,3230.0,3330.0,0.63,9.68,3.12,-0.06,0.01,-0.03,1.0,m
4053.0,3476.0,2990.0,3242.0,3817.0,3152.0,3239.0,3331.0,0.59,9.62,3.14,-0.06,-0.01,-0.04,1.0,m
4048.0,3475.0,2994.0,3229.0,3809.0,3146.0,3236.0,3328.0,0.56,9.6,3.16,-0.06,0.0,-0.03,1.0,m
4038.0,3479.0,2986.0,3217.0,3824.0,3141.0,3227.0,3328.0,0.62,9.62,3.14,-0.08,0.02,-0.02,1.0,m
4020.0,3491.0,2986.0,3221.0,3814.0,3141.0,3229.0,3331.0,0.61,9.61,3.19,-0.08,0.01,-0.04,1.0,m
4026.0,3520.0,2999.0,3225.0,3823.0,3135.0,3219.0,3344.0,0.57,9.57,3.24,-0.06,-0.0,-0.04,1.0,m
4027.0,3525.0,3001.0,3227.0,3811.0,3137.0,3226.0,3325.0,0.65,9.59,3.27,-0.05,-0.01,-0.04,1.0,m
4047.0,3536.0,2990.0,3223.0,3829.0,3136.0,3236.0,3334.0,0.62,9.54,3.32,-0.04,-0.01,-0.06,1.0,m
4034.0,3566.0,2987.0,3231.0,3821.0,3135.0,3230.0,3341.0,0.43,9.54,3.29,-0.06,-0.0,-0.04,1.0,m
