hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2434.0,927.0,2925.0,3888.0,3345.0,2607.0,3095.0,2807.0,-2.84,9.3,6.54,0.28,-0.39,-0.2,0.0,m
2267.0,940.0,2928.0,3870.0,3327.0,2594.0,3094.0,2805.0,-2.88,9.62,6.13,0.43,-0.48,-0.13,0.0,m
2178.0,933.0,2925.0,3873.0,3325.0,2601.0,3098.0,2811.0,-1.97,9.69,5.81,0.45,-0.55,-0.25,0.0,m
2167.0,925.0,2928.0,3882.0,3331.0,2599.0,3098.0,2812.0,-2.89,9.49,5.65,0.57,-0.52,-0.34,0.0,m
2165.0,933.0,2923.0,3874.0,3344.0,2602.0,3099.0,2813.0,-2.98,9.38,5.32,0.57,-0.59,-0.42,0.0,m
2161.0,923.0,2919.0,3873.0,3337.0,2602.0,3095.0,2815.0,-3.55,9.38,4.92,0.57,-0.43,-0.37,0.0,m
2170.0,928.0,2928.0,3873.0,3335.0,2603.0,3095.0,2816.0,-3.29,9.41,4.25,0.51,-0.66,-0.53,0.0,m
2167.0,922.0,2921.0,3884.0,3345.0,2603.0,3088.0,2817.0,-4.12,9.12,4.85,0.29,-0.52,-0.41,0.0,m
2167.0,937.0,2921.0,3882.0,3346.0,2607.0,3094.0,2816.0,-2.83,9.25,4.71,0.28,-0.89,-0.39,0.0,m
2164.0,923.0,2923.0,3879.0,3344.0,2605.0,3093.0,2823.0,-3.6,8.39,5.75,0.26,-0.51,-0.3,0.0,m
2166.0,917.0,2928.0,3888.0,3350.0,2608.0,3093.0,2821.0,-3.31,8.62,5.19,0.31,-0.81,-0.36,0.0,m
2182.0,931.0,2930.0,3879.0,3353.0,2608.0,3095.0,2827.0,-3.41,8.64,4.95,0.29,-0.65,-0.43,0.0,m
2175.0,925.0,2931.0,3888.0,3356.0,2615.0,3102.0,2828.0,-4.12,8.42,5.16,0.14,-0.55,-0.41,0.0,m
2167.0,924.0,2925.0,3888.0,3346.0,2608.0,3094.0,2829.0,-4.07,8.49,5.08,0.13,-0.58,-0.36,0.0,m
2176.0,919.0,2925.0,3885.0,3351.0,2610.0,3103.0,2831.0,-4.1,8.32,5.15,-0.03,-0.5,-0.41,0.0,m
2181.0,932.0,2923.0,3888.0,3354.0,2614.0,3094.0,2831.0,-4.65,8.41,5.49,-0.02,-0.63,-0.47,0.0,m
2181.0,933.0,2931.0,3894.0,3363.0,2621.0,3095.0,2832.0,-4.88,8.29,6.03,-0.21,-0.34,-0.29,0.0,m
2195.0,923.0,2927.0,3895.0,3370.0,2617.0,3094.0,2832.0,-5.23,8.56,6.09,-0.22,-0.19,-0.26,0.0,m
2224.0,927.0,2933.0,3891.0,3374.0,2623.0,3100.0,2835.0,-5.03,8.83,6.23,-0.17,-0.15,-0.2,0.0,m
2347.0,922.0,2920.0,3883.0,3374.0,2620.0,3089.0,2836.0,-4.94,8.46,6.85,-0.15,0.07,-0.06,0.0,m
2445.0,925.0,2931.0,3883.0,3386.0,2624.0,3100.0,2837.0,-4.61,8.71,6.41,0.04,-0.03,-0.14,0.0,m
2448.0,925.0,2929.0,3892.0,3386.0,2624.0,3101.0,2841.0,-4.6,8.64,6.11,-0.14,0.34,-0.01,0.0,m
2366.0,918.0,2929.0,3887.0,3383.0,2622.0,3096.0,2838.0,-4.75,8.45,6.14,-0.17,0.43,0.06,0.0,m
2375.0,922.0,2925.0,3892.0,3391.0,2627.0,3094.0,2838.0,-4.47,8.41,5.88,-0.14,0.36,-0.01,0.0,m
2363.0,933.0,2928.0,3904.0,3397.0,2623.0,3107.0,2839.0,-4.49,8.58,5.77,-0.21,0.36,-0.02,0.0,m
2355.0,919.0,2928.0,3890.0,3391.0,2628.0,3106.0,2842.0,-4.33,8.69,6.12,-0.27,0.43,0.06,0.0,m
2363.0,921.0,2934.0,3905.0,3399.0,2628.0,3103.0,2838.0,-4.13,8.86,6.57,-0.14,0.34,0.04,0.0,m
2365.0,923.0,2922.0,3903.0,3395.0,2628.0,3105.0,2829.0,-4.04,8.88,7.1,0.06,0.46,0.22,0.0,m
2362.0,931.0,2926.0,3905.0,3392.0,2627.0,3103.0,2800.0,-3.27,9.07,5.54,0.29,0.44,0.08,0.0,m
2358.0,924.0,2928.0,3907.0,3392.0,2628.0,3109.0,2800.0,-3.42,9.08,4.47,0.2,0.49,-0.03,0.0,m
2354.0,922.0,2925.0,3907.0,3395.0,2625.0,3099.0,2807.0,-3.71,9.14,4.17,-0.0,0.38,-0.02,0.0,m
2363.0,927.0,2930.0,3914.0,3392.0,2630.0,3104.0,2829.0,-3.6,8.94,4.55,-0.2,0.26,-0.05,0.0,m
2358.0,934.0,2933.0,3901.0,3393.0,2624.0,3106.0,2844.0,-3.37,9.0,5.16,-0.28,0.2,-0.09,0.0,m
2361.0,933.0,2928.0,3909.0,3392.0,2626.0,3113.0,2851.0,-4.01,9.22,5.45,-0.3,0.03,0.07,0.0,m
2355.0,934.0,2925.0,3919.0,3395.0,2631.0,3115.0,2859.0,-3.15,8.98,5.62,-0.19,-0.24,0.13,0.0,m
2349.0,927.0,2924.0,3904.0,3392.0,2627.0,3113.0,2863.0,-3.04,8.61,5.92,-0.25,-0.02,0.21,0.0,m
2353.0,921.0,2928.0,3920.0,3394.0,2628.0,3115.0,2863.0,-3.04,8.81,6.43,-0.24,-0.04,0.16,0.0,m
2351.0,929.0,2922.0,3911.0,3393.0,2636.0,3114.0,2865.0,-2.94,8.92,6.88,-0.19,0.03,0.16,0.0,m
2365.0,918.0,2934.0,3919.0,3394.0,2630.0,3114.0,2861.0,-2.48,9.11,6.55,-0.1,0.08,0.17,0.0,m
2354.0,925.0,2928.0,3914.0,3390.0,2630.0,3117.0,2863.0,-2.42,8.96,6.58,-0.14,0.11,0.15,0.0,m
2361.0,930.0,2931.0,3918.0,3393.0,2633.0,3119.0,2863.0,-1.84,9.09,6.49,-0.11,-0.0,-0.03,0.0,m
2352.0,914.0,2934.0,3917.0,3398.0,2630.0,3108.0,2856.0,-2.13,9.29,6.46,-0.15,0.13,-0.07,0.0,m
2353.0,930.0,2928.0,3916.0,3391.0,2630.0,3107.0,2861.0,-2.11,9.34,6.34,-0.12,0.02,-0.14,0.0,m
2347.0,927.0,2925.0,3915.0,3391.0,2630.0,3114.0,2864.0,-2.31,9.24,6.3,-0.07,-0.04,-0.06,0.0,m
2337.0,926.0,2926.0,3920.0,3391.0,2639.0,3119.0,2862.0,-2.27,9.17,6.32,-0.18,0.01,-0.3,0.0,m
2331.0,926.0,2921.0,3915.0,3392.0,2633.0,3116.0,2864.0,-2.99,9.44,6.48,-0.16,0.15,-0.22,0.0,m
2331.0,929.0,2930.0,3920.0,3385.0,2629.0,3117.0,2865.0,-2.58,9.71,6.32,-0.07,0.03,-0.18,0.0,m
2342.0,916.0,2925.0,3920.0,3394.0,2633.0,3115.0,2866.0,-2.95,9.44,6.79,-0.02,-0.2,-0.22,0.0,m
2337.0,919.0,2928.0,3922.0,3403.0,2631.0,3117.0,2863.0,-2.3,9.58,6.37,0.08,-0.53,-0.27,0.0,m
2328.0,931.0,2931.0,3925.0,3397.0,2635.0,3109.0,2863.0,-2.49,9.51,6.4,-0.04,-0.17,-0.28,0.0,m
2325.0,927.0,2926.0,3919.0,3389.0,2636.0,3117.0,2867.0,-2.93,9.23,6.98,-0.01,-0.38,-0.29,0.0,m
2331.0,929.0,2928.0,3920.0,3394.0,2636.0,3119.0,2864.0,-2.26,9.57,6.7,0.07,-0.4,-0.31,0.0,m
2327.0,934.0,2922.0,3919.0,3395.0,2634.0,3119.0,2867.0,-2.57,9.25,6.9,0.06,-0.46,-0.43,0.0,m
2321.0,930.0,2928.0,3905.0,3390.0,2630.0,3110.0,2863.0,-2.82,9.02,7.26,0.11,-0.51,-0.46,0.0,m
2322.0,919.0,2932.0,3920.0,3392.0,2629.0,3109.0,2863.0,-2.98,9.0,7.25,0.17,-0.61,-0.39,0.0,m
2321.0,919.0,2929.0,3910.0,3392.0,2627.0,3111.0,2857.0,-2.81,9.06,7.17,0.1,-0.62,-0.25,0.0,m
2335.0,918.0,2934.0,3920.0,3376.0,2629.0,3107.0,2841.0,-3.47,8.9,7.62,0.21,-0.38,-0.17,0.0,m
2335.0,921.0,2928.0,3923.0,3362.0,2623.0,3103.0,2847.0,-2.28,9.07,7.16,0.41,-0.82,-0.34,0.0,m
2329.0,926.0,2927.0,3927.0,3376.0,2630.0,3104.0,2855.0,-3.17,8.98,7.06,0.33,-0.33,-0.3,0.0,m
2333.0,928.0,2927.0,3911.0,3369.0,2626.0,3105.0,2855.0,-2.49,8.93,7.27,0.5,-1.47,-0.27,0.0,m
2332.0,923.0,2928.0,3909.0,3372.0,2625.0,3110.0,2861.0,-2.46,9.17,6.94,0.26,-0.32,-0.4,0.0,m
2366.0,921.0,2928.0,3917.0,3322.0,2624.0,3098.0,2857.0,-3.12,8.93,7.15,0.17,-0.08,-0.3,0.0,m
2373.0,919.0,2918.0,3908.0,3318.0,2620.0,3093.0,2861.0,-1.77,9.41,6.14,0.17,-0.62,-0.45,0.0,m
2378.0,927.0,2931.0,3914.0,3316.0,2623.0,3093.0,2853.0,-3.3,8.67,7.11,-0.1,0.37,-0.31,0.0,m
2390.0,919.0,2922.0,3923.0,3319.0,2623.0,3086.0,2846.0,-3.18,8.67,7.22,0.21,-0.58,-0.43,0.0,m
2381.0,937.0,2922.0,3907.0,3321.0,2624.0,3091.0,2850.0,-3.63,8.89,7.37,0.3,-1.05,-0.39,0.0,m
2379.0,925.0,2919.0,3914.0,3319.0,2623.0,3088.0,2845.0,-2.7,8.78,7.56,0.52,-2.08,-0.34,0.0,m
2387.0,919.0,2927.0,3914.0,3327.0,2624.0,3093.0,2855.0,-2.47,9.04,6.9,0.49,-1.46,-0.38,0.0,m
2379.0,922.0,2919.0,3921.0,3328.0,2623.0,3088.0,2857.0,-2.68,8.98,6.95,0.25,-0.63,-0.34,0.0,m
2383.0,934.0,2927.0,3918.0,3329.0,2624.0,3091.0,2860.0,-3.01,9.13,7.11,0.24,-0.54,-0.29,0.0,m
2384.0,930.0,2934.0,3911.0,3330.0,2626.0,3088.0,2855.0,-3.71,8.95,7.23,0.21,-0.47,-0.2,0.0,m
2391.0,933.0,2933.0,3920.0,3329.0,2626.0,3090.0,2853.0,-1.59,8.77,6.81,0.26,-1.26,-0.31,0.0,m
2397.0,926.0,2919.0,3920.0,3330.0,2623.0,3085.0,2850.0,-1.96,9.05,6.83,0.11,-0.51,-0.28,0.0,m
2395.0,930.0,2941.0,3925.0,3334.0,2624.0,3088.0,2854.0,-2.38,8.98,6.9,0.03,0.37,-0.25,0.0,m
2389.0,919.0,2924.0,3925.0,3338.0,2622.0,3085.0,2855.0,-2.79,9.0,6.97,-0.01,0.19,-0.23,0.0,m
2393.0,919.0,2926.0,3921.0,3337.0,2624.0,3089.0,2861.0,-2.6,8.94,6.95,0.01,-0.01,-0.23,0.0,m
2393.0,930.0,2928.0,3929.0,3333.0,2629.0,3088.0,2854.0,-2.54,8.59,7.13,0.02,-0.02,-0.18,0.0,m
2384.0,925.0,2917.0,3911.0,3328.0,2623.0,3085.0,2860.0,-2.62,9.1,6.91,0.07,-0.18,-0.17,0.0,m
2387.0,925.0,2928.0,3915.0,3340.0,2625.0,3088.0,2863.0,-2.44,9.25,6.77,0.07,-0.32,-0.2,0.0,m
2386.0,919.0,2931.0,3920.0,3340.0,2627.0,3088.0,2864.0,-2.44,9.25,6.72,-0.03,-0.16,-0.21,0.0,m
2401.0,930.0,2919.0,3911.0,3335.0,2624.0,3088.0,2861.0,-2.78,9.04,7.01,-0.08,-0.09,-0.2,0.0,m
2391.0,923.0,2925.0,3918.0,3331.0,2624.0,3091.0,2862.0,-2.83,8.85,7.06,-0.08,-0.31,-0.22,0.0,m
2393.0,917.0,2927.0,3920.0,3342.0,2631.0,3091.0,2865.0,-2.47,8.82,7.11,-0.1,-0.29,-0.17,0.0,m
2389.0,933.0,2924.0,3933.0,3344.0,2624.0,3088.0,2864.0,-2.96,8.8,7.61,-0.14,-0.02,-0.04,0.0,m
2393.0,933.0,2923.0,3914.0,3342.0,2625.0,3091.0,2864.0,-2.71,9.14,7.56,-0.03,-0.27,-0.02,0.0,m
2403.0,933.0,2928.0,3920.0,3344.0,2629.0,3092.0,2864.0,-2.04,9.08,7.81,0.13,-1.16,-0.03,0.0,m
2384.0,933.0,2927.0,3913.0,3339.0,2625.0,3092.0,2864.0,-1.72,9.18,7.69,0.08,-0.54,-0.08,0.0,m
2393.0,919.0,2919.0,3912.0,3339.0,2626.0,3090.0,2864.0,-1.51,9.33,7.43,0.12,-0.42,-0.05,0.0,m
2390.0,923.0,2937.0,3927.0,3349.0,2627.0,3098.0,2863.0,-1.52,9.2,7.35,0.08,-0.35,-0.18,0.0,m
2396.0,933.0,2925.0,3919.0,3346.0,2631.0,3089.0,2865.0,-1.79,9.05,7.45,-0.01,-0.01,-0.14,0.0,m
2388.0,932.0,2927.0,3915.0,3351.0,2637.0,3101.0,2864.0,-1.66,8.97,7.49,-0.02,-0.29,-0.16,0.0,m
2391.0,930.0,2923.0,3922.0,3354.0,2635.0,3103.0,2866.0,-2.05,9.1,7.62,-0.03,-0.0,-0.11,0.0,m
2400.0,929.0,2929.0,3920.0,3355.0,2638.0,3104.0,2864.0,-1.93,9.12,7.65,-0.04,-0.08,-0.04,0.0,m
2416.0,918.0,2929.0,3917.0,3355.0,2635.0,3101.0,2849.0,-1.14,9.25,6.69,-0.45,1.15,-0.14,0.0,m
2467.0,935.0,2929.0,3920.0,3370.0,2642.0,3107.0,2846.0,-2.24,8.61,7.69,-0.41,1.2,0.03,0.0,m
