hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2976.0,2688.0,3024.0,3695.0,3746.0,3632.0,3659.0,3466.0,-0.87,9.64,2.5,-0.22,0.16,-0.18,1.0,m
2978.0,2688.0,3025.0,3689.0,3751.0,3631.0,3648.0,3440.0,-1.22,9.55,2.84,-0.32,0.26,-0.14,1.0,m
2973.0,2688.0,3025.0,3696.0,3760.0,3639.0,3667.0,3440.0,-1.5,9.62,3.16,-0.27,0.19,-0.08,1.0,m
2970.0,2705.0,3029.0,3708.0,3738.0,3637.0,3663.0,3422.0,-1.2,9.6,3.24,-0.26,0.16,-0.04,1.0,m
2978.0,2704.0,3033.0,3701.0,3745.0,3642.0,3664.0,3425.0,-1.54,9.45,3.42,-0.28,0.19,0.03,1.0,m
2961.0,2709.0,3034.0,3696.0,3741.0,3632.0,3664.0,3410.0,-1.58,9.33,3.47,-0.26,0.2,0.04,1.0,m
2965.0,2723.0,3030.0,3696.0,3742.0,3634.0,3663.0,3411.0,-1.38,9.28,3.58,-0.22,0.22,0.04,1.0,m
2977.0,2736.0,3033.0,3705.0,3751.0,3631.0,3669.0,3413.0,-1.13,9.18,3.78,-0.2,0.21,-0.0,1.0,m
2975.0,2741.0,3027.0,3706.0,3754.0,3636.0,3670.0,3419.0,-1.22,9.33,3.56,-0.17,0.28,-0.02,1.0,m
2974.0,2726.0,3031.0,3710.0,3758.0,3634.0,3661.0,3412.0,-1.46,9.28,3.29,-0.22,0.3,-0.01,1.0,m
2971.0,2727.0,3025.0,3690.0,3741.0,3635.0,3664.0,3422.0,-1.75,9.24,3.32,-0.33,0.31,0.03,1.0,m
2985.0,2734.0,3033.0,3704.0,3753.0,3641.0,3669.0,3425.0,-1.68,9.18,3.71,-0.34,0.25,0.1,1.0,m
2967.0,2728.0,3039.0,3703.0,3748.0,3633.0,3669.0,3427.0,-1.49,9.11,4.09,-0.37,0.21,0.1,1.0,m
2981.0,2735.0,3027.0,3699.0,3760.0,3632.0,3669.0,3436.0,-1.21,9.04,4.68,-0.31,0.19,0.08,1.0,m
2974.0,2717.0,3030.0,3703.0,3759.0,3635.0,3664.0,3433.0,-1.57,8.9,5.1,-0.24,0.27,0.09,1.0,m
2983.0,2729.0,3038.0,3713.0,3773.0,3633.0,3666.0,3440.0,-1.84,8.81,5.23,-0.09,0.22,0.17,1.0,m
2975.0,2718.0,3040.0,3697.0,3763.0,3635.0,3670.0,3442.0,-1.39,8.94,4.87,-0.01,0.18,0.26,1.0,m
2961.0,2725.0,3024.0,3696.0,3755.0,3627.0,3659.0,3437.0,-0.99,9.17,4.5,0.03,0.1,0.27,1.0,m
2979.0,2725.0,3031.0,3711.0,3766.0,3638.0,3661.0,3426.0,-0.67,9.01,4.62,0.09,-0.02,0.24,1.0,m
2981.0,2706.0,3029.0,3697.0,3760.0,3622.0,3659.0,3434.0,-0.64,9.07,4.42,0.12,0.03,0.21,1.0,m
2960.0,2707.0,3026.0,3697.0,3760.0,3621.0,3655.0,3440.0,-0.54,9.18,4.32,0.2,-0.03,0.19,1.0,m
2978.0,2710.0,3029.0,3694.0,3760.0,3627.0,3664.0,3440.0,-0.33,9.22,4.28,0.22,0.0,0.18,1.0,m
2970.0,2709.0,3040.0,3690.0,3771.0,3622.0,3661.0,3440.0,-0.3,9.1,4.07,0.27,-0.1,0.18,1.0,m
2965.0,2705.0,3024.0,3675.0,3755.0,3602.0,3648.0,3439.0,-0.06,9.25,3.88,0.29,-0.11,0.17,1.0,m
2970.0,2699.0,3023.0,3670.0,3761.0,3602.0,3648.0,3439.0,0.01,9.45,3.35,0.34,-0.16,0.13,1.0,m
2975.0,2704.0,3024.0,3665.0,3770.0,3602.0,3651.0,3440.0,-0.13,9.49,2.9,0.29,-0.17,0.13,1.0,m
2975.0,2698.0,3031.0,3686.0,3766.0,3606.0,3650.0,3437.0,0.08,9.68,2.72,0.27,-0.21,0.12,1.0,m
2973.0,2689.0,3026.0,3679.0,3765.0,3601.0,3647.0,3440.0,0.43,9.81,2.39,0.23,-0.19,0.1,1.0,m
2967.0,2689.0,3027.0,3670.0,3765.0,3601.0,3643.0,3441.0,0.38,9.76,2.46,0.23,-0.19,0.03,1.0,m
2981.0,2688.0,3033.0,3670.0,3763.0,3606.0,3653.0,3446.0,0.18,9.83,2.23,0.24,-0.13,0.01,1.0,m
2967.0,2683.0,3027.0,3682.0,3760.0,3583.0,3645.0,3441.0,0.26,9.83,2.04,0.2,-0.12,0.01,1.0,m
2969.0,2692.0,3030.0,3682.0,3773.0,3617.0,3658.0,3449.0,0.28,9.73,2.09,0.18,-0.11,-0.0,1.0,m
2976.0,2687.0,3031.0,3685.0,3765.0,3611.0,3654.0,3446.0,0.36,9.89,1.9,0.17,-0.02,-0.0,1.0,m
2970.0,2697.0,3031.0,3694.0,3775.0,3614.0,3654.0,3456.0,0.41,9.87,1.78,0.16,-0.09,-0.04,1.0,m
2978.0,2697.0,3035.0,3695.0,3775.0,3615.0,3655.0,3451.0,0.29,9.82,1.6,0.1,-0.06,-0.02,1.0,m
2966.0,2695.0,3024.0,3693.0,3764.0,3608.0,3657.0,3451.0,0.19,9.97,1.36,0.05,-0.02,0.01,1.0,m
2973.0,2699.0,3025.0,3693.0,3760.0,3603.0,3646.0,3446.0,0.2,10.02,1.28,-0.02,0.05,0.06,1.0,m
2963.0,2688.0,3031.0,3698.0,3764.0,3610.0,3664.0,3450.0,0.75,10.08,1.38,-0.05,0.0,0.04,1.0,m
2982.0,2694.0,3026.0,3698.0,3762.0,3601.0,3653.0,3450.0,0.75,10.13,1.46,-0.04,0.09,-0.03,1.0,m
2979.0,2693.0,3040.0,3696.0,3769.0,3615.0,3662.0,3454.0,0.54,10.25,0.82,-0.09,0.18,-0.06,1.0,m
