hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3545.0,3006.0,2960.0,3669.0,3055.0,1427.0,2800.0,2379.0,-1.54,9.42,6.89,-0.07,0.05,-0.06,0.0,n
3569.0,3021.0,2971.0,3676.0,3071.0,1431.0,2811.0,2387.0,-0.41,9.41,6.86,-0.23,-0.44,-0.06,0.0,n
3554.0,3011.0,2958.0,3663.0,3067.0,1429.0,2810.0,2387.0,-0.67,9.37,7.39,-0.25,-0.2,-0.15,0.0,n
3569.0,3014.0,2963.0,3673.0,3083.0,1431.0,2810.0,2384.0,-0.75,9.19,7.71,-0.18,-0.12,-0.17,0.0,n
3574.0,3024.0,2981.0,3677.0,3093.0,1435.0,2820.0,2387.0,-0.99,9.13,7.95,-0.21,-0.1,-0.1,0.0,n
3567.0,3008.0,2969.0,3663.0,3086.0,1431.0,2823.0,2390.0,-0.08,9.01,7.93,-0.39,-0.1,-0.08,0.0,n
3577.0,3022.0,2966.0,3686.0,3093.0,1438.0,2829.0,2399.0,-0.41,8.84,8.51,-0.26,-0.16,-0.16,0.0,n
3563.0,3020.0,2963.0,3685.0,3093.0,1438.0,2828.0,2393.0,-0.51,8.68,8.88,-0.23,-0.01,-0.15,0.0,n
3582.0,3024.0,2981.0,3689.0,3103.0,1440.0,2836.0,2403.0,-0.46,8.61,9.2,-0.2,0.07,-0.08,0.0,n
3566.0,3017.0,2965.0,3687.0,3090.0,1437.0,2831.0,2400.0,-0.14,8.54,9.38,-0.14,0.18,-0.08,0.0,n
3575.0,3013.0,2965.0,3696.0,3106.0,1441.0,2843.0,2406.0,-0.2,8.39,9.36,-0.06,0.56,-0.16,0.0,n
3566.0,3010.0,2966.0,3696.0,3105.0,1436.0,2837.0,2399.0,-1.35,8.5,9.2,0.04,0.64,-0.19,0.0,n
3583.0,3023.0,2979.0,3703.0,3111.0,1441.0,2848.0,2408.0,-1.32,8.54,9.09,0.06,0.15,-0.23,0.0,n
3566.0,3017.0,2961.0,3696.0,3119.0,1445.0,2847.0,2410.0,-1.49,8.54,9.15,0.19,0.11,-0.36,0.0,n
3583.0,3018.0,2979.0,3712.0,3120.0,1446.0,2848.0,2407.0,-1.69,8.49,9.01,0.24,-0.01,-0.57,0.0,n
3581.0,3024.0,2977.0,3697.0,3125.0,1445.0,2835.0,2413.0,-2.3,8.72,8.41,0.18,0.0,-0.32,0.0,n
3561.0,3010.0,2966.0,3695.0,3110.0,1439.0,2832.0,2407.0,-2.68,8.76,8.57,0.05,-0.01,0.01,0.0,n
3564.0,3023.0,2972.0,3711.0,3092.0,1415.0,2823.0,2413.0,-1.71,8.75,8.6,0.1,-0.04,0.05,0.0,n
3565.0,3013.0,2964.0,3709.0,3081.0,1427.0,2799.0,2407.0,-1.36,8.74,8.28,0.15,-0.04,-0.04,0.0,n
3568.0,3024.0,2987.0,3726.0,3082.0,1430.0,2794.0,2416.0,-1.41,8.85,8.1,0.13,-0.25,-0.15,0.0,n
3559.0,3011.0,2960.0,3706.0,3105.0,1441.0,2823.0,2430.0,-1.38,8.94,7.91,0.08,0.11,-0.12,0.0,n
3557.0,3008.0,2963.0,3726.0,3071.0,1436.0,2821.0,2421.0,-1.47,8.96,8.19,0.08,0.18,-0.12,0.0,n
3563.0,3036.0,2971.0,3739.0,3067.0,1434.0,2816.0,2422.0,-1.29,9.26,7.78,0.15,0.48,0.06,0.0,n
3539.0,3010.0,2966.0,3731.0,3071.0,1399.0,2813.0,2373.0,-1.13,9.07,7.84,0.11,0.12,-0.21,0.0,n
3550.0,3015.0,2971.0,3695.0,3063.0,1420.0,2815.0,2327.0,-1.14,9.32,8.16,0.34,0.39,-0.14,0.0,n
3546.0,3024.0,2960.0,3702.0,3036.0,1408.0,2806.0,2304.0,-1.67,9.25,7.42,0.31,0.05,-0.3,0.0,n
3542.0,3015.0,2965.0,3786.0,3034.0,1392.0,2819.0,2309.0,-1.84,9.29,7.26,0.33,-0.07,-0.33,0.0,n
3535.0,3017.0,2961.0,3773.0,3029.0,1393.0,2815.0,2304.0,-1.48,9.17,7.13,0.29,-0.04,-0.33,0.0,n
3535.0,3017.0,2980.0,3799.0,3050.0,1407.0,2827.0,2304.0,-1.9,9.08,7.09,-0.06,0.1,0.2,0.0,n
3539.0,3011.0,2961.0,3786.0,3049.0,1408.0,2815.0,2307.0,-1.47,9.52,6.84,-0.1,0.15,0.13,0.0,n
3557.0,3019.0,2960.0,3813.0,3051.0,1403.0,2825.0,2309.0,-1.22,9.45,7.01,-0.06,-0.03,-0.1,0.0,n
3531.0,3012.0,2963.0,3852.0,3059.0,1413.0,2831.0,2319.0,-1.1,9.32,7.14,-0.15,-0.03,-0.08,0.0,n
3546.0,3020.0,2983.0,3856.0,3071.0,1421.0,2845.0,2319.0,-1.06,9.35,7.13,-0.15,-0.35,-0.08,0.0,n
3562.0,3024.0,2979.0,3790.0,3083.0,1417.0,2814.0,2320.0,-1.09,9.42,7.34,-0.15,-0.23,-0.09,0.0,n
3538.0,3011.0,2970.0,3761.0,3091.0,1418.0,2823.0,2351.0,-0.91,9.29,7.43,0.0,-0.02,-0.15,0.0,n
3568.0,3024.0,2975.0,3740.0,3095.0,1428.0,2850.0,2354.0,-0.99,9.4,7.45,0.05,-0.16,-0.2,0.0,n
3566.0,3008.0,2969.0,3696.0,3094.0,1394.0,2869.0,2384.0,-0.91,9.26,7.32,0.03,-0.16,-0.14,0.0,n
3551.0,3021.0,2963.0,3694.0,3116.0,1439.0,2909.0,2429.0,-0.43,9.16,7.67,0.03,-0.01,-0.12,0.0,n
3545.0,3021.0,2965.0,3682.0,3111.0,1441.0,2996.0,2508.0,-0.65,9.23,7.47,0.02,-0.07,-0.16,0.0,n
3563.0,3022.0,2967.0,3715.0,3114.0,1455.0,3123.0,2559.0,-1.06,9.25,7.52,0.05,0.06,-0.17,0.0,n
3583.0,3021.0,2978.0,3713.0,3147.0,1445.0,2865.0,2428.0,-0.95,8.95,8.55,0.12,0.5,-0.01,0.0,n
3583.0,3020.0,2960.0,3707.0,3135.0,1447.0,2866.0,2430.0,-0.83,9.38,6.95,0.16,-0.06,-0.13,0.0,n
3582.0,3024.0,2966.0,3728.0,3136.0,1444.0,2869.0,2427.0,-0.87,9.37,7.03,-0.0,-0.06,-0.1,0.0,n
3598.0,3010.0,2959.0,3707.0,3111.0,1441.0,2878.0,2432.0,-0.83,9.23,7.77,-0.01,-0.08,-0.14,0.0,n
3580.0,3018.0,2965.0,3717.0,3120.0,1441.0,2880.0,2432.0,-0.62,9.33,7.31,-0.01,-0.13,-0.23,0.0,n
3583.0,3024.0,2959.0,3712.0,3122.0,1442.0,2889.0,2435.0,-0.99,9.08,8.05,-0.07,-0.1,-0.25,0.0,n
3600.0,3015.0,2960.0,3725.0,3136.0,1447.0,2896.0,2445.0,-0.83,9.24,7.61,-0.05,-0.12,-0.19,0.0,n
3579.0,3015.0,2950.0,3701.0,3136.0,1447.0,2896.0,2443.0,-0.34,9.38,6.98,-0.12,0.05,-0.35,0.0,n
3577.0,3019.0,2967.0,3735.0,3136.0,1445.0,2895.0,2449.0,-1.05,8.98,7.68,-0.38,0.13,-0.58,0.0,n
3583.0,3010.0,2967.0,3734.0,3153.0,1443.0,2909.0,2455.0,-2.35,8.67,8.93,-0.27,0.15,-0.31,0.0,n
3583.0,3015.0,2960.0,3730.0,3143.0,1455.0,2907.0,2459.0,-1.96,8.43,9.4,-0.14,0.21,-0.17,0.0,n
3583.0,3011.0,2965.0,3745.0,3151.0,1448.0,2921.0,2467.0,-1.79,8.57,8.86,0.05,0.05,-0.3,0.0,n
3579.0,3017.0,2960.0,3735.0,3151.0,1453.0,2914.0,2467.0,-2.95,8.57,8.47,0.02,-0.22,-0.25,0.0,n
3605.0,3014.0,2966.0,3745.0,3161.0,1456.0,2924.0,2475.0,-2.19,8.58,9.43,-0.03,-0.1,0.02,0.0,n
3583.0,3008.0,2969.0,3726.0,3159.0,1457.0,2924.0,2463.0,-1.95,8.5,9.22,0.5,-0.2,-0.09,0.0,n
3601.0,3024.0,2969.0,3747.0,3168.0,1452.0,2925.0,2463.0,-1.93,8.87,8.0,0.56,-0.18,-0.05,0.0,n
3579.0,3008.0,2965.0,3731.0,3167.0,1457.0,2925.0,2453.0,-1.06,8.93,7.91,0.39,-0.2,-0.04,0.0,n
3613.0,3024.0,2970.0,3746.0,3172.0,1462.0,2931.0,2465.0,-0.67,9.17,7.4,0.45,-0.41,-0.11,0.0,n
3607.0,3010.0,2960.0,3735.0,3167.0,1459.0,2930.0,2466.0,-1.01,9.24,7.05,0.57,-0.44,-0.22,0.0,n
3616.0,3024.0,2962.0,3745.0,3171.0,1463.0,2939.0,2470.0,-1.19,9.7,5.65,0.31,-0.53,-0.44,0.0,n
3598.0,3023.0,2963.0,3761.0,3200.0,1467.0,2943.0,2474.0,-1.31,9.62,6.23,-0.05,0.01,-0.12,0.0,n
3607.0,3021.0,2958.0,3754.0,3191.0,1465.0,2942.0,2465.0,-1.57,9.57,6.56,-0.08,0.14,0.02,0.0,n
3607.0,3014.0,2971.0,3810.0,3216.0,1450.0,2941.0,2463.0,-0.19,9.07,6.86,-0.21,-0.35,0.43,0.0,n
3605.0,3013.0,2961.0,3792.0,3205.0,1462.0,2943.0,2459.0,1.43,9.85,5.74,0.04,0.95,0.29,0.0,n
3604.0,3015.0,2972.0,3798.0,3215.0,1456.0,2941.0,2459.0,0.39,9.51,7.02,-0.1,-0.01,-0.15,0.0,n
3630.0,3019.0,2969.0,3814.0,3216.0,1472.0,2945.0,2466.0,0.4,9.62,6.52,-0.09,0.09,-0.15,0.0,n
3615.0,3007.0,2960.0,3810.0,3209.0,1470.0,2944.0,2464.0,0.05,9.62,6.62,-0.21,-0.14,-0.18,0.0,n
3615.0,3022.0,2973.0,3813.0,3207.0,1467.0,2943.0,2469.0,0.31,9.65,7.14,-0.66,-0.59,-0.16,0.0,n
3607.0,3021.0,2961.0,3792.0,3210.0,1466.0,2941.0,2463.0,0.39,9.08,8.02,-0.14,0.08,-0.16,0.0,n
3620.0,3024.0,2965.0,3799.0,3218.0,1463.0,2946.0,2473.0,0.2,9.07,8.28,-0.1,0.07,-0.12,0.0,n
3615.0,3013.0,2960.0,3802.0,3213.0,1463.0,2941.0,2468.0,0.42,9.21,7.76,-0.1,0.04,-0.1,0.0,n
3619.0,3026.0,2971.0,3805.0,3214.0,1467.0,2947.0,2479.0,0.47,9.21,7.73,-0.15,0.05,-0.12,0.0,n
3605.0,3011.0,2965.0,3806.0,3214.0,1459.0,2943.0,2474.0,0.32,9.05,8.17,-0.19,0.03,-0.2,0.0,n
3628.0,3026.0,2977.0,3815.0,3213.0,1464.0,2959.0,2482.0,0.05,8.85,9.07,-0.21,0.12,-0.09,0.0,n
