hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
886.0,2965.0,4095.0,3110.0,3873.0,3051.0,3695.0,3314.0,0.55,9.71,2.78,-0.02,0.0,-0.2,1.0,n
882.0,2949.0,4095.0,3119.0,3888.0,3057.0,3687.0,3315.0,0.26,9.76,2.7,-0.05,-0.06,-0.11,1.0,n
886.0,2977.0,4095.0,3130.0,3887.0,3056.0,3687.0,3329.0,0.24,9.74,2.76,-0.08,-0.03,-0.07,1.0,n
879.0,2978.0,4095.0,3110.0,3874.0,3056.0,3691.0,3327.0,0.51,9.74,2.94,-0.07,-0.04,-0.07,1.0,n
886.0,3143.0,4095.0,3127.0,3892.0,3056.0,3696.0,3327.0,0.45,9.81,2.65,-0.06,-0.04,-0.12,1.0,n
874.0,2979.0,4095.0,3117.0,3881.0,3056.0,3677.0,3324.0,0.17,9.76,2.73,-0.08,-0.1,-0.16,1.0,n
883.0,2977.0,4095.0,3124.0,3909.0,3061.0,3678.0,3332.0,0.1,9.72,2.88,-0.01,-0.16,-0.13,1.0,n
884.0,3012.0,4095.0,3120.0,3887.0,3056.0,3683.0,3318.0,-0.07,9.66,2.6,-0.06,-0.18,-0.17,1.0,n
885.0,2963.0,4095.0,3131.0,3895.0,3058.0,3681.0,3331.0,-0.12,9.64,2.74,-0.12,-0.18,-0.08,1.0,n
886.0,2959.0,4095.0,3120.0,3867.0,3065.0,3683.0,3328.0,-0.11,9.69,2.94,-0.02,-0.24,-0.08,1.0,n
880.0,2950.0,4095.0,3117.0,3888.0,3069.0,3701.0,3338.0,0.04,9.74,2.7,-0.09,-0.21,-0.02,1.0,n
891.0,2978.0,4095.0,3125.0,3870.0,3063.0,3696.0,3335.0,0.46,9.76,2.95,-0.04,-0.16,-0.03,1.0,n
886.0,2894.0,4095.0,3136.0,3893.0,3071.0,3703.0,3343.0,0.16,9.77,2.65,-0.15,0.08,0.01,1.0,n
880.0,2976.0,4095.0,3131.0,3888.0,3071.0,3700.0,3337.0,0.6,9.75,2.99,-0.09,-0.09,-0.09,1.0,n
883.0,3110.0,4095.0,3132.0,3874.0,3063.0,3689.0,3327.0,0.24,9.66,3.11,-0.14,0.01,-0.12,1.0,n
879.0,2977.0,4095.0,3139.0,3910.0,3083.0,3697.0,3335.0,0.13,9.65,3.21,-0.08,-0.04,-0.16,1.0,n
887.0,2963.0,4095.0,3125.0,3879.0,3070.0,3667.0,3330.0,0.06,9.62,3.3,-0.04,-0.01,-0.14,1.0,n
882.0,2974.0,4095.0,3133.0,3901.0,3071.0,3697.0,3342.0,-0.21,9.63,3.09,-0.04,0.01,-0.13,1.0,n
883.0,2966.0,4095.0,3131.0,3882.0,3068.0,3675.0,3333.0,-0.44,9.64,2.88,-0.04,-0.03,-0.08,1.0,n
881.0,2966.0,4095.0,3137.0,3888.0,3071.0,3693.0,3341.0,-0.23,9.62,3.1,-0.08,-0.03,-0.11,1.0,n
891.0,2969.0,4095.0,3138.0,3904.0,3084.0,3695.0,3337.0,-0.26,9.59,3.21,-0.04,-0.01,-0.04,1.0,n
879.0,2976.0,4095.0,3141.0,3888.0,3088.0,3691.0,3355.0,-0.37,9.59,3.3,-0.01,0.03,-0.09,1.0,n
889.0,2966.0,4095.0,3136.0,3888.0,3084.0,3682.0,3341.0,-0.52,9.69,2.88,0.05,0.01,-0.06,1.0,n
881.0,2976.0,4095.0,3152.0,3907.0,3087.0,3691.0,3344.0,-0.33,9.67,2.91,0.04,-0.07,-0.1,1.0,n
884.0,2967.0,4095.0,3140.0,3902.0,3086.0,3696.0,3345.0,-0.56,9.74,2.61,0.04,0.05,-0.07,1.0,n
879.0,2976.0,4095.0,3136.0,3900.0,3088.0,3692.0,3331.0,-0.51,9.74,2.73,0.01,-0.02,-0.03,1.0,n
887.0,2983.0,4095.0,3147.0,3911.0,3093.0,3696.0,3345.0,-0.36,9.77,2.55,0.01,0.02,-0.01,1.0,n
881.0,3052.0,4095.0,3137.0,3887.0,3085.0,3683.0,3344.0,-0.37,9.7,2.82,0.02,-0.11,-0.07,1.0,n
885.0,2973.0,4095.0,3140.0,3923.0,3088.0,3695.0,3345.0,-0.31,9.66,3.11,0.26,-0.19,-0.14,1.0,n
885.0,2966.0,4095.0,3132.0,3891.0,3084.0,3687.0,3342.0,-0.78,9.89,1.64,0.13,0.2,0.07,1.0,n
887.0,2976.0,4095.0,3137.0,3918.0,3101.0,3696.0,3359.0,-0.21,10.13,1.13,0.06,0.04,-0.03,1.0,n
880.0,2967.0,4095.0,3133.0,3907.0,3088.0,3683.0,3344.0,-0.14,9.93,2.19,-0.11,-0.04,-0.12,1.0,n
880.0,2983.0,4095.0,3136.0,3903.0,3094.0,3703.0,3351.0,-1.07,9.77,2.02,0.02,0.03,-0.05,1.0,n
889.0,2963.0,4095.0,3123.0,3888.0,3088.0,3687.0,3354.0,-0.68,9.87,1.77,0.03,0.03,0.02,1.0,n
879.0,2978.0,4095.0,3135.0,3909.0,3097.0,3699.0,3358.0,-0.41,9.89,1.86,-0.02,-0.02,-0.0,1.0,n
887.0,2965.0,4095.0,3130.0,3899.0,3094.0,3693.0,3345.0,-0.44,9.91,1.72,-0.04,0.06,0.03,1.0,n
880.0,2977.0,4095.0,3138.0,3913.0,3085.0,3696.0,3346.0,-0.14,9.96,1.8,0.0,0.02,-0.04,1.0,n
889.0,2970.0,4095.0,3141.0,3921.0,3099.0,3711.0,3354.0,-0.52,9.92,1.57,-0.02,0.0,-0.04,1.0,n
883.0,2976.0,4095.0,3139.0,3904.0,3090.0,3695.0,3359.0,-0.34,10.0,1.57,-0.03,0.03,0.01,1.0,n
884.0,2982.0,4095.0,3139.0,3919.0,3097.0,3695.0,3350.0,-0.41,9.94,1.59,-0.08,0.09,0.04,1.0,n
882.0,2977.0,4095.0,3141.0,3911.0,3102.0,3705.0,3347.0,0.46,9.96,1.88,-0.04,0.03,0.0,1.0,n
881.0,2965.0,4095.0,3146.0,3911.0,3088.0,3693.0,3365.0,0.32,9.97,1.77,-0.06,0.05,-0.04,1.0,n
889.0,2966.0,4095.0,3135.0,3903.0,3099.0,3701.0,3354.0,0.19,10.02,1.7,-0.08,0.03,-0.05,1.0,n
881.0,2979.0,4095.0,3147.0,3905.0,3102.0,3722.0,3354.0,0.18,9.87,1.9,-0.09,0.02,-0.04,1.0,n
885.0,2960.0,4095.0,3142.0,3920.0,3098.0,3687.0,3349.0,0.25,9.96,1.79,-0.08,0.06,-0.02,1.0,n
891.0,2978.0,4095.0,3152.0,3926.0,3103.0,3709.0,3365.0,0.24,9.87,2.15,-0.09,0.0,-0.04,1.0,n
882.0,2975.0,4095.0,3152.0,3919.0,3092.0,3691.0,3365.0,0.24,9.89,1.94,-0.07,0.01,-0.02,1.0,n
885.0,2967.0,4095.0,3152.0,3937.0,3107.0,3706.0,3359.0,0.4,9.92,1.99,-0.08,-0.05,-0.08,1.0,n
891.0,2965.0,4095.0,3147.0,3922.0,3098.0,3694.0,3349.0,0.11,9.9,1.96,-0.06,-0.01,-0.06,1.0,n
883.0,2978.0,4095.0,3155.0,3927.0,3107.0,3711.0,3374.0,0.19,9.85,2.09,-0.06,-0.02,-0.02,1.0,n
878.0,2969.0,4095.0,3138.0,3902.0,3102.0,3697.0,3361.0,0.32,9.93,2.02,-0.05,0.06,-0.03,1.0,n
887.0,2978.0,4095.0,3133.0,3937.0,3100.0,3698.0,3370.0,0.2,9.97,1.84,-0.05,0.03,-0.06,1.0,n
876.0,3139.0,4095.0,3148.0,3919.0,3099.0,3689.0,3354.0,0.01,9.93,1.89,-0.07,0.04,-0.03,1.0,n
889.0,2962.0,4095.0,3151.0,3904.0,3098.0,3706.0,3360.0,0.15,9.96,1.78,-0.04,0.03,-0.02,1.0,n
885.0,2961.0,4095.0,3151.0,3919.0,3099.0,3706.0,3359.0,0.16,9.91,1.96,-0.06,-0.02,-0.03,1.0,n
880.0,2976.0,4095.0,3154.0,3929.0,3103.0,3691.0,3356.0,0.15,9.94,1.93,-0.05,0.02,-0.02,1.0,n
880.0,2973.0,4095.0,3146.0,3901.0,3106.0,3698.0,3360.0,0.23,9.99,1.67,-0.08,-0.01,-0.03,1.0,n
889.0,2973.0,4095.0,3151.0,3909.0,3095.0,3696.0,3359.0,0.24,9.87,2.34,-0.07,-0.03,-0.04,1.0,n
887.0,2975.0,4095.0,3147.0,3914.0,3104.0,3695.0,3360.0,0.2,9.95,1.87,-0.01,0.0,-0.04,1.0,n
885.0,2974.0,4095.0,3152.0,3919.0,3104.0,3675.0,3348.0,0.25,9.97,1.8,-0.05,0.02,-0.05,1.0,n
880.0,2967.0,4095.0,3155.0,3945.0,3118.0,3694.0,3370.0,-0.06,9.97,1.71,-0.09,-0.0,-0.01,1.0,n
874.0,2966.0,4095.0,3149.0,3930.0,3106.0,3697.0,3366.0,-0.05,9.91,1.94,-0.08,0.01,0.02,1.0,n
880.0,2991.0,4095.0,3170.0,3937.0,3116.0,3709.0,3375.0,0.22,9.93,1.98,-0.03,-0.02,-0.02,1.0,n
890.0,2974.0,4095.0,3150.0,3933.0,3101.0,3696.0,3365.0,0.21,9.96,1.86,-0.07,-0.01,-0.05,1.0,n
880.0,2986.0,4095.0,3152.0,3927.0,3106.0,3701.0,3376.0,-0.08,9.92,1.78,-0.04,0.03,-0.05,1.0,n
889.0,2973.0,4095.0,3149.0,3906.0,3104.0,3696.0,3375.0,-0.1,9.95,1.74,-0.06,-0.0,-0.03,1.0,n
887.0,2976.0,4095.0,3158.0,3941.0,3111.0,3712.0,3377.0,0.08,9.88,2.07,-0.04,0.01,0.0,1.0,n
883.0,2962.0,4095.0,3139.0,3931.0,3115.0,3707.0,3379.0,0.1,9.92,1.87,-0.02,-0.01,-0.03,1.0,n
880.0,2967.0,4095.0,3151.0,3912.0,3106.0,3693.0,3372.0,0.14,9.97,1.73,-0.05,-0.03,-0.05,1.0,n
880.0,2979.0,4095.0,3146.0,3934.0,3110.0,3716.0,3376.0,0.16,9.94,1.87,-0.06,0.05,-0.01,1.0,n
882.0,2971.0,4095.0,3150.0,3920.0,3109.0,3695.0,3363.0,0.13,9.9,1.99,-0.09,0.04,-0.02,1.0,n
881.0,2972.0,4095.0,3155.0,3939.0,3115.0,3713.0,3383.0,0.11,9.96,1.78,-0.1,0.04,0.01,1.0,n
881.0,2974.0,4095.0,3153.0,3933.0,3106.0,3695.0,3366.0,0.13,9.87,1.99,-0.05,-0.01,0.02,1.0,n
879.0,2977.0,4095.0,3162.0,3935.0,3105.0,3698.0,3366.0,0.51,10.01,1.65,0.11,-0.71,-0.07,1.0,n
883.0,2963.0,4095.0,3152.0,3937.0,3111.0,3706.0,3371.0,0.43,9.97,1.79,-0.09,-0.1,0.01,1.0,n
891.0,2976.0,4095.0,3164.0,3951.0,3109.0,3711.0,3367.0,0.5,9.94,1.89,-0.07,-0.03,0.0,1.0,n
880.0,2969.0,4095.0,3155.0,3934.0,3112.0,3683.0,3368.0,0.4,9.96,1.73,-0.08,0.03,0.03,1.0,n
883.0,2983.0,4095.0,3167.0,3950.0,3115.0,3707.0,3370.0,0.58,9.95,1.82,-0.09,-0.01,-0.01,1.0,n
880.0,2972.0,4095.0,3147.0,3924.0,3102.0,3686.0,3367.0,0.38,9.92,1.91,-0.1,0.01,0.03,1.0,n
886.0,2975.0,4095.0,3152.0,3926.0,3115.0,3717.0,3371.0,0.76,9.94,1.91,-0.07,0.06,0.05,1.0,n
885.0,2964.0,4095.0,3152.0,3938.0,3119.0,3697.0,3376.0,1.01,9.83,2.42,-0.08,0.02,-0.07,1.0,n
880.0,2979.0,4095.0,3163.0,3937.0,3120.0,3727.0,3383.0,0.68,9.86,2.12,-0.11,0.07,-0.04,1.0,n
880.0,2977.0,4095.0,3152.0,3933.0,3114.0,3719.0,3381.0,0.74,9.93,2.16,-0.1,0.01,-0.04,1.0,n
887.0,2965.0,4095.0,3152.0,3927.0,3109.0,3712.0,3370.0,0.76,9.87,2.32,-0.11,-0.0,-0.04,1.0,n
885.0,2981.0,4095.0,3155.0,3947.0,3120.0,3723.0,3383.0,0.75,9.86,2.35,-0.06,0.03,-0.03,1.0,n
895.0,2973.0,4095.0,3162.0,3925.0,3118.0,3691.0,3369.0,0.69,9.85,2.23,-0.08,-0.0,-0.04,1.0,n
886.0,2973.0,4095.0,3152.0,3933.0,3120.0,3712.0,3381.0,0.73,9.83,2.38,-0.12,0.02,-0.04,1.0,n
882.0,2961.0,4095.0,3154.0,3929.0,3111.0,3696.0,3367.0,0.56,9.84,2.38,-0.1,0.01,-0.01,1.0,n
882.0,2975.0,4095.0,3159.0,3951.0,3120.0,3721.0,3383.0,0.73,9.76,2.49,-0.11,0.01,-0.0,1.0,n
886.0,2973.0,4095.0,3147.0,3924.0,3103.0,3694.0,3376.0,0.89,9.82,2.58,-0.1,-0.01,-0.06,1.0,n
889.0,2980.0,4095.0,3163.0,3950.0,3120.0,3718.0,3387.0,0.45,9.7,2.66,-0.18,0.03,0.03,1.0,n
880.0,2963.0,4095.0,3155.0,3937.0,3119.0,3703.0,3375.0,0.78,9.72,2.7,-0.11,0.1,0.07,1.0,n
886.0,2970.0,4095.0,3163.0,3952.0,3120.0,3717.0,3375.0,1.02,9.73,2.85,-0.09,-0.01,0.03,1.0,n
882.0,2961.0,4095.0,3157.0,3952.0,3122.0,3719.0,3376.0,0.93,9.72,2.82,-0.06,0.02,0.0,1.0,n
886.0,2960.0,4095.0,3154.0,3923.0,3113.0,3702.0,3376.0,0.88,9.77,2.73,-0.07,0.01,0.04,1.0,n
890.0,2975.0,4095.0,3159.0,3935.0,3117.0,3714.0,3387.0,1.11,9.68,2.94,-0.07,0.04,0.06,1.0,n
881.0,2944.0,4095.0,3154.0,3921.0,3111.0,3703.0,3376.0,0.97,9.66,2.81,-0.03,0.05,0.09,1.0,n
889.0,2975.0,4095.0,3152.0,3933.0,3122.0,3718.0,3386.0,1.53,9.75,2.75,-0.06,0.06,0.09,1.0,n
885.0,2960.0,4095.0,3152.0,3923.0,3114.0,3719.0,3376.0,1.6,9.71,2.87,-0.03,0.01,0.04,1.0,n
885.0,2970.0,4095.0,3159.0,3941.0,3118.0,3709.0,3382.0,1.58,9.68,2.94,-0.04,0.02,0.03,1.0,n
882.0,2983.0,4095.0,3161.0,3934.0,3120.0,3707.0,3375.0,1.71,9.72,2.7,-0.02,-0.0,-0.04,1.0,n
893.0,2964.0,4095.0,3172.0,3943.0,3115.0,3708.0,3382.0,1.46,9.75,2.44,0.0,-0.01,-0.03,1.0,n
879.0,2970.0,4095.0,3147.0,3938.0,3124.0,3703.0,3376.0,1.52,9.74,2.35,-0.01,-0.02,-0.01,1.0,n
879.0,2979.0,4095.0,3167.0,3953.0,3121.0,3711.0,3376.0,1.64,9.8,2.26,-0.04,-0.01,-0.04,1.0,n
885.0,2965.0,4095.0,3167.0,3946.0,3120.0,3709.0,3363.0,1.62,9.76,2.6,-0.07,-0.03,-0.07,1.0,n
887.0,2975.0,4095.0,3163.0,3952.0,3124.0,3717.0,3386.0,1.39,9.74,2.42,-0.01,0.01,-0.03,1.0,n
891.0,2976.0,4095.0,3153.0,3935.0,3113.0,3699.0,3386.0,1.68,9.84,2.12,0.01,0.02,-0.02,1.0,n
880.0,2978.0,4095.0,3173.0,3955.0,3123.0,3707.0,3380.0,1.51,9.82,2.11,-0.04,0.02,-0.05,1.0,n
884.0,2971.0,4095.0,3152.0,3935.0,3118.0,3709.0,3389.0,1.51,9.77,2.38,-0.01,-0.02,-0.08,1.0,n
884.0,2963.0,4095.0,3159.0,3954.0,3121.0,3723.0,3383.0,1.45,9.82,2.15,0.03,-0.03,-0.08,1.0,n
882.0,2972.0,4095.0,3148.0,3929.0,3118.0,3713.0,3377.0,1.47,9.84,2.15,0.01,-0.07,-0.09,1.0,n
890.0,2973.0,4095.0,3170.0,3968.0,3126.0,3719.0,3373.0,1.42,9.87,1.9,0.05,-0.01,-0.08,1.0,n
882.0,2974.0,4095.0,3167.0,3967.0,3129.0,3728.0,3389.0,1.42,9.86,1.9,0.01,-0.05,-0.09,1.0,n
878.0,2966.0,4095.0,3157.0,3950.0,3118.0,3710.0,3376.0,1.17,9.92,1.54,0.02,-0.01,-0.12,1.0,n
882.0,2878.0,4095.0,3163.0,3963.0,3126.0,3725.0,3387.0,1.14,9.9,1.74,-0.02,-0.1,-0.11,1.0,n
884.0,2971.0,4095.0,3155.0,3937.0,3119.0,3711.0,3385.0,0.98,9.9,1.63,-0.04,-0.05,-0.08,1.0,n
885.0,2987.0,4095.0,3169.0,3963.0,3122.0,3712.0,3385.0,1.37,9.97,1.74,-0.04,-0.04,-0.08,1.0,n
884.0,2971.0,4095.0,3152.0,3935.0,3120.0,3713.0,3378.0,1.13,9.9,1.86,-0.03,-0.02,-0.05,1.0,n
883.0,2978.0,4095.0,3171.0,3977.0,3120.0,3713.0,3377.0,1.07,9.93,1.62,-0.03,-0.05,-0.08,1.0,n
877.0,2970.0,4095.0,3165.0,3948.0,3106.0,3711.0,3371.0,0.74,9.79,1.82,-0.06,-0.07,-0.13,1.0,n
886.0,2978.0,4095.0,3164.0,3969.0,3119.0,3721.0,3392.0,1.08,10.2,0.77,-0.01,0.03,-0.03,1.0,n
878.0,2969.0,4095.0,3163.0,3950.0,3124.0,3710.0,3379.0,1.3,9.92,1.81,-0.13,-0.1,-0.09,1.0,n
882.0,2979.0,4095.0,3159.0,3969.0,3133.0,3729.0,3393.0,0.98,9.9,1.81,-0.03,-0.0,-0.17,1.0,n
882.0,2960.0,4095.0,3157.0,3961.0,3124.0,3722.0,3381.0,0.48,10.02,1.19,-0.04,-0.02,-0.01,1.0,n
877.0,2966.0,4095.0,3161.0,3961.0,3133.0,3731.0,3406.0,1.07,9.98,1.55,-0.08,-0.03,-0.08,1.0,n
881.0,2965.0,4095.0,3159.0,3952.0,3120.0,3720.0,3385.0,0.86,9.93,1.59,-0.05,-0.03,-0.13,1.0,n
880.0,2971.0,4095.0,3166.0,3954.0,3126.0,3713.0,3390.0,0.59,9.97,1.42,-0.03,-0.02,-0.13,1.0,n
880.0,2967.0,4095.0,3157.0,3947.0,3121.0,3711.0,3386.0,0.71,10.03,1.36,-0.05,-0.08,-0.14,1.0,n
894.0,2981.0,4095.0,3173.0,3967.0,3125.0,3711.0,3389.0,0.02,9.96,1.17,-0.14,0.06,-0.02,1.0,n
891.0,2978.0,4095.0,3162.0,3938.0,3123.0,3707.0,3388.0,0.74,9.97,1.87,-0.09,-0.06,-0.04,1.0,n
880.0,2962.0,4095.0,3163.0,3956.0,3120.0,3707.0,3377.0,0.7,9.96,1.83,-0.07,-0.02,-0.06,1.0,n
884.0,2979.0,4095.0,3168.0,3954.0,3123.0,3720.0,3394.0,0.35,10.01,1.26,-0.05,0.01,-0.07,1.0,n
886.0,2970.0,4095.0,3155.0,3946.0,3121.0,3696.0,3389.0,0.57,10.0,1.56,-0.09,-0.03,-0.03,1.0,n
891.0,2900.0,4095.0,3170.0,3957.0,3122.0,3725.0,3397.0,0.64,9.94,1.79,-0.1,0.0,-0.06,1.0,n
887.0,2979.0,4095.0,3173.0,3954.0,3118.0,3711.0,3376.0,0.46,9.96,1.77,-0.08,-0.02,-0.07,1.0,n
883.0,2971.0,4095.0,3164.0,3959.0,3132.0,3721.0,3391.0,0.42,9.96,1.71,-0.08,-0.01,-0.03,1.0,n
885.0,2970.0,4095.0,3159.0,3951.0,3125.0,3706.0,3391.0,0.48,9.99,1.7,-0.08,0.02,-0.02,1.0,n
885.0,2987.0,4095.0,3181.0,3983.0,3133.0,3709.0,3386.0,0.63,9.93,1.87,-0.07,0.01,-0.04,1.0,n
881.0,2967.0,4095.0,3162.0,3948.0,3120.0,3717.0,3386.0,0.42,10.0,1.56,-0.1,-0.01,-0.05,1.0,n
881.0,2974.0,4095.0,3169.0,3973.0,3135.0,3727.0,3397.0,0.54,10.02,1.71,-0.12,-0.01,-0.04,1.0,n
880.0,2974.0,4095.0,3180.0,3951.0,3118.0,3711.0,3378.0,0.11,9.87,2.1,-0.09,-0.0,-0.09,1.0,n
883.0,2962.0,4095.0,3181.0,3984.0,3131.0,3724.0,3385.0,0.24,9.9,2.21,-0.04,-0.0,-0.05,1.0,n
882.0,2960.0,4095.0,3171.0,3959.0,3129.0,3719.0,3388.0,0.14,9.92,1.98,-0.06,0.01,-0.06,1.0,n
882.0,2975.0,4095.0,3168.0,3964.0,3131.0,3726.0,3402.0,0.07,9.93,2.03,-0.07,0.02,-0.07,1.0,n
884.0,2971.0,4095.0,3174.0,3951.0,3120.0,3699.0,3383.0,0.16,9.89,2.15,-0.06,0.01,-0.03,1.0,n
881.0,2970.0,4095.0,3178.0,3969.0,3127.0,3715.0,3395.0,0.37,9.93,2.18,-0.05,0.01,-0.04,1.0,n
885.0,2970.0,4095.0,3166.0,3975.0,3126.0,3718.0,3383.0,0.21,9.93,2.08,-0.07,0.0,-0.06,1.0,n
882.0,2980.0,4095.0,3171.0,3975.0,3135.0,3725.0,3399.0,0.11,9.91,2.08,-0.08,-0.03,-0.1,1.0,n
883.0,2976.0,4095.0,3167.0,3952.0,3123.0,3728.0,3397.0,0.1,9.89,2.23,-0.1,-0.04,-0.09,1.0,n
887.0,2962.0,4095.0,3173.0,3956.0,3120.0,3710.0,3379.0,-0.05,9.89,2.09,-0.09,0.05,-0.07,1.0,n
885.0,2977.0,4095.0,3171.0,3970.0,3122.0,3716.0,3392.0,0.05,9.88,2.21,-0.06,-0.01,-0.05,1.0,n
886.0,2967.0,4095.0,3165.0,3965.0,3123.0,3719.0,3382.0,-0.12,9.84,2.24,-0.07,0.02,-0.02,1.0,n
883.0,2975.0,4095.0,3167.0,3989.0,3135.0,3731.0,3408.0,-0.01,9.85,2.26,-0.06,0.03,-0.03,1.0,n
881.0,2963.0,4095.0,3169.0,3959.0,3129.0,3712.0,3387.0,-0.04,9.85,2.26,-0.06,-0.01,-0.04,1.0,n
891.0,2971.0,4095.0,3175.0,3973.0,3131.0,3727.0,3405.0,0.01,9.92,2.1,-0.07,0.02,-0.02,1.0,n
