hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1771.0,3062.0,3199.0,2840.0,3287.0,3796.0,2768.0,3120.0,2.85,8.84,-1.88,0.17,0.06,-0.01,n
1783.0,3098.0,3223.0,2845.0,3293.0,3827.0,2798.0,3148.0,2.9,9.24,-1.91,-0.07,-0.03,-0.0,n
1775.0,3101.0,3219.0,2843.0,3295.0,3827.0,2800.0,3149.0,2.82,8.99,-1.33,0.02,-0.02,-0.09,n
1779.0,3091.0,3225.0,2839.0,3296.0,3830.0,2799.0,3143.0,2.32,9.43,-1.72,-0.06,0.06,-0.1,n
1777.0,3094.0,3223.0,2844.0,3294.0,3827.0,2794.0,3146.0,2.64,9.27,-1.42,-0.05,-0.13,0.03,n
1778.0,3088.0,3221.0,2845.0,3290.0,3824.0,2794.0,3145.0,2.65,9.29,-1.53,-0.08,0.02,-0.11,n
1776.0,3091.0,3230.0,2846.0,3291.0,3840.0,2799.0,3149.0,2.25,9.36,-2.15,-0.08,-0.07,0.07,n
1771.0,3110.0,3237.0,2833.0,3280.0,3841.0,2815.0,3161.0,2.72,8.92,-1.95,-0.24,-0.08,-0.03,n
1774.0,3071.0,3203.0,2846.0,3293.0,3805.0,2772.0,3125.0,2.89,9.6,-0.73,-0.19,0.04,0.05,n
1779.0,3034.0,3167.0,2848.0,3293.0,3761.0,2738.0,3091.0,2.5,9.61,-0.47,0.0,0.0,-0.01,n
1776.0,3023.0,3155.0,2845.0,3294.0,3742.0,2726.0,3071.0,2.64,9.51,-1.1,0.03,-0.08,0.02,n
1773.0,3062.0,3201.0,2847.0,3294.0,3795.0,2771.0,3120.0,2.62,9.22,-1.31,0.13,0.0,-0.02,n
1761.0,3071.0,3209.0,2847.0,3287.0,3807.0,2780.0,3133.0,2.4,9.46,-1.56,0.09,0.04,-0.01,n
1748.0,3109.0,3231.0,2846.0,3290.0,3835.0,2801.0,3152.0,2.41,8.86,-1.52,0.22,-0.01,0.08,n
1741.0,2945.0,3071.0,2843.0,3277.0,3664.0,2641.0,3005.0,2.77,9.69,-1.97,0.06,0.27,-0.03,n
1740.0,2956.0,3094.0,2848.0,3277.0,3682.0,2666.0,3024.0,2.96,8.71,-1.63,0.01,-0.22,0.07,n
