hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
912.0,2884.0,1957.0,4095.0,2913.0,2634.0,2559.0,2367.0,-1.66,9.52,5.55,0.02,0.01,-0.13,n
902.0,2896.0,1966.0,4095.0,2912.0,2639.0,2559.0,2369.0,-1.06,9.71,5.46,-0.0,-0.01,-0.1,n
906.0,2887.0,1959.0,4095.0,2912.0,2636.0,2557.0,2368.0,-1.15,9.74,5.66,-0.02,0.03,-0.12,n
910.0,2899.0,1961.0,4095.0,2913.0,2640.0,2559.0,2371.0,-1.1,9.66,5.85,-0.02,0.05,-0.14,n
910.0,2896.0,1971.0,4095.0,2914.0,2640.0,2559.0,2369.0,-1.08,9.61,5.9,-0.06,-0.01,-0.15,n
896.0,2895.0,1965.0,4095.0,2910.0,2639.0,2559.0,2368.0,-1.07,9.57,5.96,0.04,-0.01,-0.19,n
903.0,2882.0,1962.0,4095.0,2911.0,2630.0,2559.0,2368.0,-1.23,9.64,5.69,0.06,0.04,-0.22,n
899.0,2887.0,1968.0,4095.0,2908.0,2638.0,2551.0,2364.0,-1.22,9.5,5.77,0.09,0.11,-0.25,n
901.0,2886.0,1965.0,4095.0,2908.0,2635.0,2551.0,2365.0,-1.38,9.58,5.6,0.13,0.13,-0.3,n
899.0,2895.0,1968.0,4095.0,2913.0,2636.0,2554.0,2363.0,-1.62,9.71,5.62,0.03,0.13,-0.27,n
908.0,2891.0,1968.0,4095.0,2917.0,2641.0,2550.0,2357.0,-1.84,9.61,5.44,0.05,0.12,-0.22,n
900.0,2895.0,1971.0,4095.0,2914.0,2640.0,2548.0,2359.0,-1.58,9.65,5.52,-0.06,0.03,-0.2,n
912.0,2885.0,1963.0,4095.0,2917.0,2640.0,2549.0,2355.0,-1.69,9.57,5.72,0.0,0.0,-0.17,n
900.0,2890.0,1972.0,4095.0,2913.0,2642.0,2546.0,2359.0,-1.5,9.62,5.63,-0.05,0.02,-0.2,n
902.0,2898.0,1973.0,4095.0,2917.0,2640.0,2544.0,2352.0,-1.7,9.59,5.68,-0.01,0.04,-0.23,n
