hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,2977.0,3902.0,3951.0,2711.0,2314.0,2391.0,1982.0,-1.79,9.68,4.76,-0.04,-0.01,-0.13,0.0,n
4095.0,2969.0,3846.0,3963.0,2703.0,2299.0,2369.0,1953.0,-1.7,9.73,4.85,-0.0,-0.07,-0.15,0.0,n
4095.0,2970.0,3850.0,3943.0,2700.0,2295.0,2366.0,1959.0,-1.69,9.74,4.87,-0.03,-0.03,-0.17,0.0,n
4095.0,2960.0,3857.0,3974.0,2689.0,2289.0,2350.0,1951.0,-1.79,9.71,4.7,-0.0,-0.05,-0.17,0.0,n
4095.0,2966.0,3865.0,3934.0,2672.0,2272.0,2343.0,1942.0,-1.83,9.72,4.93,0.03,-0.03,-0.17,0.0,n
4095.0,2962.0,3868.0,3935.0,2675.0,2289.0,2330.0,1945.0,-1.77,9.6,5.06,0.03,-0.03,-0.16,0.0,n
4095.0,2956.0,3862.0,3920.0,2686.0,2294.0,2343.0,1956.0,-1.74,9.7,4.9,0.1,-0.0,-0.17,0.0,n
4095.0,2960.0,3842.0,3937.0,2679.0,2295.0,2350.0,1955.0,-1.89,9.74,4.68,0.03,0.01,-0.14,0.0,n
4095.0,2967.0,3859.0,3936.0,2683.0,2299.0,2355.0,1962.0,-1.7,9.77,4.86,0.01,-0.0,-0.16,0.0,n
4095.0,2965.0,3844.0,3933.0,2688.0,2303.0,2346.0,1962.0,-1.75,9.71,4.72,0.03,0.02,-0.16,0.0,n
4095.0,2975.0,3854.0,3920.0,2693.0,2304.0,2357.0,1973.0,-1.76,9.56,4.82,-0.01,-0.02,-0.16,0.0,n
4095.0,2965.0,3840.0,3929.0,2697.0,2310.0,2366.0,1975.0,-1.81,9.67,4.83,0.01,-0.01,-0.12,0.0,n
4095.0,2976.0,3839.0,3930.0,2699.0,2314.0,2371.0,1978.0,-1.57,9.78,4.7,-0.02,-0.08,-0.16,0.0,n
4095.0,2977.0,3855.0,3945.0,2693.0,2318.0,2368.0,1984.0,-1.78,9.65,4.98,-0.01,-0.01,-0.15,0.0,n
4095.0,2955.0,3838.0,3947.0,2689.0,2315.0,2370.0,1981.0,-1.79,9.71,4.64,0.02,0.03,-0.17,0.0,n
4095.0,2969.0,3854.0,3934.0,2704.0,2320.0,2381.0,1984.0,-1.7,9.63,4.81,0.03,-0.0,-0.14,0.0,n
4095.0,2960.0,3830.0,3946.0,2699.0,2316.0,2373.0,1974.0,-1.79,9.64,4.8,0.03,-0.01,-0.15,0.0,n
4095.0,2973.0,3830.0,3942.0,2694.0,2320.0,2368.0,1984.0,-1.88,9.68,4.77,0.02,-0.01,-0.15,0.0,n
4095.0,2960.0,3839.0,3953.0,2698.0,2320.0,2378.0,1983.0,-1.7,9.65,4.92,0.03,-0.01,-0.16,0.0,n
4095.0,2978.0,3839.0,3915.0,2704.0,2315.0,2375.0,1990.0,-1.83,9.64,4.7,0.0,-0.02,-0.14,0.0,n
4095.0,2967.0,3838.0,3930.0,2693.0,2323.0,2384.0,1985.0,-1.73,9.66,4.81,0.01,-0.08,-0.14,0.0,n
4095.0,2974.0,3805.0,3930.0,2699.0,2319.0,2384.0,1984.0,-2.26,9.68,4.68,0.02,0.04,-0.23,0.0,n
4095.0,2965.0,3812.0,3914.0,2704.0,2324.0,2373.0,1989.0,-1.81,9.57,4.67,0.02,0.01,-0.15,0.0,n
4095.0,2961.0,3822.0,3923.0,2705.0,2320.0,2384.0,1989.0,-1.89,9.65,4.59,0.03,-0.03,-0.14,0.0,n
4095.0,2961.0,3822.0,3952.0,2707.0,2313.0,2379.0,1990.0,-1.75,9.64,4.85,0.03,-0.01,-0.12,0.0,n
4095.0,2971.0,3821.0,3934.0,2709.0,2320.0,2387.0,1994.0,-1.66,9.69,4.77,0.06,-0.03,-0.16,0.0,n
4095.0,2972.0,3810.0,3955.0,2705.0,2319.0,2384.0,1986.0,-1.91,9.63,4.75,0.02,-0.01,-0.16,0.0,n
4095.0,2957.0,3821.0,3939.0,2709.0,2326.0,2389.0,1987.0,-1.72,9.69,4.67,0.07,-0.04,-0.14,0.0,n
4095.0,2969.0,3830.0,3954.0,2707.0,2320.0,2395.0,1995.0,-1.96,9.73,4.8,0.03,0.0,-0.17,0.0,n
4095.0,2967.0,3818.0,3927.0,2699.0,2317.0,2394.0,1986.0,-1.76,9.68,4.75,0.03,-0.03,-0.18,0.0,n
4095.0,2973.0,3820.0,3925.0,2705.0,2320.0,2389.0,1990.0,-1.9,9.62,4.8,0.02,-0.04,-0.16,0.0,n
4095.0,2966.0,3817.0,3946.0,2704.0,2321.0,2384.0,1999.0,-1.92,9.67,4.73,0.03,-0.03,-0.14,0.0,n
4095.0,2975.0,3814.0,3947.0,2708.0,2322.0,2397.0,1999.0,-1.89,9.71,4.64,0.03,-0.03,-0.14,0.0,n
4095.0,2970.0,3806.0,3935.0,2707.0,2313.0,2394.0,1990.0,-1.78,9.71,4.58,0.01,-0.03,-0.15,0.0,n
4095.0,2967.0,3809.0,3939.0,2714.0,2319.0,2400.0,2000.0,-1.86,9.73,4.77,0.04,0.02,-0.15,0.0,n
4095.0,2957.0,3835.0,3952.0,2710.0,2330.0,2397.0,2000.0,-1.76,9.78,4.64,0.02,-0.01,-0.14,0.0,n
4095.0,2972.0,3823.0,3952.0,2714.0,2325.0,2395.0,1992.0,-1.79,9.69,4.64,0.02,0.01,-0.15,0.0,n
4095.0,2967.0,3805.0,3934.0,2707.0,2322.0,2397.0,1998.0,-1.75,9.76,4.71,0.02,-0.02,-0.15,0.0,n
4095.0,2967.0,3823.0,3944.0,2720.0,2327.0,2394.0,1995.0,-1.9,9.67,4.62,0.03,-0.03,-0.17,0.0,n
4095.0,2962.0,3807.0,3954.0,2715.0,2324.0,2397.0,1997.0,-1.68,9.82,4.58,0.03,-0.01,-0.13,0.0,n
4095.0,2977.0,3821.0,3943.0,2715.0,2322.0,2401.0,2002.0,-1.73,9.74,4.78,0.0,0.0,-0.17,0.0,n
4095.0,2977.0,3823.0,3937.0,2721.0,2336.0,2391.0,2001.0,-1.79,9.73,4.59,0.04,-0.01,-0.15,0.0,n
4095.0,2959.0,3794.0,3942.0,2719.0,2327.0,2390.0,1998.0,-1.74,9.71,4.77,0.01,-0.01,-0.15,0.0,n
4095.0,2969.0,3804.0,3937.0,2709.0,2320.0,2396.0,2000.0,-1.62,9.74,4.84,-0.02,-0.01,-0.15,0.0,n
4095.0,2961.0,3805.0,3937.0,2718.0,2340.0,2402.0,2010.0,-1.89,9.72,4.56,0.06,-0.04,-0.18,0.0,n
4095.0,2969.0,3796.0,3952.0,2722.0,2317.0,2392.0,1997.0,-1.68,9.6,4.81,-0.01,0.01,-0.17,0.0,n
4095.0,2960.0,3806.0,3923.0,2715.0,2339.0,2401.0,2005.0,-1.84,9.7,4.68,0.02,-0.01,-0.16,0.0,n
4095.0,2973.0,3824.0,3947.0,2720.0,2321.0,2397.0,2005.0,-1.75,9.67,4.57,0.0,-0.02,-0.14,0.0,n
4095.0,2982.0,3805.0,3953.0,2715.0,2333.0,2406.0,2009.0,-1.92,9.66,4.62,0.02,-0.03,-0.15,0.0,n
4095.0,2975.0,3811.0,3959.0,2717.0,2336.0,2406.0,1997.0,-1.84,9.68,4.63,-0.01,-0.01,-0.14,0.0,n
4095.0,2962.0,3821.0,3924.0,2709.0,2333.0,2407.0,2000.0,-1.81,9.74,4.61,0.02,-0.03,-0.14,0.0,n
4095.0,2963.0,3794.0,3937.0,2717.0,2325.0,2401.0,2002.0,-1.81,9.69,4.71,-0.01,-0.01,-0.14,0.0,n
4095.0,2960.0,3811.0,3952.0,2722.0,2336.0,2395.0,2005.0,-1.83,9.74,4.61,-0.01,0.0,-0.14,0.0,n
4095.0,2960.0,3792.0,3925.0,2721.0,2339.0,2401.0,2000.0,-1.65,9.65,4.84,0.05,-0.05,-0.17,0.0,n
4095.0,2974.0,3802.0,3934.0,2718.0,2332.0,2416.0,2007.0,-1.93,9.75,4.53,0.01,-0.01,-0.16,0.0,n
4095.0,2968.0,3810.0,3973.0,2726.0,2336.0,2408.0,2010.0,-1.87,9.78,4.62,0.01,-0.02,-0.16,0.0,n
4095.0,2961.0,3811.0,3952.0,2714.0,2336.0,2401.0,2005.0,-1.91,9.69,4.6,0.01,-0.01,-0.16,0.0,n
4095.0,2957.0,3801.0,3930.0,2714.0,2342.0,2401.0,2007.0,-1.79,9.69,4.67,0.0,-0.02,-0.17,0.0,n
4095.0,2963.0,3809.0,3929.0,2718.0,2342.0,2413.0,2007.0,-1.74,9.73,4.84,0.0,-0.0,-0.13,0.0,n
4095.0,2960.0,3791.0,3952.0,2723.0,2339.0,2412.0,2011.0,-1.75,9.7,4.66,0.01,-0.02,-0.16,0.0,n
