hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3303.0,2944.0,2937.0,3518.0,2661.0,2193.0,2381.0,2029.0,-0.14,9.79,5.09,0.03,0.13,-0.2,0.0,n
3295.0,2947.0,2922.0,3520.0,2668.0,2195.0,2382.0,2032.0,-0.12,9.89,4.82,0.06,0.03,-0.17,0.0,n
3300.0,2960.0,2934.0,3520.0,2675.0,2193.0,2383.0,2033.0,0.04,9.8,4.99,-0.03,0.05,-0.15,0.0,n
3287.0,2959.0,2931.0,3504.0,2672.0,2195.0,2384.0,2017.0,-0.17,9.99,4.84,0.03,-0.07,-0.17,0.0,n
3298.0,2955.0,2927.0,3527.0,2679.0,2199.0,2390.0,2038.0,-0.21,9.84,4.83,-0.03,0.12,-0.15,0.0,n
3299.0,2962.0,2941.0,3521.0,2679.0,2198.0,2390.0,2038.0,-0.04,9.87,4.87,0.05,-0.15,-0.17,0.0,n
3292.0,2943.0,2933.0,3524.0,2673.0,2197.0,2391.0,2043.0,-0.14,9.84,5.04,-0.01,0.08,-0.16,0.0,n
3298.0,2947.0,2925.0,3526.0,2672.0,2200.0,2389.0,2038.0,-0.08,9.81,5.09,0.0,0.01,-0.17,0.0,n
3314.0,2939.0,2929.0,3537.0,2685.0,2199.0,2389.0,2042.0,-0.17,9.96,4.92,0.04,-0.05,-0.17,0.0,n
3297.0,2954.0,2932.0,3522.0,2677.0,2202.0,2390.0,2043.0,-0.17,9.79,5.02,0.01,-0.01,-0.16,0.0,n
3303.0,2953.0,2928.0,3533.0,2685.0,2202.0,2389.0,2038.0,-0.17,9.86,4.85,-0.01,0.0,-0.17,0.0,n
3295.0,2958.0,2925.0,3531.0,2679.0,2206.0,2391.0,2043.0,-0.09,10.0,4.79,-0.03,-0.06,-0.15,0.0,n
3299.0,2946.0,2942.0,3536.0,2684.0,2205.0,2394.0,2058.0,-0.36,9.71,5.17,-0.02,-0.05,-0.21,0.0,n
3287.0,2960.0,2925.0,3534.0,2687.0,2211.0,2395.0,2053.0,-0.62,9.82,5.08,0.03,0.02,-0.16,0.0,n
3299.0,2960.0,2937.0,3541.0,2689.0,2211.0,2398.0,2041.0,-0.26,9.89,4.87,0.02,0.01,-0.13,0.0,n
3298.0,2949.0,2928.0,3537.0,2688.0,2223.0,2395.0,2044.0,-0.28,9.85,5.13,-0.05,-0.01,-0.17,0.0,n
3303.0,2960.0,2933.0,3539.0,2672.0,2215.0,2403.0,2047.0,-0.24,9.82,5.04,0.04,-0.03,-0.16,0.0,n
3296.0,2956.0,2928.0,3546.0,2695.0,2214.0,2401.0,2056.0,-0.24,9.82,4.86,0.09,0.01,-0.18,0.0,n
3298.0,2959.0,2929.0,3546.0,2689.0,2214.0,2403.0,2059.0,-0.32,9.8,5.02,-0.02,-0.03,-0.14,0.0,n
3295.0,2957.0,2928.0,3537.0,2692.0,2222.0,2404.0,2057.0,-0.26,9.8,4.89,-0.0,-0.01,-0.12,0.0,n
3301.0,2947.0,2934.0,3539.0,2697.0,2215.0,2399.0,2058.0,-0.29,9.82,4.86,0.01,-0.04,-0.13,0.0,n
3295.0,2945.0,2925.0,3543.0,2695.0,2221.0,2403.0,2058.0,-0.31,9.91,5.06,0.03,0.01,-0.1,0.0,n
3314.0,2959.0,2929.0,3551.0,2695.0,2211.0,2403.0,2063.0,-0.15,9.95,5.0,0.03,-0.03,-0.12,0.0,n
3306.0,2960.0,2928.0,3547.0,2703.0,2213.0,2406.0,2062.0,-0.05,9.85,4.98,0.04,-0.01,-0.14,0.0,n
3301.0,2965.0,2927.0,3543.0,2700.0,2224.0,2407.0,2064.0,-0.18,9.87,4.9,0.01,-0.01,-0.16,0.0,n
3299.0,2949.0,2930.0,3543.0,2702.0,2198.0,2406.0,2063.0,-0.19,9.89,4.94,0.02,0.01,-0.15,0.0,n
3297.0,2944.0,2927.0,3549.0,2698.0,2224.0,2411.0,2064.0,-0.09,9.84,4.93,0.02,-0.0,-0.16,0.0,n
3291.0,2946.0,2929.0,3549.0,2701.0,2218.0,2403.0,2064.0,-0.17,9.85,4.88,0.01,-0.02,-0.16,0.0,n
3301.0,2959.0,2938.0,3543.0,2699.0,2218.0,2405.0,2065.0,-0.22,9.87,4.91,0.01,-0.03,-0.15,0.0,n
3309.0,2961.0,2928.0,3543.0,2703.0,2227.0,2405.0,2064.0,-0.23,9.85,4.93,0.01,-0.02,-0.15,0.0,n
3299.0,2957.0,2927.0,3554.0,2704.0,2221.0,2407.0,2066.0,-0.2,9.85,4.91,0.01,-0.01,-0.15,0.0,n
3312.0,2946.0,2934.0,3536.0,2701.0,2221.0,2406.0,2067.0,-0.27,9.9,4.84,0.02,-0.0,-0.14,0.0,n
3302.0,2963.0,2927.0,3553.0,2703.0,2221.0,2410.0,2064.0,-0.29,9.9,4.86,-0.01,0.02,-0.15,0.0,n
3306.0,2953.0,2931.0,3557.0,2702.0,2227.0,2407.0,2066.0,-0.2,9.87,5.07,0.05,-0.01,-0.13,0.0,n
3305.0,2939.0,2939.0,3558.0,2705.0,2221.0,2409.0,2067.0,-0.08,9.9,4.82,0.01,-0.01,-0.15,0.0,n
3305.0,2949.0,2929.0,3547.0,2704.0,2229.0,2410.0,2068.0,-0.25,9.85,4.79,0.03,-0.04,-0.16,0.0,n
3291.0,2960.0,2943.0,3554.0,2705.0,2224.0,2415.0,2071.0,-0.24,9.84,4.89,0.02,-0.0,-0.15,0.0,n
3303.0,2954.0,2931.0,3550.0,2710.0,2225.0,2413.0,2067.0,-0.22,9.87,4.89,0.01,-0.0,-0.14,0.0,n
3294.0,2950.0,2937.0,3505.0,2706.0,2224.0,2416.0,2066.0,-0.23,9.88,4.84,0.0,0.02,-0.13,0.0,n
3299.0,2944.0,2928.0,3552.0,2704.0,2224.0,2413.0,2073.0,-0.09,9.9,4.77,-0.01,0.02,-0.14,0.0,n
3307.0,2959.0,2917.0,3551.0,2703.0,2229.0,2411.0,2067.0,-0.15,9.87,4.95,0.0,0.0,-0.15,0.0,n
3299.0,2950.0,2930.0,3555.0,2706.0,2225.0,2415.0,2069.0,-0.09,9.89,4.88,0.03,-0.01,-0.16,0.0,n
3311.0,2946.0,2931.0,3557.0,2705.0,2229.0,2414.0,2071.0,-0.23,9.87,4.86,0.05,-0.01,-0.16,0.0,n
3297.0,2949.0,2927.0,3555.0,2703.0,2237.0,2413.0,2074.0,-0.21,9.81,4.86,0.01,0.01,-0.16,0.0,n
3301.0,2949.0,2932.0,3563.0,2709.0,2230.0,2415.0,2069.0,-0.23,9.84,4.84,0.03,-0.01,-0.15,0.0,n
3300.0,2947.0,2937.0,3570.0,2706.0,2230.0,2419.0,2075.0,-0.22,9.94,4.84,0.01,0.04,-0.15,0.0,n
3296.0,2949.0,2925.0,3563.0,2706.0,2230.0,2416.0,2075.0,-0.03,9.91,4.77,0.02,-0.01,-0.15,0.0,n
3303.0,2949.0,2930.0,3558.0,2711.0,2224.0,2410.0,2078.0,-0.22,9.9,4.84,0.01,-0.03,-0.16,0.0,n
3291.0,2958.0,2933.0,3563.0,2710.0,2227.0,2413.0,2075.0,-0.15,9.86,4.83,0.03,-0.04,-0.17,0.0,n
3301.0,2957.0,2945.0,3565.0,2710.0,2235.0,2415.0,2080.0,-0.27,9.88,4.8,0.03,0.01,-0.16,0.0,n
3302.0,2950.0,2933.0,3559.0,2707.0,2239.0,2416.0,2075.0,-0.24,9.94,4.75,0.03,0.02,-0.16,0.0,n
3287.0,2949.0,2938.0,3566.0,2718.0,2236.0,2413.0,2079.0,-0.26,9.79,4.76,0.04,-0.01,-0.16,0.0,n
3297.0,2960.0,2941.0,3568.0,2710.0,2237.0,2411.0,2083.0,-0.19,9.83,4.83,-0.02,0.01,-0.12,0.0,n
3306.0,2959.0,2944.0,3568.0,2717.0,2239.0,2416.0,2079.0,-0.19,9.92,4.69,0.02,-0.02,-0.15,0.0,n
3313.0,2958.0,2928.0,3557.0,2721.0,2235.0,2418.0,2085.0,-0.23,9.91,4.79,0.01,0.01,-0.16,0.0,n
3292.0,2945.0,2929.0,3559.0,2710.0,2240.0,2417.0,2085.0,-0.24,9.88,4.76,0.01,-0.01,-0.16,0.0,n
3298.0,2960.0,2937.0,3568.0,2713.0,2224.0,2425.0,2087.0,-0.35,9.9,4.83,0.01,0.01,-0.15,0.0,n
3287.0,2960.0,2929.0,3568.0,2708.0,2242.0,2417.0,2081.0,-0.09,9.88,4.73,0.03,-0.02,-0.16,0.0,n
3303.0,2955.0,2929.0,3566.0,2719.0,2237.0,2417.0,2086.0,-0.34,9.93,4.79,0.0,-0.02,-0.16,0.0,n
3302.0,2963.0,2931.0,3567.0,2715.0,2233.0,2418.0,2084.0,-0.26,9.82,4.89,0.01,-0.02,-0.15,0.0,n
