hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3059.0,2967.0,3017.0,3509.0,3909.0,3056.0,3203.0,3469.0,-0.23,9.28,4.23,-0.02,-0.07,-0.13,1.0,n
3054.0,2960.0,3008.0,3504.0,3902.0,3055.0,3203.0,3461.0,-0.35,9.2,4.24,-0.03,-0.08,-0.08,1.0,n
3055.0,2958.0,3008.0,3494.0,3904.0,3068.0,3200.0,3456.0,-0.48,9.27,3.98,-0.07,0.07,-0.04,1.0,n
3060.0,2961.0,3007.0,3499.0,3888.0,3053.0,3194.0,3462.0,-0.34,9.2,4.32,-0.09,0.06,0.02,1.0,n
3070.0,2951.0,3018.0,3503.0,3887.0,3056.0,3201.0,3451.0,-0.14,9.22,4.21,-0.0,0.04,0.02,1.0,n
3061.0,2935.0,3009.0,3509.0,3905.0,3052.0,3211.0,3465.0,-0.1,9.34,3.95,-0.04,0.05,-0.01,1.0,n
3057.0,2960.0,3005.0,3503.0,3906.0,3068.0,3201.0,3453.0,-0.22,9.17,4.35,-0.07,-0.08,-0.1,1.0,n
3063.0,3018.0,3005.0,3511.0,3901.0,3058.0,3197.0,3456.0,-0.36,9.22,4.18,-0.06,-0.02,-0.07,1.0,n
3054.0,2961.0,3015.0,3503.0,3891.0,3057.0,3213.0,3454.0,-0.33,9.22,4.23,-0.05,-0.02,-0.03,1.0,n
3051.0,2951.0,3011.0,3499.0,3888.0,3055.0,3216.0,3467.0,-0.32,9.22,4.19,-0.05,-0.03,-0.0,1.0,n
3056.0,2966.0,3010.0,3509.0,3907.0,3062.0,3202.0,3471.0,-0.15,9.21,4.26,-0.06,-0.01,-0.0,1.0,n
3071.0,2945.0,3011.0,3502.0,3894.0,3056.0,3202.0,3472.0,-0.18,9.23,4.13,-0.07,0.02,-0.01,1.0,n
3060.0,2957.0,3012.0,3521.0,3905.0,3059.0,3216.0,3473.0,-0.24,9.22,4.16,-0.08,0.02,-0.02,1.0,n
3056.0,2967.0,3014.0,3504.0,3907.0,3056.0,3201.0,3472.0,-0.16,9.26,4.2,-0.07,0.03,-0.01,1.0,n
3066.0,2960.0,3011.0,3519.0,3900.0,3055.0,3199.0,3467.0,-0.1,9.21,4.29,-0.05,0.03,-0.04,1.0,n
3061.0,2970.0,3013.0,3501.0,3904.0,3056.0,3199.0,3471.0,-0.3,9.22,4.26,-0.05,0.01,-0.05,1.0,n
3063.0,2960.0,3012.0,3504.0,3887.0,3060.0,3199.0,3468.0,-0.21,9.21,4.15,-0.06,0.02,-0.02,1.0,n
3060.0,2945.0,3014.0,3510.0,3888.0,3066.0,3212.0,3479.0,-0.13,9.22,4.19,-0.07,0.0,-0.02,1.0,n
