hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3008.0,2992.0,3848.0,3839.0,3002.0,2559.0,2906.0,2294.0,-1.43,9.62,6.32,0.02,0.0,-0.16,0.0,n
3007.0,2983.0,3858.0,3851.0,2971.0,2559.0,2912.0,2289.0,-1.46,9.78,5.89,0.01,0.14,-0.21,0.0,n
3017.0,2989.0,3835.0,3829.0,2987.0,2559.0,2908.0,2288.0,-1.49,9.66,5.93,-0.05,0.12,-0.1,0.0,n
3004.0,2992.0,3839.0,3841.0,2991.0,2559.0,2911.0,2293.0,-0.94,9.69,6.1,0.01,-0.03,-0.21,0.0,n
3008.0,2992.0,3839.0,3847.0,2998.0,2559.0,2915.0,2300.0,-1.38,9.51,6.15,-0.04,-0.04,-0.34,0.0,n
3012.0,2982.0,3824.0,3835.0,2992.0,2559.0,2912.0,2299.0,-1.64,9.45,5.95,-0.01,-0.14,-0.34,0.0,n
2997.0,2983.0,3847.0,3842.0,2995.0,2559.0,2914.0,2302.0,-2.03,9.38,6.19,-0.11,0.0,-0.28,0.0,n
3006.0,2985.0,3841.0,3845.0,2995.0,2559.0,2912.0,2303.0,-1.98,9.52,6.23,0.01,-0.24,-0.26,0.0,n
2994.0,2991.0,3830.0,3856.0,2997.0,2559.0,2919.0,2307.0,-2.16,9.29,6.73,-0.0,-0.17,-0.22,0.0,n
2997.0,2992.0,3838.0,3859.0,3003.0,2580.0,2917.0,2307.0,-2.28,9.38,6.56,-0.09,-0.07,-0.18,0.0,n
3008.0,2988.0,3814.0,3850.0,2998.0,2559.0,2915.0,2314.0,-2.55,9.2,6.66,-0.02,-0.1,-0.03,0.0,n
3012.0,2997.0,3827.0,3856.0,3005.0,2582.0,2913.0,2314.0,-1.32,9.6,6.71,0.29,-0.31,-0.03,0.0,n
3011.0,2982.0,3830.0,3855.0,3002.0,2590.0,2913.0,2319.0,-1.41,9.52,6.37,0.06,0.03,0.02,0.0,n
3004.0,2979.0,3834.0,3863.0,2992.0,2596.0,2903.0,2319.0,-1.09,9.63,6.45,0.14,-0.12,-0.04,0.0,n
3011.0,2987.0,3831.0,3877.0,2993.0,2595.0,2911.0,2320.0,-1.31,9.63,6.28,0.11,0.07,-0.1,0.0,n
3005.0,2986.0,3831.0,3883.0,3021.0,2603.0,2907.0,2321.0,-0.7,9.86,5.93,0.25,-0.81,-0.3,0.0,n
2999.0,2983.0,3819.0,3874.0,3024.0,2604.0,2902.0,2322.0,-1.29,9.4,6.23,-0.1,0.01,-0.22,0.0,n
2995.0,2977.0,3824.0,3875.0,3024.0,2603.0,2899.0,2322.0,-1.27,9.53,6.29,-0.11,0.27,-0.2,0.0,n
3003.0,2998.0,3828.0,3882.0,3029.0,2609.0,2912.0,2327.0,-1.72,9.59,6.09,-0.17,0.26,-0.21,0.0,n
3003.0,2989.0,3824.0,3875.0,3025.0,2607.0,2905.0,2326.0,-1.37,9.61,6.77,-0.13,-0.24,-0.3,0.0,n
3009.0,2990.0,3819.0,3878.0,3024.0,2608.0,2891.0,2327.0,-1.44,9.15,7.14,-0.31,0.12,-0.18,0.0,n
3021.0,2981.0,3811.0,3886.0,3024.0,2607.0,2895.0,2330.0,-1.73,8.96,7.29,-0.11,0.03,-0.15,0.0,n
3013.0,2983.0,3825.0,3875.0,3023.0,2605.0,2896.0,2329.0,-1.61,8.97,7.36,-0.07,0.11,-0.13,0.0,n
3021.0,2991.0,3833.0,3883.0,3023.0,2605.0,2895.0,2325.0,-1.11,9.38,6.62,-0.23,-0.24,-0.06,0.0,n
3039.0,2990.0,3821.0,3886.0,3024.0,2598.0,2896.0,2331.0,-1.5,9.12,7.74,-0.33,-0.08,-0.11,0.0,n
3014.0,2991.0,3823.0,3893.0,3025.0,2603.0,2901.0,2334.0,-1.4,8.97,8.41,-0.21,-0.1,-0.11,0.0,n
3023.0,2985.0,3823.0,3897.0,3029.0,2608.0,2907.0,2335.0,-1.41,9.1,8.18,0.14,-0.04,-0.17,0.0,n
3008.0,2990.0,3824.0,3899.0,3027.0,2608.0,2897.0,2336.0,-1.73,8.96,8.22,0.18,0.11,-0.13,0.0,n
3024.0,2993.0,3842.0,3910.0,3027.0,2610.0,2897.0,2327.0,-1.07,9.39,7.33,0.32,-0.2,-0.12,0.0,n
3009.0,2993.0,3823.0,3915.0,3031.0,2619.0,2903.0,2331.0,-1.5,9.18,7.46,0.07,0.18,-0.13,0.0,n
3024.0,2986.0,3829.0,3909.0,3031.0,2624.0,2901.0,2335.0,-1.4,9.13,7.7,0.16,0.06,-0.19,0.0,n
3023.0,2985.0,3819.0,3898.0,3027.0,2618.0,2906.0,2336.0,-1.37,9.19,7.43,0.3,-0.02,-0.15,0.0,n
3024.0,2992.0,3819.0,3903.0,3037.0,2621.0,2910.0,2339.0,-1.27,9.36,7.24,0.4,-0.02,-0.18,0.0,n
3003.0,2991.0,3825.0,3874.0,3030.0,2595.0,2903.0,2313.0,-1.4,9.65,5.88,0.61,-0.31,-0.27,0.0,n
2989.0,2982.0,3827.0,3891.0,3039.0,2592.0,2906.0,2313.0,-1.42,9.49,5.76,0.2,0.16,-0.1,0.0,n
2995.0,2997.0,3821.0,3889.0,3039.0,2594.0,2909.0,2320.0,-1.34,9.74,5.44,-0.02,-0.05,-0.15,0.0,n
2974.0,2992.0,3819.0,3888.0,3034.0,2601.0,2909.0,2319.0,-1.43,9.7,5.84,-0.13,-0.07,-0.1,0.0,n
2993.0,2992.0,3803.0,3892.0,3035.0,2602.0,2905.0,2320.0,-1.38,9.74,5.88,-0.14,-0.11,-0.04,0.0,n
2993.0,2992.0,3815.0,3905.0,3047.0,2611.0,2910.0,2327.0,-1.73,9.57,6.14,-0.01,-0.05,-0.05,0.0,n
2992.0,2997.0,3807.0,3903.0,3050.0,2615.0,2912.0,2330.0,-1.1,9.49,6.48,-0.05,-0.02,0.0,0.0,n
2989.0,2989.0,3823.0,3910.0,3046.0,2621.0,2907.0,2332.0,-0.99,9.5,6.01,0.01,0.07,0.22,0.0,n
2999.0,2989.0,3803.0,3890.0,3047.0,2614.0,2914.0,2328.0,-0.79,9.35,6.53,0.16,-0.3,0.06,0.0,n
2992.0,3002.0,3833.0,3902.0,3047.0,2609.0,2913.0,2320.0,0.69,9.93,6.26,0.08,-0.06,0.03,0.0,n
2987.0,3002.0,3831.0,3898.0,3043.0,2608.0,2923.0,2327.0,0.15,9.88,6.01,-0.05,0.02,-0.15,0.0,n
2992.0,3002.0,3826.0,3883.0,3029.0,2599.0,2914.0,2323.0,0.39,9.77,6.1,-0.09,0.07,-0.27,0.0,n
2987.0,2991.0,3835.0,3869.0,3019.0,2587.0,2916.0,2321.0,-0.27,9.61,6.45,-0.12,0.2,-0.31,0.0,n
2993.0,2992.0,3813.0,3843.0,3011.0,2559.0,2907.0,2322.0,-0.16,9.71,6.37,-0.07,0.08,-0.31,0.0,n
3004.0,2992.0,3829.0,3803.0,2995.0,2559.0,2913.0,2309.0,-0.84,9.44,6.9,-0.03,0.26,-0.33,0.0,n
2999.0,2998.0,3819.0,3803.0,3005.0,2559.0,2912.0,2295.0,-1.1,9.46,6.78,-0.0,-0.0,-0.38,0.0,n
2999.0,2989.0,3835.0,3810.0,3005.0,2559.0,2921.0,2298.0,-1.11,9.49,6.59,-0.05,-0.08,-0.26,0.0,n
2995.0,2979.0,3818.0,3807.0,3003.0,2559.0,2917.0,2295.0,-1.36,9.59,7.21,-0.07,-0.02,-0.25,0.0,n
2999.0,2988.0,3794.0,3829.0,3015.0,2586.0,2927.0,2311.0,-1.21,9.4,6.7,-0.19,-0.2,-0.26,0.0,n
2995.0,2982.0,3815.0,3842.0,3019.0,2593.0,2926.0,2314.0,-1.07,9.07,7.38,-0.4,-0.2,-0.06,0.0,n
2995.0,2982.0,3806.0,3840.0,3024.0,2591.0,2928.0,2317.0,-0.76,9.18,7.42,-0.3,-0.06,0.07,0.0,n
2992.0,2995.0,3787.0,3825.0,3015.0,2582.0,2928.0,2320.0,-0.61,9.18,8.78,-0.11,0.18,-0.12,0.0,n
2994.0,2986.0,3801.0,3818.0,3017.0,2591.0,2929.0,2320.0,-0.77,9.3,7.78,0.19,-0.05,-0.2,0.0,n
2978.0,2995.0,3793.0,3825.0,3019.0,2595.0,2930.0,2320.0,-0.92,9.1,7.92,0.2,-0.06,-0.18,0.0,n
2997.0,2995.0,3795.0,3840.0,3026.0,2605.0,2934.0,2327.0,-0.78,9.09,7.51,0.16,-0.01,-0.16,0.0,n
2994.0,2992.0,3811.0,3831.0,3017.0,2599.0,2935.0,2325.0,-1.07,9.33,7.35,0.29,-0.02,-0.12,0.0,n
2992.0,2986.0,3807.0,3843.0,3024.0,2604.0,2939.0,2323.0,-1.04,9.34,6.96,0.27,-0.02,-0.15,0.0,n
2983.0,2989.0,3801.0,3839.0,3024.0,2603.0,2937.0,2326.0,-0.64,9.48,6.61,0.3,-0.1,-0.16,0.0,n
2989.0,2995.0,3803.0,3851.0,3025.0,2599.0,2941.0,2323.0,-0.88,9.67,6.29,0.19,0.07,-0.17,0.0,n
2974.0,2992.0,3826.0,3828.0,3023.0,2596.0,2944.0,2320.0,-1.11,9.55,6.4,0.23,-0.01,-0.22,0.0,n
2960.0,2983.0,3824.0,3837.0,3022.0,2592.0,2940.0,2320.0,-1.0,9.43,6.12,0.25,-0.1,-0.17,0.0,n
2978.0,2992.0,3807.0,3842.0,3024.0,2592.0,2938.0,2330.0,-0.46,9.93,5.65,0.1,-0.22,-0.13,0.0,n
2966.0,2992.0,3805.0,3839.0,3024.0,2603.0,2943.0,2330.0,-0.91,9.76,6.0,-0.19,-0.01,-0.17,0.0,n
2965.0,2984.0,3799.0,3843.0,3029.0,2608.0,2950.0,2333.0,-1.0,9.63,6.1,-0.08,0.03,-0.17,0.0,n
2979.0,2989.0,3805.0,3854.0,3030.0,2609.0,2949.0,2337.0,-1.32,9.43,5.9,-0.21,0.03,-0.12,0.0,n
2974.0,2989.0,3793.0,3847.0,3029.0,2608.0,2953.0,2336.0,-0.68,9.57,6.59,-0.44,-0.07,-0.04,0.0,n
2978.0,2978.0,3815.0,3837.0,3026.0,2608.0,2953.0,2340.0,-0.72,9.61,7.5,-0.19,0.1,-0.12,0.0,n
2963.0,2994.0,3781.0,3818.0,3018.0,2599.0,2943.0,2337.0,-0.97,9.35,7.31,-0.11,0.04,-0.13,0.0,n
2981.0,2992.0,3780.0,3821.0,3024.0,2604.0,2947.0,2338.0,-0.79,9.47,7.14,-0.01,-0.1,-0.12,0.0,n
2979.0,2983.0,3792.0,3839.0,3030.0,2610.0,2950.0,2339.0,-0.88,9.03,7.43,-0.25,-0.06,-0.17,0.0,n
2981.0,2985.0,3805.0,3849.0,3038.0,2615.0,2949.0,2341.0,-0.37,9.26,7.79,-0.32,0.06,0.06,0.0,n
2975.0,2987.0,3792.0,3853.0,3041.0,2615.0,2953.0,2345.0,-0.55,9.41,7.28,-0.01,-0.06,-0.12,0.0,n
2979.0,2990.0,3792.0,3853.0,3041.0,2624.0,2955.0,2345.0,-0.67,9.12,8.12,0.06,-0.01,-0.08,0.0,n
2986.0,2991.0,3798.0,3839.0,3031.0,2618.0,2947.0,2348.0,-0.69,9.41,7.88,0.24,0.13,-0.18,0.0,n
2964.0,2992.0,3777.0,3851.0,3038.0,2620.0,2950.0,2349.0,-0.72,9.41,7.42,0.24,0.07,-0.13,0.0,n
2976.0,2997.0,3777.0,3834.0,3033.0,2610.0,2946.0,2346.0,-0.61,9.25,6.87,0.12,-0.15,-0.03,0.0,n
2967.0,2992.0,3772.0,3847.0,3039.0,2620.0,2954.0,2351.0,-0.2,9.31,7.2,0.12,-0.03,-0.02,0.0,n
2970.0,2981.0,3753.0,3847.0,3040.0,2621.0,2947.0,2345.0,-0.24,9.52,6.97,0.15,0.0,0.01,0.0,n
2981.0,2983.0,3774.0,3837.0,3037.0,2621.0,2949.0,2349.0,0.0,9.56,6.8,0.09,0.01,-0.03,0.0,n
2974.0,2982.0,3765.0,3829.0,3030.0,2617.0,2945.0,2349.0,0.38,9.58,6.85,0.03,-0.03,-0.06,0.0,n
2971.0,2993.0,3781.0,3841.0,3042.0,2627.0,2957.0,2352.0,0.2,9.67,6.6,0.05,-0.01,-0.15,0.0,n
2978.0,2979.0,3766.0,3832.0,3034.0,2622.0,2951.0,2352.0,0.48,9.61,6.94,-0.01,0.03,-0.24,0.0,n
2989.0,2992.0,3788.0,3839.0,3039.0,2623.0,2954.0,2352.0,0.24,9.66,6.5,-0.05,0.02,-0.33,0.0,n
2971.0,2996.0,3775.0,3834.0,3038.0,2619.0,2950.0,2347.0,-0.33,9.37,7.18,0.03,-0.16,-0.23,0.0,n
2971.0,2994.0,3766.0,3826.0,3038.0,2623.0,2955.0,2352.0,-0.3,9.69,6.54,-0.03,0.04,-0.31,0.0,n
2978.0,3002.0,3760.0,3838.0,3038.0,2623.0,2947.0,2352.0,-0.42,9.52,6.93,-0.05,0.01,-0.29,0.0,n
2973.0,2990.0,3781.0,3841.0,3042.0,2627.0,2953.0,2353.0,-0.53,9.44,6.98,-0.06,0.12,-0.28,0.0,n
2974.0,2981.0,3771.0,3840.0,3037.0,2619.0,2953.0,2354.0,-0.79,9.39,6.99,-0.01,-0.04,-0.29,0.0,n
2975.0,2989.0,3772.0,3845.0,3038.0,2624.0,2957.0,2353.0,-0.87,9.41,7.03,-0.06,-0.02,-0.23,0.0,n
2975.0,2986.0,3770.0,3842.0,3039.0,2622.0,2957.0,2356.0,-1.12,9.3,7.39,-0.04,0.03,-0.19,0.0,n
2964.0,2987.0,3766.0,3837.0,3027.0,2618.0,2950.0,2352.0,-0.98,9.47,7.04,0.04,0.04,-0.1,0.0,n
2973.0,2998.0,3767.0,3850.0,3035.0,2624.0,2949.0,2353.0,-0.92,9.45,7.02,0.04,0.0,-0.05,0.0,n
2974.0,2992.0,3780.0,3845.0,3029.0,2619.0,2951.0,2352.0,-0.81,9.34,6.98,0.03,-0.08,-0.08,0.0,n
2971.0,2992.0,3762.0,3839.0,3031.0,2621.0,2951.0,2352.0,-0.57,9.35,7.09,0.13,-0.42,-0.03,0.0,n
2970.0,3005.0,3791.0,3850.0,3038.0,2625.0,2958.0,2359.0,-0.06,9.58,6.96,0.0,-0.03,0.04,0.0,n
2977.0,2989.0,3785.0,3849.0,3040.0,2621.0,2959.0,2357.0,-0.14,9.53,7.07,0.02,-0.0,0.02,0.0,n
2967.0,2990.0,3761.0,3840.0,3037.0,2619.0,2954.0,2355.0,0.11,9.57,6.89,0.01,-0.04,-0.07,0.0,n
2975.0,2987.0,3769.0,3830.0,3031.0,2614.0,2950.0,2355.0,-0.21,9.41,7.01,0.03,-0.03,-0.05,0.0,n
2982.0,2978.0,3767.0,3830.0,3035.0,2621.0,2951.0,2357.0,0.02,9.43,6.94,0.04,-0.12,0.01,0.0,n
2963.0,2982.0,3755.0,3831.0,3031.0,2619.0,2951.0,2353.0,0.35,9.54,6.99,-0.0,-0.02,0.02,0.0,n
2966.0,2990.0,3758.0,3828.0,3033.0,2614.0,2955.0,2356.0,0.66,9.62,6.87,0.03,-0.01,-0.04,0.0,n
2963.0,2992.0,3769.0,3834.0,3035.0,2620.0,2951.0,2357.0,1.01,9.69,6.75,0.08,-0.1,-0.22,0.0,n
2975.0,2998.0,3774.0,3831.0,3039.0,2619.0,2955.0,2355.0,0.76,9.58,6.72,0.01,-0.1,-0.26,0.0,n
2987.0,2999.0,3773.0,3792.0,3034.0,2610.0,2960.0,2353.0,0.42,9.3,7.16,-0.14,0.1,-0.09,0.0,n
2978.0,2983.0,3771.0,3792.0,3028.0,2610.0,2957.0,2352.0,0.42,9.61,6.99,-0.04,0.08,-0.27,0.0,n
2973.0,2986.0,3745.0,3778.0,3026.0,2608.0,2960.0,2357.0,0.28,9.58,7.1,-0.05,0.17,-0.33,0.0,n
2973.0,2989.0,3760.0,3789.0,3021.0,2607.0,2958.0,2357.0,-0.34,9.32,7.3,-0.06,0.22,-0.34,0.0,n
2992.0,2994.0,3764.0,3799.0,3006.0,2614.0,2961.0,2365.0,0.2,9.57,6.57,-0.2,0.58,-0.36,0.0,n
2975.0,2985.0,3765.0,3798.0,3024.0,2619.0,2960.0,2362.0,-1.32,8.92,8.17,-0.17,-0.01,-0.26,0.0,n
2962.0,2981.0,3760.0,3793.0,3023.0,2610.0,2960.0,2362.0,-0.56,9.37,7.39,0.03,-0.06,-0.17,0.0,n
2982.0,2989.0,3753.0,3810.0,3029.0,2615.0,2961.0,2366.0,-0.95,9.14,7.72,-0.02,0.01,-0.14,0.0,n
2983.0,2986.0,3758.0,3811.0,3034.0,2622.0,2960.0,2367.0,-0.62,9.24,7.46,0.05,-0.25,-0.02,0.0,n
2988.0,2993.0,3749.0,3803.0,3034.0,2623.0,2960.0,2366.0,-0.79,9.21,7.66,0.1,-0.09,0.01,0.0,n
2977.0,2982.0,3760.0,3797.0,3024.0,2613.0,2956.0,2363.0,0.0,9.39,7.17,0.1,-0.1,-0.02,0.0,n
