hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1296.0,2992.0,3164.0,2940.0,3434.0,3760.0,2991.0,3722.0,-0.86,9.46,0.91,-0.8,0.2,-0.18,o
1403.0,3029.0,3174.0,2935.0,3426.0,3760.0,3014.0,3711.0,0.84,10.1,1.33,-0.56,-0.13,0.06,o
1798.0,3021.0,3166.0,2957.0,3447.0,3742.0,3003.0,3583.0,0.11,9.45,1.93,-1.02,0.58,-0.37,o
2207.0,3041.0,3184.0,2990.0,3458.0,3769.0,3023.0,3596.0,1.02,8.97,1.91,0.04,0.38,0.23,o
2896.0,3051.0,3186.0,2991.0,3488.0,3700.0,3024.0,3566.0,0.05,9.53,1.43,0.07,1.12,-0.06,o
2955.0,3056.0,3190.0,2921.0,3490.0,3703.0,3035.0,3600.0,0.45,9.63,1.1,0.05,0.27,0.12,o
2627.0,3067.0,3184.0,2932.0,3455.0,3727.0,3035.0,3680.0,0.45,9.04,0.86,-0.28,-0.01,0.06,o
1809.0,3059.0,3184.0,2955.0,3382.0,3730.0,3035.0,3713.0,1.29,9.52,1.2,0.11,-0.26,0.32,o
1379.0,3067.0,3183.0,2933.0,3334.0,3729.0,3030.0,3763.0,1.09,9.39,1.05,-0.12,0.1,0.09,o
1299.0,3070.0,3187.0,2863.0,3342.0,3718.0,3024.0,3794.0,1.44,9.56,1.12,-0.03,-0.02,-0.02,o
1270.0,3083.0,3184.0,2842.0,3356.0,3718.0,3027.0,3797.0,1.16,9.17,1.16,-0.18,0.09,0.03,o
1261.0,3071.0,3184.0,2755.0,3371.0,3735.0,3037.0,3799.0,1.25,9.45,1.19,0.01,0.04,0.1,o
1261.0,3089.0,3188.0,2685.0,3370.0,3735.0,3045.0,3814.0,0.87,9.43,1.09,-0.14,0.25,-0.07,o
1259.0,3087.0,3197.0,2623.0,3371.0,3747.0,3047.0,3807.0,0.79,9.4,1.36,-0.06,-0.03,0.01,o
1261.0,3099.0,3207.0,2643.0,3376.0,3760.0,3056.0,3808.0,0.66,9.55,1.23,0.06,0.05,0.02,o
1264.0,3094.0,3207.0,2654.0,3387.0,3760.0,3056.0,3798.0,0.52,9.58,1.22,-0.02,0.09,0.05,o
1263.0,3102.0,3201.0,2659.0,3399.0,3778.0,3059.0,3802.0,0.85,9.43,1.45,-0.01,-0.18,0.06,o
1258.0,3102.0,3198.0,2671.0,3401.0,3771.0,3066.0,3799.0,1.36,9.62,1.5,-0.09,-0.07,0.06,o
1250.0,3095.0,3201.0,2704.0,3413.0,3777.0,3070.0,3794.0,0.96,9.43,1.41,-0.02,0.03,-0.02,o
1246.0,3098.0,3205.0,2756.0,3431.0,3788.0,3065.0,3807.0,1.45,9.5,1.33,-0.14,-0.23,0.04,o
1233.0,3098.0,3202.0,2819.0,3443.0,3795.0,3071.0,3814.0,1.12,9.34,1.35,-0.11,-0.07,-0.03,o
1227.0,3095.0,3201.0,2905.0,3457.0,3803.0,3082.0,3817.0,1.05,9.76,1.52,-0.04,-0.08,0.04,o
1230.0,3093.0,3212.0,2967.0,3456.0,3806.0,3082.0,3815.0,0.75,9.19,1.34,-0.13,-0.05,0.02,o
1227.0,3099.0,3199.0,3027.0,3465.0,3806.0,3083.0,3819.0,1.36,9.44,1.41,-0.05,0.01,0.02,o
1227.0,3099.0,3209.0,3057.0,3469.0,3807.0,3079.0,3813.0,1.22,9.29,1.55,-0.04,0.12,0.03,o
1226.0,3093.0,3203.0,2910.0,3463.0,3799.0,3085.0,3814.0,1.35,9.58,1.74,0.0,-0.07,0.03,o
1231.0,3090.0,3192.0,2890.0,3473.0,3801.0,3071.0,3812.0,0.62,9.4,1.31,-0.03,-0.29,0.05,o
1226.0,3088.0,3196.0,3024.0,3475.0,3796.0,3071.0,3810.0,0.96,9.82,0.99,-0.37,-0.95,0.2,o
1210.0,3071.0,3184.0,3366.0,3487.0,3777.0,3058.0,3798.0,2.56,9.31,1.22,-0.82,-1.38,0.28,o
1204.0,3029.0,3139.0,3385.0,3513.0,3739.0,3044.0,3760.0,1.64,8.7,1.74,-0.54,0.3,-0.14,o
1216.0,3052.0,3169.0,3099.0,3514.0,3776.0,3089.0,3804.0,2.05,9.17,2.55,-0.02,0.36,0.1,o
1216.0,3055.0,3167.0,3007.0,3521.0,3787.0,3095.0,3823.0,1.35,9.22,2.17,-0.17,0.43,-0.08,o
1226.0,3061.0,3169.0,2959.0,3523.0,3796.0,3102.0,3822.0,1.81,9.0,2.41,-0.32,-0.11,0.05,o
1221.0,3065.0,3165.0,2886.0,3519.0,3793.0,3102.0,3820.0,1.65,9.19,2.66,-0.26,0.06,-0.0,o
1227.0,3066.0,3169.0,2673.0,3492.0,3783.0,3101.0,3793.0,1.7,9.12,2.92,-0.45,0.24,-0.04,o
1216.0,3056.0,3165.0,2559.0,3460.0,3760.0,3088.0,3770.0,1.61,8.86,3.06,-0.3,-0.09,0.09,o
1213.0,3066.0,3166.0,2527.0,3459.0,3755.0,3083.0,3763.0,1.45,8.9,2.94,-0.11,0.06,0.01,o
1220.0,3068.0,3166.0,2606.0,3486.0,3762.0,3088.0,3765.0,1.99,8.91,3.0,0.18,-0.22,0.07,o
