hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3340.0,4095.0,2237.0,3445.0,3002.0,2490.0,2613.0,2559.0,0.58,9.74,6.54,0.02,-0.01,-0.14,o
3342.0,4095.0,2207.0,3436.0,2997.0,2491.0,2624.0,2587.0,0.79,9.49,6.74,0.02,0.17,-0.17,o
3357.0,4095.0,2201.0,3446.0,3005.0,2506.0,2627.0,2597.0,0.31,9.54,6.84,0.05,0.26,-0.2,o
3347.0,4095.0,2198.0,3457.0,3001.0,2503.0,2633.0,2606.0,0.27,9.51,6.69,0.08,0.2,-0.2,o
3357.0,4095.0,2190.0,3461.0,3017.0,2512.0,2642.0,2612.0,0.12,9.44,6.61,0.08,0.33,-0.23,o
3344.0,4095.0,2183.0,3465.0,3021.0,2512.0,2654.0,2618.0,-0.07,9.46,6.45,0.04,0.06,-0.23,o
3351.0,4095.0,2181.0,3466.0,3017.0,2514.0,2660.0,2625.0,0.0,9.54,6.51,0.0,-0.08,-0.23,o
3353.0,4095.0,2182.0,3466.0,3024.0,2518.0,2655.0,2625.0,0.03,9.64,6.55,-0.09,0.04,-0.2,o
3371.0,4095.0,2186.0,3471.0,3026.0,2520.0,2655.0,2627.0,0.07,9.51,6.99,-0.08,0.1,-0.22,o
3353.0,4095.0,2181.0,3472.0,3034.0,2515.0,2659.0,2640.0,0.0,9.56,6.96,-0.04,-0.05,-0.22,o
3355.0,4095.0,2174.0,3470.0,3029.0,2523.0,2667.0,2646.0,0.5,9.48,6.7,-0.08,-0.25,-0.24,o
3354.0,4095.0,2175.0,3473.0,3031.0,2519.0,2672.0,2653.0,0.3,9.43,7.11,-0.11,0.02,-0.28,o
3354.0,4095.0,2167.0,3472.0,3034.0,2521.0,2672.0,2666.0,-0.09,9.4,7.07,-0.02,-0.0,-0.24,o
3357.0,4095.0,2175.0,3488.0,3031.0,2518.0,2672.0,2663.0,0.23,9.5,7.04,0.0,-0.08,-0.22,o
3345.0,4095.0,2178.0,3472.0,3041.0,2524.0,2673.0,2663.0,0.02,9.4,7.28,0.09,0.06,-0.2,o
3333.0,4095.0,2183.0,3468.0,3038.0,2519.0,2677.0,2668.0,0.03,9.56,6.9,0.08,0.02,-0.18,o
3339.0,4095.0,2185.0,3468.0,3034.0,2521.0,2679.0,2669.0,-0.03,9.4,6.96,0.08,0.03,-0.19,o
3344.0,4095.0,2178.0,3469.0,3043.0,2528.0,2686.0,2672.0,-0.23,9.61,6.71,0.09,-0.02,-0.22,o
3345.0,4095.0,2178.0,3472.0,3038.0,2525.0,2685.0,2675.0,-0.09,9.43,6.87,0.05,0.05,-0.15,o
3335.0,4095.0,2167.0,3475.0,3046.0,2529.0,2687.0,2682.0,-0.19,9.48,6.72,0.06,-0.0,-0.15,o
