hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3446.0,975.0,4095.0,3202.0,2881.0,2494.0,2864.0,2742.0,-1.75,9.66,6.12,0.05,-0.02,-0.18,0.0,o
3440.0,979.0,4095.0,3200.0,2882.0,2494.0,2864.0,2733.0,-1.3,9.67,5.78,0.04,0.03,-0.12,0.0,o
3429.0,981.0,4095.0,3184.0,2891.0,2478.0,2864.0,2734.0,-1.26,9.64,5.76,-0.01,-0.03,-0.12,0.0,o
3426.0,976.0,4095.0,3191.0,2893.0,2495.0,2859.0,2727.0,-1.2,9.72,5.92,0.03,-0.01,-0.14,0.0,o
3434.0,968.0,4095.0,3194.0,2875.0,2491.0,2864.0,2732.0,-1.34,9.67,5.83,0.05,0.0,-0.16,0.0,o
3428.0,976.0,4095.0,3199.0,2881.0,2482.0,2865.0,2736.0,-1.28,9.62,5.6,0.0,-0.0,-0.13,0.0,o
3442.0,969.0,4095.0,3200.0,2879.0,2485.0,2864.0,2739.0,-1.34,9.74,6.15,0.04,0.04,-0.17,0.0,o
3440.0,976.0,4095.0,3217.0,2879.0,2483.0,2852.0,2737.0,-1.18,9.67,5.64,0.02,0.01,-0.18,0.0,o
3440.0,966.0,4095.0,3214.0,2885.0,2487.0,2864.0,2736.0,-1.34,9.66,5.8,0.02,-0.04,-0.18,0.0,o
3441.0,969.0,4095.0,3211.0,2880.0,2485.0,2863.0,2736.0,-1.29,9.67,5.69,0.02,-0.09,-0.17,0.0,o
3435.0,965.0,4095.0,3221.0,2886.0,2481.0,2871.0,2741.0,-1.67,9.69,5.92,-0.04,0.11,-0.13,0.0,o
3440.0,974.0,4095.0,3203.0,2871.0,2490.0,2867.0,2749.0,-1.35,9.67,5.75,0.02,0.08,-0.14,0.0,o
3446.0,973.0,4095.0,3216.0,2881.0,2482.0,2868.0,2742.0,-1.4,9.62,5.62,-0.0,-0.02,-0.12,0.0,o
3441.0,976.0,4095.0,3207.0,2865.0,2482.0,2860.0,2759.0,-1.23,9.72,5.86,-0.04,0.04,-0.13,0.0,o
3446.0,969.0,4095.0,3207.0,2857.0,2486.0,2867.0,2746.0,-1.21,9.68,5.91,0.01,0.02,-0.17,0.0,o
3445.0,970.0,4095.0,3229.0,2865.0,2474.0,2834.0,2752.0,-1.31,9.63,5.71,0.04,-0.01,-0.18,0.0,o
3451.0,976.0,4095.0,3212.0,2878.0,2469.0,2864.0,2747.0,-1.41,9.75,5.6,0.03,-0.08,-0.18,0.0,o
3449.0,981.0,4095.0,3222.0,2885.0,2478.0,2864.0,2749.0,-1.44,9.67,5.97,-0.03,-0.05,-0.12,0.0,o
3446.0,976.0,4095.0,3227.0,2886.0,2479.0,2870.0,2754.0,-1.24,9.67,5.81,0.03,0.01,-0.16,0.0,o
3439.0,963.0,4095.0,3231.0,2887.0,2480.0,2875.0,2758.0,-1.45,9.65,5.68,0.03,-0.01,-0.17,0.0,o
3456.0,963.0,4095.0,3241.0,2885.0,2480.0,2875.0,2757.0,-1.53,9.64,5.76,-0.01,-0.01,-0.16,0.0,o
3450.0,976.0,4095.0,3237.0,2870.0,2481.0,2870.0,2752.0,-1.38,9.61,5.88,0.01,-0.02,-0.12,0.0,o
3450.0,977.0,4095.0,3237.0,2889.0,2477.0,2871.0,2764.0,-1.41,9.71,5.73,0.04,0.0,-0.12,0.0,o
3449.0,976.0,4095.0,3247.0,2894.0,2477.0,2875.0,2763.0,-1.33,9.7,5.72,0.03,-0.0,-0.13,0.0,o
3441.0,974.0,4085.0,3248.0,2899.0,2474.0,2864.0,2741.0,-1.28,9.61,5.73,0.02,-0.04,-0.16,0.0,o
3449.0,971.0,4095.0,3239.0,2893.0,2479.0,2871.0,2757.0,-1.28,9.75,5.78,0.01,0.01,-0.13,0.0,o
3440.0,966.0,4095.0,3239.0,2907.0,2482.0,2871.0,2763.0,-1.24,9.72,5.59,0.06,-0.02,-0.17,0.0,o
3440.0,976.0,4084.0,3238.0,2893.0,2482.0,2874.0,2765.0,-1.51,9.64,5.59,0.02,-0.02,-0.16,0.0,o
3426.0,960.0,4081.0,3227.0,2899.0,2478.0,2869.0,2754.0,-1.53,9.72,5.86,-0.0,0.03,-0.13,0.0,o
3440.0,972.0,4095.0,3227.0,2893.0,2437.0,2865.0,2765.0,-1.07,9.71,5.57,0.01,-0.02,-0.14,0.0,o
3429.0,977.0,4095.0,3217.0,2893.0,2465.0,2877.0,2759.0,-1.32,9.58,5.69,0.01,-0.09,-0.15,0.0,o
3460.0,983.0,4070.0,3223.0,2897.0,2477.0,2869.0,2770.0,-1.25,9.65,5.81,-0.0,0.01,-0.15,0.0,o
3440.0,975.0,4079.0,3243.0,2909.0,2480.0,2874.0,2765.0,-1.28,9.76,5.66,0.03,-0.0,-0.15,0.0,o
3455.0,973.0,4079.0,3238.0,2895.0,2477.0,2867.0,2762.0,-1.3,9.67,5.61,0.03,-0.02,-0.17,0.0,o
3452.0,965.0,4077.0,3236.0,2908.0,2489.0,2880.0,2763.0,-1.41,9.71,5.56,0.02,-0.02,-0.16,0.0,o
3433.0,976.0,4090.0,3235.0,2906.0,2486.0,2882.0,2769.0,-1.36,9.61,5.84,0.01,0.03,-0.14,0.0,o
3449.0,966.0,4075.0,3239.0,2905.0,2484.0,2873.0,2768.0,-1.31,9.65,5.71,0.02,-0.0,-0.16,0.0,o
3458.0,967.0,4062.0,3233.0,2915.0,2478.0,2879.0,2763.0,-1.33,9.69,5.68,0.01,0.02,-0.14,0.0,o
3445.0,971.0,4095.0,3251.0,2900.0,2484.0,2874.0,2768.0,-1.28,9.7,5.66,0.01,0.04,-0.14,0.0,o
3463.0,971.0,4095.0,3248.0,2910.0,2485.0,2874.0,2774.0,-1.29,9.6,5.69,-0.01,-0.03,-0.15,0.0,o
3442.0,977.0,4071.0,3248.0,2897.0,2480.0,2873.0,2773.0,-1.28,9.71,5.71,-0.01,-0.02,-0.13,0.0,o
3873.0,3425.0,3625.0,3099.0,2918.0,2653.0,2909.0,2558.0,-1.08,9.68,5.98,-0.01,0.0,-0.16,0.0,o
3879.0,3423.0,3618.0,3089.0,2919.0,2643.0,2903.0,2559.0,-0.88,9.67,6.0,0.03,0.01,-0.18,0.0,o
3884.0,3406.0,3632.0,3106.0,2928.0,2645.0,2913.0,2559.0,-0.94,9.68,5.84,0.02,0.02,-0.17,0.0,o
3927.0,3407.0,3632.0,3085.0,2919.0,2640.0,2914.0,2558.0,-1.01,9.63,5.81,0.01,-0.06,-0.22,0.0,o
3891.0,3417.0,3630.0,3088.0,2930.0,2653.0,2918.0,2579.0,-1.01,9.6,5.98,0.02,-0.04,-0.17,0.0,o
3905.0,3407.0,3632.0,3093.0,2935.0,2651.0,2919.0,2559.0,-1.11,9.67,5.98,0.03,-0.02,-0.15,0.0,o
3898.0,3415.0,3632.0,3114.0,2935.0,2645.0,2913.0,2559.0,-1.06,9.67,5.93,0.0,0.01,-0.16,0.0,o
3895.0,3418.0,3630.0,3103.0,2941.0,2646.0,2919.0,2590.0,-1.06,9.72,5.69,0.02,-0.0,-0.16,0.0,o
3920.0,3408.0,3647.0,3104.0,2928.0,2641.0,2922.0,2587.0,-1.03,9.61,6.0,0.0,-0.01,-0.17,0.0,o
3905.0,3403.0,3620.0,3097.0,2930.0,2653.0,2926.0,2591.0,-1.08,9.72,5.94,0.04,0.02,-0.16,0.0,o
3890.0,3406.0,3632.0,3099.0,2931.0,2640.0,2930.0,2595.0,-1.06,9.67,5.92,0.01,0.05,-0.17,0.0,o
3920.0,3437.0,3637.0,3105.0,2943.0,2646.0,2919.0,2602.0,-1.15,9.72,5.77,0.02,0.01,-0.16,0.0,o
3890.0,3406.0,3647.0,3088.0,2931.0,2661.0,2916.0,2596.0,-1.18,9.67,5.97,-0.0,-0.0,-0.17,0.0,o
