hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2674.0,3855.0,3173.0,3354.0,3966.0,3383.0,3504.0,3738.0,0.46,9.07,4.46,0.05,-0.06,-0.07,1.0,o
2682.0,3856.0,3169.0,3337.0,4016.0,3383.0,3515.0,3696.0,0.58,9.27,4.25,-0.02,0.07,-0.05,1.0,o
2686.0,3867.0,3171.0,3338.0,4006.0,3379.0,3520.0,3729.0,0.49,9.09,4.35,-0.13,-0.08,-0.08,1.0,o
2685.0,3841.0,3165.0,3339.0,4014.0,3376.0,3506.0,3762.0,0.55,9.2,4.41,-0.09,-0.05,-0.06,1.0,o
2674.0,3842.0,3168.0,3311.0,3931.0,3402.0,3514.0,3486.0,0.31,9.02,4.43,-0.03,-0.05,-0.01,1.0,o
2659.0,3877.0,3162.0,3317.0,3967.0,3387.0,3539.0,3643.0,0.47,9.19,4.25,-0.11,-0.02,0.02,1.0,o
2667.0,3841.0,3170.0,3311.0,3957.0,3407.0,3533.0,3854.0,0.58,9.14,4.38,-0.1,-0.04,-0.05,1.0,o
2663.0,3855.0,3171.0,3285.0,3973.0,3398.0,3525.0,3862.0,0.55,9.17,4.44,-0.1,-0.04,-0.01,1.0,o
2672.0,3862.0,3163.0,3282.0,3946.0,3389.0,3527.0,3867.0,0.61,9.12,4.32,-0.07,-0.03,-0.03,1.0,o
2679.0,3851.0,3156.0,3273.0,3952.0,3393.0,3517.0,3888.0,0.63,9.14,4.36,-0.06,0.02,-0.04,1.0,o
2704.0,3870.0,3177.0,3243.0,3952.0,3390.0,3509.0,3908.0,0.66,9.03,4.62,0.02,-0.06,-0.04,1.0,o
2737.0,3867.0,3168.0,3219.0,3957.0,3395.0,3499.0,3905.0,0.65,9.25,4.28,0.05,0.16,0.03,1.0,o
2783.0,3867.0,3173.0,3165.0,3920.0,3366.0,3488.0,3862.0,0.27,9.05,4.19,-0.16,-0.02,-0.02,1.0,o
2748.0,3856.0,3359.0,3152.0,3923.0,3336.0,3471.0,3904.0,0.8,9.09,4.44,-0.15,-0.16,-0.03,1.0,o
2730.0,3830.0,3474.0,3141.0,3907.0,3280.0,3443.0,3878.0,0.49,8.99,4.7,-0.05,0.11,-0.09,1.0,o
2761.0,3801.0,3495.0,3111.0,3863.0,3247.0,3408.0,3883.0,0.42,9.13,4.43,-0.04,0.05,-0.08,1.0,o
2705.0,3764.0,3217.0,3119.0,3870.0,3241.0,3402.0,3654.0,0.15,9.03,4.3,-0.12,0.14,-0.02,1.0,o
2665.0,3735.0,2624.0,3120.0,3883.0,3222.0,3399.0,3583.0,0.59,9.18,4.41,0.04,-0.06,-0.1,1.0,o
2642.0,3734.0,2591.0,3135.0,3901.0,3233.0,3383.0,3570.0,0.5,9.1,4.56,-0.0,0.1,0.04,1.0,o
2639.0,3728.0,2545.0,3132.0,3858.0,3223.0,3380.0,3439.0,0.5,9.12,4.54,0.04,0.01,0.04,1.0,o
2633.0,3730.0,2499.0,3146.0,3869.0,3233.0,3390.0,3454.0,0.61,9.22,4.24,0.03,0.06,0.0,1.0,o
2640.0,3721.0,2329.0,3148.0,3854.0,3222.0,3402.0,3626.0,0.54,9.2,4.19,-0.08,0.07,0.07,1.0,o
2631.0,3675.0,2383.0,3126.0,3854.0,3186.0,3377.0,3438.0,0.9,9.3,4.3,-0.05,0.02,-0.03,1.0,o
2627.0,3656.0,2495.0,3071.0,3814.0,3142.0,3354.0,3505.0,0.67,9.31,4.07,-0.11,0.11,-0.04,1.0,o
2635.0,3504.0,2544.0,3036.0,3776.0,3096.0,3315.0,3635.0,0.51,9.13,4.49,-0.08,-0.05,-0.07,1.0,o
2630.0,3714.0,2535.0,3005.0,3786.0,3087.0,3280.0,3533.0,0.47,8.97,4.25,-0.01,-0.03,-0.1,1.0,o
2647.0,3844.0,2474.0,2981.0,3731.0,3046.0,3231.0,3597.0,0.43,9.23,4.26,-0.03,-0.14,-0.13,1.0,o
2704.0,3977.0,2441.0,2946.0,3731.0,3029.0,3212.0,3408.0,0.46,9.09,4.31,-0.05,-0.12,-0.09,1.0,o
2853.0,4087.0,2150.0,2928.0,3727.0,2994.0,3172.0,2880.0,0.57,9.25,4.3,0.03,-0.26,-0.23,1.0,o
3056.0,4095.0,1803.0,2921.0,3732.0,2987.0,3174.0,3056.0,0.67,9.25,4.3,-0.15,-0.14,-0.12,1.0,o
2877.0,4086.0,1783.0,2913.0,3728.0,2991.0,3182.0,3239.0,0.48,9.21,4.36,-0.08,0.0,-0.07,1.0,o
2851.0,4095.0,1601.0,2916.0,3751.0,3007.0,3186.0,3347.0,0.46,9.12,4.55,-0.1,-0.16,-0.1,1.0,o
2931.0,4095.0,1070.0,2929.0,3767.0,3023.0,3199.0,3362.0,0.48,9.23,4.21,-0.07,-0.06,-0.05,1.0,o
3010.0,4095.0,906.0,2935.0,3778.0,3042.0,3205.0,3216.0,0.33,9.05,4.43,-0.13,-0.11,-0.05,1.0,o
3071.0,4095.0,897.0,2942.0,3787.0,3057.0,3216.0,3221.0,0.54,9.16,4.47,-0.07,0.02,-0.01,1.0,o
3138.0,4095.0,894.0,2963.0,3793.0,3063.0,3223.0,3334.0,0.53,9.18,4.39,-0.07,-0.05,-0.02,1.0,o
3218.0,4095.0,890.0,2992.0,3823.0,3085.0,3245.0,3399.0,0.53,9.23,4.3,-0.13,-0.04,0.02,1.0,o
3202.0,4095.0,896.0,3019.0,3847.0,3122.0,3269.0,3417.0,0.7,9.12,4.41,-0.16,-0.07,0.05,1.0,o
2809.0,4095.0,924.0,3028.0,3895.0,3200.0,3318.0,3555.0,0.49,9.16,4.25,-0.17,0.03,0.01,1.0,o
2759.0,4095.0,1614.0,3007.0,3853.0,3208.0,3330.0,3612.0,0.67,8.96,4.55,-0.14,0.0,0.01,1.0,o
2741.0,4095.0,1855.0,2943.0,3835.0,3129.0,3278.0,3671.0,0.45,8.8,4.53,-0.29,0.03,-0.06,1.0,o
2738.0,4095.0,1795.0,2853.0,3772.0,3007.0,3189.0,3568.0,0.51,9.07,5.03,-0.02,0.15,-0.02,1.0,o
2737.0,4095.0,1791.0,2839.0,3735.0,3005.0,3174.0,3614.0,0.51,8.94,4.51,-0.13,-0.03,-0.0,1.0,o
2761.0,4095.0,1659.0,2742.0,3693.0,2947.0,3150.0,3583.0,0.9,9.04,4.76,0.01,0.0,-0.08,1.0,o
2795.0,4019.0,1509.0,2731.0,3655.0,2886.0,3106.0,3534.0,0.39,9.12,4.63,-0.14,0.08,0.0,1.0,o
2800.0,4018.0,1535.0,2751.0,3644.0,2914.0,3109.0,3551.0,0.71,9.11,4.64,0.03,-0.05,-0.06,1.0,o
2790.0,4033.0,1561.0,2787.0,3664.0,2944.0,3133.0,3583.0,0.55,9.08,4.55,-0.04,-0.03,-0.04,1.0,o
2784.0,4021.0,1610.0,2818.0,3703.0,2960.0,3153.0,3632.0,0.62,9.01,4.63,-0.11,-0.13,-0.03,1.0,o
2793.0,4038.0,1643.0,2831.0,3716.0,2976.0,3157.0,3636.0,0.57,8.94,4.71,-0.01,0.0,-0.0,1.0,o
2790.0,4026.0,1683.0,2853.0,3738.0,2993.0,3175.0,3671.0,0.57,8.99,4.69,-0.06,0.01,0.02,1.0,o
2787.0,4027.0,1727.0,2870.0,3760.0,3011.0,3181.0,3697.0,0.66,9.0,4.62,-0.01,-0.0,0.01,1.0,o
2789.0,4055.0,1765.0,2896.0,3779.0,3051.0,3213.0,3651.0,0.69,9.09,4.5,-0.03,0.02,0.0,1.0,o
2746.0,4032.0,1776.0,2955.0,3821.0,3109.0,3250.0,3686.0,0.96,9.17,4.6,0.07,-0.04,-0.03,1.0,o
2736.0,4054.0,1929.0,3003.0,3867.0,3174.0,3303.0,3673.0,0.74,9.11,4.42,-0.02,0.13,-0.07,1.0,o
2711.0,4095.0,2034.0,3069.0,3920.0,3229.0,3361.0,3771.0,0.49,9.16,4.42,-0.08,0.12,0.04,1.0,o
2704.0,4095.0,2191.0,3138.0,3943.0,3271.0,3397.0,3807.0,0.69,9.05,4.41,-0.13,-0.06,0.01,1.0,o
2703.0,4095.0,2347.0,3214.0,3991.0,3321.0,3438.0,3838.0,0.64,9.09,4.53,-0.23,0.07,0.08,1.0,o
2702.0,4092.0,2400.0,3290.0,4010.0,3357.0,3455.0,3898.0,0.76,9.0,4.74,-0.26,0.12,0.11,1.0,o
2702.0,4095.0,2415.0,3326.0,4021.0,3355.0,3466.0,3899.0,1.04,8.87,5.08,-0.14,0.06,0.03,1.0,o
2685.0,4095.0,2406.0,3318.0,4010.0,3357.0,3456.0,3923.0,0.86,8.94,4.86,-0.01,0.05,-0.03,1.0,o
2651.0,4050.0,2398.0,3338.0,4021.0,3358.0,3453.0,3909.0,0.79,8.99,4.58,0.06,0.29,0.02,1.0,o
2667.0,4083.0,2408.0,3354.0,4017.0,3364.0,3467.0,3911.0,0.42,8.99,4.36,-0.02,0.23,0.04,1.0,o
2737.0,4091.0,2449.0,3383.0,4048.0,3375.0,3471.0,3940.0,0.58,9.11,4.39,-0.08,-0.09,0.05,1.0,o
2807.0,4087.0,2489.0,3388.0,4045.0,3395.0,3497.0,3926.0,1.04,8.91,4.86,-0.17,-0.13,0.03,1.0,o
2818.0,4095.0,2491.0,3391.0,4058.0,3390.0,3504.0,3953.0,1.0,8.93,4.91,-0.07,0.03,-0.06,1.0,o
2863.0,4094.0,2507.0,3392.0,4054.0,3395.0,3486.0,3935.0,0.85,8.84,4.87,-0.07,-0.09,-0.05,1.0,o
3536.0,4095.0,2538.0,3410.0,4014.0,3436.0,3533.0,3983.0,0.9,9.01,4.61,0.04,-0.21,-0.03,1.0,o
3702.0,4091.0,2803.0,3581.0,4095.0,3583.0,3679.0,4000.0,1.03,9.15,4.31,-0.25,-0.23,-0.01,1.0,o
3942.0,4081.0,2997.0,3653.0,4095.0,3657.0,3738.0,4083.0,1.36,9.01,4.81,-0.11,-0.22,-0.16,1.0,o
4054.0,4080.0,3085.0,3715.0,4095.0,3680.0,3776.0,4095.0,1.02,8.87,4.82,-0.1,-0.15,-0.19,1.0,o
4042.0,4080.0,3101.0,3719.0,4095.0,3686.0,3770.0,4095.0,0.85,8.9,4.87,-0.08,0.02,-0.05,1.0,o
3984.0,4095.0,3123.0,3729.0,4095.0,3629.0,3744.0,4095.0,0.82,8.88,4.89,-0.03,0.13,-0.1,1.0,o
4029.0,4027.0,3106.0,3671.0,4095.0,3575.0,3702.0,4095.0,0.91,8.96,4.74,-0.04,-0.01,-0.02,1.0,o
3999.0,4007.0,3071.0,3581.0,4095.0,3552.0,3670.0,4095.0,0.91,8.92,4.59,-0.03,0.09,-0.05,1.0,o
3984.0,3984.0,3049.0,3443.0,4095.0,3479.0,3596.0,4095.0,0.85,8.97,4.81,-0.1,0.38,-0.06,1.0,o
3881.0,3984.0,2999.0,3411.0,4053.0,3417.0,3519.0,4095.0,0.58,8.93,4.87,-0.12,0.37,-0.01,1.0,o
3851.0,3933.0,2855.0,3344.0,3963.0,3343.0,3477.0,3858.0,0.73,8.99,4.77,-0.09,0.2,-0.03,1.0,o
3680.0,3919.0,2503.0,3237.0,3921.0,3275.0,3408.0,3847.0,0.73,9.03,4.63,-0.12,0.09,-0.07,1.0,o
3628.0,3886.0,2177.0,3136.0,3860.0,3222.0,3381.0,3796.0,0.67,9.01,4.76,-0.15,-0.03,-0.13,1.0,o
3623.0,3860.0,2033.0,3101.0,3871.0,3198.0,3365.0,3719.0,0.8,9.03,4.79,-0.22,-0.11,-0.12,1.0,o
