hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2114.0,1791.0,3456.0,3784.0,4095.0,3270.0,3344.0,3598.0,1.14,8.78,5.04,-0.04,0.02,-0.07,1.0,o
2113.0,1786.0,3464.0,3794.0,4095.0,3281.0,3335.0,3581.0,1.33,8.65,5.22,-0.05,0.02,-0.02,1.0,o
2109.0,1777.0,3461.0,3791.0,4095.0,3279.0,3345.0,3599.0,1.16,8.74,5.0,-0.08,-0.02,-0.02,1.0,o
2109.0,1776.0,3469.0,3754.0,4095.0,3278.0,3347.0,3603.0,1.28,8.71,5.11,-0.08,-0.02,-0.01,1.0,o
2126.0,1786.0,3457.0,3758.0,4095.0,3279.0,3341.0,3625.0,1.3,8.73,5.18,-0.03,0.04,-0.03,1.0,o
2101.0,1779.0,3457.0,3757.0,4095.0,3271.0,3347.0,3622.0,1.31,8.73,5.14,-0.07,-0.02,-0.03,1.0,o
2094.0,1783.0,3456.0,3738.0,4095.0,3280.0,3346.0,3617.0,1.23,8.72,5.09,-0.06,0.01,-0.04,1.0,o
2029.0,1779.0,3451.0,3758.0,4095.0,3269.0,3328.0,3631.0,1.33,8.66,5.16,-0.05,0.02,-0.03,1.0,o
2013.0,1779.0,3449.0,3703.0,4095.0,3267.0,3334.0,3632.0,1.17,8.74,5.14,-0.09,-0.02,-0.04,1.0,o
2030.0,1776.0,3440.0,3697.0,4095.0,3269.0,3327.0,3613.0,1.31,8.74,5.2,-0.07,-0.02,-0.04,1.0,o
2032.0,1767.0,3450.0,3691.0,4095.0,3275.0,3342.0,3627.0,1.27,8.71,5.14,-0.07,-0.01,-0.03,1.0,o
2025.0,1776.0,3449.0,3696.0,4095.0,3266.0,3328.0,3619.0,1.22,8.66,5.21,-0.09,0.01,-0.02,1.0,o
2036.0,1785.0,3459.0,3702.0,4095.0,3277.0,3341.0,3613.0,1.25,8.73,5.2,-0.07,0.01,-0.03,1.0,o
2032.0,1769.0,3458.0,3725.0,4095.0,3278.0,3335.0,3624.0,1.23,8.66,5.24,-0.08,-0.01,-0.02,1.0,o
2034.0,1758.0,3473.0,3702.0,4095.0,3276.0,3349.0,3630.0,1.34,8.66,5.21,-0.08,-0.02,-0.03,1.0,o
2027.0,1698.0,3454.0,3697.0,4095.0,3280.0,3349.0,3640.0,1.22,8.64,5.21,-0.06,-0.0,-0.04,1.0,o
2032.0,1770.0,3461.0,3696.0,4095.0,3279.0,3346.0,3621.0,1.25,8.67,5.29,-0.09,-0.04,-0.05,1.0,o
2034.0,1779.0,3454.0,3695.0,4095.0,3275.0,3344.0,3629.0,1.27,8.65,5.31,-0.04,0.01,-0.03,1.0,o
2042.0,1776.0,3476.0,3695.0,4095.0,3280.0,3344.0,3618.0,1.33,8.63,5.18,-0.07,0.0,-0.03,1.0,o
2033.0,1765.0,3467.0,3691.0,4095.0,3279.0,3344.0,3631.0,1.34,8.6,5.34,-0.07,0.01,-0.04,1.0,o
1072.0,3829.0,3044.0,3763.0,4047.0,3349.0,3403.0,3408.0,1.28,8.63,5.18,-0.07,0.01,-0.03,1.0,o
1060.0,3823.0,3029.0,3742.0,4039.0,3350.0,3403.0,3408.0,1.34,8.52,5.34,-0.08,-0.02,-0.02,1.0,o
1069.0,3824.0,3040.0,3788.0,4051.0,3346.0,3408.0,3419.0,1.36,8.67,5.32,-0.08,-0.03,-0.04,1.0,o
1062.0,3837.0,3046.0,3750.0,4033.0,3348.0,3394.0,3422.0,1.4,8.61,5.34,-0.04,-0.0,-0.05,1.0,o
1044.0,3835.0,3029.0,3778.0,4062.0,3349.0,3403.0,3439.0,1.36,8.62,5.25,-0.03,0.01,-0.03,1.0,o
1040.0,3814.0,3051.0,3778.0,4059.0,3335.0,3407.0,3426.0,1.39,8.53,5.38,-0.08,-0.01,-0.01,1.0,o
1040.0,3824.0,3047.0,3774.0,4058.0,3350.0,3395.0,3428.0,1.39,8.6,5.38,-0.06,0.0,-0.04,1.0,o
1041.0,3815.0,3041.0,3785.0,4066.0,3344.0,3394.0,3429.0,1.39,8.58,5.44,-0.05,-0.01,-0.03,1.0,o
1042.0,3841.0,3042.0,3761.0,4095.0,3345.0,3409.0,3417.0,1.42,8.59,5.27,-0.05,-0.01,-0.03,1.0,o
1040.0,3746.0,3046.0,3765.0,4087.0,3344.0,3405.0,3440.0,1.44,8.6,5.33,-0.05,0.0,-0.03,1.0,o
1038.0,3839.0,3041.0,3779.0,4065.0,3346.0,3396.0,3436.0,1.35,8.61,5.24,-0.07,0.0,-0.04,1.0,o
1043.0,3893.0,3045.0,3777.0,4095.0,3346.0,3405.0,3440.0,1.53,8.59,5.38,-0.06,-0.02,-0.03,1.0,o
1045.0,3824.0,3039.0,3777.0,4087.0,3347.0,3407.0,3446.0,1.44,8.55,5.35,-0.06,-0.0,-0.03,1.0,o
1038.0,3850.0,3051.0,3760.0,4066.0,3356.0,3399.0,3423.0,1.4,8.49,5.26,-0.07,-0.0,-0.04,1.0,o
1037.0,3846.0,3039.0,3755.0,4083.0,3345.0,3407.0,3435.0,1.37,8.5,5.53,-0.08,-0.0,-0.05,1.0,o
1042.0,3826.0,3040.0,3767.0,4066.0,3363.0,3397.0,3443.0,1.39,8.56,5.41,-0.02,0.02,-0.06,1.0,o
1042.0,3831.0,3033.0,3760.0,4076.0,3358.0,3415.0,3450.0,1.41,8.6,5.3,-0.04,0.01,-0.04,1.0,o
1039.0,3840.0,3039.0,3759.0,4067.0,3341.0,3406.0,3440.0,1.41,8.49,5.43,-0.08,-0.0,-0.03,1.0,o
1038.0,4067.0,3033.0,3765.0,4065.0,3347.0,3412.0,3442.0,1.29,8.57,5.4,-0.06,0.01,-0.04,1.0,o
1045.0,3856.0,3044.0,3750.0,4073.0,3345.0,3409.0,3447.0,1.41,8.55,5.45,-0.06,-0.0,-0.02,1.0,o
3706.0,3909.0,3042.0,3825.0,4080.0,3415.0,3517.0,3451.0,1.1,8.53,5.51,-0.07,-0.01,-0.02,1.0,o
3717.0,3935.0,3037.0,3842.0,4094.0,3421.0,3510.0,3450.0,1.04,8.56,5.51,-0.07,0.01,-0.03,1.0,o
3716.0,3941.0,3031.0,3836.0,4095.0,3409.0,3511.0,3441.0,1.03,8.54,5.4,-0.07,-0.01,-0.03,1.0,o
3707.0,3935.0,3035.0,3853.0,4083.0,3408.0,3519.0,3440.0,1.1,8.57,5.41,-0.11,0.0,-0.03,1.0,o
3729.0,3908.0,3034.0,3859.0,4095.0,3407.0,3505.0,3452.0,1.14,8.51,5.51,-0.08,0.02,0.02,1.0,o
3701.0,3933.0,3029.0,3820.0,4095.0,3429.0,3520.0,3472.0,1.13,8.69,5.31,-0.06,-0.01,-0.03,1.0,o
3738.0,3930.0,3045.0,3795.0,4095.0,3408.0,3515.0,3447.0,1.1,8.54,5.59,-0.08,-0.01,-0.0,1.0,o
3760.0,3918.0,3051.0,3767.0,4095.0,3419.0,3507.0,3457.0,1.22,8.54,5.45,-0.05,-0.02,-0.01,1.0,o
3741.0,3895.0,3043.0,3783.0,4095.0,3427.0,3519.0,3461.0,1.27,8.48,5.51,-0.05,-0.02,-0.02,1.0,o
3754.0,3959.0,3028.0,3793.0,4095.0,3413.0,3514.0,3471.0,1.19,8.55,5.46,-0.07,-0.01,-0.04,1.0,o
3754.0,3888.0,3035.0,3795.0,4095.0,3421.0,3527.0,3477.0,1.28,8.5,5.51,-0.05,-0.03,-0.04,1.0,o
3760.0,3918.0,3037.0,3797.0,4095.0,3427.0,3520.0,3470.0,1.22,8.49,5.4,-0.08,-0.01,-0.03,1.0,o
3760.0,3941.0,3037.0,3825.0,4095.0,3420.0,3520.0,3489.0,1.3,8.46,5.57,-0.06,0.02,-0.03,1.0,o
3759.0,3920.0,3040.0,3824.0,4093.0,3425.0,3510.0,3493.0,1.23,8.54,5.5,-0.06,0.0,-0.04,1.0,o
3748.0,3927.0,3049.0,3824.0,4095.0,3417.0,3525.0,3475.0,1.28,8.55,5.48,-0.03,0.01,-0.05,1.0,o
3743.0,3983.0,3037.0,3827.0,4095.0,3418.0,3495.0,3485.0,1.13,8.53,5.43,-0.06,0.0,-0.04,1.0,o
3739.0,3929.0,3031.0,3814.0,4095.0,3411.0,3504.0,3475.0,1.24,8.55,5.38,-0.07,0.02,-0.03,1.0,o
3755.0,3952.0,3039.0,3818.0,4095.0,3413.0,3510.0,3486.0,1.24,8.47,5.54,-0.08,0.01,-0.03,1.0,o
3731.0,3934.0,3031.0,3821.0,4095.0,3419.0,3510.0,3489.0,1.2,8.5,5.55,-0.07,0.0,-0.03,1.0,o
3759.0,3909.0,3035.0,3817.0,4095.0,3430.0,3518.0,3494.0,1.28,8.64,5.52,-0.05,0.01,-0.03,1.0,o
2801.0,3127.0,3033.0,4095.0,4095.0,3521.0,3654.0,3659.0,1.82,8.43,5.53,-0.09,-0.03,-0.06,1.0,o
2795.0,3088.0,3039.0,4095.0,4095.0,3533.0,3658.0,3652.0,1.71,8.37,5.47,-0.05,0.01,-0.04,1.0,o
2802.0,3136.0,3045.0,4095.0,4095.0,3542.0,3663.0,3641.0,1.84,8.49,5.38,-0.07,-0.02,-0.03,1.0,o
2797.0,3130.0,3045.0,4095.0,4095.0,3531.0,3655.0,3654.0,1.63,8.64,5.28,-0.06,0.01,-0.03,1.0,o
2801.0,3136.0,3029.0,4095.0,4095.0,3529.0,3665.0,3653.0,1.81,8.54,5.36,-0.07,-0.02,-0.03,1.0,o
2779.0,3124.0,3040.0,4095.0,4095.0,3533.0,3657.0,3669.0,1.76,8.54,5.32,-0.06,0.04,-0.01,1.0,o
2761.0,3143.0,3056.0,4095.0,4095.0,3536.0,3684.0,3660.0,1.87,8.48,5.38,-0.06,0.02,-0.02,1.0,o
