hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3361.0,971.0,1180.0,3577.0,3376.0,2781.0,3457.0,3375.0,-2.47,7.5,10.1,0.03,-0.01,-0.12,0.0,o
3360.0,958.0,1191.0,3583.0,3383.0,2784.0,3465.0,3379.0,-2.76,7.46,10.08,0.02,-0.0,-0.11,0.0,o
3366.0,975.0,1185.0,3583.0,3383.0,2781.0,3462.0,3379.0,-2.65,7.49,10.06,0.03,-0.03,-0.03,0.0,o
3366.0,966.0,1179.0,3575.0,3376.0,2778.0,3461.0,3376.0,-2.13,7.68,10.04,0.04,-0.09,-0.02,0.0,o
3366.0,965.0,1196.0,3575.0,3382.0,2778.0,3462.0,3376.0,-1.91,7.7,10.14,0.03,-0.03,-0.12,0.0,o
3367.0,975.0,1188.0,3583.0,3379.0,2782.0,3456.0,3374.0,-2.07,7.7,10.12,0.0,-0.01,-0.17,0.0,o
3375.0,965.0,1196.0,3576.0,3377.0,2782.0,3461.0,3372.0,-2.19,7.6,10.01,0.03,-0.01,-0.2,0.0,o
3370.0,972.0,1200.0,3575.0,3379.0,2782.0,3459.0,3370.0,-2.23,7.55,10.18,-0.0,0.01,-0.19,0.0,o
3373.0,975.0,1198.0,3583.0,3380.0,2783.0,3463.0,3376.0,-2.21,7.6,10.13,0.01,0.0,-0.19,0.0,o
3371.0,974.0,1185.0,3573.0,3387.0,2784.0,3463.0,3374.0,-2.28,7.6,10.11,-0.0,0.0,-0.21,0.0,o
3366.0,978.0,1195.0,3563.0,3387.0,2785.0,3466.0,3375.0,-2.43,7.51,10.16,0.01,0.05,-0.23,0.0,o
3365.0,977.0,1187.0,3213.0,3378.0,2782.0,3459.0,3370.0,-2.47,7.49,10.18,-0.0,0.05,-0.25,0.0,o
3369.0,969.0,1187.0,3278.0,3389.0,2786.0,3469.0,3373.0,-2.63,7.48,10.15,0.01,0.01,-0.24,0.0,o
3373.0,970.0,1185.0,3267.0,3382.0,2782.0,3459.0,3367.0,-2.7,7.41,10.13,-0.0,0.03,-0.21,0.0,o
3376.0,974.0,1182.0,3287.0,3387.0,2785.0,3464.0,3373.0,-2.95,7.37,10.1,-0.0,0.01,-0.16,0.0,o
3373.0,971.0,1188.0,3278.0,3383.0,2789.0,3469.0,3376.0,-2.69,7.52,10.03,-0.01,-0.03,-0.13,0.0,o
3353.0,976.0,1189.0,3275.0,3382.0,2782.0,3461.0,3370.0,-2.71,7.32,10.07,-0.01,-0.03,-0.13,0.0,o
3369.0,967.0,1185.0,3293.0,3377.0,2781.0,3459.0,3365.0,-2.49,7.23,10.24,-0.14,-0.04,-0.1,0.0,o
3374.0,959.0,1197.0,3294.0,3386.0,2785.0,3463.0,3371.0,-2.44,7.3,10.59,-0.12,-0.06,-0.1,0.0,o
3375.0,976.0,1181.0,3306.0,3391.0,2790.0,3471.0,3376.0,-2.19,7.2,10.55,-0.14,-0.08,-0.15,0.0,o
3365.0,961.0,1183.0,3301.0,3386.0,2783.0,3461.0,3371.0,-2.21,7.07,10.76,-0.13,-0.14,-0.17,0.0,o
3367.0,974.0,1184.0,3280.0,3387.0,2788.0,3471.0,3373.0,-2.26,6.97,11.3,0.01,0.04,-0.11,0.0,o
3376.0,974.0,1182.0,3321.0,3382.0,2783.0,3462.0,3367.0,-2.04,7.22,10.84,0.07,0.01,-0.17,0.0,o
3364.0,962.0,1193.0,3324.0,3388.0,2787.0,3470.0,3376.0,-2.15,7.02,11.12,0.19,0.08,-0.15,0.0,o
3376.0,972.0,1194.0,3343.0,3383.0,2787.0,3465.0,3371.0,-2.33,7.29,10.32,0.3,0.07,-0.16,0.0,o
3357.0,970.0,1190.0,3356.0,3390.0,2791.0,3469.0,3376.0,-2.46,7.45,10.04,0.18,0.08,-0.15,0.0,o
