hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3543.0,3941.0,3471.0,2949.0,3857.0,3307.0,3325.0,3792.0,-0.26,7.52,6.8,-0.06,0.03,-0.03,1.0,o
3552.0,3947.0,3455.0,2947.0,3859.0,3312.0,3328.0,3795.0,-0.27,7.53,6.85,-0.07,0.03,-0.03,1.0,o
3527.0,3931.0,3471.0,2945.0,3849.0,3305.0,3325.0,3786.0,-0.29,7.49,6.93,-0.08,0.01,-0.02,1.0,o
3495.0,3926.0,3487.0,2918.0,3846.0,3151.0,3214.0,3645.0,-0.26,7.41,6.91,-0.03,0.03,-0.04,1.0,o
3491.0,3931.0,3478.0,2929.0,3839.0,3190.0,3238.0,3675.0,-0.29,7.53,6.84,-0.02,-0.03,-0.05,1.0,o
3507.0,3920.0,3477.0,2928.0,3845.0,3200.0,3248.0,3693.0,-0.26,7.58,6.71,-0.07,-0.01,-0.03,1.0,o
3519.0,3952.0,3470.0,2929.0,3852.0,3210.0,3251.0,3696.0,-0.24,7.59,6.93,-0.05,0.04,-0.04,1.0,o
3504.0,3921.0,3467.0,2928.0,3857.0,3200.0,3229.0,3650.0,-0.17,7.54,6.86,-0.05,-0.01,-0.02,1.0,o
3530.0,3919.0,3483.0,2928.0,3847.0,3200.0,3223.0,3632.0,-0.31,7.49,6.88,-0.07,0.03,-0.04,1.0,o
3509.0,3906.0,3476.0,2928.0,3842.0,3205.0,3227.0,3650.0,-0.31,7.61,6.82,-0.06,0.03,-0.02,1.0,o
3520.0,3897.0,3472.0,2933.0,3847.0,3210.0,3229.0,3652.0,-0.26,7.5,6.84,-0.05,0.02,-0.01,1.0,o
3520.0,3917.0,3478.0,2943.0,3851.0,3210.0,3238.0,3660.0,-0.39,7.46,6.87,-0.07,0.01,-0.03,1.0,o
3514.0,3918.0,3485.0,2941.0,3859.0,3216.0,3242.0,3661.0,-0.25,7.55,6.8,-0.08,-0.03,-0.03,1.0,o
3520.0,3898.0,3472.0,2937.0,3851.0,3213.0,3229.0,3639.0,-0.28,7.47,6.91,-0.04,-0.02,-0.04,1.0,o
3506.0,3908.0,3473.0,2938.0,3849.0,3210.0,3234.0,3639.0,-0.33,7.62,6.73,-0.05,-0.01,-0.05,1.0,o
