hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2960.0,2961.0,2859.0,4095.0,4095.0,2875.0,3062.0,2807.0,3.98,-2.47,12.88,-0.35,-0.19,0.19,p
2966.0,2975.0,2856.0,4095.0,4095.0,2887.0,3071.0,2815.0,4.57,-2.89,13.25,-0.41,0.0,0.13,p
2960.0,2983.0,2857.0,4095.0,4095.0,2908.0,3070.0,2816.0,4.38,-3.23,13.36,0.01,-0.04,-0.21,p
2960.0,2991.0,2864.0,4095.0,4095.0,2919.0,3071.0,2819.0,4.18,-2.98,12.79,0.13,-0.02,-0.23,p
2969.0,2973.0,2857.0,4095.0,4095.0,2913.0,3071.0,2811.0,4.36,-2.71,13.01,0.08,-0.02,-0.33,p
2965.0,2983.0,2861.0,4095.0,4095.0,2924.0,3081.0,2817.0,4.18,-2.66,12.72,0.16,-0.01,-0.29,p
2967.0,2979.0,2852.0,4095.0,4095.0,2919.0,3082.0,2814.0,4.26,-2.68,12.98,-0.03,0.04,-0.29,p
2961.0,2976.0,2860.0,4095.0,4095.0,2899.0,3082.0,2816.0,4.07,-2.79,12.94,0.01,-0.01,-0.35,p
2959.0,2974.0,2861.0,4095.0,4095.0,2905.0,3069.0,2818.0,4.24,-2.47,12.77,0.0,0.03,-0.22,p
2960.0,2971.0,2853.0,4095.0,4095.0,2899.0,3067.0,2814.0,4.24,-2.55,12.93,-0.06,0.01,-0.2,p
2960.0,2973.0,2848.0,4095.0,4095.0,2906.0,3067.0,2815.0,4.15,-2.87,13.04,-0.08,-0.01,-0.12,p
2961.0,2987.0,2865.0,4095.0,4095.0,2916.0,3071.0,2818.0,4.3,-2.69,13.18,0.03,0.02,-0.06,p
2962.0,2983.0,2851.0,4095.0,4095.0,2915.0,3082.0,2815.0,4.2,-2.6,12.78,0.08,-0.07,-0.18,p
2950.0,2990.0,2860.0,4095.0,4095.0,2928.0,3071.0,2816.0,4.4,-2.62,12.8,-0.04,-0.02,-0.1,p
2977.0,2980.0,2864.0,4095.0,4095.0,2921.0,3083.0,2812.0,4.47,-2.96,12.92,-0.02,0.0,-0.18,p
2970.0,2973.0,2858.0,4095.0,4095.0,2919.0,3071.0,2816.0,4.2,-2.76,12.99,0.01,0.03,-0.17,p
2972.0,2971.0,2860.0,4095.0,4095.0,2930.0,3081.0,2817.0,4.15,-2.51,12.82,-0.02,0.02,-0.1,p
2960.0,2983.0,2845.0,4095.0,4095.0,2934.0,3066.0,2812.0,4.27,-2.83,13.0,-0.07,-0.01,-0.16,p
2960.0,2985.0,2851.0,4095.0,4095.0,2950.0,3071.0,2807.0,4.45,-2.91,13.03,-0.05,-0.07,-0.28,p
2960.0,2960.0,2890.0,4095.0,4095.0,2850.0,2902.0,2622.0,3.99,-2.43,13.04,-0.03,-0.0,-0.2,p
2957.0,2953.0,2890.0,4095.0,4095.0,2849.0,2902.0,2621.0,3.89,-2.43,13.24,0.08,0.07,-0.15,p
2956.0,2957.0,2880.0,4095.0,4095.0,2849.0,2898.0,2622.0,3.84,-2.34,13.16,0.01,-0.03,-0.13,p
2962.0,2960.0,2884.0,4095.0,4095.0,2845.0,2901.0,2624.0,3.85,-2.26,12.69,-0.22,0.02,0.11,p
2965.0,2954.0,2880.0,4095.0,4095.0,2855.0,2902.0,2632.0,3.86,-2.82,13.43,-0.41,-0.04,-0.08,p
2965.0,2950.0,2891.0,4095.0,4095.0,2837.0,2902.0,2639.0,3.62,-2.86,13.28,-0.11,0.03,-0.0,p
2949.0,2948.0,2880.0,4095.0,4095.0,2819.0,2909.0,2640.0,3.75,-2.81,13.24,-0.19,-0.03,-0.07,p
2955.0,2960.0,2882.0,4095.0,4095.0,2797.0,2906.0,2643.0,3.71,-2.96,13.0,0.02,-0.03,0.01,p
2959.0,2960.0,2880.0,4095.0,4095.0,2778.0,2911.0,2648.0,3.5,-2.8,12.66,-0.12,-0.17,0.22,p
2962.0,2947.0,2865.0,4095.0,4095.0,2779.0,2906.0,2653.0,4.03,-3.06,13.04,-0.24,-0.13,0.36,p
2963.0,2954.0,2886.0,4095.0,4095.0,2795.0,2911.0,2666.0,4.18,-3.49,13.43,0.05,-0.04,-0.15,p
2947.0,2961.0,2886.0,4095.0,4095.0,2786.0,2913.0,2660.0,3.71,-3.07,12.78,0.1,0.02,-0.19,p
2953.0,2945.0,2881.0,4095.0,4095.0,2787.0,2910.0,2666.0,3.64,-3.18,13.38,0.18,-0.03,-0.36,p
2960.0,2963.0,2885.0,4095.0,4095.0,2781.0,2919.0,2672.0,3.68,-2.96,13.21,0.34,-0.01,-0.38,p
2955.0,2961.0,2899.0,4095.0,4095.0,2771.0,2909.0,2672.0,4.03,-2.82,13.06,0.47,-0.0,-0.31,p
2947.0,2954.0,2886.0,4095.0,4095.0,2766.0,2915.0,2670.0,4.02,-2.61,13.17,0.41,-0.02,-0.33,p
2957.0,2955.0,2879.0,4095.0,4095.0,2760.0,2914.0,2677.0,4.12,-2.37,13.28,0.49,0.12,-0.45,p
2949.0,2958.0,2885.0,4095.0,4095.0,2752.0,2923.0,2673.0,3.94,-2.02,12.92,0.4,-0.01,-0.47,p
2943.0,2948.0,2894.0,4095.0,4095.0,2763.0,2918.0,2679.0,3.72,-1.7,13.18,0.21,-0.05,-0.37,p
2960.0,2955.0,2880.0,4095.0,4095.0,2757.0,2925.0,2678.0,3.71,-1.67,13.04,-0.02,0.03,-0.14,p
2955.0,2957.0,2883.0,4095.0,4095.0,2823.0,2947.0,2736.0,3.88,-3.58,13.45,0.39,0.0,-0.36,p
2970.0,2957.0,2883.0,4095.0,4095.0,2823.0,2949.0,2736.0,3.69,-3.14,12.86,0.48,0.02,-0.41,p
2960.0,2963.0,2895.0,4095.0,4095.0,2827.0,2955.0,2736.0,3.8,-2.81,12.82,0.32,0.03,-0.34,p
2949.0,2957.0,2878.0,4095.0,4095.0,2817.0,2948.0,2733.0,3.91,-2.77,13.14,0.17,-0.01,-0.35,p
2967.0,2959.0,2896.0,4095.0,4095.0,2819.0,2950.0,2736.0,3.82,-2.73,13.22,0.31,-0.03,-0.35,p
2965.0,2962.0,2896.0,4095.0,4095.0,2821.0,2960.0,2740.0,3.94,-2.5,13.09,0.2,-0.0,-0.33,p
2963.0,2959.0,2894.0,4095.0,4095.0,2821.0,2958.0,2737.0,3.88,-2.29,13.16,0.38,-0.02,-0.32,p
2959.0,2949.0,2890.0,4095.0,4095.0,2813.0,2959.0,2734.0,3.85,-2.06,12.89,0.12,-0.05,-0.24,p
2945.0,2944.0,2887.0,4095.0,4095.0,2815.0,2951.0,2736.0,4.03,-2.06,13.35,0.07,0.0,-0.21,p
2962.0,2963.0,2890.0,4095.0,4095.0,2822.0,2950.0,2736.0,3.9,-2.08,13.18,0.18,-0.02,-0.26,p
2966.0,2957.0,2888.0,4095.0,4095.0,2815.0,2960.0,2734.0,3.75,-1.9,13.09,-0.01,-0.02,-0.17,p
2959.0,2950.0,2892.0,4095.0,4095.0,2817.0,2976.0,2737.0,3.8,-1.84,13.0,-0.06,-0.01,-0.04,p
2960.0,2963.0,2890.0,4095.0,4095.0,2822.0,2955.0,2735.0,3.81,-2.0,12.88,-0.34,-0.01,0.17,p
2955.0,2961.0,2887.0,4095.0,4095.0,2817.0,2954.0,2736.0,3.92,-2.42,13.33,-0.39,0.07,0.25,p
2960.0,2948.0,2889.0,4095.0,4095.0,2819.0,2960.0,2742.0,4.09,-2.99,13.62,-0.25,0.08,-0.06,p
2961.0,2959.0,2889.0,4095.0,4095.0,2827.0,2970.0,2745.0,3.88,-2.99,13.36,-0.03,-0.02,-0.28,p
2945.0,2956.0,2887.0,4095.0,4095.0,2818.0,2960.0,2743.0,3.61,-2.75,13.2,-0.03,0.0,-0.32,p
2958.0,2950.0,2885.0,4095.0,4095.0,2813.0,2960.0,2750.0,3.65,-2.66,13.23,-0.03,-0.07,-0.24,p
2960.0,2960.0,2899.0,4095.0,4095.0,2810.0,2961.0,2752.0,3.78,-2.63,13.11,-0.01,-0.01,-0.11,p
2959.0,2973.0,2894.0,4095.0,4095.0,2816.0,2958.0,2752.0,3.93,-2.71,13.11,0.05,-0.03,-0.15,p
2953.0,2954.0,2880.0,4095.0,4095.0,2823.0,2966.0,2750.0,3.7,-0.88,12.83,0.75,-0.01,-0.38,p
2965.0,2960.0,2895.0,4095.0,4095.0,2829.0,2967.0,2752.0,3.93,-0.52,13.07,0.51,0.01,-0.29,p
2967.0,2947.0,2903.0,4095.0,4095.0,2820.0,2970.0,2746.0,3.95,-0.61,13.43,0.35,0.04,-0.32,p
2956.0,2954.0,2894.0,4095.0,4095.0,2837.0,2975.0,2757.0,3.92,-0.35,13.32,0.34,0.04,-0.25,p
2960.0,2974.0,2895.0,4095.0,4095.0,2833.0,2981.0,2751.0,3.68,-0.04,13.2,0.12,-0.01,-0.09,p
2964.0,2956.0,2894.0,4095.0,4095.0,2833.0,2971.0,2750.0,3.26,-0.1,12.68,-0.36,-0.09,0.32,p
2959.0,2957.0,2885.0,4095.0,4095.0,2836.0,2970.0,2749.0,3.83,-0.68,13.21,-1.01,0.24,0.45,p
2964.0,2954.0,2885.0,4095.0,4095.0,2842.0,2974.0,2749.0,4.22,-1.78,13.78,-0.9,-0.03,0.13,p
2961.0,2958.0,2889.0,4095.0,4095.0,2849.0,2971.0,2758.0,4.37,-2.12,13.62,-0.58,0.01,0.08,p
2971.0,2962.0,2888.0,4095.0,4095.0,2832.0,2976.0,2757.0,3.72,-2.14,13.69,-0.28,-0.06,-0.13,p
2965.0,2951.0,2887.0,4095.0,4095.0,2807.0,2977.0,2758.0,3.63,-2.05,13.26,-0.2,0.09,0.01,p
2962.0,2957.0,2892.0,4095.0,4095.0,2810.0,2975.0,2769.0,3.74,-2.26,13.53,-0.14,-0.01,-0.07,p
2955.0,2953.0,2899.0,4095.0,4095.0,2783.0,2965.0,2747.0,3.78,-2.54,13.11,-0.09,-0.02,-0.1,p
2961.0,2969.0,2883.0,4095.0,4095.0,2774.0,2949.0,2743.0,3.85,-2.6,13.56,-0.11,0.05,-0.21,p
2959.0,2957.0,2889.0,4095.0,4095.0,2771.0,2928.0,2743.0,3.68,-2.54,13.34,0.18,-0.02,-0.26,p
2958.0,2974.0,2891.0,4095.0,4095.0,2774.0,2896.0,2727.0,3.78,-2.39,13.46,0.23,-0.07,-0.29,p
2962.0,2974.0,2895.0,4095.0,4095.0,2779.0,2890.0,2731.0,3.7,-2.25,13.36,0.38,-0.03,-0.22,p
2960.0,2970.0,2886.0,4095.0,4095.0,2749.0,2893.0,2719.0,3.86,-1.88,12.88,0.14,-0.03,-0.27,p
2973.0,2961.0,2886.0,4095.0,4095.0,2681.0,2863.0,2708.0,4.02,-1.96,13.31,-0.07,-0.05,-0.21,p
2961.0,2966.0,2885.0,4095.0,4095.0,2655.0,2839.0,2692.0,3.75,-1.87,12.98,-0.12,0.03,-0.17,p
2978.0,2960.0,2866.0,4095.0,4095.0,3094.0,3254.0,2943.0,3.6,-1.44,13.83,0.17,-0.08,-0.23,p
2973.0,2955.0,2864.0,4095.0,4095.0,3103.0,3255.0,2947.0,3.85,-1.43,13.14,0.05,-0.15,-0.13,p
2970.0,2960.0,2880.0,4095.0,4095.0,3013.0,3207.0,2925.0,3.86,-1.48,13.38,-0.28,-0.18,-0.16,p
2975.0,2951.0,2882.0,4095.0,4095.0,2864.0,3088.0,2871.0,4.15,-1.92,13.26,-0.25,-0.15,-0.13,p
2970.0,2961.0,2891.0,4095.0,4095.0,2778.0,2972.0,2826.0,3.88,-1.63,13.39,-0.11,-0.04,-0.18,p
2965.0,2958.0,2886.0,4095.0,4095.0,2711.0,2890.0,2751.0,3.87,-1.68,13.46,-0.06,0.08,-0.15,p
2969.0,2944.0,2896.0,4095.0,4095.0,2678.0,2826.0,2716.0,3.92,-1.79,13.34,-0.04,0.03,-0.13,p
2974.0,2961.0,2894.0,4095.0,4095.0,2611.0,2772.0,2669.0,3.99,-1.98,13.33,0.06,0.05,-0.19,p
2967.0,2962.0,2896.0,4095.0,4095.0,2592.0,2775.0,2663.0,4.01,-1.86,13.22,0.04,-0.01,-0.23,p
2962.0,2961.0,2894.0,4095.0,4095.0,2592.0,2786.0,2672.0,3.85,-1.81,13.3,-0.05,0.1,-0.23,p
2963.0,2965.0,2895.0,4095.0,4095.0,2559.0,2782.0,2671.0,3.78,-1.71,13.51,-0.01,0.1,-0.14,p
2961.0,2966.0,2896.0,4095.0,4095.0,2555.0,2770.0,2643.0,3.76,-1.98,13.57,-0.04,0.06,-0.17,p
2960.0,2971.0,2898.0,4095.0,4095.0,2587.0,2785.0,2659.0,3.65,-1.98,13.6,0.25,0.05,-0.16,p
2971.0,2958.0,2896.0,4095.0,4095.0,2609.0,2791.0,2658.0,3.79,-1.67,13.12,0.03,-0.05,-0.18,p
2960.0,2962.0,2896.0,4095.0,4095.0,2671.0,2810.0,2679.0,3.9,-1.64,13.71,0.31,-0.01,-0.17,p
2960.0,2960.0,2883.0,4095.0,4095.0,2704.0,2821.0,2685.0,3.48,-1.53,12.73,-0.07,0.01,-0.13,p
2954.0,2959.0,2882.0,4095.0,4095.0,2741.0,2818.0,2683.0,3.9,-1.52,13.86,-0.08,0.02,-0.16,p
2954.0,2959.0,2896.0,4095.0,4095.0,2759.0,2827.0,2684.0,3.68,-1.76,13.29,-0.09,-0.02,-0.16,p
2958.0,2963.0,2885.0,4095.0,4095.0,2768.0,2826.0,2691.0,3.74,-1.71,13.72,0.12,0.03,-0.18,p
2955.0,2965.0,2893.0,4095.0,4067.0,2768.0,2830.0,2694.0,3.71,-1.53,13.18,0.04,0.04,-0.1,p
2960.0,2957.0,2882.0,4095.0,4095.0,2825.0,2898.0,2735.0,3.87,-1.11,13.43,0.04,0.03,-0.14,p
2956.0,2969.0,2889.0,4095.0,4095.0,2823.0,2899.0,2735.0,3.85,-1.13,13.45,-0.0,0.02,-0.15,p
2954.0,2951.0,2887.0,4095.0,4095.0,2818.0,2902.0,2734.0,3.76,-1.15,13.44,0.03,0.03,-0.14,p
2965.0,2960.0,2893.0,4095.0,4095.0,2827.0,2905.0,2738.0,3.75,-1.13,13.48,-0.02,-0.01,-0.14,p
2960.0,2957.0,2883.0,4095.0,4095.0,2815.0,2900.0,2736.0,3.85,-1.22,13.61,0.08,-0.02,-0.18,p
2958.0,2970.0,2886.0,4095.0,4095.0,2807.0,2911.0,2736.0,3.72,-1.08,13.45,0.05,-0.03,-0.15,p
2961.0,2963.0,2895.0,4095.0,4095.0,2809.0,2910.0,2736.0,3.77,-1.03,13.45,0.02,-0.01,-0.14,p
2963.0,2961.0,2885.0,4095.0,4095.0,2810.0,2913.0,2739.0,3.85,-1.21,13.54,0.03,-0.02,-0.13,p
2961.0,2964.0,2895.0,4095.0,4095.0,2803.0,2919.0,2737.0,3.95,-1.11,13.58,0.11,-0.07,-0.22,p
2960.0,2953.0,2890.0,4095.0,4095.0,2799.0,2910.0,2737.0,3.77,-1.02,13.39,0.09,-0.03,-0.17,p
