hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3062.0,3010.0,3006.0,4095.0,4095.0,3255.0,2803.0,2621.0,1.88,2.75,13.65,-0.01,-0.02,-0.15,0.0,p
3069.0,3003.0,2993.0,4095.0,4095.0,3248.0,2799.0,2612.0,2.0,2.75,13.59,0.02,0.03,-0.11,0.0,p
3061.0,3007.0,2978.0,4095.0,4095.0,3247.0,2800.0,2614.0,2.02,2.85,13.51,-0.0,0.04,-0.12,0.0,p
3066.0,2998.0,2997.0,4095.0,4095.0,3254.0,2802.0,2621.0,1.82,3.15,13.36,-0.15,0.05,-0.13,0.0,p
3054.0,2993.0,2978.0,4095.0,4095.0,3248.0,2799.0,2614.0,1.7,2.54,13.76,-0.23,0.05,-0.01,0.0,p
3061.0,2995.0,2994.0,4095.0,4095.0,3266.0,2806.0,2618.0,1.98,1.81,13.93,-0.18,0.01,-0.04,0.0,p
3050.0,2992.0,2982.0,4095.0,4095.0,3274.0,2801.0,2620.0,1.83,1.92,13.97,-0.1,0.0,-0.11,0.0,p
3054.0,3010.0,2990.0,4095.0,4095.0,3278.0,2800.0,2615.0,1.9,1.85,14.0,-0.03,0.06,-0.0,0.0,p
3051.0,2995.0,2985.0,4095.0,4095.0,3275.0,2802.0,2613.0,1.94,1.76,13.95,-0.05,0.03,-0.08,0.0,p
3057.0,2996.0,2992.0,4095.0,4095.0,3287.0,2810.0,2619.0,1.72,1.65,14.08,0.04,0.03,-0.12,0.0,p
3058.0,3007.0,2993.0,4095.0,4095.0,3279.0,2803.0,2619.0,1.77,1.91,13.84,0.08,0.02,-0.16,0.0,p
3061.0,2998.0,2993.0,4095.0,4095.0,3279.0,2811.0,2620.0,1.88,1.92,13.7,0.03,-0.0,-0.19,0.0,p
3049.0,2997.0,2983.0,4095.0,4095.0,3287.0,2810.0,2619.0,1.83,1.73,14.1,0.04,0.0,-0.24,0.0,p
3056.0,2993.0,2992.0,4095.0,4095.0,3273.0,2800.0,2619.0,1.72,1.7,14.15,0.13,0.02,-0.24,0.0,p
3054.0,3016.0,2991.0,4095.0,4095.0,3277.0,2809.0,2627.0,1.56,2.3,13.79,0.22,0.02,-0.26,0.0,p
3045.0,2998.0,2987.0,4095.0,4095.0,3277.0,2803.0,2621.0,1.49,2.49,13.74,0.17,0.01,-0.2,0.0,p
3056.0,3007.0,2995.0,4095.0,4095.0,3277.0,2810.0,2626.0,1.69,2.57,13.8,0.15,0.02,-0.21,0.0,p
3046.0,2997.0,2981.0,4095.0,4095.0,3257.0,2800.0,2621.0,1.48,2.8,13.66,0.13,0.02,-0.25,0.0,p
3051.0,3010.0,2999.0,4095.0,4095.0,3254.0,2803.0,2624.0,1.35,2.82,13.75,0.07,0.01,-0.2,0.0,p
3045.0,2995.0,2987.0,4095.0,4095.0,3261.0,2805.0,2621.0,1.5,2.68,13.8,0.09,-0.0,-0.13,0.0,p
3050.0,3001.0,2987.0,4095.0,4095.0,3255.0,2813.0,2634.0,1.65,3.06,13.66,0.04,-0.01,-0.1,0.0,p
3051.0,3013.0,2995.0,4095.0,4095.0,3253.0,2814.0,2640.0,1.58,3.16,13.55,0.01,-0.02,-0.18,0.0,p
3055.0,2997.0,3003.0,4095.0,4095.0,3246.0,2810.0,2634.0,1.38,3.07,13.69,0.02,0.01,-0.18,0.0,p
3053.0,3002.0,3000.0,4095.0,4095.0,3233.0,2820.0,2640.0,1.77,3.0,13.59,0.04,0.0,-0.19,0.0,p
3056.0,2993.0,2994.0,4095.0,4095.0,3234.0,2818.0,2631.0,1.33,3.25,13.56,0.08,-0.02,-0.21,0.0,p
3066.0,3019.0,2992.0,4095.0,4095.0,3238.0,2818.0,2640.0,1.38,3.34,13.52,0.06,-0.03,-0.13,0.0,p
3056.0,2992.0,2986.0,4095.0,4095.0,3229.0,2815.0,2631.0,1.52,3.27,13.59,0.04,-0.03,-0.1,0.0,p
3066.0,3015.0,3006.0,4095.0,4095.0,3248.0,2821.0,2640.0,1.56,3.22,13.68,0.09,-0.03,-0.11,0.0,p
3051.0,3008.0,2996.0,4095.0,4095.0,3233.0,2811.0,2637.0,1.54,3.43,13.41,0.12,-0.04,-0.11,0.0,p
3056.0,3005.0,2991.0,4095.0,4095.0,3247.0,2822.0,2640.0,1.79,3.54,13.36,0.07,-0.01,-0.12,0.0,p
3056.0,2998.0,3002.0,4095.0,4095.0,3247.0,2819.0,2641.0,1.64,3.52,13.43,0.02,-0.02,-0.18,0.0,p
3065.0,2999.0,2994.0,4095.0,4095.0,3237.0,2816.0,2640.0,1.57,3.55,13.46,0.06,-0.01,-0.17,0.0,p
3054.0,3022.0,3001.0,4095.0,4095.0,3241.0,2817.0,2642.0,1.67,3.61,13.43,0.04,0.0,-0.12,0.0,p
3062.0,2993.0,2990.0,4095.0,4095.0,3245.0,2815.0,2640.0,1.79,3.56,13.35,0.02,-0.0,-0.15,0.0,p
3054.0,3009.0,3002.0,4095.0,4095.0,3248.0,2822.0,2642.0,1.56,3.58,13.45,0.02,0.01,-0.16,0.0,p
3059.0,3011.0,2991.0,4095.0,4095.0,3235.0,2815.0,2642.0,1.64,3.53,13.41,0.01,0.0,-0.14,0.0,p
3061.0,3019.0,2999.0,4095.0,4095.0,3248.0,2819.0,2649.0,1.65,3.54,13.47,0.03,-0.01,-0.15,0.0,p
3063.0,2997.0,2990.0,4095.0,4095.0,3239.0,2814.0,2643.0,1.7,3.63,13.41,0.04,0.01,-0.13,0.0,p
