hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3058.0,2877.0,2925.0,4095.0,4095.0,4095.0,2689.0,2930.0,-2.37,-0.17,9.08,-0.01,0.1,0.05,p
3061.0,2877.0,2923.0,4095.0,4095.0,4095.0,2688.0,2965.0,-2.82,-0.46,9.04,-0.08,-0.02,-0.02,p
3066.0,2870.0,2924.0,4095.0,4095.0,4095.0,2704.0,2987.0,-2.37,-0.25,8.81,-0.13,-0.04,-0.05,p
3056.0,2876.0,2918.0,4095.0,4095.0,4095.0,2703.0,2986.0,-2.32,-0.34,9.03,-0.17,0.13,0.04,p
3065.0,2874.0,2928.0,4095.0,4095.0,4095.0,2717.0,2991.0,-2.51,-0.74,9.31,-0.15,-0.04,-0.14,p
3071.0,2875.0,2925.0,4095.0,4095.0,4095.0,2721.0,3001.0,-2.6,-0.38,8.89,-0.0,0.05,0.04,p
3059.0,2875.0,2930.0,4095.0,4095.0,4095.0,2721.0,3003.0,-2.55,-0.48,9.03,-0.08,-0.06,-0.08,p
3071.0,2879.0,2922.0,4095.0,4095.0,4095.0,2734.0,2998.0,-2.64,-0.74,9.19,-0.03,0.04,-0.0,p
3070.0,2875.0,2925.0,4095.0,4095.0,4095.0,2736.0,2991.0,-2.5,-0.3,8.74,-0.01,0.03,0.03,p
3081.0,2867.0,2909.0,4095.0,4095.0,4095.0,2736.0,2999.0,-2.59,-0.52,8.97,-0.07,-0.02,-0.08,p
3071.0,2879.0,2918.0,4095.0,4095.0,4095.0,2737.0,3002.0,-2.69,-0.4,8.8,-0.02,0.09,0.08,p
3071.0,2876.0,2919.0,4095.0,4095.0,4095.0,2737.0,2994.0,-2.48,-0.59,9.1,0.0,-0.11,-0.07,p
3071.0,2880.0,2917.0,4095.0,4095.0,4095.0,2739.0,2987.0,-2.67,-0.47,8.92,0.06,0.1,0.08,p
3065.0,2875.0,2925.0,4095.0,4095.0,4095.0,2752.0,2992.0,-2.54,-0.34,8.74,-0.03,-0.07,-0.1,p
3069.0,2874.0,2915.0,4095.0,4095.0,4095.0,2743.0,2992.0,-2.68,-0.37,8.92,0.02,0.07,0.07,p
3065.0,2870.0,2928.0,4095.0,4095.0,4095.0,2745.0,2982.0,-2.69,-0.3,8.77,-0.02,-0.02,-0.06,p
3070.0,2879.0,2923.0,4095.0,4095.0,4095.0,2741.0,2982.0,-2.42,-0.43,9.09,0.06,-0.03,0.01,p
3067.0,2877.0,2921.0,4095.0,4095.0,4095.0,2745.0,2983.0,-2.75,-0.37,8.82,-0.04,0.01,-0.04,p
3062.0,2876.0,2921.0,4095.0,4095.0,4095.0,2752.0,2979.0,-2.44,-0.5,9.04,0.02,-0.0,-0.02,p
3056.0,2875.0,2919.0,4095.0,4095.0,4095.0,2754.0,2978.0,-2.76,-0.28,8.84,-0.06,0.06,-0.02,p
3061.0,2875.0,2925.0,4095.0,4095.0,4095.0,2755.0,2981.0,-2.51,-0.4,9.01,0.02,-0.02,-0.02,p
3067.0,2878.0,2914.0,4095.0,4095.0,4095.0,2754.0,2990.0,-2.68,-0.38,8.89,-0.05,0.03,-0.03,p
3069.0,2877.0,2925.0,4095.0,4095.0,4095.0,2757.0,2982.0,-2.57,-0.23,8.75,-0.07,0.02,-0.02,p
3071.0,2876.0,2926.0,4095.0,4095.0,4095.0,2756.0,2990.0,-2.65,-0.48,9.08,0.03,-0.06,-0.04,p
3067.0,2879.0,2928.0,4095.0,4095.0,4095.0,2762.0,2986.0,-2.64,-0.44,8.96,-0.07,0.08,0.03,p
3071.0,2877.0,2928.0,4095.0,4095.0,4095.0,2764.0,2989.0,-2.47,-0.39,8.97,-0.0,-0.05,-0.04,p
3069.0,2881.0,2919.0,4095.0,4095.0,4095.0,2759.0,2981.0,-2.54,-0.37,8.94,-0.02,0.06,0.04,p
3070.0,2875.0,2925.0,4095.0,4095.0,4095.0,2766.0,2991.0,-2.6,-0.42,8.94,-0.05,-0.01,-0.06,p
3070.0,2870.0,2913.0,4095.0,4095.0,4095.0,2767.0,2992.0,-2.57,-0.38,8.89,-0.01,-0.02,-0.03,p
3071.0,2882.0,2926.0,4095.0,4095.0,4095.0,2768.0,2992.0,-2.55,-0.36,9.05,0.03,-0.02,-0.03,p
3068.0,2877.0,2913.0,4095.0,4095.0,4095.0,2771.0,3003.0,-2.68,-0.26,8.67,-0.11,0.05,-0.05,p
3071.0,2881.0,2923.0,4095.0,4095.0,4095.0,2769.0,3006.0,-2.77,-0.44,8.89,-0.05,-0.0,-0.08,p
3071.0,2869.0,2923.0,4095.0,4095.0,4095.0,2777.0,2999.0,-2.87,-0.68,9.28,0.01,0.02,0.06,p
3069.0,2883.0,2911.0,4095.0,4095.0,4095.0,2780.0,2997.0,-2.57,-0.4,8.91,0.03,0.05,0.05,p
3063.0,2882.0,2917.0,4095.0,4095.0,4095.0,2782.0,2993.0,-2.43,-0.23,8.77,-0.01,-0.02,-0.02,p
3071.0,2870.0,2929.0,4095.0,4095.0,4095.0,2779.0,2997.0,-2.58,-0.36,9.12,0.04,-0.03,-0.04,p
