hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2918.0,2960.0,3035.0,4095.0,4095.0,4095.0,4095.0,3648.0,-0.37,-6.9,7.56,-0.12,0.1,-0.1,1.0,p
2922.0,2960.0,3007.0,4095.0,4095.0,4095.0,4095.0,3658.0,-0.37,-6.65,6.98,-0.08,-0.06,-0.09,1.0,p
2907.0,2960.0,3026.0,4095.0,4095.0,4095.0,4095.0,3654.0,-0.51,-7.02,7.24,-0.13,0.02,-0.06,1.0,p
2906.0,2970.0,3029.0,4095.0,4095.0,4095.0,4067.0,3649.0,-0.31,-6.63,6.89,-0.05,0.09,-0.03,1.0,p
2922.0,2985.0,3029.0,4095.0,4095.0,4095.0,3957.0,3634.0,-0.11,-6.95,7.23,-0.18,0.0,-0.05,1.0,p
2915.0,2962.0,3030.0,4095.0,4095.0,4095.0,3691.0,3567.0,-0.34,-6.81,7.08,-0.06,-0.01,-0.19,1.0,p
2923.0,2969.0,3035.0,4095.0,4095.0,4095.0,3550.0,3516.0,-0.08,-7.07,7.43,-0.17,-0.09,-0.28,1.0,p
2911.0,2962.0,3018.0,4095.0,4095.0,4095.0,3456.0,3473.0,-0.42,-7.0,7.13,0.01,-0.26,-0.24,1.0,p
2922.0,2953.0,3021.0,4095.0,4095.0,4095.0,3435.0,3477.0,0.16,-6.91,7.32,0.05,0.11,0.02,1.0,p
2915.0,2951.0,3033.0,4095.0,4095.0,4095.0,3376.0,3440.0,0.29,-6.79,7.37,0.1,0.04,-0.08,1.0,p
2912.0,2970.0,3024.0,4095.0,4095.0,4095.0,3344.0,3434.0,0.08,-6.83,7.09,-0.03,0.06,-0.03,1.0,p
2911.0,2954.0,3030.0,4095.0,4095.0,4095.0,3323.0,3419.0,0.02,-6.91,7.7,0.17,0.01,-0.15,1.0,p
2918.0,2960.0,3025.0,4095.0,4095.0,4095.0,3310.0,3404.0,0.02,-6.64,7.35,0.1,0.01,-0.02,1.0,p
2922.0,2960.0,3015.0,4095.0,4095.0,4095.0,3284.0,3389.0,0.12,-6.96,7.83,0.27,0.05,-0.12,1.0,p
2923.0,2960.0,3020.0,4095.0,4095.0,4095.0,3263.0,3371.0,-0.21,-6.01,7.02,0.4,-0.02,-0.04,1.0,p
2923.0,2964.0,3037.0,4095.0,4095.0,4095.0,3278.0,3381.0,0.03,-6.52,7.56,-0.05,-0.08,-0.07,1.0,p
2915.0,2960.0,3024.0,4095.0,4095.0,4095.0,3277.0,3376.0,-0.32,-6.21,7.4,-0.02,-0.04,-0.08,1.0,p
2927.0,2966.0,3040.0,4095.0,4095.0,4095.0,3281.0,3371.0,-0.05,-6.9,8.32,-0.12,-0.02,0.08,1.0,p
2921.0,2963.0,3030.0,4095.0,4095.0,4095.0,3297.0,3391.0,-0.18,-6.23,7.63,0.17,-0.07,-0.02,1.0,p
2921.0,2973.0,3035.0,4095.0,4095.0,4095.0,3312.0,3390.0,0.34,-6.23,7.55,-0.03,-0.06,0.1,1.0,p
2928.0,2970.0,3021.0,4095.0,4095.0,4095.0,3327.0,3395.0,-0.14,-6.02,7.25,-0.01,0.03,0.06,1.0,p
2905.0,2961.0,3024.0,4095.0,4095.0,4095.0,3354.0,3411.0,-0.04,-5.92,7.23,-0.25,0.04,0.12,1.0,p
2912.0,2947.0,3013.0,4095.0,4095.0,4095.0,3408.0,3420.0,-0.21,-5.93,7.26,-0.25,0.21,0.14,1.0,p
2903.0,2960.0,3003.0,4095.0,4095.0,4095.0,3417.0,3435.0,-0.45,-6.26,7.25,-0.45,-0.08,-0.05,1.0,p
2896.0,2959.0,3009.0,4095.0,4095.0,4095.0,3431.0,3446.0,-0.38,-6.72,7.76,-0.36,-0.03,0.01,1.0,p
2907.0,2951.0,3020.0,4095.0,4095.0,4095.0,3455.0,3463.0,-0.02,-6.52,7.26,-0.23,-0.09,0.04,1.0,p
2915.0,2972.0,3021.0,4095.0,4095.0,4095.0,3487.0,3473.0,0.05,-6.86,7.62,-0.2,0.15,0.14,1.0,p
2909.0,2964.0,3018.0,4095.0,4095.0,4095.0,3493.0,3509.0,-0.17,-6.56,7.12,-0.17,-0.05,-0.03,1.0,p
2909.0,2960.0,3039.0,4095.0,4095.0,4095.0,3504.0,3514.0,-0.23,-7.0,7.69,0.01,-0.03,-0.1,1.0,p
2915.0,2977.0,3025.0,4095.0,4095.0,4095.0,3503.0,3520.0,-0.42,-6.6,7.19,-0.02,0.16,-0.03,1.0,p
2918.0,2956.0,3024.0,4095.0,4095.0,4095.0,3504.0,3524.0,-0.44,-7.04,8.0,-0.05,-0.02,-0.14,1.0,p
2926.0,2960.0,3015.0,4095.0,4095.0,4095.0,3508.0,3515.0,-0.34,-6.81,7.7,0.11,0.03,-0.06,1.0,p
2914.0,2970.0,3027.0,4095.0,4095.0,4095.0,3498.0,3513.0,-0.4,-6.93,7.81,0.08,-0.04,-0.05,1.0,p
2928.0,2965.0,3029.0,4095.0,4095.0,4095.0,3491.0,3511.0,-0.38,-6.57,7.51,0.27,-0.0,-0.12,1.0,p
2909.0,2969.0,3026.0,4095.0,4095.0,4095.0,3487.0,3504.0,-0.2,-6.21,7.22,0.14,0.01,-0.06,1.0,p
2930.0,2959.0,3013.0,4095.0,4095.0,4095.0,3466.0,3494.0,-0.19,-6.09,7.23,0.29,0.0,-0.19,1.0,p
2912.0,2955.0,3019.0,4095.0,4095.0,4095.0,3387.0,3440.0,-0.03,-5.94,7.34,0.17,0.19,-0.2,1.0,p
2925.0,2959.0,3009.0,4095.0,4095.0,4095.0,3355.0,3415.0,-0.31,-6.1,7.58,0.04,0.07,-0.09,1.0,p
2905.0,2947.0,3023.0,4095.0,4095.0,4095.0,3297.0,3386.0,-0.22,-6.27,8.03,0.05,0.06,-0.07,1.0,p
2925.0,2942.0,3009.0,4095.0,4095.0,4095.0,3262.0,3360.0,-0.28,-6.57,8.34,0.12,-0.06,-0.25,1.0,p
2915.0,2935.0,3019.0,4095.0,4095.0,4095.0,3240.0,3346.0,-0.32,-6.02,8.17,0.13,-0.06,-0.16,1.0,p
2928.0,2947.0,3012.0,4095.0,4095.0,4095.0,3219.0,3355.0,-0.0,-6.01,8.38,0.16,0.03,-0.03,1.0,p
2928.0,2948.0,3010.0,4095.0,4095.0,4095.0,3217.0,3363.0,0.11,-5.72,8.01,0.01,-0.1,-0.07,1.0,p
2920.0,2954.0,3014.0,4095.0,4095.0,4095.0,3235.0,3373.0,-0.15,-5.74,7.9,-0.18,0.02,0.04,1.0,p
2926.0,2953.0,3022.0,4095.0,4095.0,4095.0,3264.0,3397.0,-0.29,-6.01,8.1,-0.31,-0.15,0.04,1.0,p
2918.0,2957.0,3011.0,4095.0,4095.0,4095.0,3311.0,3440.0,-0.2,-5.98,8.18,-0.08,0.09,0.15,1.0,p
2922.0,2955.0,3009.0,4095.0,4095.0,4095.0,3334.0,3453.0,-0.08,-6.26,8.15,-0.14,0.06,0.12,1.0,p
2915.0,2961.0,3027.0,4095.0,4095.0,4095.0,3347.0,3468.0,-0.3,-5.98,7.87,0.14,-0.05,0.01,1.0,p
2930.0,2960.0,3015.0,4095.0,4095.0,4095.0,3376.0,3473.0,-0.19,-6.22,8.27,-0.06,0.16,0.14,1.0,p
2931.0,2954.0,3025.0,4095.0,4095.0,4095.0,3376.0,3489.0,-0.5,-5.84,7.97,0.18,-0.01,-0.06,1.0,p
2939.0,2965.0,3023.0,4095.0,4095.0,4095.0,3371.0,3472.0,-0.21,-5.78,8.05,0.2,0.27,0.0,1.0,p
2942.0,2960.0,3024.0,4095.0,4095.0,4095.0,3302.0,3435.0,0.09,-5.2,7.99,0.31,0.01,-0.13,1.0,p
2918.0,2971.0,3019.0,4095.0,4095.0,4095.0,3295.0,3421.0,-0.34,-5.18,8.26,0.25,0.06,-0.22,1.0,p
2927.0,2951.0,3025.0,4095.0,4095.0,4095.0,3285.0,3407.0,-0.47,-5.03,7.66,-0.09,0.07,-0.01,1.0,p
2939.0,2957.0,3024.0,4095.0,4095.0,4095.0,3296.0,3403.0,-0.6,-5.37,8.42,0.07,0.0,-0.18,1.0,p
2933.0,2961.0,3025.0,4095.0,4095.0,4095.0,3291.0,3398.0,-0.29,-5.47,8.29,-0.25,0.01,0.01,1.0,p
2930.0,2972.0,3030.0,4095.0,4095.0,4095.0,3278.0,3398.0,-0.61,-5.4,8.32,-0.04,0.07,-0.07,1.0,p
2926.0,2958.0,3042.0,4095.0,4095.0,4095.0,3267.0,3387.0,-0.59,-5.71,8.65,-0.2,0.05,0.01,1.0,p
2939.0,2974.0,3025.0,4095.0,4095.0,4095.0,3280.0,3388.0,-0.88,-5.58,8.4,-0.06,0.01,-0.01,1.0,p
2928.0,2965.0,3017.0,4095.0,4095.0,4095.0,3280.0,3408.0,-0.45,-5.84,8.83,-0.19,0.12,0.1,1.0,p
2928.0,2951.0,3024.0,4095.0,4095.0,4095.0,3301.0,3413.0,-0.42,-5.5,8.35,-0.0,-0.03,0.02,1.0,p
2930.0,2975.0,3024.0,4095.0,4095.0,4095.0,3349.0,3434.0,-0.52,-5.26,8.0,-0.1,0.08,-0.05,1.0,p
2925.0,2961.0,3026.0,4095.0,4095.0,4095.0,3374.0,3443.0,-0.63,-5.46,7.72,-0.27,0.08,-0.02,1.0,p
