hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3021.0,2992.0,3449.0,4095.0,4095.0,4095.0,3202.0,2609.0,1.66,-7.54,10.48,-0.07,0.09,-0.14,0.0,p
3024.0,2991.0,3447.0,4095.0,4095.0,4095.0,3199.0,2610.0,1.48,-7.56,10.15,-0.21,0.06,-0.15,0.0,p
3011.0,2995.0,3442.0,4095.0,4095.0,4095.0,3200.0,2609.0,1.43,-7.86,10.62,-0.18,-0.05,-0.23,0.0,p
3021.0,3007.0,3453.0,4095.0,4095.0,4095.0,3205.0,2614.0,0.99,-7.69,10.0,0.11,0.01,-0.23,0.0,p
3024.0,3003.0,3442.0,4095.0,4095.0,4095.0,3207.0,2611.0,1.31,-7.65,9.77,-0.06,0.07,-0.2,0.0,p
3024.0,2994.0,3455.0,4095.0,4095.0,4095.0,3189.0,2610.0,1.37,-7.81,10.06,-0.14,-0.06,-0.22,0.0,p
3021.0,2993.0,3454.0,4095.0,4095.0,4095.0,3201.0,2611.0,1.55,-8.14,10.13,-0.07,0.03,-0.24,0.0,p
3030.0,2993.0,3457.0,4095.0,4095.0,4095.0,3205.0,2619.0,1.26,-8.17,9.76,0.02,0.11,-0.17,0.0,p
3025.0,3004.0,3440.0,4095.0,4095.0,4095.0,3210.0,2617.0,1.51,-8.06,9.58,0.01,0.02,-0.13,0.0,p
3029.0,3007.0,3443.0,4095.0,4095.0,4095.0,3206.0,2620.0,1.34,-8.0,9.69,-0.02,-0.0,-0.16,0.0,p
3034.0,2998.0,3456.0,4095.0,4095.0,4095.0,3201.0,2613.0,1.37,-8.05,9.81,0.03,0.01,-0.15,0.0,p
3030.0,2998.0,3456.0,4095.0,4095.0,4095.0,3206.0,2617.0,1.53,-8.06,9.74,0.02,0.0,-0.15,0.0,p
3022.0,3001.0,3459.0,4095.0,4095.0,4095.0,3200.0,2617.0,1.44,-8.05,9.8,0.04,-0.01,-0.12,0.0,p
