hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3034.0,2974.0,3201.0,4095.0,4095.0,3762.0,3136.0,2986.0,2.11,-5.99,12.09,0.01,0.03,-0.15,0.0,p
3044.0,2965.0,3202.0,4095.0,4095.0,3766.0,3139.0,2990.0,1.82,-5.74,12.16,0.03,0.01,-0.16,0.0,p
3030.0,2979.0,3202.0,4095.0,4095.0,3764.0,3136.0,2984.0,1.94,-5.65,11.99,-0.01,0.02,-0.13,0.0,p
3037.0,2975.0,3196.0,4095.0,4095.0,3775.0,3141.0,2982.0,2.13,-5.85,12.14,-0.04,-0.01,-0.13,0.0,p
3042.0,2973.0,3205.0,4095.0,4095.0,3776.0,3141.0,2983.0,2.12,-5.94,12.11,-0.02,0.01,-0.15,0.0,p
3038.0,2970.0,3195.0,4095.0,4095.0,3777.0,3146.0,2990.0,2.06,-5.9,12.09,0.02,0.01,-0.14,0.0,p
3047.0,2985.0,3196.0,4095.0,4095.0,3775.0,3143.0,2987.0,1.86,-5.71,11.91,0.03,-0.01,-0.18,0.0,p
3039.0,2977.0,3204.0,4095.0,4095.0,3775.0,3151.0,2992.0,2.01,-5.79,12.03,0.03,0.01,-0.13,0.0,p
3043.0,2971.0,3202.0,4095.0,4095.0,3779.0,3150.0,2991.0,2.15,-5.82,12.0,-0.01,-0.07,-0.17,0.0,p
3045.0,2983.0,3203.0,4095.0,4095.0,3779.0,3149.0,2987.0,2.09,-5.88,12.12,-0.01,0.01,-0.15,0.0,p
3051.0,2970.0,3202.0,4095.0,4095.0,3786.0,3147.0,2986.0,2.11,-5.91,12.11,0.01,0.01,-0.16,0.0,p
3041.0,2984.0,3191.0,4095.0,4095.0,3787.0,3151.0,2983.0,1.9,-5.82,12.08,0.01,0.0,-0.15,0.0,p
3040.0,2983.0,3200.0,4095.0,4095.0,3792.0,3152.0,2992.0,2.02,-5.74,11.82,0.01,-0.01,-0.15,0.0,p
3041.0,2976.0,3204.0,4095.0,4095.0,3789.0,3152.0,2991.0,2.0,-5.87,12.0,-0.07,0.03,-0.09,0.0,p
3030.0,2987.0,3200.0,4095.0,4095.0,3779.0,3149.0,2990.0,2.09,-5.99,12.06,-0.07,-0.02,-0.15,0.0,p
3031.0,2973.0,3197.0,4095.0,4095.0,3776.0,3149.0,2989.0,2.1,-5.88,12.04,0.04,0.02,-0.14,0.0,p
3053.0,2981.0,3202.0,4095.0,4095.0,3774.0,3149.0,2987.0,2.17,-5.77,12.09,-0.01,-0.04,-0.21,0.0,p
3031.0,2979.0,3186.0,4095.0,4095.0,3773.0,3145.0,2989.0,2.16,-5.62,12.02,0.14,-0.02,-0.28,0.0,p
3037.0,2974.0,3207.0,4095.0,4095.0,3776.0,3150.0,2992.0,2.27,-5.45,12.28,0.03,0.05,-0.27,0.0,p
