hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2947.0,3051.0,3021.0,4095.0,4095.0,4095.0,4085.0,3920.0,0.87,-8.25,4.98,-0.16,0.08,-0.1,1.0,p
2928.0,3042.0,3015.0,4095.0,4095.0,4095.0,4077.0,3936.0,0.83,-8.65,5.26,-0.07,0.05,-0.23,1.0,p
2931.0,3047.0,3008.0,4095.0,4095.0,4095.0,4070.0,3915.0,0.91,-8.62,5.19,0.07,0.06,-0.26,1.0,p
2930.0,3043.0,3008.0,4095.0,4095.0,4095.0,4085.0,3911.0,0.65,-8.65,5.09,0.06,0.18,-0.29,1.0,p
2941.0,3045.0,3008.0,4095.0,4095.0,4095.0,4082.0,3898.0,0.57,-8.73,4.99,-0.08,0.2,-0.28,1.0,p
2935.0,3055.0,3015.0,4095.0,4095.0,4095.0,4095.0,3911.0,0.9,-8.6,5.31,0.17,0.21,-0.42,1.0,p
2934.0,3050.0,3008.0,4095.0,4095.0,4095.0,4086.0,3903.0,0.96,-8.05,4.91,0.26,0.01,-0.63,1.0,p
2942.0,3056.0,3010.0,4095.0,4095.0,4095.0,4095.0,3909.0,0.75,-8.2,5.2,0.06,0.05,-0.36,1.0,p
2933.0,3055.0,3014.0,4095.0,4095.0,4095.0,4095.0,3914.0,0.82,-8.47,5.27,0.04,0.1,-0.16,1.0,p
2935.0,3041.0,3006.0,4095.0,4095.0,4095.0,4085.0,3908.0,1.01,-8.78,5.79,-0.17,0.24,-0.02,1.0,p
2928.0,3054.0,3013.0,4095.0,4095.0,4095.0,4095.0,3907.0,2.07,-8.24,5.83,0.07,0.32,-0.11,1.0,p
2939.0,3045.0,3007.0,4095.0,4095.0,4095.0,4079.0,3911.0,1.84,-7.66,5.06,0.1,0.22,-0.36,1.0,p
2929.0,3053.0,3009.0,4095.0,4095.0,4095.0,4095.0,3913.0,0.94,-8.0,5.11,-0.1,0.3,-0.36,1.0,p
2947.0,3056.0,3013.0,4095.0,4095.0,4095.0,4091.0,3918.0,0.81,-8.14,5.14,-0.16,0.21,-0.38,1.0,p
