hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3608.0,3275.0,4095.0,3618.0,4095.0,4095.0,4095.0,3200.0,1.11,4.81,0.59,-1.2,-0.44,-0.39,1.0,please
3949.0,3371.0,4095.0,3519.0,4095.0,4095.0,4095.0,3517.0,-12.77,-2.98,4.36,-1.27,0.47,-1.79,1.0,please
4095.0,3517.0,3425.0,3546.0,4095.0,4095.0,4095.0,3457.0,-13.74,1.83,8.9,0.36,0.35,-0.63,1.0,please
4051.0,3417.0,3391.0,3490.0,4095.0,4095.0,4095.0,3755.0,-11.7,7.15,3.3,0.47,-0.27,1.25,1.0,please
4095.0,3350.0,3644.0,3440.0,4095.0,4095.0,4095.0,3900.0,1.92,6.61,1.75,-0.53,-1.11,0.93,1.0,please
3782.0,3408.0,3675.0,3433.0,4095.0,4095.0,4095.0,3925.0,-4.61,0.13,1.69,-0.7,0.79,-0.68,1.0,please
3059.0,3397.0,3664.0,3440.0,4095.0,4095.0,4095.0,4091.0,-12.34,-1.21,4.12,0.35,1.48,-1.18,1.0,please
3473.0,3392.0,3677.0,3430.0,4095.0,4095.0,4095.0,3902.0,-16.15,5.33,4.5,1.21,-0.12,-0.41,1.0,please
4095.0,3361.0,3711.0,3442.0,4095.0,4095.0,4095.0,4095.0,-6.41,7.32,0.67,0.07,-1.45,1.49,1.0,please
4095.0,3376.0,3573.0,3428.0,4095.0,4095.0,4095.0,3810.0,0.83,3.91,1.86,-0.73,0.18,0.47,1.0,please
4095.0,3397.0,3687.0,3439.0,4095.0,4095.0,4095.0,4079.0,-7.98,-1.57,4.24,-0.56,1.03,-1.52,1.0,please
4095.0,3387.0,3723.0,3401.0,4095.0,4095.0,4095.0,4095.0,-12.84,0.96,4.52,0.48,0.63,-1.13,1.0,please
4095.0,3351.0,3795.0,3403.0,4095.0,4095.0,4095.0,4095.0,-11.15,3.59,3.11,0.76,-0.23,-0.4,1.0,please
4095.0,3380.0,3809.0,3375.0,4095.0,4095.0,4095.0,4095.0,-8.37,3.83,1.52,0.41,-0.1,0.27,1.0,please
4079.0,3376.0,3776.0,3355.0,4095.0,4095.0,4095.0,4095.0,-7.51,2.54,2.78,0.16,0.12,0.22,1.0,please
3776.0,3379.0,3903.0,3365.0,4095.0,4095.0,4095.0,4095.0,-8.57,2.44,2.85,0.04,0.02,0.04,1.0,please
3746.0,3399.0,3842.0,3338.0,4095.0,4095.0,4095.0,4095.0,-8.84,2.68,2.65,0.09,0.04,-0.07,1.0,please
3659.0,3398.0,3682.0,3344.0,4095.0,4095.0,4095.0,4095.0,-8.65,3.03,2.63,0.01,-0.03,-0.06,1.0,please
3583.0,3399.0,3712.0,3376.0,4095.0,4095.0,4095.0,4095.0,-8.99,2.73,2.62,-0.08,0.03,-0.04,1.0,please
3520.0,3401.0,3760.0,3383.0,4095.0,4095.0,4095.0,4095.0,-8.78,2.78,2.64,-0.05,0.02,0.01,1.0,please
3568.0,3713.0,4095.0,3319.0,4095.0,4095.0,4095.0,4095.0,-8.65,4.25,2.25,-0.18,-0.04,0.07,1.0,please
3553.0,3750.0,4095.0,3342.0,4095.0,4095.0,4095.0,4095.0,-10.18,5.13,3.39,-0.03,-0.38,0.31,1.0,please
3478.0,3765.0,3982.0,3362.0,4095.0,4095.0,4095.0,3872.0,-7.54,7.94,-0.72,-0.66,-0.05,1.19,1.0,please
3472.0,3827.0,3738.0,3421.0,4095.0,4095.0,4095.0,3007.0,-0.85,2.18,-0.49,-2.14,0.68,0.06,1.0,please
3446.0,3907.0,3574.0,3489.0,4095.0,4095.0,4095.0,3255.0,-10.08,-3.9,5.45,-1.4,1.58,-1.66,1.0,please
3401.0,3927.0,3326.0,3646.0,4095.0,4095.0,4095.0,3504.0,-14.36,1.71,6.57,0.8,0.55,-1.36,1.0,please
3342.0,3824.0,3482.0,3650.0,4095.0,4095.0,4095.0,4095.0,-14.14,7.65,2.51,0.85,-0.93,1.02,1.0,please
3312.0,3699.0,3834.0,3662.0,4095.0,4095.0,4095.0,4092.0,-0.77,5.37,-0.34,-0.46,-0.88,2.37,1.0,please
3293.0,3695.0,3901.0,3662.0,4095.0,4095.0,4095.0,3824.0,-2.34,-0.13,2.15,-0.96,0.9,-0.42,1.0,please
3281.0,3714.0,3856.0,3634.0,4095.0,4095.0,4095.0,4095.0,-13.78,-3.56,2.03,0.13,1.79,-1.6,1.0,please
3213.0,3652.0,3830.0,3491.0,4095.0,4095.0,4095.0,4095.0,-16.36,2.98,4.58,1.32,0.75,-0.87,1.0,please
3191.0,3618.0,3698.0,3451.0,4095.0,4095.0,4095.0,4095.0,-12.25,9.07,-0.36,0.72,-1.0,1.38,1.0,please
3181.0,3616.0,3484.0,3477.0,4095.0,4095.0,4095.0,4095.0,0.65,4.44,0.43,-1.1,-0.97,2.13,1.0,please
3198.0,3602.0,3316.0,3467.0,4095.0,4095.0,4095.0,4095.0,-2.66,-1.15,3.02,-1.23,0.89,-0.88,1.0,please
3207.0,3619.0,3166.0,3483.0,4095.0,4095.0,4095.0,4095.0,-14.5,-3.88,2.72,0.19,1.58,-2.29,1.0,please
3193.0,3606.0,3246.0,3514.0,4095.0,4095.0,4095.0,4095.0,-15.65,2.85,4.35,1.28,0.64,-0.79,1.0,please
3191.0,3573.0,3278.0,3474.0,4095.0,4095.0,4095.0,4095.0,-11.1,5.37,1.34,0.77,-1.08,0.84,1.0,please
3170.0,3599.0,3505.0,3457.0,4095.0,4095.0,4095.0,4095.0,-3.98,2.57,2.34,0.5,-0.65,1.41,1.0,please
3196.0,3632.0,3937.0,3418.0,4095.0,4095.0,4095.0,4095.0,-5.71,2.72,3.16,0.24,-0.01,0.4,1.0,please
3171.0,3619.0,3978.0,3483.0,4095.0,4095.0,4095.0,4095.0,-8.67,3.77,3.53,-0.06,0.16,-0.02,1.0,please
3134.0,4095.0,4095.0,3282.0,4095.0,4095.0,4095.0,4095.0,-8.77,4.4,2.42,-0.05,-0.17,0.06,1.0,please
3122.0,4095.0,4095.0,3235.0,4095.0,4095.0,4095.0,4095.0,-8.55,5.02,3.39,-0.12,-0.42,0.23,1.0,please
3136.0,4095.0,3979.0,3327.0,4095.0,4095.0,4095.0,4095.0,-2.97,7.24,-0.11,-0.65,-0.09,0.29,1.0,please
3155.0,4095.0,3811.0,3374.0,4095.0,4095.0,4095.0,4095.0,-6.07,-2.86,1.37,-1.74,0.75,-1.85,1.0,please
