hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3440.0,4095.0,939.0,4095.0,3273.0,2858.0,3184.0,2832.0,-2.35,9.41,6.07,0.01,-0.04,-0.18,0.0,3163.0,3955.0,3451.0,4031.0,4095.0,3671.0,3983.0,4095.0,-0.0,9.67,3.11,-0.07,-0.03,-0.03,1.0,professor
3449.0,4095.0,917.0,4095.0,3265.0,2858.0,3195.0,2837.0,-2.04,9.36,6.08,0.0,-0.04,-0.18,0.0,3168.0,3981.0,3450.0,4034.0,4095.0,3669.0,3975.0,4095.0,0.21,9.54,3.21,-0.07,-0.03,0.02,1.0,professor
3445.0,4095.0,928.0,4095.0,3248.0,2863.0,3191.0,2835.0,-1.28,9.21,6.34,0.02,-0.09,-0.32,0.0,3153.0,3965.0,3445.0,4019.0,4095.0,3680.0,3984.0,4095.0,-0.75,9.21,3.31,-0.04,-0.03,0.12,1.0,professor
3452.0,4095.0,934.0,4095.0,3248.0,2852.0,3171.0,2818.0,-8.49,9.4,5.95,0.07,0.09,-0.35,0.0,3159.0,3971.0,3462.0,3942.0,4095.0,3645.0,3918.0,4009.0,7.9,11.71,1.68,0.1,0.32,0.29,1.0,professor
3444.0,4095.0,935.0,4095.0,3257.0,2859.0,3174.0,2814.0,-3.45,7.93,5.88,0.12,0.73,2.35,0.0,3179.0,3953.0,3461.0,3920.0,4095.0,3644.0,3927.0,4045.0,-3.54,7.54,3.43,-0.54,-0.53,-2.14,1.0,professor
3421.0,4095.0,917.0,4095.0,3199.0,2813.0,3141.0,2718.0,12.32,9.17,6.36,0.3,-0.88,-1.54,0.0,3335.0,3936.0,3429.0,3967.0,4095.0,3686.0,3936.0,4095.0,-9.46,6.36,5.6,0.45,-0.22,1.53,1.0,professor
3458.0,4095.0,930.0,4095.0,3121.0,2832.0,3143.0,2747.0,-15.11,9.24,4.37,0.29,0.83,-1.7,0.0,3343.0,3968.0,3504.0,3931.0,4095.0,3561.0,3902.0,4005.0,16.9,13.59,-1.49,0.54,-0.57,0.79,1.0,professor
3440.0,4095.0,926.0,4095.0,3170.0,2811.0,3115.0,2783.0,0.99,4.51,5.98,-0.58,-0.04,2.38,0.0,3386.0,3976.0,3458.0,3923.0,4095.0,3608.0,3962.0,4039.0,-3.85,3.18,5.31,-0.39,-0.09,-2.1,1.0,professor
3303.0,4095.0,2000.0,3914.0,3123.0,3013.0,3403.0,2758.0,-4.05,2.6,-0.72,-1.36,0.13,2.37,0.0,3854.0,4016.0,3535.0,3737.0,4095.0,3679.0,4095.0,3851.0,11.27,6.99,-3.61,-0.09,-0.02,-3.47,1.0,professor
2871.0,2884.0,2878.0,2763.0,3679.0,3429.0,4095.0,3623.0,-2.5,-5.99,3.24,-2.77,-0.65,5.04,0.0,2671.0,2830.0,2826.0,2815.0,4095.0,4095.0,4095.0,4095.0,6.15,-8.27,-1.64,-4.28,0.83,-7.55,1.0,professor
