hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3042.0,3335.0,2373.0,4095.0,4095.0,2624.0,2990.0,2832.0,-0.33,-0.18,14.2,0.02,-0.01,-0.12,q
3031.0,3330.0,2381.0,4095.0,4095.0,2627.0,2993.0,2835.0,-0.27,-0.18,14.2,-0.02,-0.05,-0.15,q
3042.0,3356.0,2382.0,4095.0,4095.0,2626.0,2995.0,2834.0,-0.33,-0.26,14.37,0.02,-0.01,-0.16,q
3044.0,3341.0,2380.0,4095.0,4095.0,2624.0,2991.0,2832.0,-0.32,-0.23,14.33,0.03,-0.02,-0.16,q
3035.0,3354.0,2384.0,4095.0,4095.0,2624.0,2992.0,2835.0,-0.3,-0.18,14.12,0.03,-0.01,-0.17,q
3039.0,3351.0,2374.0,4095.0,4095.0,2626.0,2992.0,2836.0,-0.28,-0.24,14.19,-0.01,0.01,-0.17,q
3045.0,3350.0,2377.0,4095.0,4095.0,2624.0,2992.0,2838.0,-0.31,-0.25,14.25,-0.03,-0.01,-0.16,q
3037.0,3343.0,2370.0,4095.0,4095.0,2626.0,3002.0,2839.0,-0.3,-0.32,14.38,0.01,-0.03,-0.17,q
3035.0,3337.0,2368.0,4095.0,4095.0,2615.0,2999.0,2842.0,-0.35,-0.17,14.2,0.06,-0.05,-0.18,q
3039.0,3344.0,2375.0,4095.0,4095.0,2613.0,3001.0,2834.0,-0.25,-0.25,14.28,-0.01,0.01,-0.16,q
3033.0,3358.0,2383.0,4095.0,4095.0,2617.0,2998.0,2835.0,-0.35,-0.24,14.26,-0.01,-0.01,-0.15,q
3039.0,3353.0,2383.0,4095.0,4095.0,2610.0,2997.0,2836.0,-0.37,-0.29,14.19,-0.04,-0.02,-0.13,q
3039.0,3353.0,2378.0,4095.0,4095.0,2610.0,3001.0,2839.0,-0.3,-0.31,14.21,-0.03,0.01,-0.13,q
3041.0,3357.0,2368.0,4095.0,4095.0,2614.0,3001.0,2839.0,-0.31,-0.25,14.19,-0.02,-0.04,-0.14,q
3053.0,3376.0,2385.0,4095.0,4095.0,2613.0,3001.0,2840.0,-0.18,-0.47,14.37,-0.04,-0.01,-0.12,q
3041.0,3363.0,2384.0,4095.0,4095.0,2615.0,2999.0,2844.0,-0.26,-0.29,14.25,0.02,-0.03,-0.15,q
3037.0,3351.0,2390.0,4095.0,4095.0,2622.0,2999.0,2841.0,-0.27,-0.34,14.32,0.02,-0.04,-0.14,q
3028.0,3342.0,2385.0,4095.0,4095.0,2624.0,2997.0,2839.0,-0.16,-0.4,14.38,0.08,-0.06,-0.18,q
3037.0,3351.0,2384.0,4095.0,4095.0,2633.0,3005.0,2848.0,-0.19,-0.4,14.15,0.18,-0.04,-0.19,q
3049.0,3361.0,2384.0,4095.0,4095.0,2630.0,2998.0,2847.0,-0.26,-0.26,14.11,0.01,-0.01,-0.14,q
3047.0,3351.0,2378.0,4095.0,4095.0,2635.0,3005.0,2843.0,-0.34,-0.2,14.29,0.08,-0.03,-0.15,q
3036.0,3360.0,2384.0,4095.0,4095.0,2637.0,2999.0,2847.0,-0.09,-0.2,14.32,0.07,-0.03,-0.16,q
3025.0,3344.0,2386.0,4095.0,4095.0,2640.0,2999.0,2849.0,-0.07,-0.18,14.3,0.05,-0.03,-0.15,q
3026.0,3343.0,2375.0,4095.0,4095.0,2640.0,3003.0,2849.0,-0.04,-0.14,14.25,-0.0,-0.0,-0.15,q
3040.0,3343.0,2385.0,4095.0,4095.0,2650.0,3001.0,2847.0,-0.12,-0.19,14.22,-0.01,-0.01,-0.15,q
3035.0,3344.0,2378.0,4095.0,4095.0,2642.0,3001.0,2847.0,-0.13,-0.14,14.26,0.04,-0.04,-0.17,q
3040.0,3341.0,2378.0,4095.0,4095.0,2647.0,3007.0,2848.0,-0.1,-0.12,14.28,0.02,-0.01,-0.15,q
3040.0,3344.0,2384.0,4095.0,4095.0,2647.0,3002.0,2850.0,-0.28,-0.11,14.21,0.02,-0.0,-0.15,q
3043.0,3346.0,2372.0,4095.0,4095.0,2645.0,3003.0,2849.0,-0.21,-0.12,14.41,0.03,0.02,-0.12,q
3033.0,3329.0,2379.0,4095.0,4095.0,2624.0,3004.0,2850.0,-0.19,0.13,14.29,0.04,0.03,-0.14,q
