hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2960.0,2935.0,2895.0,4095.0,4095.0,2601.0,2863.0,2735.0,1.13,-1.25,13.99,0.05,-0.04,-0.17,q
2960.0,2935.0,2895.0,4095.0,4095.0,2601.0,2863.0,2735.0,1.13,-1.25,13.99,0.05,-0.04,-0.17,q
2975.0,2930.0,2893.0,4095.0,4095.0,2602.0,2861.0,2740.0,1.09,-1.17,14.01,-0.05,-0.0,-0.16,q
2960.0,2933.0,2891.0,4095.0,4095.0,2602.0,2864.0,2740.0,0.96,-1.27,14.17,-0.02,-0.02,-0.17,q
2961.0,2938.0,2896.0,4095.0,4095.0,2604.0,2867.0,2742.0,1.03,-1.36,14.21,-0.02,-0.02,-0.14,q
2960.0,2929.0,2889.0,4095.0,4095.0,2596.0,2871.0,2743.0,1.14,-1.34,14.19,0.06,-0.05,-0.17,q
2973.0,2935.0,2897.0,4095.0,4095.0,2592.0,2863.0,2742.0,1.1,-1.19,14.07,-0.0,-0.02,-0.15,q
2960.0,2944.0,2885.0,4095.0,4095.0,2586.0,2865.0,2748.0,1.1,-1.34,14.13,0.04,-0.03,-0.17,q
2960.0,2942.0,2882.0,4095.0,4095.0,2585.0,2861.0,2738.0,1.07,-1.28,14.16,0.02,-0.0,-0.16,q
2960.0,2931.0,2880.0,4095.0,4095.0,2589.0,2859.0,2736.0,1.04,-1.24,14.14,0.05,-0.01,-0.18,q
2960.0,2933.0,2886.0,4095.0,4095.0,2591.0,2864.0,2742.0,1.03,-1.22,14.07,0.0,-0.0,-0.14,q
2961.0,2929.0,2891.0,4095.0,4095.0,2596.0,2865.0,2737.0,1.07,-1.22,14.06,-0.01,0.02,-0.14,q
2963.0,2931.0,2887.0,4095.0,4095.0,2591.0,2865.0,2742.0,1.12,-1.28,14.14,0.01,-0.0,-0.13,q
2955.0,2932.0,2893.0,4095.0,4095.0,2591.0,2863.0,2740.0,1.07,-1.32,14.16,0.1,0.02,-0.16,q
2960.0,2929.0,2890.0,4095.0,4095.0,2590.0,2860.0,2743.0,1.16,-1.27,14.12,0.1,-0.06,-0.17,q
2960.0,2933.0,2880.0,4095.0,4080.0,2587.0,2857.0,2736.0,1.02,-1.07,13.89,0.04,0.03,-0.14,q
2960.0,2927.0,2883.0,4095.0,3893.0,2583.0,2859.0,2736.0,1.09,-1.08,14.13,-0.05,0.0,-0.16,q
2959.0,2927.0,2881.0,4095.0,3899.0,2587.0,2862.0,2738.0,1.08,-1.32,14.37,0.03,-0.02,-0.16,q
2954.0,2929.0,2890.0,4095.0,3904.0,2584.0,2862.0,2742.0,1.09,-1.19,14.14,0.06,0.03,-0.14,q
2962.0,2939.0,2887.0,4095.0,3895.0,2559.0,2863.0,2745.0,1.07,-1.02,13.85,-0.06,0.06,-0.07,q
2970.0,2929.0,2879.0,4095.0,4095.0,2479.0,2719.0,2689.0,1.07,-1.29,14.31,0.02,0.05,-0.13,q
2970.0,2929.0,2879.0,4095.0,4095.0,2479.0,2719.0,2689.0,1.07,-1.29,14.31,0.02,0.05,-0.13,q
2961.0,2924.0,2882.0,4095.0,4095.0,2477.0,2722.0,2689.0,1.16,-1.19,14.24,0.06,-0.06,-0.19,q
2974.0,2926.0,2889.0,4095.0,4095.0,2496.0,2766.0,2690.0,1.11,-0.92,13.89,0.3,-0.21,-0.31,q
2973.0,2927.0,2885.0,4095.0,4095.0,2507.0,2768.0,2698.0,1.03,-0.95,14.13,-0.01,-0.04,-0.2,q
2970.0,2921.0,2883.0,4095.0,4095.0,2512.0,2786.0,2703.0,1.19,-1.02,14.16,0.05,-0.03,-0.2,q
2960.0,2926.0,2883.0,4095.0,4095.0,2514.0,2796.0,2708.0,1.25,-0.98,14.09,-0.06,0.07,-0.12,q
2973.0,2923.0,2890.0,4095.0,4095.0,2511.0,2801.0,2709.0,1.22,-1.02,14.22,-0.12,0.02,-0.14,q
2965.0,2931.0,2880.0,4095.0,4095.0,2521.0,2807.0,2714.0,1.08,-1.15,14.23,-0.04,0.03,-0.16,q
2960.0,2922.0,2887.0,4095.0,4095.0,2517.0,2803.0,2713.0,1.1,-1.22,14.22,0.07,0.01,-0.18,q
2962.0,2921.0,2891.0,4095.0,4095.0,2514.0,2807.0,2715.0,1.13,-1.23,14.24,0.08,0.01,-0.18,q
2963.0,2927.0,2875.0,4095.0,4095.0,2511.0,2805.0,2720.0,1.03,-0.93,14.1,0.18,0.03,-0.18,q
2962.0,2918.0,2895.0,4095.0,4095.0,2512.0,2818.0,2720.0,1.16,-0.94,13.97,-0.03,0.07,-0.08,q
2951.0,2935.0,2885.0,4095.0,4095.0,2521.0,2819.0,2718.0,1.19,-1.0,14.22,0.07,-0.01,-0.18,q
2967.0,2927.0,2881.0,4095.0,4095.0,2526.0,2820.0,2720.0,0.96,-0.88,14.23,0.02,0.04,-0.13,q
2961.0,2924.0,2880.0,4095.0,4095.0,2530.0,2821.0,2714.0,1.1,-0.85,14.13,0.11,-0.05,-0.17,q
2965.0,2932.0,2878.0,4095.0,4095.0,2530.0,2817.0,2714.0,1.09,-1.04,14.33,0.03,0.01,-0.16,q
2975.0,2935.0,2891.0,4095.0,4095.0,2539.0,2826.0,2720.0,1.12,-0.99,14.26,0.16,-0.08,-0.19,q
2970.0,2934.0,2889.0,4095.0,4095.0,2541.0,2830.0,2715.0,1.0,-0.65,13.8,-0.11,0.04,-0.0,q
2960.0,2929.0,2882.0,4095.0,4095.0,2537.0,2818.0,2707.0,1.14,-0.97,14.11,0.03,-0.07,-0.18,q
2961.0,2927.0,2895.0,4095.0,4095.0,2559.0,2835.0,2688.0,1.51,-0.83,14.13,0.04,-0.1,-0.26,q
2951.0,2929.0,2887.0,4095.0,4095.0,2543.0,2832.0,2691.0,1.28,-0.69,14.24,0.06,-0.0,-0.16,q
2963.0,2928.0,2895.0,4095.0,4095.0,2542.0,2832.0,2681.0,1.41,-0.86,14.36,0.15,-0.02,-0.21,q
2961.0,2929.0,2896.0,4095.0,4095.0,2534.0,2831.0,2684.0,1.41,-0.67,14.03,0.07,0.02,-0.17,q
2963.0,2928.0,2890.0,4095.0,4095.0,2526.0,2819.0,2686.0,1.57,-0.6,14.0,0.05,-0.04,-0.18,q
2962.0,2931.0,2889.0,4095.0,4095.0,2525.0,2815.0,2688.0,1.46,-0.63,14.17,-0.0,-0.04,-0.16,q
2959.0,2927.0,2885.0,4095.0,4095.0,2531.0,2813.0,2689.0,1.31,-0.53,14.08,-0.09,0.05,-0.03,q
2962.0,2934.0,2880.0,4095.0,4095.0,2550.0,2826.0,2704.0,1.61,-0.77,14.07,0.11,-0.03,-0.18,q
2960.0,2917.0,2883.0,4095.0,4095.0,2559.0,2832.0,2698.0,1.56,-0.6,13.83,-0.12,0.09,-0.0,q
2959.0,2927.0,2887.0,4095.0,4095.0,2589.0,2842.0,2704.0,1.63,-0.96,14.21,-0.07,-0.12,-0.17,q
2967.0,2923.0,2883.0,4095.0,4095.0,2612.0,2855.0,2704.0,1.49,-0.78,14.44,0.03,-0.01,-0.23,q
2953.0,2928.0,2874.0,4095.0,4095.0,2645.0,2853.0,2704.0,1.56,-0.62,14.26,0.32,-0.14,-0.35,q
2967.0,2929.0,2882.0,4095.0,4095.0,2667.0,2860.0,2713.0,1.69,-0.69,14.37,0.53,-0.23,-0.46,q
2962.0,2912.0,2881.0,4095.0,4095.0,2643.0,2858.0,2711.0,1.64,0.09,13.49,0.16,0.02,-0.18,q
2959.0,2927.0,2880.0,4095.0,4095.0,2624.0,2863.0,2718.0,1.62,-0.11,13.68,-0.09,0.01,-0.03,q
2971.0,2930.0,2898.0,4095.0,4095.0,2602.0,2862.0,2719.0,1.55,-0.42,14.09,-0.31,0.14,0.03,q
2961.0,2919.0,2885.0,4095.0,4095.0,2597.0,2861.0,2722.0,1.56,-0.61,14.03,-0.24,0.1,0.0,q
2961.0,2923.0,2881.0,4095.0,4095.0,2559.0,2848.0,2725.0,1.46,-0.76,14.31,-0.24,0.09,-0.0,q
2957.0,2925.0,2896.0,4095.0,4095.0,2559.0,2851.0,2731.0,1.08,-0.72,13.68,-0.41,0.25,0.21,q
2960.0,2926.0,2890.0,4095.0,4095.0,2589.0,2853.0,2734.0,1.34,-1.3,14.48,-0.5,0.17,0.1,q
2960.0,2917.0,2890.0,4095.0,4095.0,2647.0,2850.0,2717.0,1.02,-1.69,14.63,-0.02,-0.03,-0.17,q
2964.0,2926.0,2882.0,4095.0,4095.0,2649.0,2849.0,2719.0,1.2,-1.64,14.78,0.42,-0.2,-0.4,q
2953.0,2901.0,2881.0,4095.0,4095.0,2650.0,2849.0,2713.0,1.46,-1.41,14.94,1.07,-0.34,-0.69,q
2942.0,2910.0,2875.0,4095.0,4095.0,2649.0,2850.0,2709.0,1.15,-0.28,13.98,0.99,-0.17,-0.57,q
2958.0,2914.0,2881.0,4095.0,4095.0,2643.0,2862.0,2717.0,1.39,0.12,13.71,0.62,-0.25,-0.45,q
2955.0,2923.0,2879.0,4095.0,4095.0,2653.0,2864.0,2713.0,1.39,0.5,13.44,0.49,0.15,-0.19,q
2956.0,2915.0,2891.0,4095.0,4095.0,2651.0,2865.0,2711.0,1.09,0.57,13.43,0.01,-0.02,-0.05,q
2962.0,2922.0,2885.0,4095.0,4095.0,2647.0,2861.0,2711.0,1.13,0.37,13.15,-0.65,0.19,0.19,q
2960.0,2924.0,2895.0,4095.0,4095.0,2655.0,2865.0,2718.0,1.41,-0.44,14.12,-0.75,-0.02,0.04,q
2960.0,2919.0,2896.0,4095.0,4095.0,2641.0,2864.0,2718.0,1.14,-0.62,13.97,-0.8,0.15,0.2,q
2955.0,2922.0,2885.0,4095.0,4095.0,2652.0,2858.0,2719.0,1.33,-1.12,14.32,-1.0,0.16,0.24,q
2962.0,2920.0,2873.0,4095.0,4095.0,2653.0,2861.0,2725.0,1.32,-1.8,14.5,-0.63,0.13,0.18,q
2960.0,2916.0,2897.0,4095.0,4095.0,2654.0,2854.0,2723.0,1.06,-2.0,15.04,-0.34,0.18,0.04,q
2957.0,2928.0,2883.0,4095.0,4095.0,2647.0,2844.0,2719.0,1.42,-2.12,14.52,0.35,-0.11,-0.25,q
2965.0,2921.0,2884.0,4095.0,4095.0,2653.0,2855.0,2721.0,1.23,-1.68,14.55,0.6,-0.22,-0.47,q
2973.0,2942.0,2879.0,4095.0,4095.0,2654.0,2860.0,2720.0,1.47,-1.22,14.08,0.84,-0.21,-0.55,q
2955.0,2931.0,2880.0,4095.0,4095.0,2650.0,2863.0,2719.0,1.25,-0.64,14.09,0.64,-0.26,-0.49,q
2960.0,2919.0,2878.0,4095.0,4095.0,2653.0,2864.0,2719.0,1.44,-0.47,14.11,0.57,-0.1,-0.45,q
2957.0,2921.0,2892.0,4095.0,4095.0,2651.0,2865.0,2718.0,1.33,-0.06,13.82,0.27,-0.07,-0.27,q
2955.0,2913.0,2881.0,4095.0,4095.0,2643.0,2864.0,2714.0,1.19,0.08,13.41,-0.19,0.04,0.01,q
2960.0,2928.0,2896.0,4095.0,4095.0,2621.0,2864.0,2735.0,1.45,-0.22,13.13,-0.22,-0.15,-0.18,q
2966.0,2913.0,2886.0,4095.0,4095.0,2610.0,2864.0,2733.0,1.63,-0.67,13.64,-0.78,0.08,0.15,q
2950.0,2927.0,2886.0,4095.0,4095.0,2617.0,2864.0,2736.0,1.41,-1.42,14.46,-0.74,-0.01,0.06,q
2966.0,2917.0,2871.0,4095.0,4095.0,2613.0,2863.0,2735.0,1.54,-1.74,14.19,-0.38,0.08,0.09,q
2951.0,2921.0,2884.0,4095.0,4095.0,2612.0,2850.0,2725.0,1.39,-1.76,14.17,-0.2,0.08,0.1,q
2959.0,2923.0,2888.0,4095.0,4095.0,2624.0,2854.0,2731.0,1.73,-2.23,14.7,0.26,-0.09,-0.19,q
2957.0,2927.0,2895.0,4095.0,4095.0,2621.0,2855.0,2732.0,1.76,-1.77,14.66,0.82,-0.24,-0.55,q
2951.0,2918.0,2887.0,4095.0,4095.0,2634.0,2864.0,2729.0,1.72,-1.11,14.06,0.97,-0.25,-0.55,q
2949.0,2921.0,2885.0,4095.0,4095.0,2625.0,2864.0,2725.0,1.76,-0.39,13.75,0.75,0.01,-0.22,q
2950.0,2916.0,2881.0,4095.0,4095.0,2629.0,2862.0,2727.0,1.58,0.04,13.67,0.53,0.23,-0.08,q
2946.0,2913.0,2887.0,4095.0,4095.0,2631.0,2861.0,2726.0,1.42,0.29,13.26,-0.05,0.08,-0.09,q
2968.0,2939.0,2890.0,4095.0,4095.0,2636.0,2866.0,2735.0,1.46,-0.28,13.9,-0.45,-0.07,-0.18,q
2960.0,2912.0,2898.0,4095.0,4095.0,2639.0,2867.0,2731.0,1.59,-0.63,14.32,-0.28,-0.18,-0.2,q
2960.0,2926.0,2889.0,4095.0,4095.0,2631.0,2870.0,2727.0,1.72,-0.71,14.38,-0.19,0.08,-0.05,q
2958.0,2921.0,2886.0,4095.0,4095.0,2634.0,2870.0,2737.0,2.06,-0.85,14.41,0.3,-0.14,-0.3,q
2960.0,2927.0,2890.0,4095.0,4095.0,2633.0,2867.0,2727.0,1.76,-0.42,14.34,0.01,-0.16,-0.24,q
2962.0,2934.0,2879.0,4095.0,4095.0,2637.0,2870.0,2736.0,2.19,-0.47,14.12,0.22,-0.31,-0.41,q
2956.0,2922.0,2885.0,4095.0,4095.0,2645.0,2875.0,2733.0,1.83,-0.2,14.02,-0.04,-0.03,-0.16,q
2955.0,2928.0,2897.0,4095.0,4095.0,2647.0,2869.0,2730.0,2.11,-0.45,13.96,0.12,0.01,-0.2,q
2954.0,2918.0,2896.0,4095.0,4095.0,2650.0,2871.0,2733.0,1.88,-0.33,14.09,-0.05,0.05,-0.14,q
2955.0,2918.0,2893.0,4095.0,4095.0,2645.0,2893.0,2727.0,1.76,-0.49,13.86,-0.07,0.05,0.02,q
2957.0,2926.0,2893.0,4095.0,4095.0,2641.0,2894.0,2731.0,1.77,-0.77,14.29,0.17,0.11,-0.1,q
2967.0,2917.0,2895.0,4095.0,4095.0,2647.0,2906.0,2734.0,1.73,-0.48,14.26,0.22,0.0,-0.2,q
2958.0,2917.0,2896.0,4095.0,4095.0,2643.0,2909.0,2743.0,1.96,-0.24,13.76,-0.02,-0.1,-0.22,q
2947.0,2918.0,2889.0,4095.0,4095.0,2640.0,2906.0,2746.0,1.85,-0.4,14.13,-0.02,-0.11,-0.27,q
2947.0,2912.0,2891.0,4095.0,4095.0,2630.0,2911.0,2751.0,2.05,-0.55,14.2,0.0,-0.07,-0.26,q
2959.0,2917.0,2891.0,4095.0,4095.0,2629.0,2911.0,2748.0,1.74,-0.31,14.0,0.02,0.04,-0.19,q
2965.0,2923.0,2895.0,4095.0,4095.0,2622.0,2916.0,2752.0,2.0,-0.4,13.96,-0.04,0.02,-0.14,q
2955.0,2922.0,2899.0,4095.0,4095.0,2624.0,2916.0,2749.0,1.78,-0.5,14.21,-0.04,0.01,-0.18,q
2955.0,2927.0,2891.0,4095.0,4095.0,2619.0,2914.0,2755.0,1.91,-0.49,14.16,-0.06,0.03,-0.14,q
2944.0,2913.0,2889.0,4095.0,4095.0,2618.0,2912.0,2753.0,1.92,-0.54,14.03,-0.0,0.09,-0.12,q
2960.0,2914.0,2902.0,4095.0,4095.0,2615.0,2921.0,2753.0,1.84,-0.53,14.06,-0.02,0.06,-0.14,q
2955.0,2935.0,2894.0,4095.0,4095.0,2613.0,2923.0,2756.0,1.9,-0.65,14.1,-0.08,0.1,-0.1,q
2949.0,2913.0,2896.0,4095.0,4095.0,2608.0,2915.0,2751.0,1.64,-0.67,14.23,0.03,0.02,-0.19,q
2950.0,2921.0,2896.0,4095.0,4095.0,2593.0,2916.0,2747.0,1.57,-0.57,14.16,-0.01,0.11,-0.13,q
2951.0,2933.0,2896.0,4095.0,4095.0,2583.0,2927.0,2743.0,1.74,-0.6,13.97,0.07,0.06,-0.17,q
2951.0,2928.0,2889.0,4095.0,4095.0,2559.0,2929.0,2747.0,1.63,-0.51,14.06,-0.01,0.03,-0.16,q
2955.0,2937.0,2896.0,4095.0,4095.0,2559.0,2928.0,2747.0,1.55,-0.57,14.16,0.07,-0.03,-0.18,q
2960.0,2929.0,2896.0,4095.0,4095.0,2555.0,2928.0,2743.0,1.68,-0.59,14.2,0.03,-0.01,-0.19,q
2946.0,2911.0,2893.0,4095.0,4095.0,2559.0,2923.0,2739.0,1.71,-0.58,14.08,0.04,-0.03,-0.18,q
2955.0,2928.0,2895.0,4095.0,4095.0,2559.0,2890.0,2747.0,1.84,-0.71,14.05,0.07,-0.02,-0.18,q
2955.0,2928.0,2896.0,4095.0,4095.0,2559.0,2880.0,2741.0,1.85,-0.65,14.07,0.03,-0.03,-0.19,q
2953.0,2928.0,2906.0,4095.0,4095.0,2559.0,2869.0,2738.0,1.73,-0.57,14.01,0.03,0.07,-0.17,q
2957.0,2930.0,2896.0,4095.0,4095.0,2547.0,2835.0,2726.0,1.63,-0.74,14.07,-0.15,-0.55,-0.07,q
2954.0,2929.0,2891.0,4095.0,4095.0,2537.0,2820.0,2730.0,1.98,-0.51,14.02,0.0,-0.14,-0.12,q
2966.0,2911.0,2891.0,4095.0,4095.0,2535.0,2813.0,2719.0,1.89,-0.68,14.14,-0.1,0.07,-0.1,q
2949.0,2917.0,2878.0,4095.0,4095.0,2534.0,2816.0,2715.0,1.96,-0.64,14.11,0.02,-0.03,-0.16,q
2959.0,2927.0,2896.0,4095.0,4095.0,2529.0,2825.0,2719.0,1.88,-0.68,14.08,-0.02,-0.01,-0.17,q
