hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3029.0,2835.0,2897.0,4095.0,4095.0,3389.0,2603.0,2768.0,-2.13,-1.05,8.87,0.0,0.06,0.01,q
3035.0,2830.0,2895.0,4095.0,4095.0,3391.0,2614.0,2771.0,-2.23,-1.17,8.92,-0.01,-0.04,-0.04,q
3041.0,2830.0,2887.0,4095.0,4095.0,3387.0,2624.0,2781.0,-2.11,-1.36,9.21,-0.02,-0.0,0.0,q
3035.0,2832.0,2892.0,4095.0,4095.0,3396.0,2608.0,2783.0,-2.15,-1.23,8.94,-0.01,0.01,-0.02,q
3034.0,2837.0,2893.0,4095.0,4095.0,3395.0,2640.0,2787.0,-2.08,-1.4,9.22,0.11,-0.03,0.0,q
3026.0,2827.0,2880.0,4095.0,4095.0,3395.0,2517.0,2785.0,-2.08,-1.0,8.85,0.03,0.0,0.03,q
3029.0,2828.0,2895.0,4095.0,4095.0,3393.0,2517.0,2785.0,-2.29,-1.28,9.15,0.03,-0.09,-0.04,q
3037.0,2844.0,2879.0,4095.0,4095.0,3408.0,2524.0,2792.0,-1.94,-0.82,8.87,-0.01,0.06,0.01,q
3039.0,2835.0,2896.0,4095.0,4095.0,3399.0,2519.0,2794.0,-2.04,-0.96,9.0,0.0,-0.03,-0.03,q
3027.0,2830.0,2895.0,4095.0,4095.0,3407.0,2523.0,2793.0,-2.17,-1.0,8.88,-0.12,0.12,-0.01,q
3038.0,2832.0,2891.0,4095.0,4095.0,3413.0,2529.0,2798.0,-2.19,-1.17,9.18,0.02,-0.06,-0.04,q
3037.0,2832.0,2889.0,4095.0,4095.0,3407.0,2528.0,2800.0,-1.84,-0.88,8.8,-0.1,0.11,-0.0,q
3030.0,2837.0,2895.0,4095.0,4095.0,3408.0,2531.0,2804.0,-2.17,-1.06,8.91,-0.16,0.07,-0.1,q
3046.0,2833.0,2893.0,4095.0,4095.0,3417.0,2531.0,2811.0,-2.33,-1.5,9.34,-0.13,0.04,-0.04,q
3045.0,2830.0,2885.0,4095.0,4095.0,3410.0,2542.0,2813.0,-2.38,-1.48,9.26,0.04,0.0,0.0,q
3035.0,2836.0,2884.0,4095.0,4095.0,3424.0,2544.0,2813.0,-2.31,-1.22,8.85,-0.01,-0.01,-0.01,q
3031.0,2831.0,2893.0,4095.0,4095.0,3417.0,2543.0,2818.0,-2.09,-1.13,9.02,-0.02,-0.0,0.02,q
3029.0,2834.0,2885.0,4095.0,4095.0,3421.0,2544.0,2821.0,-2.19,-1.2,9.07,0.05,0.01,0.04,q
3031.0,2838.0,2886.0,4095.0,4095.0,3424.0,2544.0,2822.0,-2.13,-1.16,8.88,-0.09,-0.01,-0.05,q
3035.0,2827.0,2887.0,4095.0,4095.0,3426.0,2544.0,2815.0,-2.2,-1.16,9.07,-0.06,0.01,-0.02,q
3038.0,2828.0,2887.0,4095.0,4095.0,3420.0,2544.0,2817.0,-1.87,-1.1,9.01,-0.03,0.06,-0.04,q
3027.0,2836.0,2893.0,4095.0,4095.0,3418.0,2545.0,2823.0,-2.08,-1.05,8.77,-0.02,0.11,-0.02,q
3034.0,2826.0,2896.0,4095.0,4095.0,3425.0,2549.0,2819.0,-2.42,-1.43,9.14,-0.08,-0.04,-0.12,q
3031.0,2826.0,2881.0,4095.0,4095.0,3426.0,2557.0,2827.0,-2.55,-1.29,9.07,0.01,0.05,0.0,q
3041.0,2831.0,2887.0,4095.0,4095.0,3425.0,2559.0,2829.0,-2.43,-1.22,8.88,-0.0,-0.05,-0.04,q
3035.0,2832.0,2880.0,4095.0,4095.0,3431.0,2559.0,2829.0,-2.25,-1.13,8.91,-0.04,0.04,0.02,q
3030.0,2835.0,2887.0,4095.0,4095.0,3425.0,2559.0,2825.0,-2.2,-1.2,9.01,-0.04,-0.04,-0.04,q
3029.0,2835.0,2893.0,4095.0,4095.0,3428.0,2559.0,2835.0,-2.19,-1.22,8.94,-0.05,0.05,0.0,q
3039.0,2835.0,2889.0,4095.0,4095.0,3423.0,2551.0,2832.0,-2.33,-1.22,8.99,-0.0,-0.02,-0.04,q
3027.0,2832.0,2882.0,4095.0,4095.0,3427.0,2558.0,2830.0,-2.34,-1.31,9.03,-0.07,0.05,-0.01,q
3033.0,2825.0,2887.0,4095.0,4095.0,3426.0,2559.0,2832.0,-2.29,-1.18,8.9,-0.06,0.04,-0.0,q
3040.0,2823.0,2891.0,4095.0,4095.0,3440.0,2559.0,2841.0,-2.66,-1.4,9.01,-0.11,-0.05,-0.11,q
3038.0,2835.0,2891.0,4095.0,4095.0,3437.0,2559.0,2835.0,-1.78,-1.31,9.04,-0.08,-0.06,-0.09,q
3029.0,2827.0,2896.0,4095.0,4095.0,3440.0,2559.0,2841.0,-2.4,-1.58,9.19,0.03,0.09,0.02,q
3037.0,2823.0,2897.0,4095.0,4095.0,3424.0,2559.0,2835.0,-2.28,-1.23,8.84,-0.0,0.04,-0.02,q
3036.0,2823.0,2881.0,4095.0,4095.0,3435.0,2559.0,2839.0,-2.39,-1.28,8.97,0.06,-0.01,0.01,q
3042.0,2832.0,2884.0,4095.0,4095.0,3440.0,2559.0,2842.0,-2.22,-1.21,8.8,-0.04,0.02,0.0,q
3036.0,2826.0,2896.0,4095.0,4095.0,3440.0,2581.0,2832.0,-2.32,-1.25,9.02,0.04,-0.03,0.0,q
3040.0,2833.0,2882.0,4095.0,4095.0,3440.0,2582.0,2851.0,-2.38,-1.35,9.06,-0.02,0.02,-0.02,q
3041.0,2834.0,2882.0,4095.0,4095.0,3439.0,2559.0,2850.0,-2.24,-1.09,8.83,-0.02,0.05,0.0,q
3036.0,2832.0,2887.0,4095.0,4095.0,3440.0,2583.0,2853.0,-2.35,-1.13,8.88,-0.05,0.03,-0.05,q
3034.0,2823.0,2880.0,4095.0,4095.0,3438.0,2579.0,2845.0,-2.3,-1.15,8.89,-0.02,0.02,0.01,q
3031.0,2831.0,2891.0,4095.0,4095.0,3438.0,2586.0,2860.0,-2.32,-1.18,8.88,-0.01,0.02,-0.04,q
3039.0,2832.0,2894.0,4095.0,4095.0,3439.0,2583.0,2851.0,-2.53,-1.3,8.87,-0.15,-0.02,-0.07,q
3031.0,2835.0,2895.0,4095.0,4095.0,3442.0,2590.0,2859.0,-2.22,-1.31,9.21,0.02,-0.07,-0.01,q
3037.0,2831.0,2896.0,4095.0,4095.0,3434.0,2587.0,2859.0,-2.37,-1.37,9.04,-0.0,0.06,-0.02,q
3031.0,2832.0,2885.0,4095.0,4095.0,3435.0,2597.0,2858.0,-2.35,-1.08,8.78,0.18,-0.02,0.07,q
3041.0,2833.0,2898.0,4095.0,4095.0,3437.0,2598.0,2859.0,-2.43,-1.23,9.02,-0.01,-0.05,-0.04,q
3041.0,2830.0,2896.0,4095.0,4095.0,3440.0,2603.0,2861.0,-2.33,-1.07,8.84,-0.04,0.03,-0.01,q
3030.0,2829.0,2894.0,4095.0,4095.0,3447.0,2605.0,2864.0,-2.41,-1.03,8.82,-0.02,0.01,-0.01,q
3031.0,2839.0,2895.0,4095.0,4095.0,3440.0,2611.0,2864.0,-2.29,-1.31,9.16,-0.08,0.02,-0.03,q
3025.0,2832.0,2890.0,4095.0,4095.0,3440.0,2607.0,2864.0,-2.41,-1.24,9.06,0.07,-0.01,0.02,q
3035.0,2825.0,2887.0,4095.0,4095.0,3441.0,2609.0,2863.0,-2.42,-1.15,8.98,-0.07,-0.01,-0.04,q
3038.0,2830.0,2882.0,4095.0,4095.0,3441.0,2607.0,2864.0,-2.19,-1.01,8.93,0.04,0.04,0.05,q
3040.0,2832.0,2895.0,4095.0,4095.0,3443.0,2595.0,2864.0,-2.41,-1.12,8.91,-0.05,-0.03,-0.04,q
3033.0,2832.0,2892.0,4095.0,4095.0,3455.0,2591.0,2864.0,-2.25,-1.0,8.91,-0.02,0.03,0.01,q
3026.0,2830.0,2892.0,4095.0,4095.0,3440.0,2608.0,2863.0,-2.45,-1.14,8.92,-0.04,-0.04,-0.02,q
3036.0,2830.0,2896.0,4095.0,4095.0,3442.0,2608.0,2864.0,-2.36,-1.05,8.94,-0.05,0.03,-0.01,q
3027.0,2830.0,2886.0,4095.0,4095.0,3442.0,2605.0,2865.0,-2.3,-1.07,8.99,-0.04,0.01,-0.0,q
3025.0,2831.0,2883.0,4095.0,4095.0,3443.0,2608.0,2864.0,-2.28,-1.02,8.84,-0.05,0.03,-0.0,q
3031.0,2830.0,2885.0,4095.0,4095.0,3453.0,2609.0,2868.0,-2.49,-1.33,9.22,-0.01,-0.02,-0.04,q
3026.0,2829.0,2887.0,4095.0,4095.0,3447.0,2603.0,2864.0,-2.45,-1.14,9.0,0.02,0.07,0.03,q
3025.0,2832.0,2880.0,4095.0,4095.0,3450.0,2609.0,2867.0,-2.35,-1.07,8.97,0.07,-0.05,0.01,q
3031.0,2833.0,2883.0,4095.0,4095.0,3447.0,2608.0,2875.0,-2.2,-1.07,8.93,-0.03,-0.01,-0.05,q
3026.0,2830.0,2885.0,4095.0,4095.0,3457.0,2612.0,2879.0,-2.39,-1.03,9.01,0.01,0.04,0.04,q
3037.0,2832.0,2891.0,4095.0,4095.0,3455.0,2610.0,2877.0,-2.26,-1.08,9.0,-0.02,-0.01,-0.04,q
3026.0,2835.0,2895.0,4095.0,4095.0,3465.0,2609.0,2877.0,-2.43,-0.78,8.64,-0.0,0.03,-0.01,q
3039.0,2836.0,2891.0,4095.0,4095.0,3456.0,2608.0,2879.0,-2.47,-1.05,8.98,-0.11,-0.03,-0.08,q
3024.0,2839.0,2887.0,4095.0,4095.0,3456.0,2610.0,2857.0,-2.42,-0.98,8.92,-0.05,0.04,0.04,q
3034.0,2834.0,2897.0,4095.0,4095.0,3458.0,2609.0,2875.0,-2.38,-1.29,9.24,-0.02,-0.05,-0.02,q
3031.0,2834.0,2891.0,4095.0,4095.0,3455.0,2608.0,2879.0,-2.17,-1.04,8.94,-0.03,0.05,0.01,q
3030.0,2832.0,2889.0,4095.0,4095.0,3463.0,2609.0,2877.0,-2.3,-1.01,8.95,-0.01,-0.0,-0.03,q
3024.0,2822.0,2890.0,4095.0,4095.0,3455.0,2613.0,2878.0,-2.42,-1.05,8.9,-0.09,0.01,-0.02,q
3040.0,2829.0,2883.0,4095.0,4095.0,3456.0,2608.0,2869.0,-2.32,-1.18,9.09,-0.02,0.01,0.0,q
3035.0,2831.0,2894.0,4095.0,4095.0,3455.0,2610.0,2877.0,-2.29,-1.07,8.94,-0.05,-0.02,-0.05,q
3036.0,2823.0,2890.0,4095.0,4095.0,3463.0,2619.0,2878.0,-2.38,-1.05,8.88,-0.07,0.04,-0.01,q
3029.0,2832.0,2887.0,4095.0,4095.0,3458.0,2611.0,2883.0,-2.36,-1.16,9.05,-0.03,-0.02,-0.03,q
3031.0,2826.0,2883.0,4095.0,4095.0,3450.0,2611.0,2880.0,-2.33,-1.05,8.84,-0.07,0.04,-0.01,q
3035.0,2832.0,2882.0,4095.0,4095.0,3457.0,2611.0,2883.0,-2.31,-1.13,8.97,-0.02,-0.0,-0.02,q
3025.0,2832.0,2887.0,4095.0,4095.0,3454.0,2619.0,2878.0,-2.43,-1.25,9.03,-0.03,0.01,-0.02,q
3027.0,2843.0,2896.0,4095.0,4095.0,3461.0,2617.0,2887.0,-2.34,-1.05,8.87,-0.02,0.03,-0.01,q
3037.0,2832.0,2886.0,4095.0,4095.0,3461.0,2614.0,2882.0,-2.35,-1.12,9.03,-0.03,0.01,-0.02,q
3026.0,2822.0,2887.0,4095.0,4095.0,3462.0,2614.0,2887.0,-2.4,-1.12,8.91,-0.01,0.01,-0.02,q
3026.0,2832.0,2891.0,4095.0,4095.0,3457.0,2620.0,2886.0,-2.47,-1.15,8.97,-0.04,-0.01,-0.03,q
3024.0,2831.0,2880.0,4095.0,4095.0,3457.0,2621.0,2890.0,-2.28,-1.01,8.89,-0.01,0.02,-0.01,q
3039.0,2833.0,2885.0,4095.0,4095.0,3459.0,2615.0,2886.0,-2.37,-1.2,8.99,-0.06,0.03,-0.03,q
3029.0,2838.0,2882.0,4095.0,4095.0,3467.0,2624.0,2896.0,-2.49,-1.16,9.0,-0.01,-0.01,-0.03,q
3027.0,2830.0,2897.0,4095.0,4095.0,3465.0,2624.0,2890.0,-2.47,-1.14,8.87,-0.06,0.0,-0.03,q
