hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3709.0,2931.0,2992.0,4048.0,4095.0,3731.0,3046.0,3197.0,-0.26,2.27,9.43,0.03,-0.09,-0.03,q
3705.0,2934.0,2990.0,4031.0,4095.0,3759.0,3086.0,3217.0,-0.61,3.2,8.86,-0.15,0.05,-0.04,q
3735.0,2919.0,2985.0,4031.0,4095.0,3760.0,3091.0,3212.0,-0.63,2.58,8.86,0.08,-0.09,-0.04,q
3709.0,2923.0,2983.0,4065.0,4095.0,3728.0,3116.0,3237.0,-0.48,3.01,8.79,-0.05,-0.11,-0.01,q
3763.0,2928.0,2978.0,4095.0,4095.0,3714.0,3170.0,3241.0,-0.24,2.85,8.91,-0.05,-0.19,-0.03,q
3759.0,2926.0,2967.0,4095.0,4095.0,3701.0,3216.0,3243.0,-0.27,2.56,8.93,-0.32,-0.05,-0.12,q
3473.0,2933.0,2965.0,4095.0,4095.0,3707.0,3268.0,3310.0,-0.56,2.87,9.13,-0.06,0.03,-0.1,q
3451.0,3008.0,3007.0,3933.0,4095.0,3791.0,3426.0,3463.0,-0.82,2.27,8.94,0.03,-0.15,-0.05,q
3520.0,2992.0,3002.0,3778.0,4095.0,3761.0,3399.0,3456.0,0.09,3.06,9.18,0.08,-0.02,0.06,q
3440.0,2976.0,2982.0,3685.0,4095.0,3713.0,3325.0,3376.0,-0.53,2.6,8.86,0.06,-0.01,0.04,q
3387.0,2943.0,2970.0,3601.0,4095.0,3574.0,3110.0,3223.0,-0.54,2.83,8.74,-0.14,0.17,0.07,q
3369.0,2928.0,2989.0,3569.0,4095.0,3439.0,2800.0,3056.0,-0.16,2.96,9.2,0.02,0.05,0.09,q
3331.0,2912.0,2993.0,3562.0,4095.0,3361.0,2674.0,2977.0,-1.36,2.51,8.95,-0.06,0.16,0.1,q
3347.0,2910.0,2989.0,3632.0,4095.0,3377.0,2704.0,2992.0,-0.31,2.61,9.11,0.14,-0.04,0.03,q
3617.0,2904.0,2987.0,3664.0,4082.0,3467.0,2818.0,3071.0,-0.25,2.82,8.8,0.09,-0.16,-0.04,q
4095.0,2910.0,2975.0,3683.0,4069.0,3535.0,2925.0,3165.0,-0.17,3.09,8.64,0.11,-0.2,-0.05,q
4095.0,2915.0,2974.0,3693.0,4095.0,3568.0,2971.0,3207.0,-0.89,2.73,8.86,-0.05,-0.03,-0.02,q
4095.0,2905.0,2977.0,3690.0,4095.0,3573.0,2971.0,3226.0,-0.28,3.06,8.97,-0.05,-0.05,-0.01,q
4016.0,2912.0,2985.0,3690.0,4095.0,3583.0,2964.0,3248.0,-0.24,2.74,8.93,0.03,-0.13,-0.02,q
3983.0,2927.0,2992.0,3699.0,4095.0,3616.0,2953.0,3277.0,-0.18,2.94,8.83,-0.03,0.13,-0.06,q
4095.0,2919.0,3015.0,3671.0,4095.0,3648.0,2891.0,3296.0,-0.18,3.07,9.1,0.13,-0.03,0.04,q
4095.0,2910.0,3019.0,3662.0,4095.0,3633.0,2832.0,3276.0,-0.41,2.74,8.77,-0.12,-0.04,-0.03,q
4095.0,2905.0,3017.0,3659.0,4095.0,3597.0,2809.0,3263.0,-0.09,3.37,8.7,0.02,0.14,-0.0,q
3421.0,2915.0,3022.0,3657.0,4095.0,3504.0,2771.0,3229.0,-0.28,2.68,9.12,-0.12,-0.15,-0.04,q
3394.0,2907.0,3021.0,3649.0,4095.0,3481.0,2761.0,3218.0,-0.1,3.06,9.03,-0.05,0.1,-0.0,q
3431.0,2906.0,3014.0,3643.0,4095.0,3454.0,2740.0,3191.0,-0.08,2.92,8.88,-0.09,-0.01,-0.04,q
3501.0,2905.0,3011.0,3630.0,4095.0,3462.0,2754.0,3168.0,-0.59,3.08,9.01,-0.02,0.13,-0.02,q
3664.0,2905.0,3011.0,3583.0,4095.0,3491.0,2766.0,3141.0,-0.35,2.79,9.13,0.05,0.03,-0.01,q
3743.0,2905.0,3012.0,3582.0,4095.0,3490.0,2763.0,3131.0,-0.4,2.98,8.49,-0.1,0.04,-0.03,q
3755.0,2900.0,3021.0,3597.0,4095.0,3472.0,2762.0,3149.0,-0.28,2.87,8.92,0.12,-0.07,0.03,q
3839.0,2908.0,3019.0,3583.0,4095.0,3478.0,2778.0,3159.0,-0.39,2.85,8.98,-0.16,-0.01,-0.02,q
3839.0,2896.0,3017.0,3574.0,4095.0,3504.0,2803.0,3173.0,-0.34,3.0,8.86,0.04,0.02,0.02,q
4095.0,2897.0,3017.0,3573.0,4095.0,3537.0,2835.0,3169.0,-0.76,2.69,8.89,-0.1,0.12,-0.05,q
4095.0,2898.0,3015.0,3569.0,4095.0,3547.0,2848.0,3154.0,-0.43,3.03,8.88,-0.06,-0.02,-0.04,q
4095.0,2901.0,3013.0,3564.0,4095.0,3563.0,2857.0,3149.0,-0.27,2.74,9.26,0.1,-0.04,0.01,q
4095.0,2897.0,3019.0,3549.0,4095.0,3567.0,2837.0,3181.0,-0.27,3.02,8.64,0.05,-0.08,-0.02,q
3839.0,2896.0,3014.0,3545.0,4095.0,3543.0,2819.0,3197.0,-0.65,3.09,8.96,0.15,-0.11,-0.02,q
3555.0,2896.0,3020.0,3517.0,4095.0,3536.0,2806.0,3202.0,-0.49,3.0,8.51,-0.05,0.03,-0.05,q
3222.0,2899.0,3013.0,3497.0,4095.0,3511.0,2753.0,3209.0,-0.29,3.28,8.88,-0.09,-0.32,0.08,q
3188.0,2903.0,3019.0,3504.0,4095.0,3507.0,2749.0,3207.0,0.04,2.71,9.23,0.04,0.11,0.02,q
3173.0,2877.0,2991.0,3440.0,4095.0,3455.0,2719.0,3164.0,-0.2,3.3,8.71,0.04,-0.02,0.0,q
3194.0,2885.0,2991.0,3457.0,4095.0,3440.0,2708.0,3143.0,-0.06,2.81,9.28,0.04,0.01,-0.04,q
3325.0,2864.0,2989.0,3443.0,4095.0,3437.0,2709.0,3120.0,-0.39,3.07,8.76,0.02,0.17,-0.03,q
3397.0,2870.0,2989.0,3403.0,4095.0,3446.0,2719.0,3131.0,0.14,3.44,8.66,0.08,-0.04,-0.02,q
3356.0,2874.0,2987.0,3413.0,4095.0,3451.0,2734.0,3155.0,-0.6,3.2,8.55,0.0,-0.06,0.03,q
3339.0,2882.0,2989.0,3412.0,4095.0,3459.0,2753.0,3159.0,-0.46,3.24,8.65,-0.13,0.04,0.0,q
3336.0,2873.0,2991.0,3420.0,4095.0,3482.0,2784.0,3170.0,-0.0,3.23,8.98,0.01,-0.13,-0.02,q
3342.0,2885.0,2990.0,3423.0,4095.0,3513.0,2883.0,3187.0,-0.24,2.99,8.94,-0.04,-0.04,-0.04,q
3303.0,2906.0,3001.0,3430.0,4095.0,3569.0,3015.0,3216.0,-0.16,3.16,8.81,-0.03,-0.1,-0.03,q
3313.0,2918.0,2992.0,3446.0,4095.0,3581.0,3062.0,3216.0,-0.29,3.16,8.83,0.05,-0.06,-0.03,q
3202.0,2915.0,3002.0,3481.0,4095.0,3597.0,3098.0,3259.0,-0.23,3.24,8.62,0.02,-0.02,-0.01,q
3185.0,2921.0,2999.0,3555.0,4095.0,3608.0,3129.0,3299.0,0.17,3.32,8.76,-0.12,-0.18,-0.05,q
3290.0,2928.0,3019.0,3695.0,4095.0,3654.0,3187.0,3325.0,-0.26,3.25,8.73,0.04,0.11,-0.02,q
3391.0,2915.0,3022.0,3696.0,4095.0,3690.0,3213.0,3326.0,-0.1,3.17,8.89,-0.05,-0.01,-0.02,q
3563.0,2883.0,2986.0,3606.0,4095.0,3696.0,3216.0,3301.0,-0.53,3.42,8.51,-0.1,0.08,-0.03,q
3706.0,2878.0,2983.0,3626.0,4095.0,3723.0,3216.0,3312.0,0.07,3.3,8.84,0.03,-0.0,0.0,q
3713.0,2865.0,2990.0,3583.0,4095.0,3750.0,3197.0,3322.0,-0.33,3.18,8.91,-0.02,-0.05,0.02,q
3760.0,2864.0,2982.0,3583.0,4095.0,3753.0,3174.0,3298.0,-0.28,3.36,8.56,-0.13,0.06,-0.01,q
3888.0,2865.0,2992.0,3603.0,4095.0,3742.0,3141.0,3264.0,0.04,3.27,9.02,-0.04,0.04,0.03,q
3922.0,2858.0,2992.0,3607.0,4081.0,3674.0,3056.0,3205.0,-0.25,2.97,8.59,-0.07,-0.01,-0.01,q
3904.0,2855.0,2992.0,3600.0,4079.0,3600.0,2947.0,3141.0,0.19,3.49,8.64,-0.15,0.18,0.03,q
3963.0,2861.0,2983.0,3600.0,4087.0,3607.0,2934.0,3109.0,-0.29,3.02,9.27,0.01,-0.13,0.05,q
4063.0,2854.0,2991.0,3605.0,4095.0,3530.0,2843.0,3040.0,0.03,3.08,8.73,-0.12,0.27,-0.01,q
4095.0,2850.0,2987.0,3627.0,4095.0,3495.0,2785.0,3008.0,-0.07,3.09,9.03,-0.01,0.1,0.02,q
4095.0,2845.0,2985.0,3659.0,4080.0,3452.0,2726.0,2981.0,-0.71,3.15,8.74,-0.1,0.12,-0.0,q
4095.0,2849.0,2982.0,3696.0,4064.0,3390.0,2640.0,2945.0,0.16,3.27,8.74,-0.18,0.14,-0.05,q
4095.0,2844.0,2991.0,3790.0,4073.0,3407.0,2654.0,2959.0,-0.64,3.01,9.06,-0.01,0.01,0.05,q
4095.0,2846.0,2991.0,3878.0,4080.0,3435.0,2675.0,2981.0,-0.57,2.55,8.95,-0.16,0.15,-0.09,q
4095.0,2853.0,2999.0,3938.0,4095.0,3399.0,2645.0,2958.0,-0.28,3.39,8.63,-0.0,0.11,0.01,q
4095.0,2864.0,3009.0,3988.0,4095.0,3413.0,2640.0,2960.0,-0.66,2.69,9.12,0.03,-0.17,-0.01,q
4095.0,2867.0,3008.0,3986.0,4095.0,3402.0,2624.0,2950.0,-0.43,3.04,8.76,-0.16,0.29,-0.06,q
4095.0,2870.0,3014.0,3952.0,4095.0,3399.0,2619.0,2951.0,-0.61,3.03,9.02,0.1,-0.16,0.05,q
4095.0,2864.0,3014.0,3952.0,4095.0,3403.0,2609.0,2949.0,-0.74,2.52,8.86,-0.09,0.06,-0.08,q
4095.0,2871.0,3015.0,3870.0,4095.0,3353.0,2559.0,2929.0,-0.59,3.3,8.54,0.03,-0.05,0.01,q
4095.0,2871.0,3015.0,3788.0,4095.0,3353.0,2559.0,2912.0,-0.32,3.09,9.06,0.14,-0.21,-0.01,q
4095.0,2871.0,3005.0,3803.0,4095.0,3327.0,2544.0,2896.0,-0.57,3.1,8.55,-0.03,0.09,-0.0,q
4095.0,2871.0,3003.0,3769.0,4095.0,3290.0,2516.0,2875.0,-0.17,2.99,8.92,0.07,-0.14,-0.07,q
4095.0,2875.0,3010.0,3763.0,4095.0,3311.0,2537.0,2878.0,-0.53,2.84,9.05,-0.09,0.04,0.02,q
4095.0,2866.0,3011.0,3771.0,4095.0,3312.0,2558.0,2896.0,-0.31,3.34,8.34,-0.07,-0.08,-0.04,q
4095.0,2864.0,3007.0,3763.0,4095.0,3283.0,2523.0,2864.0,-0.25,2.72,9.0,0.09,-0.42,-0.05,q
3690.0,2864.0,2992.0,3751.0,4095.0,3232.0,2483.0,2843.0,0.42,3.64,8.89,-0.08,0.26,-0.07,q
3663.0,2870.0,2995.0,3778.0,4095.0,3189.0,2438.0,2835.0,-0.08,3.11,9.11,-0.16,0.0,-0.03,q
3773.0,2861.0,2987.0,3806.0,4095.0,3157.0,2386.0,2795.0,-0.84,2.87,9.0,-0.34,0.21,-0.02,q
3836.0,2877.0,3002.0,3872.0,4095.0,3152.0,2379.0,2785.0,-0.34,2.75,8.85,-0.47,0.15,-0.01,q
3825.0,2870.0,3009.0,3874.0,4095.0,3166.0,2405.0,2800.0,-0.53,3.19,8.31,-0.59,0.0,-0.05,q
4095.0,2864.0,2995.0,3865.0,4095.0,3152.0,2403.0,2783.0,-0.33,1.37,9.69,-0.73,-0.06,-0.01,q
4095.0,2955.0,3105.0,3894.0,4095.0,3245.0,2503.0,2880.0,-0.74,1.8,9.67,0.03,-0.26,0.15,q
4095.0,2931.0,3066.0,3890.0,4095.0,3226.0,2480.0,2861.0,0.26,2.27,8.25,-0.17,0.04,0.05,q
4095.0,2924.0,3057.0,3894.0,4095.0,3235.0,2491.0,2871.0,-0.1,1.84,9.5,-0.13,-0.22,-0.05,q
4095.0,2926.0,3060.0,3950.0,4095.0,3248.0,2507.0,2893.0,-0.27,1.92,9.04,-0.15,0.23,-0.04,q
4080.0,2931.0,3085.0,4095.0,4095.0,3286.0,2549.0,2929.0,0.33,2.39,9.43,0.38,-0.35,0.01,q
4043.0,2925.0,3070.0,4095.0,4095.0,3302.0,2551.0,2930.0,-0.4,1.67,8.84,-0.26,0.48,0.0,q
4048.0,2926.0,3063.0,4095.0,4095.0,3291.0,2544.0,2933.0,0.54,2.3,9.12,-0.16,-0.27,-0.07,q
4095.0,2923.0,3056.0,4095.0,4095.0,3274.0,2519.0,2916.0,-1.3,1.71,9.32,0.03,0.29,0.01,q
4095.0,2960.0,3101.0,4095.0,4095.0,3302.0,2557.0,2933.0,0.32,1.99,9.27,0.12,0.08,0.14,q
4095.0,2938.0,3081.0,4095.0,4026.0,3287.0,2557.0,2927.0,-1.82,2.03,9.43,0.44,0.18,0.12,q
4095.0,2955.0,3110.0,4095.0,4064.0,3312.0,2583.0,2950.0,0.25,1.9,9.16,0.06,-0.19,-0.01,q
4095.0,2962.0,3126.0,4095.0,4095.0,3328.0,2607.0,2986.0,0.17,2.89,8.61,0.11,-0.12,0.01,q
4095.0,2969.0,3120.0,4095.0,4095.0,3338.0,2614.0,2999.0,0.06,2.05,9.16,-0.05,0.0,-0.09,q
3873.0,2971.0,3116.0,4095.0,4095.0,3365.0,2605.0,2971.0,0.19,2.75,8.64,-0.67,0.42,-0.1,q
3874.0,2969.0,3110.0,4095.0,4095.0,3380.0,2587.0,2945.0,-1.64,1.8,9.75,0.2,0.16,-0.05,q
3677.0,2942.0,3088.0,4095.0,4095.0,3363.0,2558.0,2921.0,-0.36,1.85,8.89,-0.25,0.1,-0.02,q
3637.0,2946.0,3093.0,4095.0,4095.0,3374.0,2559.0,2928.0,-1.03,2.06,8.9,0.0,-0.02,0.06,q
3567.0,2943.0,3079.0,4095.0,4095.0,3361.0,2554.0,2927.0,-0.26,1.93,9.32,0.03,0.09,0.0,q
3606.0,2975.0,3119.0,4095.0,4095.0,3395.0,2599.0,2967.0,0.05,1.9,9.66,0.53,-0.46,0.16,q
3562.0,2950.0,3093.0,4095.0,4095.0,3373.0,2559.0,2957.0,-1.06,1.86,8.71,-0.33,0.23,-0.18,q
3552.0,2958.0,3102.0,4095.0,4095.0,3385.0,2595.0,2970.0,0.59,2.47,9.37,0.19,-0.25,-0.08,q
3549.0,2950.0,3091.0,4095.0,4095.0,3377.0,2582.0,2960.0,-1.3,2.05,9.17,-0.01,-0.24,-0.05,q
3568.0,2945.0,3095.0,4095.0,4095.0,3376.0,2583.0,2961.0,0.01,2.49,8.75,-0.09,0.24,-0.11,q
3569.0,2945.0,3097.0,4095.0,4095.0,3375.0,2585.0,2967.0,-0.27,2.25,9.04,0.14,-0.24,-0.01,q
3525.0,2954.0,3088.0,4095.0,4095.0,3421.0,2606.0,2977.0,-0.51,2.22,9.14,0.08,-0.16,0.06,q
3463.0,2943.0,3069.0,4095.0,4095.0,3490.0,2663.0,3006.0,0.18,2.14,9.02,0.06,-0.28,-0.11,q
3360.0,2963.0,3092.0,4095.0,4095.0,3574.0,2855.0,3091.0,0.1,2.78,9.33,0.18,-0.16,-0.07,q
3403.0,2950.0,3069.0,4095.0,4095.0,3545.0,2839.0,3071.0,-0.62,2.23,9.05,-0.12,0.16,-0.06,q
