hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3047.0,2739.0,2531.0,4095.0,4095.0,3527.0,2718.0,3780.0,-5.06,1.11,8.21,-0.06,-0.23,0.21,q
3053.0,2738.0,2522.0,4095.0,4095.0,3527.0,2720.0,3807.0,-4.5,0.5,8.34,-0.19,-0.37,0.14,q
3045.0,2738.0,2531.0,4095.0,4095.0,3532.0,2710.0,3786.0,-3.25,-0.15,8.39,0.15,-0.34,0.08,q
3047.0,2739.0,2529.0,4095.0,4095.0,3541.0,2722.0,3789.0,-3.64,0.51,8.32,0.24,-0.26,0.04,q
3043.0,2747.0,2541.0,4095.0,4095.0,3525.0,2707.0,3792.0,-2.65,1.42,8.23,0.13,-0.11,-0.0,q
3046.0,2743.0,2533.0,4095.0,4095.0,3523.0,2713.0,3808.0,-3.9,0.66,8.53,0.21,-0.01,-0.42,q
3046.0,2747.0,2534.0,4095.0,4095.0,3525.0,2700.0,3792.0,-3.5,0.06,7.87,0.06,-0.16,-0.53,q
3049.0,2743.0,2531.0,4095.0,4095.0,3523.0,2705.0,3782.0,-4.24,1.49,9.03,-0.05,0.22,-0.22,q
3046.0,2742.0,2537.0,4095.0,4095.0,3533.0,2714.0,3795.0,-3.46,1.66,7.81,-0.09,0.33,0.22,q
3047.0,2741.0,2523.0,4095.0,4095.0,3536.0,2716.0,3777.0,-4.09,1.72,8.59,0.1,0.01,-0.38,q
3043.0,2738.0,2528.0,4095.0,4095.0,3543.0,2715.0,3776.0,-4.6,1.71,8.37,0.1,0.09,-0.1,q
3045.0,2741.0,2529.0,4095.0,4095.0,3547.0,2711.0,3792.0,-4.8,1.99,8.55,-0.13,0.06,0.27,q
3051.0,2739.0,2523.0,4095.0,4095.0,3549.0,2721.0,3785.0,-4.35,1.82,8.41,-0.28,0.09,0.5,q
3049.0,2735.0,2526.0,4095.0,4095.0,3537.0,2719.0,3793.0,-3.77,1.09,8.9,-0.32,0.03,0.12,q
3047.0,2736.0,2530.0,4095.0,4095.0,3526.0,2711.0,3787.0,-3.42,0.67,8.07,-0.0,-0.05,-0.22,q
3047.0,2737.0,2523.0,4095.0,4095.0,3525.0,2704.0,3792.0,-4.1,1.94,6.45,0.19,0.12,-0.04,q
3047.0,2743.0,2525.0,4095.0,4095.0,3526.0,2713.0,3798.0,-4.46,1.4,6.79,-0.01,0.16,0.12,q
3045.0,2738.0,2537.0,4095.0,4095.0,3522.0,2706.0,3787.0,-5.02,0.23,8.5,0.15,-0.15,-0.25,q
3039.0,2735.0,2524.0,4095.0,4095.0,3538.0,2723.0,3771.0,-5.09,-0.44,9.06,0.04,-0.1,0.07,q
3041.0,2739.0,2523.0,4095.0,4095.0,3523.0,2717.0,3792.0,-4.49,0.1,10.25,0.42,-0.33,-0.02,q
3043.0,2740.0,2527.0,4095.0,4095.0,3523.0,2718.0,3794.0,-3.56,2.84,9.57,0.02,-0.41,0.09,q
3050.0,2725.0,2520.0,4095.0,4095.0,3539.0,2717.0,3776.0,-2.8,3.22,8.34,-0.07,-0.34,0.19,q
3050.0,2734.0,2518.0,4095.0,4095.0,3582.0,2738.0,3777.0,-2.06,1.93,6.22,0.02,-0.14,0.04,q
3037.0,2736.0,2527.0,4095.0,4095.0,3536.0,2710.0,3791.0,-3.07,1.58,6.69,-0.1,-0.05,-0.04,q
3045.0,2734.0,2523.0,4095.0,4095.0,3527.0,2706.0,3785.0,-3.49,2.73,9.28,-0.23,0.06,0.27,q
3041.0,2736.0,2518.0,4095.0,4095.0,3533.0,2710.0,3807.0,-2.98,2.67,9.97,-0.22,-0.0,0.43,q
