hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3037.0,3531.0,4095.0,4095.0,4095.0,2559.0,2736.0,2559.0,-1.0,-6.25,11.7,0.05,0.05,-0.15,q
3037.0,3531.0,4095.0,4095.0,4095.0,2559.0,2736.0,2559.0,-1.0,-6.25,11.7,0.05,0.05,-0.15,q
3037.0,3542.0,4095.0,4095.0,4095.0,2559.0,2735.0,2559.0,-1.14,-6.07,11.78,0.03,0.07,-0.13,q
3043.0,3540.0,4095.0,4095.0,4095.0,2559.0,2734.0,2559.0,-0.9,-6.09,11.63,-0.01,0.04,-0.12,q
3047.0,3529.0,4095.0,4095.0,4095.0,2559.0,2735.0,2559.0,-0.92,-6.32,11.75,-0.04,0.01,-0.15,q
3030.0,3532.0,4095.0,4095.0,4095.0,2559.0,2736.0,2580.0,-1.13,-6.32,11.74,-0.03,-0.01,-0.17,q
3039.0,3529.0,4095.0,4095.0,4095.0,2559.0,2736.0,2578.0,-1.25,-6.2,11.85,-0.03,-0.01,-0.14,q
3045.0,3545.0,4095.0,4095.0,4095.0,2559.0,2736.0,2559.0,-0.96,-6.07,11.54,0.05,0.02,-0.11,q
3037.0,3527.0,4095.0,4095.0,4095.0,2559.0,2736.0,2559.0,-0.86,-6.28,11.6,-0.01,0.03,-0.14,q
3040.0,3533.0,4095.0,4095.0,4095.0,2559.0,2736.0,2579.0,-1.07,-6.38,11.7,0.0,0.0,-0.19,q
3040.0,3530.0,4095.0,4095.0,4095.0,2579.0,2741.0,2582.0,-1.23,-6.21,11.67,-0.02,-0.02,-0.19,q
3051.0,3538.0,4095.0,4095.0,4095.0,2559.0,2741.0,2583.0,-1.17,-6.17,11.77,0.01,0.02,-0.13,q
3034.0,3537.0,4095.0,4095.0,4095.0,2559.0,2741.0,2582.0,-0.97,-6.32,11.64,0.04,-0.03,-0.18,q
3033.0,3533.0,4095.0,4095.0,4095.0,2559.0,2743.0,2586.0,-0.92,-6.3,11.64,-0.01,-0.02,-0.19,q
3041.0,3542.0,4095.0,4095.0,4095.0,2583.0,2737.0,2582.0,-1.07,-6.28,11.54,-0.01,0.01,-0.18,q
3053.0,3529.0,4095.0,4095.0,4095.0,2587.0,2742.0,2592.0,-1.21,-6.29,11.65,-0.03,-0.02,-0.18,q
3035.0,3541.0,4095.0,4095.0,4095.0,2582.0,2739.0,2587.0,-1.06,-6.33,11.75,0.01,-0.02,-0.16,q
3041.0,3540.0,4095.0,4095.0,4095.0,2583.0,2741.0,2586.0,-0.89,-6.34,11.71,0.03,-0.03,-0.15,q
