hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2960.0,3296.0,3120.0,4095.0,4095.0,2588.0,2937.0,3263.0,2.98,-6.42,6.05,-0.16,-0.12,-0.05,1.0,q
2965.0,3275.0,3124.0,4095.0,4095.0,2595.0,2929.0,3264.0,3.42,-6.8,6.43,-0.14,-0.0,-0.03,1.0,q
2959.0,3331.0,3120.0,4095.0,4095.0,2602.0,2932.0,3269.0,3.75,-7.21,7.31,0.05,-0.1,-0.2,1.0,q
2948.0,3291.0,3133.0,4095.0,4095.0,2609.0,2933.0,3280.0,3.35,-7.0,7.0,0.16,0.27,-0.15,1.0,q
2960.0,3283.0,3132.0,4095.0,4095.0,2615.0,2940.0,3277.0,2.78,-6.96,6.99,0.18,0.15,-0.15,1.0,q
2958.0,3280.0,3124.0,4095.0,4095.0,2608.0,2929.0,3261.0,2.9,-6.57,6.73,0.15,0.03,-0.18,1.0,q
2959.0,3267.0,3123.0,4095.0,4095.0,2624.0,2939.0,3267.0,3.22,-6.23,6.67,0.19,0.12,-0.07,1.0,q
2947.0,3248.0,3117.0,4095.0,4095.0,2626.0,2933.0,3275.0,3.09,-5.83,6.25,0.14,0.11,-0.14,1.0,q
2962.0,3281.0,3120.0,4095.0,4095.0,2626.0,2929.0,3277.0,2.97,-5.76,6.32,-0.04,0.16,-0.01,1.0,q
2959.0,3286.0,3131.0,4095.0,4095.0,2635.0,2940.0,3273.0,3.15,-6.09,6.73,-0.05,0.04,-0.03,1.0,q
2951.0,3287.0,3130.0,4095.0,4095.0,2626.0,2943.0,3260.0,2.94,-6.28,7.08,-0.2,0.27,-0.0,1.0,q
2957.0,3274.0,3131.0,4095.0,4095.0,2635.0,2933.0,3269.0,2.82,-6.28,7.1,-0.15,-0.09,-0.22,1.0,q
2961.0,3277.0,3121.0,4095.0,4095.0,2635.0,2938.0,3265.0,3.31,-5.97,6.28,-0.04,-0.56,-0.39,1.0,q
2950.0,3302.0,3130.0,4095.0,4095.0,2637.0,2943.0,3250.0,3.8,-6.28,6.72,-0.21,0.02,-0.23,1.0,q
2957.0,3277.0,3123.0,4095.0,4095.0,2640.0,2941.0,3271.0,3.11,-6.8,7.44,-0.17,0.1,-0.13,1.0,q
2959.0,3275.0,3125.0,4095.0,4095.0,2645.0,2942.0,3261.0,3.25,-6.53,7.25,-0.06,0.05,-0.17,1.0,q
2954.0,3280.0,3119.0,4095.0,4095.0,2639.0,2939.0,3261.0,3.39,-6.26,6.85,-0.11,0.19,0.01,1.0,q
2957.0,3248.0,3125.0,4095.0,4095.0,2642.0,2941.0,3258.0,3.16,-6.4,6.87,-0.12,-0.12,-0.17,1.0,q
2941.0,3254.0,3121.0,4095.0,4095.0,2639.0,2938.0,3248.0,3.23,-6.09,7.42,-0.23,0.02,-0.11,1.0,q
2930.0,3264.0,3119.0,4095.0,4095.0,2638.0,2942.0,3239.0,3.39,-5.87,7.0,-0.18,0.24,0.17,1.0,q
2953.0,3271.0,3120.0,4095.0,4095.0,2629.0,2928.0,3229.0,3.23,-5.66,6.82,-0.1,-0.09,-0.06,1.0,q
2944.0,3248.0,3120.0,4095.0,4095.0,2649.0,2928.0,3243.0,3.26,-7.5,7.63,0.05,-0.42,-0.24,1.0,q
2957.0,3284.0,3120.0,4095.0,4095.0,2650.0,2931.0,3259.0,2.7,-7.43,7.61,0.17,0.49,0.26,1.0,q
2960.0,3283.0,3126.0,4095.0,4095.0,2647.0,2942.0,3254.0,3.14,-6.65,7.3,0.15,0.44,0.46,1.0,q
2949.0,3297.0,3126.0,4095.0,4095.0,2647.0,2941.0,3248.0,2.66,-6.7,6.91,0.06,-0.03,0.03,1.0,q
